RID	CONCEPT	CONCEPTICON_IN_SAGART	CONCEPTICON_GLOSS	DOCULECT	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE	NOTES
188	152_toplantvegetalsrice	to plant (vegetals, rice)	PLANT (SOMETHING)	Bumthang	152_toplantvegetalsrice	1486	Ø	Ø	Ø	
189	154_topull	to pull	PULL	Bumthang	154_topull	1455		tʰan+lai	TB	
190	157_therainbow	the rainbow	RAINBOW	Bumthang	157_therainbow	1733		ga+dʑom	TB	
191	16_toblowofwind	to blow (of wind)	BLOW (OF WIND)	Bumthang	16_toblowofwind	175	long ra	loŋ55+ra	vanDriem2015	ra = come
192	160_thericeplant	the rice plant	RICE PLANT	Bumthang	160_thericeplant	2026	mrat	mrat	vanDriem2015	
193	162_theriver	the river	RIVER	Bumthang	162_theriver	666	rok	rok55	vanDriem2015	
194	167_torun	to run	RUN	Bumthang	167_torun	1519		dʑuk+ge	TB	
195	169_salty	salty	SALTY	Bumthang	169_salty	1091	tsha khu	tsʰa+kʰu	DDC2018	
196	17_thebodyhairhairorfur	the body hair (hair or fur)	HAIR (BODY)	Bumthang	17_thebodyhairhairorfur	189	po	po	vanDriem2015	
197	172_thesea	the sea	SEA	Bumthang	172_thesea	1474		gʲam+tsʰo	TB	
198	177_thesheep	the sheep	SHEEP	Bumthang	177_thesheep	1331	wai	wai	DDC2018	
199	181_shy	shy	SHY	Bumthang	181_shy	487		ŋe+tsʰa	TB	
200	182_thesickle	the sickle	SICKLE	Bumthang	182_thesickle	341	zor ba	zor+ba	DDC2018	
201	191_smooth	smooth	SMOOTH	Bumthang	191_smooth	1234		dʑam+tɕʰuk+tɕʰuk	TB	
202	196_thesparrow	the sparrow	SPARROW	Bumthang	196_thesparrow	1854	sam ci ling	sam+tɕi+liŋ	DDC2018	
203	2_all	all	ALL	Bumthang	2_all	98	gampo	gam+po	vanDriem2015	
204	208_that	that	THAT	Bumthang	208_that	78	aji	a+dʑi55	vanDriem2015	
205	209_there	there	THERE	Bumthang	209_there	1937		o+tʰu	TB	
206	214_this	this	THIS	Bumthang	214_this	1214		o+si	TB	
207	219_thetiger	the tiger	TIGER	Bumthang	219_thetiger	846	tak	tak	DDC2018	
208	220_today	today	TODAY	Bumthang	220_today	1283	dusum	du+sum	vanDriem2015	
209	221_tomorrow	tomorrow	TOMORROW	Bumthang	221_tomorrow	1329	yampat	jam+pat	vanDriem2015	
210	224_thetree	the tree	TREE	Bumthang	224_thetree	906	seng	seŋ	vanDriem2015	
211	225_twenty	twenty	TWENTY	Bumthang	225_twenty	1710	khae-thek	kʰai+tʰek	vanDriem2015	
212	230_wefirstpersonpluralinclusive	we [first person plural inclusive]	WE (INCLUSIVE)	Bumthang	230_wefirstpersonpluralinclusive	1131	nget	ŋet	vanDriem2015	
213	232_what	what	WHAT	Bumthang	232_what	1236	zhra	r̥a	vanDriem2015	
214	233_thewheat	the wheat	WHEAT	Bumthang	233_thewheat	1077	go	go	DDC2018	
215	234_where	where	WHERE	Bumthang	234_where	1237	ao	ao55	vanDriem2015	
216	237_thewife	the wife	WIFE	Bumthang	237_thewife	1199	namo	na+mo	vanDriem2015	
217	24_thechildyounghuman	the child (young human)	CHILD (YOUNG HUMAN)	Bumthang	24_thechildyounghuman	1304	onga	o55+ŋa	vanDriem2015	
218	241_thewolf	the wolf	WOLF	Bumthang	241_thewolf	522	sa war	sa+war	DDC2018	dhole?
