ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	LOAN	SOURCE	NOTES	RID
251	101_ifirstpersonsingular	I [first person singular]	OldTibetan	Tibetan_Old_Tibetan	ŋa	ŋ.a	ŋ a	clas1254	1209	30.027852	91.158704	327	327	FALSE	Huang1992		4106
252	101_ifirstpersonsingular	I [first person singular]	Khaling	Kiranti_Khaling	ʔu^ŋ	ʔ.u.ŋ	ʔ u ŋ	khal1275	1209	27.390595	87.510016	29761	29761	FALSE	Jacques2017FN		
253	101_ifirstpersonsingular	I [first person singular]	Limbu	Kiranti_Limbu	iŋga	i.ŋ.g.a	i ŋ g a	limb1266	1209	27.272065	87.889909	29722	29722	FALSE	Jacques2017FN		4099
254	101_ifirstpersonsingular	I [first person singular]	Japhug	rGyalrong_Japhug	aʑo	a.ʑ.o	a ʑ o	japh1234	1209	32.207076	101.957636	327	327	FALSE	Jacques2015b		4095
255	101_ifirstpersonsingular	I [first person singular]	Tangut	Tangut	ŋa²	ŋ.a.²	ŋ a ²	tang1334	1209	38.477453	106.285383	327	327	FALSE	Li1997		4109
945	101_ifirstpersonsingular	I [first person singular]	Jingpho	Jingpho_Jingpho	ŋai³³	ŋ.a.i.³³	ŋ a i ³³	jing1260	1209	25.461826	97.329866	327	327	FALSE	Huang1992		4096
1007	101_ifirstpersonsingular	I [first person singular]	Yidu	Deng_Yidu	ŋɑ³⁵	ŋ.ɑ.³⁵	ŋ ɑ ³⁵	idum1241	1209	29.448172	95.650179	327	327	FALSE	Huang1992		4118
1011	101_ifirstpersonsingular	I [first person singular]	MotuoMenba	Bodic_Tshangla	dʑaŋ	dʑ.a.ŋ	dʑ a ŋ	tsha1245	1209	29.325414	95.340883	10390	10390	FALSE	Huang1992		4103
1361	101_ifirstpersonsingular	I [first person singular]	MaerkangrGyalrong	rGyalrong_Maerkang	ŋɑ	ŋ.ɑ	ŋ ɑ	situ1238	1209	31.868614	102.295293	327	327	FALSE	Huang1992		
1841	101_ifirstpersonsingular	I [first person singular]	Daofu	rGyalrong_Daofu	ŋa	ŋ.a	ŋ a	horp1240	1209	30.975281	101.123742	327	327	FALSE	Huang1992		
2045	101_ifirstpersonsingular	I [first person singular]	Dulong	Nungic_Dulong	ŋɑ⁵³	ŋ.ɑ.⁵³	ŋ ɑ ⁵³	drun1238	1209	27.749017	98.691868	327	327	FALSE	Huang1992		4090
2156	101_ifirstpersonsingular	I [first person singular]	Batang	Tibetan_Batang	ŋa²³¹	ŋ.a.²³¹	ŋ a ²³¹	kham1282	1209	30.00795	99.111944	327	327	FALSE	Huang1992		4113
2682	101_ifirstpersonsingular	I [first person singular]	Zhaba	Qiangic_Zhaba	ŋa¹³	ŋ.a.¹³	ŋ a ¹³	zhab1238	1209	30.538892	101.058397	327	327	FALSE	Huang1992		4119
3035	101_ifirstpersonsingular	I [first person singular]	Xiahe	Tibetan_Xiahe	ŋa	ŋ.a	ŋ a	amdo1237	1209	35.210549	102.524979	327	327	FALSE	Huang1992		
3447	101_ifirstpersonsingular	I [first person singular]	Bokar	Tani_Bokar	ŋoː	ŋ.oː	ŋ oː	boka1249	1209	27.554547	93.15717	327	327	FALSE	Huang1992		4083
3556	101_ifirstpersonsingular	I [first person singular]	DarangTaraon	Deng_Darang_Taraon	xɑŋ³⁵	x.ɑ.ŋ.³⁵	x ɑ ŋ ³⁵	diga1241	1209	28.657986	97.469136	10387	10387	FALSE	Huang1992		4089
3719	101_ifirstpersonsingular	I [first person singular]	Lisu	Loloish_Lisu	ŋuɑ³³	ŋ.u.ɑ.³³	ŋ u ɑ ³³	lisu1250	1209	25.950046	98.848486	327	327	FALSE	Huang1992		4100
3827	101_ifirstpersonsingular	I [first person singular]	Lhasa	Tibetan_Lhasa	ŋa¹³	ŋ.a.¹³	ŋ a ¹³	utsa1239	1209	29.653441	91.171493	327	327	FALSE	Huang1992		4114
3875	101_ifirstpersonsingular	I [first person singular]	Alike	Tibetan_Alike	ŋæ	ŋ.æ	ŋ æ	amdo1237	1209	38.318508	92.839938	327	327	FALSE	Huang1992		4112
4701	101_ifirstpersonsingular	I [first person singular]	OldChinese	Sinitic_Old_Chinese	*ŋˤa	ŋˤ.a	ŋˤ a	oldc1244	1209	34.101745	108.777868	327	327	FALSE	Baxter2014		4105
4892	101_ifirstpersonsingular	I [first person singular]	OldBurmese	Burmish_Old_Burmese	ṅā	ṅ.ā	ṅ/n ā/aː	oldb1235	1209	21.624974	97.126742	327	327	FALSE	Hill2017		4104
5253	101_ifirstpersonsingular	I [first person singular]	WobziKhroskyabs	Khroskyabs_Wobzi	ŋô	ŋ.ô	ŋ ô/o	eree1240	1209	31.62758	101.427999	327	327	FALSE	Lai2017		4116
5503	101_ifirstpersonsingular	I [first person singular]	Chepang	Chepang_Chepang	ʔa	ʔ.a	ʔ a	chep1245	1209	27.785164	84.908801	3835	3835	FALSE	Caughley2000		4087
5504	101_ifirstpersonsingular	I [first person singular]	Chepang	Chepang_Chepang	ŋa	ŋ.a	ŋ a	chep1245	1209	27.785164	84.908801	327	327	FALSE	Caughley2000		4088
5740	101_ifirstpersonsingular	I [first person singular]	Garo	Garo_Garo	aŋa	a.ŋ.a	a ŋ a	garo1247	1209	25.504744	90.333226	10388	10388	FALSE	Burling2003		4091
5954	101_ifirstpersonsingular	I [first person singular]	Thulung	Kiranti_Thulung	go	g.o	g o	thul1246	1209	27.534944	87.609608	799	799	FALSE	Allen1975		4111
6292	101_ifirstpersonsingular	I [first person singular]	Hakha	Chin_Hakha	kà/ay/i+maʔ	k.à/a.y/i.+.m.a.ʔ	k à/a y/i + m a ʔ	haka1240	1209	22.870089	92.820021	29721	29721	FALSE	VanBik2014		4092
6513	101_ifirstpersonsingular	I [first person singular]	Bunan	TibetoKinauri_Bunan	gi	g.i	g i	gahr1239	1209	32.554766	77.076283	799	799	FALSE	Widmer2014		4084
6709	101_ifirstpersonsingular	I [first person singular]	Byangsi	TibetoKinauri_Byangsi	j/dʒe	j/dʒ.e	j/dʒ e	byan1241	1209	29.583838	80.22309	799	799	FALSE	Sharma2003a		4085
7159	101_ifirstpersonsingular	I [first person singular]	Kulung	Kiranti_Kulung	kɔŋ	k.ɔ.ŋ	k ɔ ŋ	kulu1253	1209	27.690037	86.910944	29760	29760	FALSE	Tolsma1999		4097
7477	101_ifirstpersonsingular	I [first person singular]	Bantawa	Kiranti_Bantawa	ɨŋka	ɨ.ŋ.k.a	ɨ ŋ k a	bant1281	1209	27.117894	87.049995	29722	29722	FALSE	Jongens2009		
8454	101_ifirstpersonsingular	I [first person singular]	Rangoon	Burmish_Rangoon	ŋɑ²²	ŋ.ɑ.²²	ŋ ɑ ²²	nucl1310	1209	16.874207	96.190785	327	327	FALSE	Huang1992 Hill2017		4108
8518	101_ifirstpersonsingular	I [first person singular]	Atsi	Burmish_Atsi	ŋo⁵¹	ŋ.o.⁵¹	ŋ o./o ⁵¹	zaiw1241	1209	24.193367	97.806689	327	327	FALSE	Huang1992 Hill2017		
8595	101_ifirstpersonsingular	I [first person singular]	Maru	Burmish_Maru	ŋɔ³¹	ŋ.ɔ.³¹	ŋ ɔ ³¹	maru1249	1209	24.939981	99.83	327	327	FALSE	Huang1992 Hill2017		
8661	101_ifirstpersonsingular	I [first person singular]	Lashi	Burmish_Lashi	ŋo³¹	ŋ.o.³¹	ŋ o./o ³¹	lash1243	1209	24.111512	98.311333	327	327	FALSE	Huang1992 Hill2017		4098
8707	101_ifirstpersonsingular	I [first person singular]	Xiandao	Burmish_Xiandao	ŋɔ⁵⁵	ŋ.ɔ.⁵⁵	ŋ ɔ ⁵⁵	xian1249	1209	24.494153	97.753173	327	327	FALSE	Huang1992 Hill2017		
8760	101_ifirstpersonsingular	I [first person singular]	Bola	Burmish_Bola	ŋa⁵⁵	ŋ.a.⁵⁵	ŋ a ⁵⁵	pela1242	1209	24.405004	98.234243	327	327	FALSE	Huang1992 Hill2017		
8940	101_ifirstpersonsingular	I [first person singular]	Achang	Burmish_Achang	ŋɔ⁵⁵	ŋ.ɔ.⁵⁵	ŋ ɔ ⁵⁵	acha1249	1209	24.466605	97.89503	327	327	FALSE	Huang1992 Hill2017		4081
9232	101_ifirstpersonsingular	I [first person singular]	Bahing	Kiranti_Bahing	gu	g.u	g u	bahi1252	1209	27.309472	86.430334	799	799	FALSE	Michailovsky1989		
9421	101_ifirstpersonsingular	I [first person singular]	Lushai	Mizo_Lushai	ka	k.a	k a	lush1249	1209	22.60535	92.629457	29721	29721	FALSE	Lorrain1940		4101
9695	101_ifirstpersonsingular	I [first person singular]	Beijing	Sinitic_Beijing	wɔ²¹⁴	w.ɔ.²¹⁴	w ɔ ²¹⁴	beij1235	1209	39.909056	116.397422	327	327	FALSE	Lai2017FN		4082
9696	101_ifirstpersonsingular	I [first person singular]	Guangzhou	Sinitic_Guangzhou	ŋɔ²³	ŋ.ɔ.²³	ŋ ɔ ²³	guan1279	1209	23.131111	113.258099	327	327	TRUE	Lai2017FN		
9697	101_ifirstpersonsingular	I [first person singular]	Chaozhou	Sinitic_Chaozhou	ua⁵³	u.a.⁵³	u a ⁵³	chao1238	1209	23.657699	116.622317	327	327	FALSE	Lai2017FN		4086
9698	101_ifirstpersonsingular	I [first person singular]	Longgang	Sinitic_Longgang	ŋai²¹	ŋ.a.i.²¹	ŋ a i ²¹	hakk1236	1209	22.725545	114.243825	327	327	FALSE	Lai2017FN		
9699	101_ifirstpersonsingular	I [first person singular]	Jieyang	Sinitic_Jieyang	ua³¹	u.a.³¹	u a ³¹	chao1239	1209	23.551122	116.373013	327	327	FALSE	Lai2017FN		
9700	101_ifirstpersonsingular	I [first person singular]	Xingning	Sinitic_Xingning	ŋai²⁴	ŋ.a.i.²⁴	ŋ a i ²⁴	hakk1236	1209	24.13674	115.732382	327	327	FALSE	Lai2017FN		4117
11063	101_ifirstpersonsingular	I [first person singular]	Ukhrul	Naga_Ukhrul	ʔi	ʔ.i	ʔ i	ukhr1238	1209	25.092617	94.37045	2029	2029	FALSE	Mortensen2012		4115
11268	101_ifirstpersonsingular	I [first person singular]	Hayu	Kiranti_Hayu	aŋ	a.ŋ	a ŋ	wayu1241	1209	27.302102	86.099009	10388	10388	FALSE	Michailovsky1989a		4093
11269	101_ifirstpersonsingular	I [first person singular]	Hayu	Kiranti_Hayu	gu	g.u	g u	wayu1241	1209	27.302102	86.099009	799	799	FALSE	Michailovsky1989a		4094
11510	101_ifirstpersonsingular	I [first person singular]	Tangut	Tangut	mjo	m.j.o	m j o	tang1334	1209	38.477453	106.285383	105	105	FALSE	Li1997		4110
11751	101_ifirstpersonsingular	I [first person singular]	Mikir	Karbi	ne	n.e	n e	karb1241	1209	25.735084	93.050494	10389	10389	FALSE	Walker1925 KonnerthFC GruessnerNoDate		4102
11989	101_ifirstpersonsingular	I [first person singular]	Rabha	Rabha	aŋ	a.ŋ	a ŋ	rabh1238	1209	25.820135	91.170064	10388	10388	FALSE	Joseph2007		4107
1	1_above	above	OldTibetan	Tibetan_Old_Tibetan	steŋ	s.t.e.ŋ	s t e ŋ	clas1254	1741	30.027852	91.158704	20	20	FALSE	Huang1992		34
2	1_above	above	Japhug	rGyalrong_Japhug	ɯ-taʁ	ɯ.◦.t.a.ʁ	ɯ + t a ʁ	japh1234	1741	32.207076	101.957636	49	49	FALSE	Jacques2015b		25
957	1_above	above	MotuoMenba	Bodic_Tshangla	ga ten	g.a._.t.e.n	g a + t e n	tsha1245	1741	29.325414	95.340883	431	431	FALSE	Huang1992	this means 'upwards'	31
1444	1_above	above	Lhasa	Tibetan_Lhasa	jɛ̃¹³tɕhɛ⁵²	j.ɛ̃.∼.¹³.◦.tɕʰ.ɛ.⁵²	j ɛ̃ ¹³ + tɕʰ ɛ ⁵²	utsa1239	1741	29.653441	91.171493	198	198	FALSE	Huang1992		40
1445	1_above	above	Lhasa	Tibetan_Lhasa	khoŋ¹³la	kʰ.o.ŋ.¹³.◦.l.a	kʰ o./o ŋ ¹³ + l a	utsa1239	1741	29.653441	91.171493	1035	1035	FALSE	Huang1992		41
1786	1_above	above	Daofu	rGyalrong_Daofu	rə nkhvɛ	r.ə.+.n.kʰ.v.ɛ	r ə + n kʰ v ɛ	horp1240	1741	30.975281	101.123742	1310	1310	FALSE	Huang1992		
2008	1_above	above	Dulong	Nungic_Dulong	lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	l.ɯ.³¹.+.k.ɑ.⁵⁵.+.p.ɑ.ŋ.⁵⁵	l ɯ ³¹ + k ɑ ⁵⁵ + p ɑ ŋ ⁵⁵	drun1238	1741	27.749017	98.691868	1265	1265	FALSE	Huang1992		20
2108	1_above	above	Batang	Tibetan_Batang	ja¹³tɕøʔ⁵³	j.a.¹³.◦.tɕ.ø.ʔ.⁵³	j a ¹³ + tɕ ø ʔ ⁵³	kham1282	1741	30.00795	99.111944	198	198	FALSE	Huang1992		39
2279	1_above	above	Jingpho	Jingpho_Jingpho	n³¹tsa̱³³	n.³¹.◦.ts.a̱.³³	n ³¹ + ts a̠ ³³	jing1260	1741	25.461826	97.329866	1765	1765	FALSE	Huang1992		26
2633	1_above	above	Zhaba	Qiangic_Zhaba	ʌ¹³tʂhɿ³³	ʌ.¹³.◦.tʂh.ɿ.³³	ʌ ¹³ + ʈʂʰ ɿ ³³	zhab1238	1741	30.538892	101.058397	2262	2262	FALSE	Huang1992		46
2711	1_above	above	MaerkangrGyalrong	rGyalrong_Maerkang	wu prɐi	w.u._.p.r.ɐ.i	w u + p r ɐ i	situ1238	1741	31.868614	102.295293	2290	2290	FALSE	Huang1992		
3013	1_above	above	Xiahe	Tibetan_Xiahe	jan tɕhar	j.a.n._.tɕh.a.r	j a n + tɕʰ a r	amdo1237	1741	35.210549	102.524979	198	198	FALSE	Huang1992		
3373	1_above	above	Lisu	Loloish_Lisu	gɑ̱³¹si̱³³	g.ɑ̱.³¹.◦.s.i̱.³³	g ɑ̠ ³¹ + s i̠ ³³	lisu1250	1741	25.950046	98.848486	2668	2668	FALSE	Huang1992		29
3551	1_above	above	Bokar	Tani_Bokar	jan dap	j.a.n.+.d.a.p	j a n + d a p	boka1249	1741	27.554547	93.15717	198	198	TRUE	Huang1992		15
4269	1_above	above	Khaling	Kiranti_Khaling	tuŋ	t.u.ŋ	t u ŋ	khal1275	1741	27.390595	87.510016	3493	3493	FALSE	Jacques2017FN		
4270	1_above	above	Limbu	Kiranti_Limbu	ɛtthaŋ	ɛ.t.th.a.ŋ	ɛ t tʰ a ŋ	limb1266	1741	27.272065	87.889909	20	20	FALSE	Jacques2017FN		28
4576	1_above	above	OldChinese	Sinitic_Old_Chinese	*daŋʔ-s	d.a.ŋ.ʔ.+.s	d a ŋ ʔ + s	oldc1244	1741	34.101745	108.777868	20	20	FALSE	Baxter2014		33
