ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	LOAN	RID	SOURCE
1	101_ifirstpersonsingular	I [first person singular]	BuluPuroik	BP	guu	guu	g uː	bulu1255	1209	27.452241	92.44563	799	FALSE	4069	Lieberherr2017
2	101_ifirstpersonsingular	I [first person singular]	DikhyangBugun	Bugun S-D	ko	ko	k o	dikh1234	1209	27.320666	92.455119	799	FALSE	4070	LandB2017
3	101_ifirstpersonsingular	I [first person singular]	Khispi	Khs.	ga	ga	g a	lish1235	1209	27.378042	92.223221	799	FALSE	4071	LandB2017
4	101_ifirstpersonsingular	I [first person singular]	Duhumbi	Duh.	ga	ga	g a	chug1252	1209	27.416112	92.212034	799	FALSE	4072	LandB2017
5	101_ifirstpersonsingular	I [first person singular]	Khoina	Khn.	gu	gu	g u	khoi1253	1209	27.334981	92.52994	799	FALSE	4073	LandB2017
6	101_ifirstpersonsingular	I [first person singular]	Jerigaon	Jer.	gu	gu	g u	jeri1243	1209	27.340629	92.486595	799	FALSE	4074	LandB2017
7	101_ifirstpersonsingular	I [first person singular]	Khoitam	Kht.	gu	gu	g u	khoi1252	1209	27.327487	92.439455	799	FALSE	4075	LandB2017
8	101_ifirstpersonsingular	I [first person singular]	Rahung	Rah.	gu	gu	g u	rahu1234	1209	27.310778	92.395028	799	FALSE	4076	LandB2017
9	101_ifirstpersonsingular	I [first person singular]	Rupa	Rup.	gu	gu	g u	rupa1234	1209	27.203065	92.398757	799	FALSE	4077	LandB2017
10	101_ifirstpersonsingular	I [first person singular]	Shergaon	She.	gu	gu	g u	sher1261	1209	27.105018	92.272133	799	FALSE	4078	LandB2017
11	101_ifirstpersonsingular	I [first person singular]	BhutanTshangla	Tshangla	ʥaŋ	ʥaŋ	dʑ a ŋ	tsha1245	1209	27.337241	91.551654	10390	FALSE	4079	LandB2017
2077	1_above	above	BuluPuroik	BP	a.ʧa	a.ʧa	a + tʃ a	bulu1255	1741	27.452241	92.44563	1765	FALSE	1	Lieberherr2017
2078	1_above	above	DikhyangBugun	Bugun S-D	sa.ba.kʰuŋ	sa.ba.kʰuŋ	s a + b a + kʰ u ŋ	dikh1234	1741	27.320666	92.455119	785	FALSE	2	LandB2017
2079	1_above	above	Khispi	Khs.	tɕʰaŋ	tɕʰaŋ	tɕʰ a ŋ	lish1235	1741	27.378042	92.223221	744	FALSE	3	LandB2017
2080	1_above	above	Duhumbi	Duh.	tɕʰaŋ	tɕʰaŋ	tɕʰ a ŋ	chug1252	1741	27.416112	92.212034	744	FALSE	4	LandB2017
2081	1_above	above	Khoina	Khn.	a.tsʰɔ̃	a.tsʰɔ̃	a + tsʰ ɔ̃	khoi1253	1741	27.334981	92.52994	744	FALSE	5	LandB2017
2082	1_above	above	Jerigaon	Jer.	a.tɕʰɔ̃	a.tɕʰɔ̃	a + tɕʰ ɔ̃	jeri1243	1741	27.340629	92.486595	744	FALSE	6	LandB2017
2083	1_above	above	Khoitam	Kht.	a.tɕʰũ	a.tɕʰũ	a + tɕʰ ũ	khoi1252	1741	27.327487	92.439455	744	FALSE	7	LandB2017
2084	1_above	above	Rahung	Rah.	a.tɕʰũ	a.tɕʰũ	a + tɕʰ ũ	rahu1234	1741	27.310778	92.395028	744	FALSE	8	LandB2017
2085	1_above	above	Rupa	Rup.	a.tsʰũ	a.tsʰũ	a + tsʰ ũ	rupa1234	1741	27.203065	92.398757	744	FALSE	9	LandB2017
2086	1_above	above	Shergaon	She.	a.tɕʰɔ̃	a.tɕʰɔ̃	a + tɕʰ ɔ̃	sher1261	1741	27.105018	92.272133	744	FALSE	10	LandB2017
2087	1_above	above	BhutanTshangla	Tshangla	tʰuŋ	tʰuŋ	tʰ u ŋ	tsha1245	1741	27.337241	91.551654	783	FALSE	11	LandB2017
1689	2_all	all	BuluPuroik	BP	a.hjoN	a.hjom	a + h j o m	bulu1255	98	27.452241	92.44563	796	FALSE	47	Lieberherr2017
1690	2_all	all	DikhyangBugun	Bugun S-D	zap.pʰa	zap.pʰa	z a p + pʰ a	dikh1234	98	27.320666	92.455119	795	FALSE	48	LandB2017
1691	2_all	all	Khispi	Khs.	gaŋ.pu	gaŋ.pu	g a ŋ + p u	lish1235	98	27.378042	92.223221	5665	TRUE	49	LandB2017
1692	2_all	all	Duhumbi	Duh.	gaŋ.pu	gaŋ.pu	g a ŋ + p u	chug1252	98	27.416112	92.212034	5665	TRUE	50	LandB2017
1693	2_all	all	Khoina	Khn.	a.tʰøn.dʑi	a.tʰøn.dʑi	a + tʰ ø n + dʑ i	khoi1253	98	27.334981	92.52994	793	FALSE	51	LandB2017
1694	2_all	all	Jerigaon	Jer.	a.pʰɛn	a.pʰɛn	a + pʰ ɛ n	jeri1243	98	27.340629	92.486595	797	FALSE	52	LandB2017
1695	2_all	all	Khoitam	Kht.	a.tʰɔm	a.tʰɔm	a + tʰ ɔ m	khoi1252	98	27.327487	92.439455	793	FALSE	53	LandB2017
1696	2_all	all	Rahung	Rah.	a.tʰøm	a.tʰøm	a + tʰ ø m	rahu1234	98	27.310778	92.395028	793	FALSE	54	LandB2017
1697	2_all	all	Rupa	Rup.	a.tʰɔm	a.tʰɔm	a + tʰ ɔ m	rupa1234	98	27.203065	92.398757	793	FALSE	55	LandB2017
1698	2_all	all	Shergaon	She.	a.tʰɔm	a.tʰɔm	a + tʰ ɔ m	sher1261	98	27.105018	92.272133	793	FALSE	56	LandB2017
1699	2_all	all	BhutanTshangla	Tshangla	tʰam+ʨe	tʰam+ʨe	tʰ a m + tɕ e	tsha1245	98	27.337241	91.551654	3682	TRUE	57	LandB2017
1183	5_bad	bad	BuluPuroik	BP	a.lao	a.lao	a + l ao	bulu1255	1292	27.452241	92.44563	798	FALSE	144	Lieberherr2017
