RID	CONCEPT	GLOSS_IN_SAGART	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	LANGUAGE	FORM	IPA	SEGMENT	SOURCE	PAGE	CONCEPT_IN_SOURCE	NOTE	LOAN
1	ant n.	the ant	ANT	3_theant	587	Eastern Puroik	geinggio	gəiŋgio	gəiŋ+gio	RS09	2	ant n.		
2	bamboo n.	the bamboo	BAMBOO	6_thebamboo	1927	Eastern Puroik	meca, mede	mədə	mə+də	RS09	4	bamboo n.		
3	belly n.	the belly	BELLY	9_thebelly	1251	Eastern Puroik	aarik lhoe’bok	aːrik ɬoebok	aː+rik+ɬoe+bok	RS09	5	belly n.		
4	big adj.	big	BIG	11_big	1202	Eastern Puroik	buari’	buarɯ	bua+rɯ	RS09	6	big adj.		
5	bird n.	the bird	BIRD	12_thebird	937	Eastern Puroik	padau	padau	pa+dau	RS09	6	bird n.		
6	bite v.	to bite	BITE	13_tobite	1403	Eastern Puroik	nyiong na tuana	tua	tua	RS09	6	bite v.		
7	black adj.	black	BLACK	14_black	163	Eastern Puroik	ahiye’	ahije	a+hi+je	RS09	6	black adj.		
8	blood n.	the blood	BLOOD	15_theblood	946	Eastern Puroik	hue’	hue	hue	RS09	6	blood n.		
9	bone n.	the bone	BONE	18_thebone	1394	Eastern Puroik	azaik	azaik	a+zaik	RS09	6	bone n.		
10	branch n.	the branch	BRANCH	19_thebranch	1531	Eastern Puroik	akiye’	akije	a+ki+je	RS09	6	branch n.		
11	breast n.	the breast (female)	BREAST	20_thebreastfemale	1402	Eastern Puroik	nyie’	ɲie	ɲie	RS09	7	breast n.		
12	burn (to light) v.	to burn [intransitive]	BURNING	21_toburnintransitive	1428	Eastern Puroik	zeena	zəː	zəː	RS09	7	burn (to light) v.		
13	buy v.	to buy	BUY	22_tobuy	1869	Eastern Puroik	viye’na	vije	vi+je	RS09	7	buy v.		
14	chew v.	to chew	CHEW	23_tochew	321	Eastern Puroik	woe’china	woetʃʰi	woe+tʃʰi	RS09	9	chew v.		
15	cloud n.	the cloud	CLOUD	25_thecloud	1489	Eastern Puroik	khetei’	kʰətəɯ	kʰə+təɯ	RS09	9	cloud n.		
16	cold (water) adj.	cold (of temperature)	COLD	26_coldoftemperature	1287	Eastern Puroik	aak kua	aːk	aːk	RS09	10	cold (water) adj.		
17	come near v.	to come	COME	27_tocome	1446	Eastern Puroik	anui uguna	ugu	u+gu	RS09	10	come near v.	azo = imp	
18	count v.	to count	COUNT	29_tocount	1420	Eastern Puroik	gie’kum	giekum	gie+kum	RS09	11	count v.		
19	cry v.	to cry (weep)	CRY	30_tocryweep	1839	Eastern Puroik	chiapna, ciakna	tʃʰiap	tʃʰiap	RS09	11	cry v.		
20	dew n.	the dew	DEW	33_thedew	1977	Eastern Puroik	giamsi, kazue’	giamsi	giam+si	RS09	13	dew n.		
21	die v.	to die	DIE	34_todie	1494	Eastern Puroik	iina	iː	iː	RS09	13	die v.		
22	dig v.	to dig	DIG	35_todig	1418	Eastern Puroik	chiona	tʃʰio	tʃʰio	RS09	13	dig v.		
23	dirty v.	dirty	DIRTY	36_dirty	1230	Eastern Puroik	baseraang	basəraːŋ	ba+sə+raːŋ	RS09	13	dirty v.		
24	dog n.	the dog	DOG	37_thedog	2009	Eastern Puroik	kayo	kajo	ka+jo	RS09	14	dog n.		
25	dream n.	the dream	DREAM	38_thedream	2374	Eastern Puroik	mepaaq	məpaːq	mə+paːq	RS09	14	dream n.		
26	drink n.	to drink	DRINK	39_todrink	1401	Eastern Puroik	ringna	riŋ	riŋ	RS09	14	drink n.		
27	dry adj.	dry	DRY	40_dry	1398	Eastern Puroik	awaig	awaig	a+waig	RS09	12	dry adj.		
28	dust n.	the dust	DUST	41_thedust	2	Eastern Puroik	penaik	pənaik	pə+naik	RS09	14	dust n.		
29	ear n. 	the ear	EAR	42_theear	1247	Eastern Puroik	khoi, khuig	kʰuik	kʰuik	RS09	14	ear n. 	khuig rang earpain	
30	soil n.	the earth (soil)	EARTH (SOIL)	44_theearthsoil	1228	Eastern Puroik	mezaik	məzaik	mə+zaik	RS09	40	soil n.		
31	eat v.	to eat	EAT	46_toeat	1336	Eastern Puroik	chiina	tʃʰiː	tʃʰiː	RS09	15	eat v.		
32	egg n.	the egg	EGG	47_theegg	744	Eastern Puroik	meri	məri	mə+ri	RS09	15	egg n.		
33	eight cardinal no.	eight	EIGHT	48_eight	1705	Eastern Puroik	la	la	la	RS09	15	eight cardinal no.		
34	eyelid n.	the eye	EYE	49_theeye	1248	Eastern Puroik	kek miang	kək	kək	RS09	16	eyelid n.		
35	far adv.	far	FAR	50_far	1406	Eastern Puroik	chye’ri’	tʃʰjerɯ	tʃʰje+rɯ	RS09	16	far adv.	adj.?	
36	fight v.	to fight	FIGHT	53_tofight	1423	Eastern Puroik	fuingna	fuiŋ	fuiŋ	RS09	17	fight v.		
37	fire n.	the fire	FIRE	54_thefire	221	Eastern Puroik	bae’	bae	bae	RS09	17	fire n.		
38	fisherma n., fish basket n. 	the fish	FISH	56_thefish	227	Eastern Puroik	kahuang	kahuaŋ	ka+huaŋ	RS09	17	fisherma n., fish basket n. 		
39	five cardinal no.	five	FIVE	57_five	493	Eastern Puroik	uu	uː	uː	RS09	17	five cardinal no.		
40	flower n.	the flower	FLOWER	61_theflower	239	Eastern Puroik	mebuaik	məbuaik	mə+buaik	RS09	17	flower n.		
41	fly v.	to fly (move through air)	FLY (MOVE THROUGH AIR)	62_toflymovethroughair	1441	Eastern Puroik	piye’kna	pijek	pi+jek	RS09	17	fly v.		
