RID	GLOSS	DOCULECT	Language_Name	CONCEPTICON_GLOSS	CONCEPTICON_ID	VALUE	FORM	SOURCE	NOTES
NamreiBisai_44	branch	NamreiBisai	Namrei (Bisai)	BRANCH	1531	gonotʃaŋ	go+no+tʃaŋ	Abraham2018	
NamreiBisai_60	breast; milk	NamreiBisai	Namrei (Bisai)	BREAST	1402	mənaŋ	mə+naŋ	Abraham2018	*mə-nuŋ  milk = breast
NamreiBisai_214	to burn	NamreiBisai	Namrei (Bisai)	BURNING	1428	Ø	Ø	Abraham2018	
NamreiBisai_215	to buy	NamreiBisai	Namrei (Bisai)	BUY	1869	pan	pan	Abraham2018	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	CHEW	321	Ø	Ø	Ø	
NamreiBisai_nan	child	NamreiBisai	Namrei (Bisai)	CHILD (YOUNG HUMAN)	1304	Ø	Ø	Ø	
NamreiBisai_115	fingernail	NamreiBisai	Namrei (Bisai)	CLAW OR NAIL	2128	giten	gi+ten	Abraham2018	
NamreiBisai_5	cloud	NamreiBisai	Namrei (Bisai)	CLOUD	1489	maimaŋ	mai+maŋ	Abraham2018	*maj-məwŋ
NamreiBisai_273	cold	NamreiBisai	Namrei (Bisai)	COLD	1287	məlai	mə+lai	Abraham2018	
NamreiBisai_173	to come	NamreiBisai	Namrei (Bisai)	COME	1446	kha	kʰa	Abraham2018	
NamreiBisai_nan	correct	NamreiBisai	Namrei (Bisai)	CORRECT (RIGHT)	1725	Ø	Ø	Ø	
NamreiBisai_nan	count	NamreiBisai	Namrei (Bisai)	COUNT	1420	Ø	Ø	Ø	
NamreiBisai_185	to cry	NamreiBisai	Namrei (Bisai)	CRY	1839	krəmna	krəm+na	Abraham2018	*kraC
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	DARK	706	Ø	Ø	Ø	
NamreiBisai_135	daughter	NamreiBisai	Namrei (Bisai)	DAUGHTER	1357	zəmrai	zəm+rai	Abraham2018	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	DEW	1977	Ø	Ø	Ø	
NamreiBisai_222	to die	NamreiBisai	Namrei (Bisai)	DIE	1494	teina	tei+na	Abraham2018	*θəj
NamreiBisai_nan	dig	NamreiBisai	Namrei (Bisai)	DIG	1418	Ø	Ø	Ø	*taC
NamreiBisai_nan	dirty	NamreiBisai	Namrei (Bisai)	DIRTY	1230	Ø	Ø	Ø	*ni-tɕi
NamreiBisai_78	dog	NamreiBisai	Namrei (Bisai)	DOG	2009	zazai	za+zai	Abraham2018	
NamreiBisai_198	to dream	NamreiBisai	Namrei (Bisai)	DREAM	2374	taimat	tai+mat	Abraham2018	*tai-mə
NamreiBisai_189	to drink	NamreiBisai	Namrei (Bisai)	DRINK	1401	thoŋ	tʰoŋ	Abraham2018	*tuŋ
NamreiBisai_270	dry	NamreiBisai	Namrei (Bisai)	DRY	1398	mekhijan	me+kʰi+jan	Abraham2018	*mə-ki-laŋ
NamreiBisai_17	dust	NamreiBisai	Namrei (Bisai)	DUST	2	nanəmoʔ	na+nə+moʔ	Abraham2018	
NamreiBisai_105	ear	NamreiBisai	Namrei (Bisai)	EAR	1247	dʒo	dʒo	Abraham2018	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	EARLY	672	Ø	Ø	Ø	
NamreiBisai_15	soil/ground	NamreiBisai	Namrei (Bisai)	EARTH (SOIL)	1228	naʔ	naʔ	Abraham2018	*naʔ
NamreiBisai_nan	earthworm	NamreiBisai	Namrei (Bisai)	EARTHWORM	2350	Ø	Ø	Ø	
NamreiBisai_188	to eat	NamreiBisai	Namrei (Bisai)	EAT	1336	tʃu	tʃu	Abraham2018	*tɕa
NamreiBisai_88	egg	NamreiBisai	Namrei (Bisai)	EGG	744	doriet	do+riet	Abraham2018	*do-riŋ
NamreiBisai_232	eight	NamreiBisai	Namrei (Bisai)	EIGHT	1705	ɕəgə	ɕə+gə	Abraham2018	*sə-giC
NamreiBisai_103	eye	NamreiBisai	Namrei (Bisai)	EYE	1248	mẽ	mẽ	Abraham2018	*mə-jaʔ
NamreiBisai_281	far	NamreiBisai	Namrei (Bisai)	FAR	1406	mərən	mə+rən	Abraham2018	*mə-rəŋ
NamreiBisai_130	father	NamreiBisai	Namrei (Bisai)	FATHER	1217	aba	a+ba	Abraham2018	
NamreiBisai_nan	body hair or feather	NamreiBisai	Namrei (Bisai)	FEATHER	1201	Ø	Ø	Ø	*mə-muC
NamreiBisai_nan	fight	NamreiBisai	Namrei (Bisai)	FIGHT	1423	Ø	Ø	Ø	*rəj
NamreiBisai_165	fire	NamreiBisai	Namrei (Bisai)	FIRE	221	mai	mai	Abraham2018	*maj
NamreiBisai_nan	wood	NamreiBisai	Namrei (Bisai)	FIREWOOD	10	Ø	Ø	Ø	*(g)o; firewood = wood
NamreiBisai_89	fish	NamreiBisai	Namrei (Bisai)	FISH	227	tʃoi	tʃoi	Abraham2018	*trV
NamreiBisai_229	five	NamreiBisai	Namrei (Bisai)	FIVE	493	puŋu	puŋu	Abraham2018	*bə-ŋu
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	FLEA	232	Ø	Ø	Ø	
NamreiBisai_nan	float	NamreiBisai	Namrei (Bisai)	FLOAT	1574	Ø	Ø	Ø	
NamreiBisai_nan	flow	NamreiBisai	Namrei (Bisai)	FLOW	2003	Ø	Ø	Ø	
NamreiBisai_54	flower	NamreiBisai	Namrei (Bisai)	FLOWER	239	gəbo	gə+bo	Abraham2018	*mə-boC
NamreiBisai_178	to fly	NamreiBisai	Namrei (Bisai)	FLY (MOVE THROUGH AIR)	1441	kənoina	kə+noi+na	Abraham2018	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	FOG	249	Ø	Ø	Ø	
NamreiBisai_117	leg; foot	NamreiBisai	Namrei (Bisai)	FOOT	1301	lei	lei	Abraham2018	*laj
NamreiBisai_nan	forest	NamreiBisai	Namrei (Bisai)	FOREST	420	Ø	Ø	Ø	
NamreiBisai_196	to forget	NamreiBisai	Namrei (Bisai)	FORGET	1523	ɬaŋ	ɬaŋ	Abraham2018	
NamreiBisai_228	four	NamreiBisai	Namrei (Bisai)	FOUR	1500	pəlei	pə+lei	Abraham2018	*bə-ləj
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	FOX	1312	Ø	Ø	Ø	
NamreiBisai_77	frog	NamreiBisai	Namrei (Bisai)	FROG	503	dʒou	dʒou	Abraham2018	*dʑuC
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	FRONT (PART)	2194	Ø	Ø	Ø	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	FROST	2034	Ø	Ø	Ø	
NamreiBisai_49	fruit	NamreiBisai	Namrei (Bisai)	FRUIT	1507	gutan	gu+tan	Abraham2018	*θai
NamreiBisai_256	full	NamreiBisai	Namrei (Bisai)	FULL	1429	len	len	Abraham2018	*liŋ
NamreiBisai_220	to give	NamreiBisai	Namrei (Bisai)	GIVE	1447	bai	bai	Abraham2018	*bəj
NamreiBisai_84	goat	NamreiBisai	Namrei (Bisai)	GOAT	1502	ɕuprem	ɕu+prem	Abraham2018	*se-preN
NamreiBisai_274	good	NamreiBisai	Namrei (Bisai)	GOOD	1035	məvi	mə+vi	Abraham2018	
NamreiBisai_nan	grass	NamreiBisai	Namrei (Bisai)	GRASS	606	Ø	Ø	Ø	
NamreiBisai_288	green	NamreiBisai	Namrei (Bisai)	GREEN	1425	məlo	mə+lo	Abraham2018	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	HAIL	609	Ø	Ø	Ø	
NamreiBisai_102	hair	NamreiBisai	Namrei (Bisai)	HAIR	1040	gopal	go+pal	Abraham2018	*go-pu
NamreiBisai_nan	body hair or feather	NamreiBisai	Namrei (Bisai)	HAIR (BODY)	189	Ø	Ø	Ø	*mə-muC
NamreiBisai_112	hand or arm	NamreiBisai	Namrei (Bisai)	HAND	1277	gi	gi	Abraham2018	*mə-guC
NamreiBisai_nan	hard	NamreiBisai	Namrei (Bisai)	HARD	1884	Ø	Ø	Ø	*mə-gaŋ-lo
NamreiBisai_302	3rd sg. (generic/male)	NamreiBisai	Namrei (Bisai)	HE OR SHE OR IT	262	ai	ai	Abraham2018	*ʔi
NamreiBisai_99	head	NamreiBisai	Namrei (Bisai)	HEAD	1256	mogou	mo+gou	Abraham2018	*mə-go-kuŋ
NamreiBisai_183	listen or hear	NamreiBisai	Namrei (Bisai)	HEAR	1408	roina	roi+na	Abraham2018	*rej
NamreiBisai_124	heart (organ)	NamreiBisai	Namrei (Bisai)	HEART	1223	luŋvəuk	luŋ+vəuk	Abraham2018	*mə-luŋ-wəwC
NamreiBisai_248	heavy	NamreiBisai	Namrei (Bisai)	HEAVY	1210	məlei	mə+lei	Abraham2018	*mə-ləj
NamreiBisai_nan	here	NamreiBisai	Namrei (Bisai)	HERE	136	Ø	Ø	Ø	
NamreiBisai_nan	hide	NamreiBisai	Namrei (Bisai)	HIDE (CONCEAL)	602	Ø	Ø	Ø	
NamreiBisai_nan	high	NamreiBisai	Namrei (Bisai)	HIGH	1265	Ø	Ø	Ø	
NamreiBisai_nan	hold	NamreiBisai	Namrei (Bisai)	HOLD	1448	Ø	Ø	Ø	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	HOOF	152	Ø	Ø	Ø	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	HORIZONTAL	2376	Ø	Ø	Ø	
NamreiBisai_82	horn (of buffalo)	NamreiBisai	Namrei (Bisai)	HORN (ANATOMY)	1393	məsəzuŋ	mə+sə+zuŋ	Abraham2018	*mə-su
NamreiBisai_nan	horse	NamreiBisai	Namrei (Bisai)	HORSE	615	Ø	Ø	Ø	IA LOAN
NamreiBisai_272	hot	NamreiBisai	Namrei (Bisai)	HOT	1286	mədʒu	mə+dʒu	Abraham2018	*tɕaC
NamreiBisai_238	hundred	NamreiBisai	Namrei (Bisai)	HUNDRED	1634	pəloŋ	pə+loŋ	Abraham2018	*bə-luŋ
NamreiBisai_nan	hunt	NamreiBisai	Namrei (Bisai)	HUNT	1435	Ø	Ø	Ø	
NamreiBisai_132	husband	NamreiBisai	Namrei (Bisai)	HUSBAND	1200	nəgai	nə+gai	Abraham2018	
NamreiBisai_299	1st sg. (I)	NamreiBisai	Namrei (Bisai)	I	1209	ɲijan	ɲi+jan	Abraham2018	*na(+jaŋ)
NamreiBisai_nan	ice	NamreiBisai	Namrei (Bisai)	ICE	617	Ø	Ø	Ø	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	INSIDE	1606	Ø	Ø	Ø	
NamreiBisai_221	to kill	NamreiBisai	Namrei (Bisai)	KILL	1417	gaina	gai+na	Abraham2018	*gajC
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	KNEAD	274	Ø	Ø	Ø	
NamreiBisai_116	knee	NamreiBisai	Namrei (Bisai)	KNEE	1371	lekəpiu	le+kə+piu	Abraham2018	
NamreiBisai_159	knife (to cut meat)	NamreiBisai	Namrei (Bisai)	KNIFE	1352	vaitʃoŋʒi	vai+tʃoŋ+ʒi	Abraham2018	*vaj-tsuŋ
NamreiBisai_195	to know	NamreiBisai	Namrei (Bisai)	KNOW (SOMETHING)	1410	nĭ	ni	Abraham2018	*ni
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	LAKE	624	Ø	Ø	Ø	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	LATE	477	Ø	Ø	Ø	
NamreiBisai_192	to laugh	NamreiBisai	Namrei (Bisai)	LAUGH	1355	tona	to+na	Abraham2018	*toC
NamreiBisai_45	leaf	NamreiBisai	Namrei (Bisai)	LEAF	628	golap	go+lap	Abraham2018	*mə-rajC
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	LEARN	504	Ø	Ø	Ø	
NamreiBisai_284	left	NamreiBisai	Namrei (Bisai)	LEFT	244	sivijo	si+vjo	Abraham2018	
NamreiBisai_nan	lick	NamreiBisai	Namrei (Bisai)	LICK	319	Ø	Ø	Ø	
NamreiBisai_176	to rest	NamreiBisai	Namrei (Bisai)	LIE DOWN	215	reivija	rei+vi+ja	Abraham2018	
NamreiBisai_249	light (not heavy)	NamreiBisai	Namrei (Bisai)	LIGHT (WEIGHT)	1052	mənətaŋ	mə+nə+taŋ	Abraham2018	*mə-lə-taŋ
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	LIP	478	Ø	Ø	Ø	
NamreiBisai_nan	liver/lungs	NamreiBisai	Namrei (Bisai)	LIVER	1224	Ø	Ø	Ø	*mə-θin LIVER
NamreiBisai_246	long	NamreiBisai	Namrei (Bisai)	LONG	1203	məpijaŋ	mə+pjaŋ	Abraham2018	*mə-pjaŋ
NamreiBisai_nan	louse	NamreiBisai	Namrei (Bisai)	LOUSE	1392	Ø	Ø	Ø	*saC
NamreiBisai_nan	liver/lungs	NamreiBisai	Namrei (Bisai)	LUNG	688	Ø	Ø	Ø	*mə-θin LIVER
NamreiBisai_128	man	NamreiBisai	Namrei (Bisai)	MALE PERSON	2106	ɲəjə	ɲə+jə	Abraham2018	*niC
NamreiBisai_242	many	NamreiBisai	Namrei (Bisai)	MANY	1198	mənau	mə+nau	Abraham2018	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	MARRY (AS MAN)	2164	Ø	Ø	Ø	
NamreiBisai_62	meat	NamreiBisai	Namrei (Bisai)	MEAT	634	sĭkijuŋ	si+ki+juŋ	Abraham2018	*su
NamreiBisai_30	noon	NamreiBisai	Namrei (Bisai)	MIDDAY	12	məgəlobom	mə+gə+lo+bom	Abraham2018	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	MIDDLE	1093	Ø	Ø	Ø	
NamreiBisai_3	moon	NamreiBisai	Namrei (Bisai)	MOON	1313	lə	lə	Abraham2018	*lu
NamreiBisai_29	morning	NamreiBisai	Namrei (Bisai)	MORNING	1339	nəgoja	nə+go+ja	Abraham2018	
NamreiBisai_98	mosquito	NamreiBisai	Namrei (Bisai)	MOSQUITO	1509	sirijoŋdaŋmai	si+rjoŋ+daŋ+mai	Abraham2018	
NamreiBisai_131	mother	NamreiBisai	Namrei (Bisai)	MOTHER	1216	aɲe	a+ɲe	Abraham2018	*me-naj (*a-naj)
NamreiBisai_12	mountain	NamreiBisai	Namrei (Bisai)	MOUNTAIN	639	poŋ	poŋ	Abraham2018	
NamreiBisai_108	mouth or language	NamreiBisai	Namrei (Bisai)	MOUTH	674	ɲek	ɲek	Abraham2018	*mə-nuŋ
NamreiBisai_16	mud	NamreiBisai	Namrei (Bisai)	MUD	640	nakhədʒo	na+kʰə+dʒo	Abraham2018	
NamreiBisai_86	rat	NamreiBisai	Namrei (Bisai)	MUROID (MOUSE OR RAT)	2139	dʒək	dʒək	Abraham2018	
NamreiBisai_141	name	NamreiBisai	Namrei (Bisai)	NAME	1405	mə̃rn	mə̃rn	Abraham2018	*mə-mjiŋ
NamreiBisai_253	narrow	NamreiBisai	Namrei (Bisai)	NARROW	1267	mərək	mə+rək	Abraham2018	
NamreiBisai_282	near	NamreiBisai	Namrei (Bisai)	NEAR	1942	məroi	mə+roi	Abraham2018	*mə-nej
NamreiBisai_101	neck	NamreiBisai	Namrei (Bisai)	NECK	1333	domə	do+mə	Abraham2018	
NamreiBisai_155	needle	NamreiBisai	Namrei (Bisai)	NEEDLE (FOR SEWING)	1382	tigamsərei	ti+gam+sə+rei	Abraham2018	
NamreiBisai_276	new	NamreiBisai	Namrei (Bisai)	NEW	1231	məkərə	mə+kə+rə	Abraham2018	*mə-gə-nu
NamreiBisai_143	nine	NamreiBisai	Namrei (Bisai)	NINE	1483	ɕətan	ɕə+tan	Abraham2018	*sə-tiŋ
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	NIT	267	Ø	Ø	Ø	
NamreiBisai_104	nose	NamreiBisai	Namrei (Bisai)	NOSE	1221	nebijoŋ	ne+bjoŋ	Abraham2018	
NamreiBisai_277	old	NamreiBisai	Namrei (Bisai)	OLD (AGED)	2112	məʃoʔ	mə+ʃoʔ	Abraham2018	*mə-ɕoʔ
NamreiBisai_225	one	NamreiBisai	Namrei (Bisai)	ONE	1493	akhijo	a+kʰi+jo	Abraham2018	*a-ken
NamreiBisai_nan	otter	NamreiBisai	Namrei (Bisai)	OTTER	15	Ø	Ø	Ø	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	OUTSIDE	762	Ø	Ø	Ø	
NamreiBisai_nan	pig	NamreiBisai	Namrei (Bisai)	PIG	1337	dʒo	dʒo	Abraham2018	*jowʔ
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	PLANT (SOMETHING)	1486	Ø	Ø	Ø	
NamreiBisai_201	to play	NamreiBisai	Namrei (Bisai)	PLAY	1413	ʃətə	ʃə+tə	Abraham2018	
NamreiBisai_206	to pull	NamreiBisai	Namrei (Bisai)	PULL	1455	bre	bre	Abraham2018	
NamreiBisai_205	to push	NamreiBisai	Namrei (Bisai)	PUSH	1452	səri	sə+ri	Abraham2018	
NamreiBisai_6	rain	NamreiBisai	Namrei (Bisai)	RAIN (PRECIPITATION)	658	fro	fro	Abraham2018	*nə-dəj; *pro
NamreiBisai_7	rainbow	NamreiBisai	Namrei (Bisai)	RAINBOW	1733	jomonəkəi	jo+mo+nə+kəi	Abraham2018	
NamreiBisai_287	red	NamreiBisai	Namrei (Bisai)	RED	156	mətʃi	mə+tʃi	Abraham2018	*tɕaʔ
NamreiBisai_nan	sit or stay	NamreiBisai	Namrei (Bisai)	DWELL (LIVE, RESIDE)	363	gijoŋ	gjoŋ	Abraham2018	*dʑuC
NamreiBisai_33	paddy rice	NamreiBisai	Namrei (Bisai)	RICE PLANT	2026	ŋam	ŋam	Abraham2018	*an
NamreiBisai_283	right	NamreiBisai	Namrei (Bisai)	RIGHT	1019	ɕədʒen	ɕə+dʒen	Abraham2018	
NamreiBisai_14	river	NamreiBisai	Namrei (Bisai)	RIVER	666	vəjaŋ	və+jaŋ	Abraham2018	
NamreiBisai_170	road	NamreiBisai	Namrei (Bisai)	ROAD	667	labaŋ	la+baŋ	Abraham2018	*lam-baŋ
NamreiBisai_47	root	NamreiBisai	Namrei (Bisai)	ROOT	670	gokhrən	go+kʰrən	Abraham2018	*mə-kriŋ
NamreiBisai_nan	cane; rope	NamreiBisai	Namrei (Bisai)	ROPE	1218	Ø	Ø	Ø	*su; cane = rope
NamreiBisai_nan	round	NamreiBisai	Namrei (Bisai)	ROUND	1395	mədəriu	mə+də+riu	Abraham2018	*mə-də-rəw
NamreiBisai_nan	run	NamreiBisai	Namrei (Bisai)	RUN	1519	Ø	Ø	Ø	
NamreiBisai_63	salt	NamreiBisai	Namrei (Bisai)	SALT	1274	lə	lə	Abraham2018	*lu
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	SALTY	1091	Ø	Ø	Ø	
NamreiBisai_19	sand	NamreiBisai	Namrei (Bisai)	SAND	671	ɕəgəroi	ɕə+gə+roi	Abraham2018	*sə-gə-raj
NamreiBisai_nan	scratch	NamreiBisai	Namrei (Bisai)	SCRATCH	1436	Ø	Ø	Ø	
NamreiBisai_11	sea	NamreiBisai	Namrei (Bisai)	SEA	1474	ɕətərəlou	ɕə+tə+rə+lou	Abraham2018	
NamreiBisai_182	to see	NamreiBisai	Namrei (Bisai)	SEE	1409	gaŋna	gaŋ+na	Abraham2018	*gaŋ
NamreiBisai_55	seed	NamreiBisai	Namrei (Bisai)	SEED	714	tailoi	tai+loi	Abraham2018	*mə-θai
NamreiBisai_231	seven	NamreiBisai	Namrei (Bisai)	SEVEN	1704	mija	mi+ja	Abraham2018	*mə-ljak
NamreiBisai_nan	sharp	NamreiBisai	Namrei (Bisai)	SHARP	1396	Ø	Ø	Ø	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	SHEEP	1331	Ø	Ø	Ø	
NamreiBisai_nan	excrete or defecate	NamreiBisai	Namrei (Bisai)	SHIT (DEFECATE)	676	Ø	Ø	Ø	*tsəj
NamreiBisai_nan	shoot	NamreiBisai	Namrei (Bisai)	SHOOT	1172	Ø	Ø	Ø	
NamreiBisai_247	short (length)	NamreiBisai	Namrei (Bisai)	SHORT	1645	məruŋ	mə+ruŋ	Abraham2018	*mə-nuŋ
NamreiBisai_nan	shoulder	NamreiBisai	Namrei (Bisai)	SHOULDER	1482	Ø	Ø	Ø	
NamreiBisai_nan	shy	NamreiBisai	Namrei (Bisai)	SHY	487	Ø	Ø	Ø	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	SICKLE	341	Ø	Ø	Ø	
NamreiBisai_190	to sing	NamreiBisai	Namrei (Bisai)	SING	1261	kada	ka+da	Abraham2018	
NamreiBisai_230	six	NamreiBisai	Namrei (Bisai)	SIX	1703	ra	ra	Abraham2018	*reC
NamreiBisai_120	skin	NamreiBisai	Namrei (Bisai)	SKIN	763	məpre	mə+pre	Abraham2018	*mə-prja
NamreiBisai_1	sky	NamreiBisai	Namrei (Bisai)	SKY	1732	gijaŋ	gjaŋ	Abraham2018	*nə-də-laŋ
NamreiBisai_197	to sleep	NamreiBisai	Namrei (Bisai)	SLEEP	1585	dʒi	dʒi	Abraham2018	*dʑV
NamreiBisai_245	small	NamreiBisai	Namrei (Bisai)	SMALL	1246	mijadʒui	mi+ja+dʒui	Abraham2018	
NamreiBisai_nan	smell	NamreiBisai	Namrei (Bisai)	SMELL (PERCEIVE)	1586	Ø	Ø	Ø	
NamreiBisai_167	smoke	NamreiBisai	Namrei (Bisai)	SMOKE (EXHAUST)	778	maikhən	mai+kʰən	Abraham2018	*maj-kən
NamreiBisai_nan	soft; smooth	NamreiBisai	Namrei (Bisai)	SMOOTH	1234	Ø	Ø	Ø	*mə-lə-prjuC
NamreiBisai_73	snake	NamreiBisai	Namrei (Bisai)	SNAKE	730	bəu	bəu	Abraham2018	*bəw
NamreiBisai_nan	snow	NamreiBisai	Namrei (Bisai)	SNOW	784	Ø	Ø	Ø	*də-ren
NamreiBisai_nan	soft; smooth	NamreiBisai	Namrei (Bisai)	SOFT	1856	Ø	Ø	Ø	*mə-lə-prjuC
NamreiBisai_134	son	NamreiBisai	Namrei (Bisai)	SON	1620	zəvə	zə+və	Abraham2018	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	SOW SEEDS	748	Ø	Ø	Ø	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	SPARROW	1854	Ø	Ø	Ø	
NamreiBisai_96	spider	NamreiBisai	Namrei (Bisai)	SPIDER	843	nərijanam	nə+ri+ja+nam	Abraham2018	
NamreiBisai_nan	spit	NamreiBisai	Namrei (Bisai)	SPIT	1440	Ø	Ø	Ø	
NamreiBisai_174	to stand	NamreiBisai	Namrei (Bisai)	STAND	1442	gəroŋ	gə+roŋ	Abraham2018	*gu
NamreiBisai_4	star	NamreiBisai	Namrei (Bisai)	STAR	1430	nitʃoŋbijoŋ	ni+tʃoŋ+bjoŋ	Abraham2018	*lə-tɕuŋ
NamreiBisai_217	to steal	NamreiBisai	Namrei (Bisai)	STEAL	713	ʃikhau	ʃi+kʰau	Abraham2018	*kə
NamreiBisai_nan	stick	NamreiBisai	Namrei (Bisai)	STICK	1295	Ø	Ø	Ø	
NamreiBisai_18	stone	NamreiBisai	Namrei (Bisai)	STONE	857	kə̆loŋ	kə+loŋ	Abraham2018	
NamreiBisai_nan	straight	NamreiBisai	Namrei (Bisai)	STRAIGHT	1404	Ø	Ø	Ø	*mə-gə-raŋ
NamreiBisai_2	sun	NamreiBisai	Namrei (Bisai)	SUN	1343	dʒoʔ	dʒoʔ	Abraham2018	*dʑuʔ
NamreiBisai_83	tail	NamreiBisai	Namrei (Bisai)	TAIL	1220	mənəməre	mə+nə+mə+re	Abraham2018	*mə-lə-mrjaj
NamreiBisai_234	ten	NamreiBisai	Namrei (Bisai)	TEN	1515	lən	lən	Abraham2018	*rəŋ
NamreiBisai_296	that thing	NamreiBisai	Namrei (Bisai)	THAT	78	paitʃia	pai+tʃja	Abraham2018	*paj-tɕi
NamreiBisai_nan	there (same level)	NamreiBisai	Namrei (Bisai)	THERE	1937	Ø	Ø	Ø	
NamreiBisai_nan	thick	NamreiBisai	Namrei (Bisai)	THICK	1244	Ø	Ø	Ø	
NamreiBisai_251	thin	NamreiBisai	Namrei (Bisai)	THIN (OF SHAPE OF OBJECT)	2249	mobu	mo+bu	Abraham2018	
NamreiBisai_nan	think	NamreiBisai	Namrei (Bisai)	THINK (REFLECT)	1415	Ø	Ø	Ø	
NamreiBisai_295	this thing	NamreiBisai	Namrei (Bisai)	THIS	1214	hə̃ŋ ai	hə̃ŋ+ai	Abraham2018	*huŋ
NamreiBisai_300	2nd sg. (familiar)	NamreiBisai	Namrei (Bisai)	THOU	1215	ni	ni	Abraham2018	*ni
NamreiBisai_227	three	NamreiBisai	Namrei (Bisai)	THREE	492	khətəm	kʰə+təm	Abraham2018	*gə-θəm
NamreiBisai_203	to throw	NamreiBisai	Namrei (Bisai)	THROW	1456	khədoi	kʰə+doi	Abraham2018	
NamreiBisai_10	thunder	NamreiBisai	Namrei (Bisai)	THUNDER	1150	gijaŋbəra	gi+jaŋ+bə+ra	Abraham2018	
NamreiBisai_68	tiger	NamreiBisai	Namrei (Bisai)	TIGER	846	keŋgraŋ	keŋ+graŋ	Abraham2018	
