RID	GLOSS	DOCULECT	Language_Name	CONCEPTICON_GLOSS	CONCEPTICON_ID	VALUE	FORM	SOURCE	NOTES
NamreiBisai_279	above	NamreiBisai	Namrei (Bisai)	ABOVE	1741	tʃajoŋ	tʃa+joŋ	Abraham2018	
NamreiBisai_243	all	NamreiBisai	Namrei (Bisai)	ALL	98	mihijoŋ	mi+hjoŋ	Abraham2018	
NamreiBisai_97	ant	NamreiBisai	Namrei (Bisai)	ANT	587	ɕəni	ɕə+ni	Abraham2018	*si-ni
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	ARMPIT	1886	Ø	Ø	Ø	
NamreiBisai_275	bad	NamreiBisai	Namrei (Bisai)	BAD	1292	məni	mə+ni	Abraham2018	*mə-niŋ
NamreiBisai_48	bamboo	NamreiBisai	Namrei (Bisai)	BAMBOO	1927	brau	brau	Abraham2018	*bra
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	BARLEY	932	Ø	Ø	Ø	
NamreiBisai_nan	alive	NamreiBisai	Namrei (Bisai)	BE ALIVE	1422	Ø	Ø	Ø	
NamreiBisai_123	belly	NamreiBisai	Namrei (Bisai)	BELLY	1251	nəgu	nə+gu	Abraham2018	
NamreiBisai_280	below	NamreiBisai	Namrei (Bisai)	BELOW OR UNDER	1485	tʃama	tʃa+ma	Abraham2018	
NamreiBisai_244	big	NamreiBisai	Namrei (Bisai)	BIG	1202	mədəbu	mə+də+bu	Abraham2018	*mə-doʔ
NamreiBisai_91	bird	NamreiBisai	Namrei (Bisai)	BIRD	937	pəɕə	pə+ɕə	Abraham2018	*bə-dow
NamreiBisai_191	to bite	NamreiBisai	Namrei (Bisai)	BITE	1403	ta	ta	Abraham2018	*taʔ
NamreiBisai_285	black	NamreiBisai	Namrei (Bisai)	BLACK	163	momo	mo+mo	Abraham2018	
NamreiBisai_121	blood	NamreiBisai	Namrei (Bisai)	BLOOD	946	medʒai	me+dʒai	Abraham2018	*jaC
NamreiBisai_nan	blow	NamreiBisai	Namrei (Bisai)	BLOW (OF WIND)	175	Ø	Ø	Ø	
NamreiBisai_118	bone	NamreiBisai	Namrei (Bisai)	BONE	1394	mariaŋ	ma+riaŋ	Abraham2018	*mə-ri-jaŋ
