RID	DOCULECT	CONCEPT	CONCEPTICON_IN_SAGART	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE	SEGMENTS
1	DirangTshangla	11_big	big	BIG	11_big	1202	taŋ+pu	taŋ+pu	TB	t a ŋ + p u
2	DirangTshangla	14_black	black	BLACK	14_black	163	ʨʰaŋ+lu	tʃʰaŋ+lu	TB	tʃʰ a ŋ + l u
3	DirangTshangla	26_coldoftemperature	cold (of temperature)	COLD	26_coldoftemperature	1287	kʰur+bu	kʰur+bu	TB	kʰ u r + b u
4	DirangTshangla	36_dirty	dirty	DIRTY	36_dirty	1230	ʑei lok+pan	ʑei+lok+pan	TB	ʑ ei + l o k + p a n
5	DirangTshangla	40_dry	dry	DRY	40_dry	1398	saŋ+bu	saŋ+bu	TB	s a ŋ + b u
6	DirangTshangla	48_eight	eight	EIGHT	48_eight	1705	jɛn	jɛn	TB	j ɛ n
7	DirangTshangla	50_far	far	FAR	50_far	1406	tʰa riŋ+bu	tʰa+riŋ+bu	TB	tʰ a + r i ŋ + b u
8	DirangTshangla	57_five	five	FIVE	57_five	493	ŋa	ŋa	TB	ŋ a
9	DirangTshangla	67_four	four	FOUR	67_four	1500	bi+tʃi	bi+tʃi	TB	b i + tʃ i
10	DirangTshangla	73_full	full	FULL	73_full	1429	pʰuŋ+bei	pʰuŋ+bei	TB	pʰ u ŋ + b ei
11	DirangTshangla	76_good	good	GOOD	76_good	1035	pʰe+lu	pʰe+lu	TB	pʰ e + l u
12	DirangTshangla	78_green	green	GREEN	78_green	1425	jaŋ+lu	jaŋ+lu	TB	j a ŋ + l u
13	DirangTshangla	82_hard	hard	HARD	82_hard	1884	kak+ta+ra	kak+ta+ra	TB	k a k + t a + r a
14	DirangTshangla	83_heorshethirdpersonsingular	he or she [third person singular]	HE OR SHE OR IT	83_heorshethirdpersonsingular	262	dan	dan	TB	d a n
15	DirangTshangla	87_heavy	heavy	HEAVY	87_heavy	1210	ʨʰit+pu	tʃʰit+pu	TB	tʃʰ i t + p u
16	DirangTshangla	96_hot	hot	HOT	96_hot	1286	tsʰou	tsʰou	TB	tsʰ ou
17	DirangTshangla	101_ifirstpersonsingular	I [first person singular]	I	101_ifirstpersonsingular	1209	ʥaŋ	dʒaŋ	TB	dʒ a ŋ
18	DirangTshangla	103_inside	inside	INSIDE	103_inside	1606	naŋ	naŋ	TB	n a ŋ
19	DirangTshangla	110_late	late	LATE	110_late	477	jɛt+kʰan	jɛt+kʰan	TB	j ɛ t + kʰ a n
20	DirangTshangla	114_left	left	LEFT	114_left	244	jɔm+lak+pa	jɔm+lak+pa	TB	j ɔ m + l a k + p a
21	DirangTshangla	117_lightofweight	light (of weight)	LIGHT (WEIGHT)	117_lightofweight	1052	jaŋ+pu	jaŋ+pu	TB	j a ŋ + p u
22	DirangTshangla	120_long	long	LONG	120_long	1203	riŋ+bu	riŋ+bu	TB	r i ŋ + b u
23	DirangTshangla	124_many	many	MANY	124_many	1198	tɕa.tɕa	tɕa.tɕa	TB	tɕ a . tɕ a
24	DirangTshangla	127_middle	middle	MIDDLE	127_middle	1093	bar+ma	bar+ma	TB	b a r + m a
25	DirangTshangla	129_morning	morning	MORNING	129_morning	1339	ŋam+niŋ	ŋam+niŋ	TB	ŋ a m + n i ŋ
26	DirangTshangla	139_near	near	NEAR	139_near	1942	tɛp+ka	tɛp+ka	TB	t ɛ p + k a
27	DirangTshangla	142_new	new	NEW	142_new	1231	siŋ+ba	siŋ+ba	TB	s i ŋ + b a
28	DirangTshangla	143_nine	nine	NINE	143_nine	1483	gu	gu	TB	g u
29	DirangTshangla	148_one	one	ONE	148_one	1493	tʰur	tʰur	TB	tʰ u r
30	DirangTshangla	150_outside	outside	OUTSIDE	150_outside	762	psi+ka	psi+ka	TB	ps i + k a
31	DirangTshangla	158_red	red	RED	158_red	156	tsʰa+lu	tsʰa+lu	TB	tsʰ a + l u
32	DirangTshangla	161_right	right	RIGHT	161_right	1019	pʰe+lu+tɕok	pʰe+lu+tɕok	TB	pʰ e + l u + tɕ o k
33	DirangTshangla	166_round	round	ROUND	166_round	1395	gɔr+gɔr+kei	gɔr+gɔr+kei	TB	g ɔ r + g ɔ r + k ei
34	DirangTshangla	175_seven	seven	SEVEN	175_seven	1704	zum	zum	TB	z u m
35	DirangTshangla	176_sharp	sharp	 SHARP	176_sharp	1396	tɕʰat+pu	tɕʰat+pu	TB	tɕʰ a t + p u
36	DirangTshangla	179_short	short	SHORT	179_short	1645	kʰan+da	kʰan+da	TB	kʰ a n + d a
37	DirangTshangla	184_six	six	SIX	184_six	1703	kʰuŋ	kʰuŋ	TB	kʰ u ŋ
38	DirangTshangla	188_small	small	SMALL	188_small	1246	a+iŋ+za	a+iŋ+za	TB	a + i ŋ + z a
39	DirangTshangla	194_soft	soft	SOFT	194_soft	1856	diu+za	diu+za	TB	d i u + z a
