RID	GLOSS	DOCULECT	LANGUAGE_NAME	CONCEPTICON_GLOSS	CONCEPTICON_ID	VALUE	FORM	SOURCE
1	1st pl.	WanghoBugun	Bugun	WE (INCLUSIVE)	1131	kəthəa	kə+tʰəa	Abraham2018
2	1st pl.	BichomBugun	Bugun	WE (INCLUSIVE)	1131	khət̪he	kʰə+t̪ʰe	Abraham2018
3	1st pl.	SingchungBugun	Bugun	WE (INCLUSIVE)	1131	kəthəa	kə+tʰəa	Abraham2018
4	1st pl.	KaspiBugun	Bugun	WE (INCLUSIVE)	1131	khət̪he	kʰə+t̪ʰe	Abraham2018
5	1st pl.	NamphriBugun	Bugun	WE (INCLUSIVE)	1131	gəthəe	gə+tʰəe	Abraham2018
6	1st sg. (I)	WanghoBugun	Bugun	I	1209	ko	ko	Abraham2018
7	1st sg. (I)	BichomBugun	Bugun	I	1209	"go; gu"	go	Abraham2018
8	1st sg. (I)	SingchungBugun	Bugun	I	1209	go	go	Abraham2018
9	1st sg. (I)	KaspiBugun	Bugun	I	1209	gu	gu	Abraham2018
10	1st sg. (I)	NamphriBugun	Bugun	I	1209	go	go	Abraham2018
11	2nd pl. (familiar)	WanghoBugun	Bugun	YOU	1213	nathəa	na+tʰəa	Abraham2018
12	2nd pl. (familiar)	BichomBugun	Bugun	YOU	1213	nat̪hek	na+t̪ʰek	Abraham2018
13	2nd pl. (familiar)	SingchungBugun	Bugun	YOU	1213	nathəa	na+tʰəa	Abraham2018
14	2nd pl. (familiar)	KaspiBugun	Bugun	YOU	1213	nathe	na+tʰe	Abraham2018
15	2nd pl. (familiar)	NamphriBugun	Bugun	YOU	1213	nathəa	na+tʰəa	Abraham2018
16	2nd sg. (familiar)	WanghoBugun	Bugun	THOU	1215	no	no	Abraham2018
17	2nd sg. (familiar)	BichomBugun	Bugun	THOU	1215	no	no	Abraham2018
18	2nd sg. (familiar)	SingchungBugun	Bugun	THOU	1215	no	no	Abraham2018
19	2nd sg. (familiar)	KaspiBugun	Bugun	THOU	1215	no	no	Abraham2018
20	2nd sg. (familiar)	NamphriBugun	Bugun	THOU	1215	no	no	Abraham2018
21	3rd sg. (generic/male)	WanghoBugun	Bugun	HE OR SHE OR IT	262	we	we	Abraham2018
22	3rd sg. (generic/male)	BichomBugun	Bugun	HE OR SHE OR IT	262	uwe	u+we	Abraham2018
23	3rd sg. (generic/male)	SingchungBugun	Bugun	HE OR SHE OR IT	262	oe	oe	Abraham2018
24	3rd sg. (generic/male)	KaspiBugun	Bugun	HE OR SHE OR IT	262	thei	tʰei	Abraham2018
25	3rd sg. (generic/male)	NamphriBugun	Bugun	HE OR SHE OR IT	262	oe	oe	Abraham2018
26	above	WanghoBugun	Bugun	ABOVE	1741	lakhuŋ	la+kʰuŋ	Abraham2018
