RID	DOCULECT	CONCEPT	CONCEPTICON_GLOSS	CONCEPTICON_ID	Concept_in_source	Value	Form	Notes	Source
1	Tangam	above	ABOVE	1741	on top	agyaŋ	a+gjaŋ		Post2017
2	Tangam	all	ALL	98	all	aʔpɨŋ	aʔ+pɨŋ		Post2017
3	Tangam	the ant	ANT	587		teruk	te+ruk		Post2017
4	Tangam	the armpit	ARMPIT	1886	armpit	ləədu kiiruŋ	ləː+du+kiː+ruŋ		Post2017
5	Tangam	bad	BAD	1292		Ø	Ø		Post2017
6	Tangam	the bamboo	BAMBOO	1927	bamboo	ade	a+de		Post2017
7	Tangam	the barley (tibetan or highland)	BARLEY	932		Ø	Ø		Post2017
8	Tangam	to be alive	BE ALIVE	1422	be alive	tun	tun		Post2017
9	Tangam	the belly	BELLY	1251	stomach	aat	aːt		Post2017
10	Tangam	below, under	BELOW OR UNDER	1485	under	laʔkɨŋ	laʔ+kɨŋ		Post2017
11	Tangam	big	BIG	1202	big	boʔte	boʔ+te		Post2017
12	Tangam	the bird	BIRD	937	bird	taatuŋ	taː+tuŋ		Post2017
13	Tangam	to bite	BITE	1403	bite	gyan	gjan		Post2017
14	Tangam	black	BLACK	163	black	yaka	ja+ka		Post2017
15	Tangam	the blood	BLOOD	946	blood	ayi	a+ji		Post2017
16	Tangam	to blow (of wind)	BLOW (OF WIND)	175	blow (as wind)	mut	mut		Post2017
17	Tangam	the body hair (hair or fur)	HAIR (BODY)	189	hair (body)	amɨ	a+mɨ		Post2017
18	Tangam	the bone	BONE	1394	bone	aroŋ	a+roŋ		Post2017
19	Tangam	the branch	BRANCH	1531	branch	aabe	aː+be		Post2017
20	Tangam	the breast (female)	BREAST	1402	breast	poopoŋ	poː+poŋ		Post2017
21	Tangam	to burn [intransitive]	BURNING	1428		Ø	Ø		Post2017
22	Tangam	to buy	BUY	1869	buy	le	le		Post2017
23	Tangam	to chew	CHEW	321	chew	ǰun	ʥun		Post2017
24	Tangam	the child (young human)	CHILD (YOUNG HUMAN)	1304	child	ŋaǰɨŋ	ŋa+ʥɨŋ		Post2017
25	Tangam	the cloud	CLOUD	1489	cloud	doomuk	doː+muk		Post2017
26	Tangam	cold (of temperature)	COLD	1287	cold (feeling)	ǰaccɨŋ	ʥatɕ+tɕɨŋ		Post2017
27	Tangam	to come	COME	1446	come	aŋ	aŋ		Post2017
28	Tangam	correct (right)	CORRECT (RIGHT)	1725	that’s right	də	də		Post2017
29	Tangam	to count	COUNT	1420	count	kiŋ	kiŋ		Post2017
30	Tangam	to cry (weep)	CRY	1839	cry (weep)	kyat	kjat		Post2017
31	Tangam	dark	DARK	706	dark	katəə mareŋ	ka+təː+ma+reŋ		Post2017
32	Tangam	the daughter	DAUGHTER	1357	daughter	dome	do+me		Post2017
33	Tangam	the dew	DEW	1977	dew	ŋaasi	ŋaː+si		Post2017
34	Tangam	to die	DIE	1494	die	hi	hi		Post2017
35	Tangam	to dig	DIG	1418	dig	kyoŋ	kjoŋ		Post2017
36	Tangam	dirty	DIRTY	1230	dirty	kaʔcin	kaʔ+tɕin		Post2017
37	Tangam	the dog	DOG	2009	dog	akee	a+keː		Post2017
38	Tangam	the dream	DREAM	2374		Ø	Ø		Post2017
39	Tangam	to drink	DRINK	1401	imbibe	təŋ	təŋ		Post2017
40	Tangam	dry	DRY	1398	dry vr.	han	han		Post2017
41	Tangam	the dust	DUST	2	dusty	gyuŋgyuŋ	gjuŋ+gjuŋ		Post2017
42	Tangam	the ear	EAR	1247	ear	ɲoruŋ	ɲo+ruŋ		Post2017
43	Tangam	early	EARLY	672	early	kon	kon		Post2017
44	Tangam	the earth (soil)	EARTH (SOIL)	1228	soil	koǰee	ko+ʥeː		Post2017
45	Tangam	the earthworm	EARTHWORM	2350	earthworm	dondaŋ	don+daŋ		Post2017
46	Tangam	to eat	EAT	1336	eat	de	de		Post2017
47	Tangam	the egg	EGG	744	egg	loopɨ	loː+pɨ		Post2017
48	Tangam	eight	EIGHT	1705	eight	piiɲi	piː+ɲi		Post2017
49	Tangam	the eye	EYE	1248	eye	amik	a+mik		Post2017
50	Tangam	far	FAR	1406	far	mootəŋ	moː+təŋ		Post2017
51	Tangam	the father	FATHER	1217	father	abo	a+bo		Post2017
52	Tangam	the feather	FEATHER	1201	chicken feather	loomɨ	loː+mɨ		Post2017
53	Tangam	to fight	FIGHT	1423		Ø	Ø		Post2017
54	Tangam	the fire	FIRE	221	fire	ame	a+me		Post2017
55	Tangam	firewood	FIREWOOD	10	firewood	paasa	paː+sa		Post2017
56	Tangam	the fish	FISH	227	fish	aŋo	a+ŋo		Post2017
57	Tangam	five	FIVE	493	five	yoŋŋo	joŋ+ŋo		Post2017
58	Tangam	the flea	FLEA	232	flea	tei	tei		Post2017
59	Tangam	to float	FLOAT	1574		Ø	Ø		Post2017
60	Tangam	to flow	FLOW	2003	flow	yu	ju		Post2017
61	Tangam	the flower	FLOWER	239	flower	apuk	a+puk		Post2017
62	Tangam	to fly (move through air)	FLY (MOVE THROUGH AIR)	1441	fly	yot	jot		Post2017
63	Tangam	the fog	FOG	249	fog	daapan	daː+pan		Post2017
64	Tangam	the foot	FOOT	1301	foot (of body)	are	a+re		Post2017
65	Tangam	the forest	FOREST	420	jungle	mɨɨraŋ	mɨː+raŋ		Post2017
66	Tangam	to forget	FORGET	1523	forget	miʔpan	miʔ+pan		Post2017
67	Tangam	four	FOUR	1500	four	yoʔpi	joʔ+pi		Post2017
68	Tangam	the fox	FOX	1312		Ø	Ø		Post2017
69	Tangam	the frog	FROG	503	frog	kutuk	ku+tuk		Post2017
70	Tangam	the front (front side)	FRONT (PART)	2194	front	ɲapyaŋ	ɲa+pjaŋ		Post2017
71	Tangam	the frost	FROST	2034	frost	ŋamba	ŋam+ba		Post2017
72	Tangam	the fruit	FRUIT	1507	fruit	apɨ	a+pɨ		Post2017
73	Tangam	full	FULL	1429	full (not empty)	biŋ	biŋ		Post2017
74	Tangam	to give	GIVE	1447	give	bi	bi		Post2017
75	Tangam	the goat	GOAT	1502	goat	laga	la+ga		Post2017
76	Tangam	good	GOOD	1035	good	aɲo	a+ɲo		Post2017
77	Tangam	the grass	GRASS	606	grass	koŋgaŋ	koŋ+gaŋ		Post2017
78	Tangam	green	GREEN	1425	green-blue	yaɨŋ	jaɨŋ		Post2017
79	Tangam	the hail	HAIL	609		Ø	Ø		Post2017
80	Tangam	the hair (of the head)	HAIR	1040	hair (head)	dɨmmɨ	dɨm+mɨ		Post2017
81	Tangam	the hand	HAND	1277	hand / arm	arak	a+rak		Post2017
