ENTRYID	gloss	VALUE	FORM	CONCEPTICON_GLOSS	CONCEPTICON_ID	gfn	language	source	srcid	note
222389	hard	kɯ⁵⁵ tso⁵³	kɯ⁵⁵ tso⁵³	HARD	1884	592	Kaman	ZMYYC		
229784	he / she	wi⁵³	wi⁵³	HE OR SHE OR IT	262	592	Kaman	ZMYYC		
191840	head	kɯu⁵³	kɯu⁵³	HEAD	1256	592	Kaman	ZMYYC		
207140	listen	tɑ⁵⁵ giɑt⁵⁵	tɑ⁵⁵ giɑt⁵⁵	HEAR	1408	592	Kaman	ZMYYC		
193880	heart	lɯm³⁵	lɯm³⁵	HEART	1223	592	Kaman	ZMYYC		
222338	heavy	kɑ³¹ lɑ̆ŋ³⁵	kɑ³¹ lɑ̆ŋ³⁵	HEAVY	1210	592	Kaman	ZMYYC		
230090	here	ɑn⁵⁵ lɑm⁵⁵	ɑn⁵⁵ lɑm⁵⁵	HERE	136	592	Kaman	ZMYYC		
214076	hide	thi³⁵	tʰi³⁵	HIDE (CONCEAL)	602	592	Kaman	ZMYYC		
220910	high / tall	kloŋ⁵³	kloŋ⁵³	HIGH	1265	592	Kaman	ZMYYC		
208109	grip / hold	ɹɑ̆u⁵³ tɑ³¹ ɕɑuŋ³⁵	ɹɑ̆u⁵³ tɑ³¹ ɕɑuŋ³⁵	HOLD	1448	592	Kaman	ZMYYC		
188933	hoof	biup³⁵	biup³⁵	HOOF	152	592	Kaman	ZMYYC		
221981	horizontal	kɯ³¹ biŋ⁵⁵	kɯ³¹ biŋ⁵⁵	HORIZONTAL	2376	592	Kaman	ZMYYC		
188984	horn	kɹɑ̆ŋ³⁵	kɹɑ̆ŋ³⁵	HORN (ANATOMY)	1393	592	Kaman	ZMYYC		
185771	horse	pɑ³¹xoŋ³⁵	pɑ³¹xoŋ³⁵	HORSE	615	592	Kaman	ZMYYC		
225041	hot	xɑŋ⁵³	xɑŋ⁵³	HOT	1286	592	Kaman	ZMYYC		
197756	house	bɯi³⁵	bɯi³⁵	HOUSE	1252	592	Kaman	ZMYYC		
227897	hundred	wɑ⁵⁵ je⁵³ mu⁵³	wɑ⁵⁵ je⁵³ mu⁵³	HUNDRED	1634	592	Kaman	ZMYYC		
214994	hunt	ɕin⁵⁵ tɑŋ⁵⁵ khil³⁵	ɕin⁵⁵ tɑŋ⁵⁵ kʰil³⁵	HUNT	1435	592	Kaman	ZMYYC		
197195	husband	ɑ³¹ wɑi⁵³	ɑ³¹ wɑi⁵³	HUSBAND	1200	592	Kaman	ZMYYC		
229427	I	ki⁵³	ki⁵³	I	1209	592	Kaman	ZMYYC		
180569	ice	wɑ³¹ tɑ̆uŋ³⁵	wɑ³¹ tɑ̆uŋ³⁵	ICE	617	592	Kaman	ZMYYC		
183017	inside	goŋ³⁵	goŋ³⁵	INSIDE	1606	592	Kaman	ZMYYC		
212291	kill	sɑt⁵⁵	sɑt⁵⁵	KILL	1417	592	Kaman	ZMYYC		
200867	knife	sot³⁵; kɹɑ³⁵	kɹɑ³⁵	KNIFE	1352	592	Kaman	ZMYYC		
216830	know	ŋit³⁵	ŋit³⁵	KNOW (SOMETHING)	1410	592	Kaman	ZMYYC		
181028	lake	tshɑu³⁵	tsʰɑu³⁵	LAKE	624	592	Kaman	ZMYYC		
224531	late	mphlo⁵³ lɑ³⁵	mpʰlo⁵³ lɑ³⁵	LATE	477	592	Kaman	ZMYYC		
216575	laugh	k ɹit⁵⁵	kɹit⁵⁵	LAUGH	1355	592	Kaman	ZMYYC		
191432	leaf	lɑp⁵³	lɑp⁵³	LEAF	628	592	Kaman	ZMYYC		
211730	learn	tɑ³¹ mɑl⁵³; dʑoŋ⁵⁵	tɑ³¹ mɑl⁵³	LEARN	504	592	Kaman	ZMYYC		
182711	left	kɯ³¹ wɑi⁵³	kɯ³¹ wɑi⁵³	LEFT	244	592	Kaman	ZMYYC		
207395	lick	lo⁵³	lo⁵³	LICK	319	592	Kaman	ZMYYC		
222287	light	ɑ³¹ kiuŋ⁵⁵	ɑ³¹ kiuŋ⁵⁵	LIGHT (WEIGHT)	1052	592	Kaman	ZMYYC		
192401	lip	ȵtɕhɯu⁵³ dɑ̆p³⁵	ȵtɕʰɯu⁵³ dɑ̆p³⁵	LIP	478	592	Kaman	ZMYYC		
193931	liver	blɑi³¹ blɑi⁵³	blɑi³¹ blɑi⁵³	LIVER	1224	592	Kaman	ZMYYC		
221267	long	khɹɑ̆ŋ⁵⁵	kʰɹɑ̆ŋ⁵⁵	LONG	1203	592	Kaman	ZMYYC		
188270	louse	sɑ̆l⁵³	sɑ̆l⁵³	LOUSE	1392	592	Kaman	ZMYYC		
193982	lung	sɑu³⁵	sɑu³⁵	LUNG	688	592	Kaman	ZMYYC		
194798	man (male person)	ɑ³¹ wɑi⁵³ sɑ⁵⁵	ɑ³¹ wɑi⁵³ sɑ⁵⁵	MALE PERSON	2106	592	Kaman	ZMYYC		
221777	many / much	juŋ⁵⁵	juŋ⁵⁵	MANY	1198	592	Kaman	ZMYYC		
215504	marry (a man)	tɑ⁵⁵ mphit⁵⁵	tɑ⁵⁵ mpʰit⁵⁵	MARRY (AS MAN)	2164	592	Kaman	ZMYYC		
200357	meat / flesh	ɕin⁵³	ɕin⁵³	MEAT	634	592	Kaman	ZMYYC		
185312	noon	ŋin⁵⁵ lɑi⁵⁵	ŋin⁵⁵ lɑi⁵⁵	MIDDAY	12	592	Kaman	ZMYYC		
182864	middle	pɑ³¹ tɯ³¹ lɑi⁵⁵	pɑ³¹ tɯ³¹ lɑi⁵⁵	MIDDLE	1093	592	Kaman	ZMYYC		
180161	moon	lɑi⁵³	lɑi⁵³	MOON	1313	592	Kaman	ZMYYC		
185261	morning	tɯ³¹ ɹɑ̆uŋ⁵⁵ wɑi⁵⁵	tɯ³¹ ɹɑ̆uŋ⁵⁵ wɑi⁵⁵	MORNING	1339	592	Kaman	ZMYYC		
188423	mosquito	ko⁵⁵ ɹɯn⁵⁵	ko⁵⁵ ɹɯn⁵⁵	MOSQUITO	1509	592	Kaman	ZMYYC		
196328	mother	nɑuŋ³⁵	nɑuŋ³⁵	MOTHER	1216	592	Kaman	ZMYYC		
181283	mountain	ɑ³¹ dzɑu³⁵	ɑ³¹ dzɑu³⁵	MOUNTAIN	639	592	Kaman	ZMYYC		
192350	mouth	ȵtɕhɯu⁵³	ȵtɕʰɯu⁵³	MOUTH	674	592	Kaman	ZMYYC		
181640	mud	tɕi³¹ ɹui³⁵	tɕi³¹ ɹui³⁵	MUD	640	592	Kaman	ZMYYC		
186842	rat / mouse	si⁵⁵ nu⁵³	si⁵⁵ nu⁵³	MUROID (MOUSE OR RAT)	2139	592	Kaman	ZMYYC		
206375	name	ɑ³¹ mɑ̆ŋ⁵⁵	ɑ³¹ mɑ̆ŋ⁵⁵	NAME	1405	592	Kaman	ZMYYC		
221624	narrow	kɯ³¹ jɯŋ⁵⁵	kɯ³¹ jɯŋ⁵⁵	NARROW	1267	592	Kaman	ZMYYC		
221726	near	mɯ³¹ nɑ̆i⁵³	mɯ³¹ nɑ̆i⁵³	NEAR	1942	592	Kaman	ZMYYC		
192656	neck	xuŋ⁵⁵	xuŋ⁵⁵	NECK	1333	592	Kaman	ZMYYC		
224174	new	kɯ³¹tɑn³⁵	kɯ³¹ tɑn³⁵	NEW	1231	592	Kaman	ZMYYC		
226877	nine	nɑn⁵⁵ mu⁵³	nɑn⁵⁵ mu⁵³	NINE	1483	592	Kaman	ZMYYC		
188321	nit	săl⁵³ sit⁵⁵	săl⁵³ sit⁵⁵	NIT	267	592	Kaman	ZMYYC		
192248	nose	min⁵⁵ nioŋ³⁵	min⁵⁵ nioŋ³⁵	NOSE	1221	592	Kaman	ZMYYC		
223715	old (of people)	kɯ⁵⁵ nɑŋ³⁵	kɯ⁵⁵ nɑŋ³⁵	OLD (AGED)	2112	592	Kaman	ZMYYC		
226469	one	kɯ³¹ mu⁵³	kɯ³¹ mu⁵³	ONE	1493	592	Kaman	ZMYYC		
186791	otter	ɹɑm³⁵	ɹɑm³⁵	OTTER	15	592	Kaman	ZMYYC		
183068	outside	ɑ³¹ mphɑ³⁵ xɑi⁵⁵	ɑ³¹ mpʰɑ³⁵ xɑi⁵⁵	OUTSIDE	762	592	Kaman	ZMYYC		
185873	pig	li⁵⁵	li⁵⁵	PIG	1337	592	Kaman	ZMYYC		
210506	plant	tɯ³¹ khɹɑ³⁵ thɑ⁵³	tɯ³¹ kʰɹɑ³⁵ tʰɑ⁵³	PLANT (SOMETHING)	1486	592	Kaman	ZMYYC		
214688	play	tɑ⁵⁵ do⁵³ kɹɑu⁵⁵	tɑ⁵⁵ do⁵³ kɹɑu⁵⁵	PLAY	1413	592	Kaman	ZMYYC		
208670	pull	găŋ³⁵	găŋ³⁵	PULL	1455	592	Kaman	ZMYYC		
208721	push	tɑ⁵⁵ nuŋ³⁵	tɑ⁵⁵ nuŋ³⁵	PUSH	1452	592	Kaman	ZMYYC		
180416	rain	ɑ³¹ wɑŋ⁵⁵	ɑ³¹ wɑŋ⁵⁵	RAIN (PRECIPITATION)	658	592	Kaman	ZMYYC		
180824	rainbow	i⁵⁵ phit⁵⁵	i⁵⁵ pʰit⁵⁵	RAINBOW	1733	592	Kaman	ZMYYC		
222695	red	kɑu⁵³ sɑi³⁵	kɑu⁵³ sɑi³⁵	RED	156	592	Kaman	ZMYYC		
182762	right	kɯ³¹ jɑu⁵³	kɯ³¹ jɑu⁵³	RIGHT	1019	592	Kaman	ZMYYC		
180926	river	tɯ³¹ lo³⁵	tɯ³¹ lo³⁵	RIVER	666	592	Kaman	ZMYYC		
204182	road / way	bloŋ³⁵; lam⁵⁵	bloŋ³⁵	ROAD	667	592	Kaman	ZMYYC		
191330	root	kɹɑ⁵³	kɹɑ⁵³	ROOT	670	592	Kaman	ZMYYC		
201530	rope	bɹɑ̆ŋ⁵³	bɹɑ̆ŋ⁵³	ROPE	1218	592	Kaman	ZMYYC		
221165	round	gɑ⁵⁵ wɑŋ⁵⁵ nɑ⁵⁵	gɑ⁵⁵ wɑŋ⁵⁵ nɑ⁵⁵	ROUND	1395	592	Kaman	ZMYYC		
209231	run	giɑl³⁵	giɑl³⁵	RUN	1519	592	Kaman	ZMYYC		
200306	salt	tɯ³¹ min⁵⁵	tɯ³¹ min⁵⁵	SALT	1274	592	Kaman	ZMYYC		
225449	salty	khɑ⁵³	kʰɑ⁵³	SALTY	1091	592	Kaman	ZMYYC		
182201	sand	kɑ³¹ ɕiŋ³⁵	kɑ³¹ ɕiŋ³⁵	SAND	671	592	Kaman	ZMYYC		
208313	scratch	gluɑ³⁵	gluɑ³⁵	SCRATCH	1436	592	Kaman	ZMYYC		
180977	sea	xɑ³¹ wɑ̆i³⁵	xɑ³¹ wɑ̆i³⁵	SEA	1474	592	Kaman	ZMYYC		
206987	see	ŋuŋ⁵⁵	ŋuŋ⁵⁵	SEE	1409	592	Kaman	ZMYYC		
191228	seed	xɑ³¹ lɯi³⁵	xɑ³¹ lɯi³⁵	SEED	714	592	Kaman	ZMYYC		
226775	seven	nɯn⁵³	nɯn⁵³	SEVEN	1704	592	Kaman	ZMYYC		
224378	sharp	kɹɑt⁵⁵	kɹɑt⁵⁵	SHARP	1396	592	Kaman	ZMYYC		
186026	sheep	lɯuk⁵⁵	lɯuk⁵⁵	SHEEP	1331	592	Kaman	ZMYYC		
215096	shoot	top⁵⁵ kɑp³⁵	top⁵⁵ kɑp³⁵	SHOOT	1172	592	Kaman	ZMYYC		
221318	short	kɯ³¹ ti⁵⁵	kɯ³¹ ti⁵⁵	SHORT	1645	592	Kaman	ZMYYC		
192758	shoulder	ɑ³¹ pho⁵⁵	ɑ³¹ pʰo⁵⁵	SHOULDER	1482	592	Kaman	ZMYYC		
200918	sickle	dzɑ³¹ wɑ⁵⁵	dzɑ³¹ wɑ⁵⁵	SICKLE	341	592	Kaman	ZMYYC		
214841	sing	tɑ⁵⁵ dzɑi³⁵	tɑ⁵⁵ dzɑi³⁵	SING	1261	592	Kaman	ZMYYC		
226724	six	kɯ³¹ tɑm⁵³	kɯ³¹ tɑm⁵³	SIX	1703	592	Kaman	ZMYYC		
193574	skin	uŋ³⁵	uŋ³⁵	SKIN	763	592	Kaman	ZMYYC		
180059	sky	ȵɑuŋ⁵³	ȵɑuŋ⁵³	SKY	1732	592	Kaman	ZMYYC		
209690	sleep	ŋui⁵⁵	ŋui⁵⁵	SLEEP	1585	592	Kaman	ZMYYC		
220859	small	kɯ³¹ juŋ⁵⁵	kɯ³¹ juŋ⁵⁵	SMALL	1246	592	Kaman	ZMYYC		
207956	smell	ntshiŋ⁵⁵	ntsʰiŋ⁵⁵	SMELL (PERCEIVE)	1586	592	Kaman	ZMYYC		
182354	smoke	tɑ³¹ khɯi⁵³	tɑ³¹ kʰɯi⁵³	SMOKE (EXHAUST)	778	592	Kaman	ZMYYC		
224990	smooth	thɑ̆u⁵³	tʰɑ̆u⁵³	SMOOTH	1234	592	Kaman	ZMYYC		
187760	snake	ɹuɯl³⁵	ɹuɯl³⁵	SNAKE	730	592	Kaman	ZMYYC		
180467	snow	so⁵⁵	so⁵⁵	SNOW	784	592	Kaman	ZMYYC		
222440	soft	kɑ⁵⁵ miŋ³⁵	kɑ⁵⁵ miŋ³⁵	SOFT	1856	592	Kaman	ZMYYC		
197297	son	sɑ⁵⁵ wɑi⁵³	sɑ⁵⁵ wɑi⁵³	SON	1620	592	Kaman	ZMYYC		
191279	seedling			SOW SEEDS	748	592	Kaman	ZMYYC		
187556	sparrow	ɑ³¹ ɹik³⁵	ɑ³¹ ɹik³⁵	SPARROW	1854	592	Kaman	ZMYYC		
188117	spider	toŋ⁵⁵ dui⁵⁵ sɑm³⁵	toŋ⁵⁵ dui⁵⁵ sɑm³⁵	SPIDER	843	592	Kaman	ZMYYC		
207650	spit	phɑt⁵⁵	pʰɑt⁵⁵	SPIT	1440	592	Kaman	ZMYYC		
209027	stand	loŋ⁵³	loŋ⁵³	STAND	1442	592	Kaman	ZMYYC		
180212	star	kɯ³¹ grun³⁵	kɯ³¹ grun³⁵	STAR	1430	592	Kaman	ZMYYC		
216473	steal	kɑl⁵⁵ xɯu⁵³	kɑl⁵⁵ xɯu⁵³	STEAL	713	592	Kaman	ZMYYC		
201887	stick	ɕu⁵⁵ nɑ⁵³	ɕu⁵⁵ nɑ⁵³	STICK	1295	592	Kaman	ZMYYC		
182150	stone / rock	lɑ̆uŋ³⁵	lɑ̆uŋ³⁵	STONE	857	592	Kaman	ZMYYC		
221879	straight	bloŋ³⁵	bloŋ³⁵	STRAIGHT	1404	592	Kaman	ZMYYC		
180110	sun	min³⁵	min³⁵	SUN	1343	592	Kaman	ZMYYC		
189035	tail	ɑ³¹ mɑ̆i⁵⁵	ɑ³¹ mɑ̆i⁵⁵	TAIL	1220	592	Kaman	ZMYYC		
226928	ten	kiɑp⁵⁵ mu⁵³	kiɑp⁵⁵ mu⁵³	TEN	1515	592	Kaman	ZMYYC		
230141	that	wɑ̆n³⁵	wɑ̆n³⁵	THAT	78	592	Kaman	ZMYYC		
230192	there	ɑ³¹ hit⁵⁵ lɑm⁵⁵	ɑ³¹ hit⁵⁵ lɑm⁵⁵	THERE	1937	592	Kaman	ZMYYC		
223052	thick	kɯ³¹ pɑ̆ŋ³⁵	kɯ³¹ pɑ̆ŋ³⁵	THICK	1244	592	Kaman	ZMYYC		
221522	thin	kɯ³¹ pɑ³⁵	kɯ³¹ pɑ³⁵	THIN (OF SHAPE OF OBJECT)	2249	592	Kaman	ZMYYC		
217085	think	dɑ̆m⁵⁵	dɑ̆m⁵⁵	THINK (REFLECT)	1415	592	Kaman	ZMYYC		
230039	this	ɑn⁵⁵	ɑn⁵⁵	THIS	1214	592	Kaman	ZMYYC		
229631	you (sg.)	ȵo⁵³	ȵo⁵³	THOU	1215	592	Kaman	ZMYYC		
226571	three	kɯ³¹ sɑ̆m⁵³	kɯ³¹ sɑ̆m⁵³	THREE	492	592	Kaman	ZMYYC		
208466	throw	mphlut⁵⁵	mpʰlut⁵⁵	THROW	1456	592	Kaman	ZMYYC		
218513	thunder	tɯ³¹ mɑuŋ⁵³ kɹɑ̆n⁵⁵	tɯ³¹ mɑuŋ⁵³ kɹɑ̆n⁵⁵	THUNDER	1150	592	Kaman	ZMYYC		
186332	tiger	bo⁵⁵ dɑ⁵⁵	bo⁵⁵ dɑ⁵⁵	TIGER	846	592	Kaman	ZMYYC		
184547	today	tɯ³¹ ŋin⁵⁵ ɹɑ³⁵	tɯ³¹ ŋin⁵⁵ ɹɑ³⁵	TODAY	1283	592	Kaman	ZMYYC		
184700	tomorrow	tɯ³¹ ɹuɑŋ⁵⁵ ɹɑ⁵³	tɯ³¹ ɹuɑŋ⁵⁵ ɹɑ⁵³	TOMORROW	1329	592	Kaman	ZMYYC		
192503	tongue	blɑi⁵³	blɑi⁵³	TONGUE	1205	592	Kaman	ZMYYC		
192452	tooth	si⁵⁵	si⁵⁵	TOOTH	1380	592	Kaman	ZMYYC		
189086	tree	sɑ̆ŋ³⁵	sɑ̆ŋ³⁵	TREE	906	592	Kaman	ZMYYC		
227438	twenty	kɯ³¹ tɑl³⁵ mu⁵³	kɯ³¹ tɑl³⁵ mu⁵³	TWENTY	1710	592	Kaman	ZMYYC		
226520	two	kɯ³¹ jin⁵³	kɯ³¹ jin⁵³	TWO	1498	592	Kaman	ZMYYC		
207701	vomit	phɑt⁵⁵	pʰɑt⁵⁵	VOMIT	1278	592	Kaman	ZMYYC		
209180	walk	tɑi⁵⁵	tɑi⁵⁵	WALK	1443	592	Kaman	ZMYYC		
210557	water	xɑ³¹ ŋɑp⁵⁵	xɑ³¹ ŋɑp⁵⁵	WATER	948	592	Kaman	ZMYYC		
229580	we (inclusive)	kin⁵⁵	kin⁵⁵	WE (INCLUSIVE)	1131	592	Kaman	ZMYYC		
224123	wet	phom⁵⁵	pʰom⁵⁵	WET	1726	592	Kaman	ZMYYC		
230294	what	ɕɑn⁵⁵	ɕɑn⁵⁵	WHAT	1236	592	Kaman	ZMYYC		
