ENTRYID	gloss	VALUE	FORM	CONCEPTICON_GLOSS	CONCEPTICON_ID	gfn	language	source	srcid	note
182915	top	lɯn³⁵ xɑi⁵⁵	lɯn³⁵ xɑi⁵⁵	ABOVE	1741	592	Kaman	ZMYYC		
230957	all / even	kɯm⁵⁵ blui⁵⁵	kɯm⁵⁵ blui⁵⁵	ALL	98	592	Kaman	ZMYYC		
188015	ant	tɕu³¹ kɹik⁵³	tɕu³¹ kɹik⁵³	ANT	587	592	Kaman	ZMYYC		
193523	armpit	plɑ⁵⁵ mu⁵⁵	plɑ⁵⁵ mu⁵⁵	ARMPIT	1886	592	Kaman	ZMYYC		
223919	bad	mɯ³¹ phɑn⁵⁵	mɯ³¹ pʰɑn⁵⁵	BAD	1292	592	Kaman	ZMYYC		
189341	bamboo	mɑ̆i⁵⁵ blɑ⁵³	mɑ̆i⁵⁵ blɑ⁵³	BAMBOO	1927	592	Kaman	ZMYYC		
189647	barley (Tibetan)	kɯ³¹ tsɑuŋ⁵⁵	kɯ³¹ tsɑuŋ⁵⁵	BARLEY	932	592	Kaman	ZMYYC		
219839	alive	kɯ³¹ ɹɑ̆ŋ³⁵	kɯ³¹ ɹɑ̆ŋ³⁵	BE ALIVE	1422	592	Kaman	ZMYYC		
193268	belly	dɑ̆k⁵³	dɑ̆k⁵³	BELLY	1251	592	Kaman	ZMYYC		
182966	underneath	ju⁵⁵ wɑŋ⁵⁵ lɑm³⁵	ju⁵⁵ wɑŋ⁵⁵ lɑm³⁵	BELOW OR UNDER	1485	592	Kaman	ZMYYC		
220808	big	kɯ³¹ tɑi³⁵	kɯ³¹ tɑi³⁵	BIG	1202	592	Kaman	ZMYYC		
187250	bird	wɑ³⁵	wɑ³⁵	BIRD	937	592	Kaman	ZMYYC		
207293	bite	sɑ̆k⁵⁵	sɑ̆k⁵⁵	BITE	1403	592	Kaman	ZMYYC		
222899	black	kɑ³¹ im³⁵	kɑ³¹ im³⁵	BLACK	163	592	Kaman	ZMYYC		
193676	blood	ɑ³¹ ɹui³⁵	ɑ³¹ ɹui³⁵	BLOOD	946	592	Kaman	ZMYYC		
218411	blow (of wind)	xut³⁵	xut³⁵	BLOW (OF WIND)	175	592	Kaman	ZMYYC		
191483	branch	ŋkhɑ̆i³⁵	ŋkʰɑ̆i³⁵	BRANCH	1531	592	Kaman	ZMYYC		
193217	breast	tɕin⁵⁵ mphɑuŋ⁵³	tɕin⁵⁵ mpʰɑuŋ⁵³	BREAST	1402	592	Kaman	ZMYYC		
211424	buy	ɕip⁵⁵	ɕip⁵⁵	BUY	1869	592	Kaman	ZMYYC		
207344	chew	tɕɑ⁵⁵ xɑi⁵⁵	tɕɑ⁵⁵ xɑi⁵⁵	CHEW	321	592	Kaman	ZMYYC		
195053	child	sɑ⁵³	sɑ⁵³	CHILD (YOUNG HUMAN)	1304	592	Kaman	ZMYYC		
188882	claw	ntshɑ̆n⁵³	ntsʰɑ̆n⁵³	CLAW OR NAIL	2128	592	Kaman	ZMYYC		
180314	cloud	kɑ⁵⁵ mɑ̆i³⁵	kɑ⁵⁵ mɑ̆i³⁵	CLOUD	1489	592	Kaman	ZMYYC		
225092	cold	tsoŋ⁵³	tsoŋ⁵³	COLD	1287	592	Kaman	ZMYYC		
217595	come	xu⁵³	xu⁵³	COME	1446	592	Kaman	ZMYYC		
226010	right / correct	kɯ³¹ pioŋ⁵³	kɯ³¹ pioŋ⁵³	CORRECT (RIGHT)	1725	592	Kaman	ZMYYC		
211526	count	xɑ³¹ tsɯt⁵⁵	xɑ³¹ tsɯt⁵⁵	COUNT	1420	592	Kaman	ZMYYC		
222542	dark	ɹɯm⁵³ lɑ³⁵	ɹɯm⁵³ lɑ³⁵	DARK	706	592	Kaman	ZMYYC		
197348	daughter	sɑ⁵⁵ mɑi³⁵	sɑ⁵⁵ mɑi³⁵	DAUGHTER	1357	592	Kaman	ZMYYC		
180722	dew	pɑm⁵⁵ dʑi⁵⁵	pɑm⁵⁵ dʑi⁵⁵	DEW	1977	592	Kaman	ZMYYC		
219788	die	si⁵³	si⁵³	DIE	1494	592	Kaman	ZMYYC		
210455	dig	guɑ³⁵; son³⁵	guɑ³⁵	DIG	1418	592	Kaman	ZMYYC		
223562	dirty	kɑ³¹ so⁵³	kɑ³¹ so⁵³	DIRTY	1230	592	Kaman	ZMYYC		
186077	dog	kui⁵⁵	kui⁵⁵	DOG	2009	592	Kaman	ZMYYC		
206477	dream	kɑ³¹ muŋ³⁵	kɑ³¹ muŋ³⁵	DREAM	2374	592	Kaman	ZMYYC		
207242	drink	tɑuŋ⁵⁵	tɑuŋ⁵⁵	DRINK	1401	592	Kaman	ZMYYC		
224072	dry	sɑl⁵³	sɑl⁵³	DRY	1398	592	Kaman	ZMYYC		
209588	dwell / live	kɑm⁵⁵	kɑm⁵⁵	DWELL (LIVE, RESIDE)	363	592	Kaman	ZMYYC		
192299	ear	iŋ⁵⁵	iŋ⁵⁵	EAR	1247	592	Kaman	ZMYYC		
224480	early	tɯ³¹ ɹuɑŋ⁵⁵ nɑi⁵³	tɯ³¹ ɹuɑŋ⁵⁵ nɑi⁵³	EARLY	672	592	Kaman	ZMYYC		
181589	earth	nɑi³⁵	nɑi³⁵	EARTH (SOIL)	1228	592	Kaman	ZMYYC		
188474	earthworm	pɯ³¹ lit³⁵	pɯ³¹ lit³⁵	EARTHWORM	2350	592	Kaman	ZMYYC		
188678	egg	kɹai⁵⁵ sit⁵⁵	kɹai⁵⁵ sit⁵⁵	EGG	744	592	Kaman	ZMYYC		
226826	eight	gɹɯn⁵³	gɹɯn⁵³	EIGHT	1705	592	Kaman	ZMYYC		
192146	eye	min⁵⁵	min⁵⁵	EYE	1248	592	Kaman	ZMYYC		
221675	far	klɑm⁵⁵	klɑm⁵⁵	FAR	1406	592	Kaman	ZMYYC		
196277	father	pɑ̆i³⁵	pɑ̆i³⁵	FATHER	1217	592	Kaman	ZMYYC		
188831	feather	bɯl³⁵	bɯl³⁵	FEATHER	1201	592	Kaman	ZMYYC		
216167	fight	dɑ̆m⁵⁵ kɹɑu⁵⁵	dɑ̆m⁵⁵ kɹɑu⁵⁵	FIGHT	1423	592	Kaman	ZMYYC		
182303	fire	mɑ̆i⁵³	mɑ̆i⁵³	FIRE	221	592	Kaman	ZMYYC		
203876	firewood	sɑ̆ŋ³⁵ khliŋ⁵⁵	sɑ̆ŋ³⁵ kʰliŋ⁵⁵	FIREWOOD	10	592	Kaman	ZMYYC		
187709	fish	ɑ³¹ ŋɑ⁵⁵	ɑ³¹ ŋɑ⁵⁵	FISH	227	592	Kaman	ZMYYC		
226673	five	kɯ³¹ len⁵⁵	kɯ³¹ len⁵⁵	FIVE	493	592	Kaman	ZMYYC		
188219	flea	tɕuŋ⁵⁵ guɯn⁵⁵	tɕuŋ⁵⁵ guɯn⁵⁵	FLEA	232	592	Kaman	ZMYYC		
218666	float	jɑu⁵³	jɑu⁵³	FLOAT	1574	592	Kaman	ZMYYC		
191636	flower	phɑn⁵³	pʰɑn⁵³	FLOWER	239	592	Kaman	ZMYYC		
188372	fly	giul³⁵	giul³⁵	FLY (MOVE THROUGH AIR)	1441	592	Kaman	ZMYYC		
180620	fog	lɯ³¹ bɑŋ³⁵	lɯ³¹ bɑŋ³⁵	FOG	249	592	Kaman	ZMYYC		
193421	foot	plɑ⁵⁵	plɑ⁵⁵	FOOT	1301	592	Kaman	ZMYYC		
217034	forget	ɑ³¹ mɑn⁵³ lɑ⁵⁵	ɑ³¹ mɑn⁵³ lɑ⁵⁵	FORGET	1523	592	Kaman	ZMYYC		
226622	four	kɯ³¹ bɹɯ n⁵³	kɯ³¹ bɹɯ n⁵³	FOUR	1500	592	Kaman	ZMYYC		
186740	fox	kɑl³³	kɑl³³	FOX	1312	592	Kaman	ZMYYC		
187658	frog	kɑŋ⁵⁵ khɹik⁵⁵	kɑŋ⁵⁵ kʰɹik⁵⁵	FROG	503	592	Kaman	ZMYYC		
182609	front	ɑ³¹ ŋɑŋ³¹ lɑm⁵⁵	ɑ³¹ ŋɑŋ³¹ lɑm⁵⁵	FRONT (PART)	2194	592	Kaman	ZMYYC		
180671	frost	wɑ³¹ tɑ̆uŋ³⁵	wɑ³¹ tɑ̆uŋ³⁵	FROST	2034	592	Kaman	ZMYYC		
190871	fruit	pɯ³¹ ɹɯm⁵⁵	pɯ³¹ ɹɯm⁵⁵	FRUIT	1507	592	Kaman	ZMYYC		
223154	full	phlɑ̆ŋ⁵⁵	pʰlɑ̆ŋ⁵⁵	FULL	1429	592	Kaman	ZMYYC		
215402	give / send / deliver	tɑ⁵⁵ sɑu³⁵	tɑ⁵⁵ sɑu³⁵	GIVE	1447	592	Kaman	ZMYYC		
185975	goat	kɯ³¹ tɕi⁵³	kɯ³¹ tɕi⁵³	GOAT	1502	592	Kaman	ZMYYC		
223868	good	kɯ³¹ sɯt⁵³	kɯ³¹ sɯt⁵³	GOOD	1035	592	Kaman	ZMYYC		
191126	grass	tɯ³¹ phɯn³⁵	tɯ³¹ pʰɯn³⁵	GRASS	606	592	Kaman	ZMYYC		
222950	green	kɯ³¹ lɑuŋ³⁵	kɯ³¹ lɑuŋ³⁵	GREEN	1425	592	Kaman	ZMYYC		
180773	hail	wɑ̆l³⁵	wɑ̆l³⁵	HAIL	609	592	Kaman	ZMYYC		
191942	hair of head	ɕɑm⁵⁵	ɕɑm⁵⁵	HAIR	1040	592	Kaman	ZMYYC		
188780	hair / fur	bɯl³⁵	bɯl³⁵	HAIR (BODY)	189	592	Kaman	ZMYYC		
192809	hand	ɹɑ̆u⁵³	ɹɑ̆u⁵³	HAND	1277	592	Kaman	ZMYYC		
