RID	CONCEPT	CONCEPTICON_GLOSS	CONCEPTICON_ID	PARAMETER_ID	LANGUAGE	CONCEPT_IN_SOURCE	VALUE	FORM	PAGE	NOTE
1	1_above	ABOVE	1741	1_above	Eastern Puroik	on top (LOC)	atʃuaŋ	a+tʃuaŋ	p. 107	
2	2_all	ALL	98	2_all	Eastern Puroik	all (in ‘all the fingers’)	malaŋ	ma+laŋ	p. 116	
3	3_theant	ANT	587	3_theant	Eastern Puroik	ant (n.)	grieŋrɔ	grieŋ+rɔ	p. 117	Macy:The syllable boundary is uncertain
4	4_thearmpit	ARMPIT	1886	4_thearmpit	Eastern Puroik					?
5	5_bad	BAD	1292	5_bad	Eastern Puroik	bad. (adj.)	ariŋ ba	a+riŋ+ba	p. 110	
6	6_thebamboo	BAMBOO	1927	6_thebamboo	Eastern Puroik	bamboo (n.)	made	ma+de	p. 125	
7	7_thebarleytibetanorhighland	BARLEY	932	7_thebarleytibetanorhighland	Eastern Puroik					?
8	8_tobealive	BE ALIVE	1422	8_tobealive	Eastern Puroik	alive (v.)	sikduiˀ	sik+duiˀ	p. 132	Macy:The syllable boundary is uncertain
9	9_thebelly	BELLY	1251	9_thebelly	Eastern Puroik	stomach, belly	ɬuibuk	ɬui+buk	p. 124	Macy:The syllable boundary is uncertain
10	10_belowunder	BELOW OR UNDER	1485	10_belowunder	Eastern Puroik	down, below (adv.)	awa	a+wa	p. 111	
11	11_big	BIG	1202	11_big	Eastern Puroik	big (adj.)	bua	bua	p. 113	
12	12_thebird	BIRD	937	12_thebird	Eastern Puroik	bird (n.)	padau	pa+dau	p. 127	
13	13_tobite	BITE	1403	13_tobite	Eastern Puroik	bite (v.)	tua	tua	p. 133	
14	14_black	BLACK	163	14_black	Eastern Puroik	black (adj.)	ahĩe	a+hĩe	p. 108	
15	15_theblood	BLOOD	946	15_theblood	Eastern Puroik	blood (n.)	hue	hue	p. 118	
16	16_toblowofwind	BLOW (OF WIND)	175	16_toblowofwind	Eastern Puroik					?
17	17_thebodyhairhairorfur	HAIR (BODY)	189	17_thebodyhairhairorfur	Eastern Puroik	hair body hair (n)	amũin	a+mũin	p. 109	
18	18_thebone	BONE	1394	18_thebone	Eastern Puroik	bone (n.)	azait	a+zait	p. 126	
19	19_thebranch	BRANCH	1531	19_thebranch	Eastern Puroik	branch (n.)	akrie	a+krie	p. 109	
