ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	LOAN	NOTES	RID
162	179_short	short	KusundaK	Kamala	pʰɔ.t̪ɔk	pʰɔ.t̪ɔk	pʰ ɔ + t̪ ɔ k	kusu1250	1645	28.0	82.26		697	False		7389
163	181_shy	shy	KusundaK	Kamala	kʰʲɛː ɐ.gɔː	kʰʲɛː+ɐ.gɔː	kʲʰ ɛː + ɐ + g ɔː	kusu1250	487	28.0	82.26		776	False		7484
166	184_six	six	KusundaK	Kamala	ʦʰaː	ʦʰaː	tsʰ aː	kusu1250	1703	28.0	82.26		767	True		7572
170	188_small	small	KusundaK	Kamala	huŋ.kəj	huŋ.kəj	h u ŋ + k ə j	kusu1250	1246	28.0	82.26			False		
175	194_soft	soft	KusundaK	Kamala	jɔː.lɐq	jɔː.lɐq	j ɔː + l ɐ q	kusu1250	1856	28.0	82.26		704	False		7946
185	204_straight	straight	KusundaK	Kamala	ʦaŋ qʰaw	ʦaŋ+qʰaw	ts a ŋ + qʰ au	kusu1250	1404	28.0	82.26		721	False		8420
188	207_ten	ten	KusundaK	Kamala	d̪ɐːs	d̪ɐːs	d̪ ɐː s	kusu1250	1515	28.0	82.26		66	True		8570
189	208_that	that	KusundaK	Kamala	gi.naː	gi.naː	g i + n aː	kusu1250	78	28.0	82.26		878	False		8612
3	3_theant	the ant	KusundaK	Kamala	biː.kiː	biː.kiː	b iː + k iː	kusu1250	587	28.0	82.26		720	False		105
4	4_thearmpit	the armpit	KusundaK	Kamala	kaː.kʰiː	kaː.kʰiː	k aː + kʰ iː	kusu1250	1886	28.0	82.26			False		
6	6_thebamboo	the bamboo	KusundaK	Kamala	pɐ.weːj	pɐ.weːj	p ɐ + w eː j	kusu1250	1927	28.0	82.26		501	False		206
7	7_thebarleytibetanorhighland	the barley (tibetan or highland)	KusundaK	Kamala	gi.saː.laː	gi.saː.laː	g i + s aː + l aː	kusu1250	932	28.0	82.26		46	False		256
9	9_thebelly	the belly	KusundaK	Kamala	geː.mɐt̪	geː.mɐt̪	g eː + m ɐ t̪	kusu1250	1251	28.0	82.26		885	False		286
12	12_thebird	the bird	KusundaK	Kamala	qɔ.t̪uː	qɔ.t̪uː	q ɔ + t̪ uː	kusu1250	937	28.0	82.26		10146	False		432
15	15_theblood	the blood	KusundaK	Kamala	lɐ.paː	lɐ.paː	l ɐ + p aː	kusu1250	946	28.0	82.26		91	False		584
17	17_thebodyhairhairorfur	the body hair (hair or fur)	KusundaK	Kamala	giː	giː	g iː	kusu1250	189	28.0	82.26		104	False		670
18	18_thebone	the bone	KusundaK	Kamala	gu.uː	gu.uː	g u + uː	kusu1250	1394	28.0	82.26		115	False		716
19	19_thebranch	the branch	KusundaK	Kamala	ɔ.mɔq	ɔ.mɔq	ɔ + m ɔ q	kusu1250	1531	28.0	82.26		69	False		766
