RID	GLOSS	CONCEPTICON_IN_SAGART	PARAMETER_ID	CONCEPTICON_GLOSS	CONCEPTICON_ID	DOCULECT	VALUE	FORM	SOURCE	NOTES
1	101_ifirstpersonsingular	I [first person singular]	101_ifirstpersonsingular	I	1209	Khengkha	nga	ŋa	AandY1996	
2	11_big	big	11_big	BIG	1202	Khengkha	khui	kʰui	AandY1996	
3	14_black	black	14_black	BLACK	163	Khengkha	ɲɔn+te+la	ɲɔn+te+la	TB	
4	26_coldoftemperature	cold (of temperature)	26_coldoftemperature	COLD	1287	Khengkha	khik	kʰik	AandY1996	
5	36_dirty	dirty	36_dirty	DIRTY	1230	Khengkha	krekpa	krek+pa	AandY1996	
6	40_dry	dry	40_dry	DRY	1398	Khengkha	kam	kam	AandY1996	
7	48_eight	eight	48_eight	EIGHT	1705	Khengkha	dʑat	dʑat	AandY1996	
8	50_far	far	50_far	FAR	1406	Khengkha	tharing	tʰa+riŋ	AandY1996	
9	57_five	five	57_five	FIVE	493	Khengkha	yanga	ja+ŋa	AandY1996	
10	67_four	four	67_four	FOUR	1500	Khengkha	ble	ble	AandY1996	
11	73_full	full	73_full	FULL	1429	Khengkha	nan	nan	TB	
12	76_good	good	76_good	GOOD	1035	Khengkha	kachan	ka+tɕʰan	AandY1996	
13	78_green	green	78_green	GREEN	1425	Khengkha	tɕaŋ+kʰa	tɕaŋ+kʰa	TB	
14	82_hard	hard	82_hard	HARD	1884	Khengkha	ngarma	ŋar+ma	AandY1996	
15	83_heorshethirdpersonsingular	he or she [third person singular]	83_heorshethirdpersonsingular	HE OR SHE OR IT	262	Khengkha	khit	kʰit	AandY1996	
16	87_heavy	heavy	87_heavy	HEAVY	1210	Khengkha	pɛk+pɛk	pɛk+pɛk	TB	
17	96_hot	hot	96_hot	HOT	1286	Khengkha	tsʰa+to+ma	tsʰa+to+ma	TB	
18	103_inside	inside	103_inside	INSIDE	1606	Khengkha	nango	naŋ+o	AandY1996	
19	110_late	late	110_late	LATE	477	Khengkha	pi	pi	TB	
20	114_left	left	114_left	LEFT	244	Khengkha	yomae	jo+mai	AandY1996	
21	117_lightofweight	light (of weight)	117_lightofweight	LIGHT (WEIGHT)	1052	Khengkha	jaŋ+su+ma	jaŋ+su+ma	TB	
22	120_long	long	120_long	LONG	1203	Khengkha	rɛŋ+she+la	rɛŋ+she+la	TB	
23	124_many	many	124_many	MANY	1198	Khengkha	dʑak+se	dʑak+se	TB	
24	127_middle	middle	127_middle	MIDDLE	1093	Khengkha	bar+to	bar+to	TB	
25	129_morning	morning	129_morning	MORNING	1339	Khengkha	ngazi	ŋa+zi	AandY1996	
26	139_near	near	139_near	NEAR	1942	Khengkha	thamaedho	tʰa+mai+dʰo	AandY1996	
27	142_new	new	142_new	NEW	1231	Khengkha	sarpa	sar+pa	AandY1996	
28	143_nine	nine	143_nine	NINE	1483	Khengkha	dhogo	dʰo+go	AandY1996	
29	148_one	one	148_one	ONE	1493	Khengkha	thek	tʰek	AandY1996	
30	150_outside	outside	150_outside	OUTSIDE	762	Khengkha	bit+to	bit+to	TB	
31	158_red	red	158_red	RED	156	Khengkha	ʑin+ti+la	ʑin+ti+la	TB	
32	161_right	right	161_right	RIGHT	1019	Khengkha	je55+na	je55+na	TB	
33	166_round	round	166_round	ROUND	1395	Khengkha	gɔŋ+to+ri+ri	gɔŋ+to+ri+ri	TB	
34	175_seven	seven	175_seven	SEVEN	1704	Khengkha	nyit	ɲit	AandY1996	
35	176_sharp	sharp	176_sharp	SHARP	1396	Khengkha	ja	ja	TB	
36	179_short	short	179_short	SHORT	1645	Khengkha	tʰiŋ+ku+la	tʰiŋ+ku+la	TB	
37	184_six	six	184_six	SIX	1703	Khengkha	gro	gro	AandY1996	
38	188_small	small	188_small	SMALL	1246	Khengkha	tɕiŋ+wa	tɕiŋ+wa	TB	
39	194_soft	soft	194_soft	SOFT	1856	Khengkha	dʑam+tɕʰuk+tɕʰuk	dʑam+tɕʰuk+tɕʰuk	TB	
40	204_straight	straight	204_straight	STRAIGHT	1404	Khengkha	ʈʰaŋ+taŋ+ŋa	ʈʰaŋ+taŋ+ŋa	TB	
41	207_ten	ten	207_ten	TEN	1515	Khengkha	che	tɕʰe	AandY1996	
42	3_theant	the ant	3_theant	ANT	587	Khengkha	buktali	buk+ta+li	AandY1996	
43	6_thebamboo	the bamboo	6_thebamboo	BAMBOO	1927	Khengkha	zeng	zeŋ	AandY1996	
44	9_thebelly	the belly	9_thebelly	BELLY	1251	Khengkha	dʑo55+ma	dʑo55+ma	TB	
45	12_thebird	the bird	12_thebird	BIRD	937	Khengkha	dʑa	dʑa	AandY1996	
46	15_theblood	the blood	15_theblood	BLOOD	946	Khengkha	ka	ka	AandY1996	
47	18_thebone	the bone	18_thebone	BONE	1394	Khengkha	rotpa	rot+pa	AandY1996	
48	19_thebranch	the branch	19_thebranch	BRANCH	1531	Khengkha	bang ba	baŋ+ba	AandY1996	
49	20_thebreastfemale	the breast (female)	20_thebreastfemale	BREAST	1402	Khengkha	dʑu	dʑu	AandY1996	
50	25_thecloud	the cloud	25_thecloud	CLOUD	1489	Khengkha	sar+dʑa	sar+dʑa	TB	
51	33_thedew	the dew	33_thedew	DEW	1977	Khengkha	zit+pa	zit+pa	TB	
52	37_thedog	the dog	37_thedog	DOG	2009	Khengkha	khui	kʰui	AandY1996	
53	38_thedream	the dream	38_thedream	DREAM	2374	Khengkha	mimang	mi+maŋ	AandY1996	
54	41_thedust	the dust	41_thedust	DUST	2	Khengkha	tʰeu	tʰeu	TB	
55	42_theear	the ear	42_theear	EAR	1247	Khengkha	napali	na+pa+li	AandY1996	
56	44_theearthsoil	the earth (soil)	44_theearthsoil	EARTH (SOIL)	1228	Khengkha	sa	sa	AandY1996	
57	47_theegg	the egg	47_theegg	EGG	744	Khengkha	khaete	kʰai+te	AandY1996	
58	49_theeye	the eye	49_theeye	EYE	1248	Khengkha	meg	mek	AandY1996	
59	54_thefire	the fire	54_thefire	FIRE	221	Khengkha	gami	ga+mi	AandY1996	
