RID	CONCEPT	CONCEPTICON_IN_SAGART	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	DOCULECT	VALUE	FORM	SOURCE	NOTES
1	101_ifirstpersonsingular	I [first person singular]	I	101_ifirstpersonsingular	1209	Mama Cuona Menba	ŋe35		Lu2002	
2	11_big	big	BIG	11_big	1202	Mama Cuona Menba	then55po53		Lu2002	
3	14_black	black	BLACK	14_black	163	Mama Cuona Menba	plɛː35kan55		Lu2002	
4	26_coldoftemperature	cold (of temperature)	COLD	26_coldoftemperature	1287	Mama Cuona Menba	chek53pa53		Lu2002	
5	36_dirty	dirty	DIRTY	36_dirty	1230	Mama Cuona Menba	bɔk35po53		Lu2002	
6	40_dry	dry	DRY	40_dry	1398	Mama Cuona Menba	cem55pha53		Lu2002	
7	48_eight	eight	EIGHT	48_eight	1705	Mama Cuona Menba	cen35		Lu2002	
8	50_far	far	FAR	50_far	1406	Mama Cuona Menba	thaʔ53riŋ35po53		Lu2002	
9	57_five	five	FIVE	57_five	493	Mama Cuona Menba	le31ŋe53		Lu2002	
10	67_four	four	FOUR	67_four	1500	Mama Cuona Menba	pli53		Lu2002	
11	73_full	full	FULL	73_full	1429	Mama Cuona Menba				
12	76_good	good	GOOD	76_good	1035	Mama Cuona Menba	li35khu31		Lu2002	
13	78_green	green	GREEN	78_green	1425	Mama Cuona Menba	dʑaŋ35ku53		Lu2002	
14	82_hard	hard	HARD	82_hard	1884	Mama Cuona Menba	ʂa55po53		Lu2002	
15	83_heorshethirdpersonsingular	he or she [third person singular]	HE OR SHE OR IT	83_heorshethirdpersonsingular	262	Mama Cuona Menba	pe35		Lu2002	
16	87_heavy	heavy	HEAVY	87_heavy	1210	Mama Cuona Menba	li55po53		Lu2002	
17	96_hot	hot	HOT	96_hot	1286	Mama Cuona Menba	tshe55po53		Lu2002	
18	103_inside	inside	INSIDE	103_inside	1606	Mama Cuona Menba	neŋ35		Lu2002	
19	110_late	late	LATE	110_late	477	Mama Cuona Menba	jyt35po53		Lu2002	
20	114_left	left	LEFT	114_left	244	Mama Cuona Menba	jøn55ma53		Lu2002	
21	117_lightofweight	light (of weight)	LIGHT (WEIGHT)	117_lightofweight	1052	Mama Cuona Menba	jaŋ35po53		Lu2002	
22	120_long	long	LONG	120_long	1203	Mama Cuona Menba	riŋ35ko53		Lu2002	
23	124_many	many	MANY	124_many	1198	Mama Cuona Menba	maŋ35po53		Lu2002	
24	127_middle	middle	MIDDLE	127_middle	1093	Mama Cuona Menba	pun35		Lu2002	
25	129_morning	morning	MORNING	129_morning	1339	Mama Cuona Menba	nam55ɕe53		Lu2002	
26	139_near	near	NEAR	139_near	1942	Mama Cuona Menba	thaʔ53len35po53		Lu2002	
27	142_new	new	NEW	142_new	1231	Mama Cuona Menba	se55ro53		Lu2002	
28	143_nine	nine	NINE	143_nine	1483	Mama Cuona Menba	tu31ku53		Lu2002	
29	148_one	one	ONE	148_one	1493	Mama Cuona Menba	theʔ53		Lu2002	
30	150_outside	outside	OUTSIDE	150_outside	762	Mama Cuona Menba	tɕhin55		Lu2002	
31	158_red	red	RED	158_red	156	Mama Cuona Menba	leu55		Lu2002	
32	161_right	right	RIGHT	161_right	1019	Mama Cuona Menba	jɛː55pa53		Lu2002	
33	166_round	round	ROUND	166_round	1395	Mama Cuona Menba	chir55mo53		Lu2002	
34	175_seven	seven	SEVEN	175_seven	1704	Mama Cuona Menba	nis55		Lu2002	
35	176_sharp	sharp	SHARP	176_sharp	1396	Mama Cuona Menba	tɕhet55po53		Lu2002	
36	179_short	short	SHORT	179_short	1645	Mama Cuona Menba	thuŋ55po53		Lu2002	
37	184_six	six	SIX	184_six	1703	Mama Cuona Menba	kroʔ35		Lu2002	
38	188_small	small	SMALL	188_small	1246	Mama Cuona Menba	priu53		Lu2002	
39	194_soft	soft	SOFT	194_soft	1856	Mama Cuona Menba	dʑam35mo53		Lu2002	
40	204_straight	straight	STRAIGHT	204_straight	1404	Mama Cuona Menba	kap55tuʔ53		Lu2002	
41	207_ten	ten	TEN	207_ten	1515	Mama Cuona Menba	tɕi53		Lu2002	
42	3_theant	the ant	ANT	3_theant	587	Mama Cuona Menba	ʂuk55pu53		Lu2002	
43	6_thebamboo	the bamboo	BAMBOO	6_thebamboo	1927	Mama Cuona Menba	ɲom35		Lu2002	
44	9_thebelly	the belly	BELLY	9_thebelly	1251	Mama Cuona Menba	cɛː55pa53		Lu2002	
45	12_thebird	the bird	BIRD	12_thebird	937	Mama Cuona Menba	tɕa35		Lu2002	
46	15_theblood	the blood	BLOOD	15_theblood	946	Mama Cuona Menba	ceʔ53		Lu2002	
47	18_thebone	the bone	BONE	18_thebone	1394	Mama Cuona Menba				
48	19_thebranch	the branch	BRANCH	19_thebranch	1531	Mama Cuona Menba	ʔa55lak53		Lu2002	
49	20_thebreastfemale	the breast (female)	BREAST	20_thebreastfemale	1402	Mama Cuona Menba	jɔ35		Lu2002	
50	25_thecloud	the cloud	CLOUD	25_thecloud	1489	Mama Cuona Menba	sa55caʔ53		Lu2002	
51	33_thedew	the dew	DEW	33_thedew	1977	Mama Cuona Menba	ziː35pa53		Lu2002	
52	37_thedog	the dog	DOG	37_thedog	2009	Mama Cuona Menba	chi53		Lu2002	
53	38_thedream	the dream	DREAM	38_thedream	2374	Mama Cuona Menba	mi35prem55		Lu2002	
54	41_thedust	the dust	DUST	41_thedust	2	Mama Cuona Menba				
55	42_theear	the ear	EAR	42_theear	1247	Mama Cuona Menba	nem35nɛn53		Lu2002	
56	44_theearthsoil	the earth (soil)	EARTH (SOIL)	44_theearthsoil	1228	Mama Cuona Menba	sa53		Lu2002	
57	47_theegg	the egg	EGG	47_theegg	744	Mama Cuona Menba	khaʔ53lum53		Lu2002	
58	49_theeye	the eye	EYE	49_theeye	1248	Mama Cuona Menba	meʔ53		Lu2002	
59	54_thefire	the fire	FIRE	54_thefire	221	Mama Cuona Menba	me35		Lu2002	
60	56_thefish	the fish	FISH	56_thefish	227	Mama Cuona Menba	ɲa35		Lu2002	
61	61_theflower	the flower	FLOWER	61_theflower	239	Mama Cuona Menba	min35thoʔ53		Lu2002	
62	64_thefoot	the foot	FOOT	64_thefoot	1301	Mama Cuona Menba	le35mɛʔ53		Lu2002	
63	65_theforest	the forest	FOREST	65_theforest	420	Mama Cuona Menba				
64	69_thefrog	the frog	FROG	69_thefrog	503	Mama Cuona Menba	bɛː35pa53		Lu2002	
65	70_thefrontfrontside	the front (front side)	FRONT (PART)	70_thefrontfrontside	2194	Mama Cuona Menba	ŋɛʔ53		Lu2002	
66	72_thefruit	the fruit	FRUIT	72_thefruit	1507	Mama Cuona Menba	ɕeŋ55toʔ53		Lu2002	
67	75_thegoat	the goat	GOAT	75_thegoat	1502	Mama Cuona Menba	ra35		Lu2002	
68	79_thehail	the hail	HAIL	79_thehail	609	Mama Cuona Menba	ser55wa53		Lu2002	
69	80_thehairofthehead	the hair (of the head)	HAIR	80_thehairofthehead	1040	Mama Cuona Menba	khra53		Lu2002	
70	81_thehand	the hand	HAND	81_thehand	1277	Mama Cuona Menba	la55dum55		Lu2002	
71	84_thehead	the head	HEAD	84_thehead	1256	Mama Cuona Menba	kɔk35theʔ53		Lu2002	
72	86_theheart	the heart	HEART	86_theheart	1223	Mama Cuona Menba	niŋ53		Lu2002	
73	94_thehornkeratinizedskin	the horn (keratinized skin)	HORN (ANATOMY)	94_thehornkeratinizedskin	1393	Mama Cuona Menba	ruː35		Lu2002	
74	97_thehouse	the house	HOUSE	97_thehouse	1252	Mama Cuona Menba	chem53		Lu2002	
75	106_theknee	the knee	KNEE	106_theknee	1371	Mama Cuona Menba				
76	112_theleaf	the leaf	LEAF	112_theleaf	628	Mama Cuona Menba	lɔ35ma53		Lu2002	
77	119_theliver	the liver	LIVER	119_theliver	1224	Mama Cuona Menba	tsi55mo53		Lu2002	
78	121_thelouse	the louse	LOUSE	121_thelouse	1392	Mama Cuona Menba	ɕeʔ35		Lu2002	
79	122_thelung	the lung	LUNG	122_thelung	688	Mama Cuona Menba	lɔː55		Lu2002	
80	123_themanmalehuman	the man (male human)	MALE PERSON	123_themanmalehuman	2106	Mama Cuona Menba	pu35		Lu2002	
81	126_themeat	the meat	MEAT	126_themeat	634	Mama Cuona Menba	ɕa53		Lu2002	
82	128_themoon	the moon	MOON	128_themoon	1313	Mama Cuona Menba	lɛː55tʰøn55		Lu2002	
83	132_themountain	the mountain	MOUNTAIN	132_themountain	639	Mama Cuona Menba	ri˧˥	ri35	Lu1986	
84	133_themouseorrat	the mouse or rat	MUROID (MOUSE OR RAT)	133_themouseorrat	2139	Mama Cuona Menba	tɕi35po53		Lu2002	
85	134_themouth	the mouth	MOUTH	134_themouth	674	Mama Cuona Menba	kha53		Lu2002	
86	135_themud	the mud	MUD	135_themud	640	Mama Cuona Menba	dAm˧˥	dAm35	Lu1986	
87	136_thenailfingernailorclaw	the nail (fingernail or claw)	CLAW OR NAIL	136_thenailfingernailorclaw	2128	Mama Cuona Menba	ziː35po53		Lu2002	
88	137_thename	the name	NAME	137_thename	1405	Mama Cuona Menba	meŋ35		Lu2002	
89	140_theneck	the neck	NECK	140_theneck	1333	Mama Cuona Menba	tak55pa53		Lu2002	
90	141_theneedleforsewing	the needle (for sewing)	NEEDLE (FOR SEWING)	141_theneedleforsewing	1382	Mama Cuona Menba	khɔm53		Lu2002	
91	146_thenose	the nose	NOSE	146_thenose	1221	Mama Cuona Menba	na53		Lu2002	
92	151_thepig	the pig	PIG	151_thepig	1337	Mama Cuona Menba	phaʔ53		Lu2002	
93	156_therain	the rain	RAIN (PRECIPITATION)	156_therain	658	Mama Cuona Menba	nAm˧˥	nAm35	Lu1986	
94	163_theroad	the road	ROAD	163_theroad	667	Mama Cuona Menba	lem35taŋ55		Lu2002	
95	164_theroot	the root	ROOT	164_theroot	670	Mama Cuona Menba	ra35		Lu2002	
96	165_therope	the rope	ROPE	165_therope	1218	Mama Cuona Menba	thek55pa53		Lu2002	
97	168_thesalt	the salt	SALT	168_thesalt	1274	Mama Cuona Menba	tsha53		Lu2002	
98	170_thesand	the sand	SAND	170_thesand	671	Mama Cuona Menba	tɕe35ma53		Lu2002	
99	174_theseed	the seed	SEED	174_theseed	714	Mama Cuona Menba	tɕu35		Lu2002	
100	250_theshit	the shit	SHIT (DEFECATE)	250_theshit	676	Mama Cuona Menba	ɲiŋ35		Lu2002	
101	180_theshoulder	the shoulder	SHOULDER	180_theshoulder	1482	Mama Cuona Menba	pu55pa53		Lu2002	
102	185_theskin	the skin	SKIN	185_theskin	763	Mama Cuona Menba	phe55khu53		Lu2002	
103	186_thesky	the sky	SKY	186_thesky	1732	Mama Cuona Menba	nam53		Lu2002	
104	190_thesmoke	the smoke	SMOKE (EXHAUST)	190_thesmoke	778	Mama Cuona Menba	me35kun55		Lu2002	
105	192_thesnake	the snake	SNAKE	192_thesnake	730	Mama Cuona Menba	breː35		Lu2002	
106	193_thesnow	the snow	SNOW	193_thesnow	784	Mama Cuona Menba	khA˥ru˥˧	khA55ru51	Lu1986	
107	195_theson	the son	SON	195_theson	1620	Mama Cuona Menba	pu35		Lu2002	
108	197_thespider	the spider	SPIDER	197_thespider	843	Mama Cuona Menba	dʐe35tom55		Lu2002	
109	200_thestar	the star	STAR	200_thestar	1430	Mama Cuona Menba	kar55ma53		Lu2002	
110	202_thestick	the stick	STICK	202_thestick	1295	Mama Cuona Menba	cuk55pa53		Lu2002	
111	203_thestoneapieceof	the stone (a piece of)	STONE	203_thestoneapieceof	857	Mama Cuona Menba	kɔr35		Lu2002	
112	205_thesun	the sun	SUN	205_thesun	1343	Mama Cuona Menba	plaŋ53		Lu2002	
113	206_thetail	the tail	TAIL	206_thetail	1220	Mama Cuona Menba	khlɛʔ53		Lu2002	
114	211_thethigh	the thigh	UPPER LEG (THIGH)	211_thethigh	471	Mama Cuona Menba				
115	218_thethunder	the thunder	THUNDER	218_thethunder	1150	Mama Cuona Menba	bruʔ53		Lu2002	
116	222_thetongue	the tongue	TONGUE	222_thetongue	1205	Mama Cuona Menba	le53		Lu2002	
117	223_thetoothfront	the tooth (front)	TOOTH	223_thetoothfront	1380	Mama Cuona Menba	wa53		Lu2002	
118	229_thewater	the water	WATER	229_thewater	948	Mama Cuona Menba	tshi53		Lu2002	
119	238_thewind	the wind	WIND	238_thewind	960	Mama Cuona Menba	røn˧˥	røn35	Lu1986	
120	239_thewing	the wing	WING	239_thewing	1257	Mama Cuona Menba	ɕɔk55pa53		Lu2002	
121	242_thewoman	the woman	WOMAN	242_thewoman	962	Mama Cuona Menba	pom35		Lu2002	
122	245_theyear	the year	YEAR	245_theyear	1226	Mama Cuona Menba	niŋ55		Lu2002	
123	210_thick	thick	THICK	210_thick	1244	Mama Cuona Menba	tuk55po53		Lu2002	
124	212_thinobject	thin (object)	THIN (OF SHAPE OF OBJECT)	212_thinobject	2249	Mama Cuona Menba	bra35mo53		Lu2002	
125	215_thousecondpersonsingular	thou [second person singular]	THOU	215_thousecondpersonsingular	1215	Mama Cuona Menba	ʔi53		Lu2002	
126	216_three	three	THREE	216_three	492	Mama Cuona Menba	sum53		Lu2002	
127	13_tobite	to bite	BITE	13_tobite	1403	Mama Cuona Menba	chaʔ53		Lu2002	
128	21_toburnintransitive	to burn [intransitive]	BURNING	21_toburnintransitive	1428	Mama Cuona Menba				
129	22_tobuy	to buy	BUY	22_tobuy	1869	Mama Cuona Menba	ɲer35		Lu2002	
130	23_tochew	to chew	CHEW	23_tochew	321	Mama Cuona Menba	kla35		Lu2002	
131	27_tocome	to come	COME	27_tocome	1446	Mama Cuona Menba	cɛʔ35		Lu2002	
132	29_tocount	to count	COUNT	29_tocount	1420	Mama Cuona Menba	tsi35ja35		Lu2002	
133	30_tocryweep	to cry (weep)	CRY	30_tocryweep	1839	Mama Cuona Menba	ŋu35		Lu2002	
134	34_todie	to die	DIE	34_todie	1494	Mama Cuona Menba	ɕi55po55		Lu2002	
135	35_todig	to dig	DIG	35_todig	1418	Mama Cuona Menba	koʔ35		Lu2002	
136	39_todrink	to drink	DRINK	39_todrink	1401	Mama Cuona Menba	toŋ55		Lu2002	
137	46_toeat	to eat	EAT	46_toeat	1336	Mama Cuona Menba	za35		Lu2002	
138	53_tofight	to fight	FIGHT	53_tofight	1423	Mama Cuona Menba	thaː55mo53ja35		Lu2002	
139	62_toflymovethroughair	to fly (move through air)	FLY (MOVE THROUGH AIR)	62_toflymovethroughair	1441	Mama Cuona Menba	phir55		Lu2002	
140	66_toforget	to forget	FORGET	66_toforget	1523	Mama Cuona Menba	ŋat35ne35		Lu2002	
141	74_togive	to give	GIVE	74_togive	1447	Mama Cuona Menba				
142	85_tohear	to hear	HEAR	85_tohear	1408	Mama Cuona Menba	ɲan35		Lu2002	
