CONCEPTICON_GLOSS	CONCEPTICON_ID	PARAMETER_ID	LANGUAGE	CONCEPT_IN_SOURCE	VALUE	PAGE	NOTE
ABOVE	1741	1_above	Eastern Puroik	on top (LOC)	atʃuaŋ	p. 107	
ALL	98	2_all	Eastern Puroik	all (in ‘all the fingers’)	malaŋ	p. 116	
ANT	587	3_theant	Eastern Puroik	ant (n.)	grieŋrɔ	p. 117	
ARMPIT	1886	4_thearmpit	Eastern Puroik				?
BAD	1292	5_bad	Eastern Puroik	bad. (adj.)	ariŋ ba	p. 110	
BAMBOO	1927	6_thebamboo	Eastern Puroik	bamboo (n.)	made	p. 125	
BARLEY	932	7_thebarleytibetanorhighland	Eastern Puroik				?
BE ALIVE	1422	8_tobealive	Eastern Puroik	alive (v.)	sikduiˀ	p. 132	
BELLY	1251	9_thebelly	Eastern Puroik	stomach, belly	ɬuibuk	p. 124	
BELOW OR UNDER	1485	10_belowunder	Eastern Puroik	down, below (adv.)	awa	p. 111	
BIG	1202	11_big	Eastern Puroik	big (adj.)	bua	p. 113	
BIRD	937	12_thebird	Eastern Puroik	bird (n.)	padau	p. 127	
BITE	1403	13_tobite	Eastern Puroik	bite (v.)	tua	p. 133	
BLACK	163	14_black	Eastern Puroik	black (adj.)	ahĩe 	p. 108	
BLOOD	946	15_theblood	Eastern Puroik	blood (n.)	hue	p. 118	
BLOW (OF WIND)	175	16_toblowofwind	Eastern Puroik				?
HAIR (BODY)	189	17_thebodyhairhairorfur	Eastern Puroik	hair body hair (n)	amũin	p. 109	
BONE	1394	18_thebone	Eastern Puroik	bone (n.)	azait	p. 126	
BRANCH	1531	19_thebranch	Eastern Puroik	branch (n.)	akrie	p. 109	
BREAST	1402	20_thebreastfemale	Eastern Puroik	breast (n.)	nje	p. 127	
BURNING	1428	21_toburnintransitive	Eastern Puroik	burning (v.)	dʒɯdʒa	p. 119	
BUY	1869	22_tobuy	Eastern Puroik	to buy (v.)	rairɯ	p. 130	
CHEW	321	23_tochew	Eastern Puroik				?
CHILD (YOUNG HUMAN)	1304	24_thechildyounghuman	Eastern Puroik	child (n.)	adau	p. 107	
CLOUD	1489	25_thecloud	Eastern Puroik	clouds (n.)	katɯ	p. 121	
COLD	1287	26_coldoftemperature	Eastern Puroik				?
COME	1446	27_tocome	Eastern Puroik	come (v.)	uruei	p. 134	
CORRECT (RIGHT)	1725	28_correctright	Eastern Puroik				?
COUNT	1420	29_tocount	Eastern Puroik	count (v.)	gre	p. 116	
CRY	1839	30_tocryweep	Eastern Puroik	cry (v.)	tʃiap	p. 114	
DARK	706	31_dark	Eastern Puroik	dark (adj.)	atʃik kalaŋ	p. 107	
DAUGHTER	1357	32_thedaughter	Eastern Puroik	daughter (n.)	adou umuiˀ	p. 107	
DEW	1977	33_thedew	Eastern Puroik	dew (n.)	avreu	p. 111	
DIE	1494	34_todie	Eastern Puroik	die (v.)	iːbɔ	p. 118	
DIG	1418	35_todig	Eastern Puroik	dig (v.)	tʃo	p. 114	
DIRTY	1230	36_dirty	Eastern Puroik	dirty; unholy (adj.)	basaraŋ	p. 112	
DOG	2009	37_thedog	Eastern Puroik	dog (n.)	kaijo	p. 120	jo (135)
DREAM	2374	38_thedream	Eastern Puroik	dream (n.)	mabak	p. 124	
DRINK	1401	39_todrink	Eastern Puroik	drink (v.)	riŋ / riŋrui	p. 130, p. 131	
DRY	1398	40_dry	Eastern Puroik	dry (adj.)	aweɪit	p. 111	
DUST	2	41_thedust	Eastern Puroik				?
EAR	1247	42_theear	Eastern Puroik	ear (n.)	kuiˀ	p. 122	
EARLY	672	43_early	Eastern Puroik	early (adv.)	dua	p. 115	
EARTH (SOIL)	1228	44_theearthsoil	Eastern Puroik	soil  (n.)	madjeit	p. 125	
EARTHWORM	2350	45_theearthworm	Eastern Puroik	earthworm (n.)	pakreiˀ	p. 128	
EAT	1336	46_toeat	Eastern Puroik	eat (v.)	tʃii	p. 114	
EGG	744	47_theegg	Eastern Puroik	egg (n.)	mari	p. 125	
EIGHT	1705	48_eight	Eastern Puroik	eight (num)	laː	p. 123	
EYE	1248	49_theeye	Eastern Puroik	eye (n.)	kək	p. 121	
FAR	1406	50_far	Eastern Puroik	far (adv.)	atʃie	p. 107	
FATHER	1217	51_thefather	Eastern Puroik	father (n.)	apua	p. 110	
FEATHER	1201	52_thefeather	Eastern Puroik	hairl body hair (n)	amũin	p. 109	
FIGHT	1423	53_tofight	Eastern Puroik				?
FIRE	221	54_thefire	Eastern Puroik	fire (n.)	bae	p. 111	
FIREWOOD	10	55_firewood	Eastern Puroik	firewood (n.)	ɹein weiˀ	p. 131	
FISH	227	56_thefish	Eastern Puroik	fish (n.)	njo	p. 127	
FIVE	493	57_five	Eastern Puroik	five (num)	uw	p. 134	
FLEA	232	58_theflea	Eastern Puroik				?
FLOAT	1574	59_tofloat	Eastern Puroik				?
FLOW	2003	60_toflow	Eastern Puroik	to flow (v.) 	rwaina	p. 131	
FLOWER	239	61_theflower	Eastern Puroik	flower (n.)	mabuait	p. 125	
FLY (MOVE THROUGH AIR)	1441	62_toflymovethroughair	Eastern Puroik	fly (v.)	pieit	p. 128	
FOG	249	63_thefog	Eastern Puroik	fog, steam (n.)	sasu	p. 132	
FOOT	1301	64_thefoot	Eastern Puroik				? this is same as LEG though
FOREST	420	65_theforest	Eastern Puroik	forest (n.)	marua	p. 125	
FORGET	1523	66_toforget	Eastern Puroik	forget (v.)	bamidait	p. 112	
FOUR	1500	67_four	Eastern Puroik	four (num.)	wrai	p. 135	
FOX	1312	68_thefox	Eastern Puroik	fox (n.)	siali	p. 132	
FROG	503	69_thefrog	Eastern Puroik	frog (n.)	raɯ	p. 130	
FRONT (PART)	2194	70_thefrontfrontside	Eastern Puroik				?
FROST	2034	71_thefrost	Eastern Puroik				?
FRUIT	1507	72_thefruit	Eastern Puroik	fruit	rɔŋwei	p. 131	
FULL	1429	73_full	Eastern Puroik	full (adj.)	lje	p. 124	
GIVE	1447	74_togive	Eastern Puroik	to give (v.)	taŋna	p. 133	
GOAT	1502	75_thegoat	Eastern Puroik	goat (n.)	sabreŋ	p. 131	
GOOD	1035	76_good	Eastern Puroik	good (adj.)	ajɯ	p. 111	
GRASS	606	77_thegrass	Eastern Puroik	grass (n.)	samsuiˀ	p. 132	
GREEN	1425	78_green	Eastern Puroik	green (adj.)	arie	p. 110	
HAIL	609	79_thehail	Eastern Puroik	hailston (n.)	aŋvik	p. 110	
HAIR	1040	80_thehairofthehead	Eastern Puroik	hair (n)	kazak	p. 121	
HAND	1277	81_thehand	Eastern Puroik	arm, hand (n.)	gait	p. 116	
HARD	1884	82_hard	Eastern Puroik	hardl difficult (adj.)	afi aram	p.108	
HE OR SHE OR IT	262	83_heorshethirdpersonsingular	Eastern Puroik	he (3s)	ae	p.108	
HEAD	1256	84_thehead	Eastern Puroik	head (n.)	akɔk	p.108	
HEAR	1408	85_tohear	Eastern Puroik	to hear (v.)	rɔŋna	p. 131	
HEART	1223	86_theheart	Eastern Puroik	heart (n.)	aluk	p. 109	
HEAVY	1210	87_heavy	Eastern Puroik				?
