GLOSS_IN_SAGART	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	LANGUAGE	FORM	IPA	SEGMENT	SOURCE	PAGE	CONCEPT_IN_SOURCE	NOTE	LOAN
the ant	ANT	3_theant	587	Eastern Puroik	geinggio	gəiŋgio	gəiŋ+gio	RS09	2	ant n.		
the bamboo	BAMBOO	6_thebamboo	1927	Eastern Puroik	meca, mede	mədə	mə+də	RS09	4	bamboo n.		
the belly	BELLY	9_thebelly	1251	Eastern Puroik	aarik lhoe’bok	aːrik ɬoebok	aː+rik+ɬoe+bok	RS09	5	belly n.		
big	BIG	11_big	1202	Eastern Puroik	buari’	buarɯ	bua+rɯ	RS09	6	big adj.		
the bird	BIRD	12_thebird	937	Eastern Puroik	padau	padau	pa+dau	RS09	6	bird n.		
to bite	BITE	13_tobite	1403	Eastern Puroik	nyiong na tuana	tua	tua	RS09	6	bite v.		
black	BLACK	14_black	163	Eastern Puroik	ahiye’	ahije	a+hi+je	RS09	6	black adj.		
the blood	BLOOD	15_theblood	946	Eastern Puroik	hue’	hue	hue	RS09	6	blood n.		
the bone	BONE	18_thebone	1394	Eastern Puroik	azaik	azaik	a+zaik	RS09	6	bone n.		
the branch	BRANCH	19_thebranch	1531	Eastern Puroik	akiye’	akije	a+ki+je	RS09	6	branch n.		
the breast (female)	BREAST	20_thebreastfemale	1402	Eastern Puroik	nyie’	ɲie	ɲie	RS09	7	breast n.		
to burn [intransitive]	BURNING	21_toburnintransitive	1428	Eastern Puroik	zeena	zəː	zəː	RS09	7	burn (to light) v.		
to buy	BUY	22_tobuy	1869	Eastern Puroik	viye’na	vije	vi+je	RS09	7	buy v.		
to chew	CHEW	23_tochew	321	Eastern Puroik	woe’china	woetʃʰi	woe+tʃʰi	RS09	9	chew v.		
the cloud	CLOUD	25_thecloud	1489	Eastern Puroik	khetei’	kʰətəɯ	kʰə+təɯ	RS09	9	cloud n.		
cold (of temperature)	COLD	26_coldoftemperature	1287	Eastern Puroik	aak kua	aːk	aːk	RS09	10	cold (water) adj.		
to come	COME	27_tocome	1446	Eastern Puroik	anui uguna	ugu	u+gu	RS09	10	come near v.	azo = imp	
to count	COUNT	29_tocount	1420	Eastern Puroik	gie’kum	giekum	gie+kum	RS09	11	count v.		
to cry (weep)	CRY	30_tocryweep	1839	Eastern Puroik	chiapna, ciakna	tʃʰiap	tʃʰiap	RS09	11	cry v.		
the dew	DEW	33_thedew	1977	Eastern Puroik	giamsi, kazue’	giamsi	giam+si	RS09	13	dew n.		
to die	DIE	34_todie	1494	Eastern Puroik	iina	iː	iː	RS09	13	die v.		
to dig	DIG	35_todig	1418	Eastern Puroik	chiona	tʃʰio	tʃʰio	RS09	13	dig v.		
dirty	DIRTY	36_dirty	1230	Eastern Puroik	baseraang	basəraːŋ	ba+sə+raːŋ	RS09	13	dirty v.		
the dog	DOG	37_thedog	2009	Eastern Puroik	kayo	kajo	ka+jo	RS09	14	dog n.		
the dream	DREAM	38_thedream	2374	Eastern Puroik	mepaaq	məpaːq	mə+paːq	RS09	14	dream n.		
to drink	DRINK	39_todrink	1401	Eastern Puroik	ringna	riŋ	riŋ	RS09	14	drink n.		
dry	DRY	40_dry	1398	Eastern Puroik	awaig	awaig	a+waig	RS09	12	dry adj.		
the dust	DUST	41_thedust	2	Eastern Puroik	penaik	pənaik	pə+naik	RS09	14	dust n.		
the ear	EAR	42_theear	1247	Eastern Puroik	khoi, khuig	kʰuik	kʰuik	RS09	14	ear n. 	khuig rang earpain	
the earth (soil)	EARTH (SOIL)	44_theearthsoil	1228	Eastern Puroik	mezaik	məzaik	mə+zaik	RS09	40	soil n.		
to eat	EAT	46_toeat	1336	Eastern Puroik	chiina	tʃʰiː	tʃʰiː	RS09	15	eat v.		
the egg	EGG	47_theegg	744	Eastern Puroik	meri	məri	mə+ri	RS09	15	egg n.		
eight	EIGHT	48_eight	1705	Eastern Puroik	la	la	la	RS09	15	eight cardinal no.		
the eye	EYE	49_theeye	1248	Eastern Puroik	kek miang	kək	kək	RS09	16	eyelid n.		
far	FAR	50_far	1406	Eastern Puroik	chye’ri’	tʃʰjerɯ	tʃʰje+rɯ	RS09	16	far adv.	adj.?	
to fight	FIGHT	53_tofight	1423	Eastern Puroik	fuingna	fuiŋ	fuiŋ	RS09	17	fight v.		
the fire	FIRE	54_thefire	221	Eastern Puroik	bae’	bae	bae	RS09	17	fire n.		
the fish	FISH	56_thefish	227	Eastern Puroik	kahuang	kahuaŋ	ka+huaŋ	RS09	17	fisherma n., fish basket n. 		
five	FIVE	57_five	493	Eastern Puroik	uu	uː	uː	RS09	17	five cardinal no.		
the flower	FLOWER	61_theflower	239	Eastern Puroik	mebuaik	məbuaik	mə+buaik	RS09	17	flower n.		
to fly (move through air)	FLY (MOVE THROUGH AIR)	62_toflymovethroughair	1441	Eastern Puroik	piye’kna	pijek	pi+jek	RS09	17	fly v.		
the foot	FOOT	64_thefoot	1301	Eastern Puroik	lae’po	laepo	lae+po	RS09	17	foot n.		
the forest	FOREST	65_theforest	420	Eastern Puroik	meroarae’y	məroaraej	mə+roa+raej	RS09	17	forest n. 		
to forget	FORGET	66_toforget	1523	Eastern Puroik	bamidait	bamidait	ba+mi+dait	RS09	17	forget v.		
four	FOUR	67_four	1500	Eastern Puroik	vei	vəi	vəi	RS09	18	four cardinal no.		
the frog	FROG	69_thefrog	503	Eastern Puroik	rai’	raɯ	raɯ	RS09	18	frog n.		
the front (front side)	FRONT (PART)	70_thefrontfrontside	2194	Eastern Puroik	abeit hak	abəit	abəit	RS09	18	frontside n.		
the fruit	FRUIT	72_thefruit	1507	Eastern Puroik	roongwoe’	rɔngwoe	rɔng+woe	RS09	18	fruit n.		
full	FULL	73_full	1429	Eastern Puroik	lie	lie	lie	AT90	28	full		
to give	GIVE	74_togive	1447	Eastern Puroik	tang na	taŋ	taŋ	RS09	19	give n.		
the goat	GOAT	75_thegoat	1502	Eastern Puroik	sebeing	səbəiŋ	sə+bəiŋ	RS09	19	goat n.		
good	GOOD	76_good	1035	Eastern Puroik	ayi	aji	a+ji	RS09	19	good adj.		
green	GREEN	78_green	1425	Eastern Puroik	ariye’	arije	a+ri+je	RS09	19	green adj.		
the hail	HAIL	79_thehail	609	Eastern Puroik							?	
the hair (of the head)	HAIR	80_thehairofthehead	1040	Eastern Puroik	kheshak, kheshi’	kʰəʃak	kʰə+ʃak	RS09	20	hair n.		
the hand	HAND	81_thehand	1277	Eastern Puroik	gait	gait	gait	RS09	20	hand n.		
hard	HARD	82_hard	1884	Eastern Puroik	karei’	karəɯ	ka+rəɯ	RS09	20	hard adj.		
he or she [third person singular]	HE OR SHE OR IT	83_heorshethirdpersonsingular	262	Eastern Puroik	wae’afu	wae	wae	RS09	20	he pron.		
the head	HEAD	84_thehead	1256	Eastern Puroik	khe waba, kheva	kʰə waba	kʰə+wa+ba	RS09	20	head n.		
to hear	HEAR	85_tohear	1408	Eastern Puroik	roong na	rɔŋ	rɔŋ	RS09	20	hear v.		
the heart	HEART	86_theheart	1223	Eastern Puroik	lug	luk	luk	RS09	20	heart n.		
heavy	HEAVY	87_heavy	1210	Eastern Puroik	alaii	alaiː	a+laiː	RS09	20	heavy adj.		
