GLOSS_IN_SAGART	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	LANGUAGE	FORM	IPA	SEGMENT	SOURCE	PAGE	CONCEPT_IN_SOURCE	NOTE	LOAN
to hide (conceal)	HIDE (CONCEAL)	89_tohideconceal	602	Eastern Puroik	riang e na	riaŋ+ə	riaŋ+ə	RS09	20	hide v.		
to hold	HOLD	91_tohold	1448	Eastern Puroik	neangkhein na kait khein na	neaŋkʰəin	neaŋ+kʰəin	RS09	21	hold v.		
the horn (keratinized skin)	HORN (ANATOMY)	94_thehornkeratinizedskin	1393	Eastern Puroik	khewaang	kʰəwaːŋ	kʰə+waːŋ	RS09	21	horn n.		
hot	HOT	96_hot	1286	Eastern Puroik	azik	azik	a+zik	RS09	21	hot adj.		
the house	HOUSE	97_thehouse	1252	Eastern Puroik	chuk	tʃʰuk	tʃʰuk	RS09	21	house n.		
I [first person singular]	I	101_ifirstpersonsingular	1209	Eastern Puroik	go	go	go	RS09	21	I, me pron.		
inside	INSIDE	103_inside	1606	Eastern Puroik	araing-ayaing	araiŋ	a+raiŋ	RS09	23	inside n.	prop.?	
to kill	KILL	104_tokill	1417	Eastern Puroik	aikhiang na	aikhiaŋ	aik+hiaŋ	RS09	24	kill v.		
the knee	KNEE	106_theknee	1371	Eastern Puroik	lae’ kheiphi	lae kʰəipʰi	lae+kʰəi+pʰi	RS09	24	knee n.		
late	LATE	110_late	477	Eastern Puroik	naang	naːŋ	naːŋ	RS09	25	late adj.	adv.?	
to laugh	LAUGH	111_tolaugh	1355	Eastern Puroik	ruae’na	ruae	ruae	RS09	25	laugh v.		
the leaf	LEAF	112_theleaf	628	Eastern Puroik	aleeg	aləːg	a+ləːg	RS09	25	leaf n.		
left	LEFT	114_left	244	Eastern Puroik	poafe’	poafe	poa+fe	RS09	25	left n.		
to lick	LICK	115_tolick	319	Eastern Puroik	laahua na, shak luitkhik na	laahua	laː+hua	RS09	26	lick v.		
light (of weight)	LIGHT (WEIGHT)	117_lightofweight	1052	Eastern Puroik	achiang	atʃʰiaŋ	a+tʃʰiaŋ	RS09	26	light n.	adj.?	
the liver	LIVER	119_theliver	1224	Eastern Puroik	mepie’k	məpiek	mə+piek	RS09	26	liver n.		
long	LONG	120_long	1203	Eastern Puroik	apiang, aphiang	apiaŋ	a+piaŋ	RS09	26	long adj.		
the louse	LOUSE	121_thelouse	1392	Eastern Puroik	péré	pərə	pə+rə	AT90	24	louse		
the lung	LUNG	122_thelung	688	Eastern Puroik	apesheek, pheseek	apəʃəːk	a+pə+ʃəːk	RS09	26	lung n.		
the man (male human)	MALE PERSON	123_themanmalehuman	2106	Eastern Puroik	bi	bi	bi	RS09	27	man n.		
many	MANY	124_many	1198	Eastern Puroik	aboo	abɔ	a+bɔ	RS09	27	many adj.		
the meat	MEAT	126_themeat	634	Eastern Puroik	meriak	məriak	mə+riak	RS09	27	meat n.		
middle	MIDDLE	127_middle	1093	Eastern Puroik	aloo	alɔ	a+lɔ	RS09	27	middle n.		
the moon	MOON	128_themoon	1313	Eastern Puroik	aambo	aːmbo	aːm+bo	RS09	28	moon n.		
morning	MORNING	129_morning	1339	Eastern Puroik	apiye’	apije	a+pi+je	RS09	28	morning n.		
the mountain	MOUNTAIN	132_themountain	639	Eastern Puroik	alau	alau	a+lau	RS09	29	mountain n.		
the mouse or rat	MUROID (MOUSE OR RAT)	133_themouseorrat	2139	Eastern Puroik	sebue’, meheeng	səbue	sə+bue	RS09	29	mouse n.		
the mouth	MOUTH	134_themouth	674	Eastern Puroik	shaak, shak	ʃaːk	ʃaːk	RS09	29	mouth n.		
the mud	MUD	135_themud	640	Eastern Puroik	mezaik seriung	məzaik səriuŋ	mə+zaik+sə+riuŋ	RS09	29	mud n.		
the nail (fingernail or claw)	CLAW OR NAIL	136_thenailfingernailorclaw	2128	Eastern Puroik	gait sit, geik sik	gait sit	gait+sit	RS09	29	nail n.		
the name	NAME	137_thename	1405	Eastern Puroik	abiang	abiaŋ	a+biaŋ	RS09	29	name n.		
near	NEAR	139_near	1942	Eastern Puroik	aliye’, anui	anui	a+nui	RS09	29	near adj.		
the neck	NECK	140_theneck	1333	Eastern Puroik	khetong, khetoong	kʰətoŋ	kʰə+toŋ	RS09	29	neck n.		
the needle (for sewing)	NEEDLE (FOR SEWING)	141_theneedleforsewing	1382	Eastern Puroik	chakchik	tʃʰaktʃʰik	tʃʰak+tʃʰik	RS09	29	needle n.		
new	NEW	142_new	1231	Eastern Puroik	afaik	afaik	a+faik	RS09	29	new adj.		
nine	NINE	143_nine	1483	Eastern Puroik	doongye’	dɔngje	dɔnŋ+gje	RS09	30	nine cardinal no.		
the nose	NOSE	146_thenose	1221	Eastern Puroik	phok, poog	pʰok	pʰok	RS09	30	nose n.		
one	ONE	148_one	1493	Eastern Puroik	huui	huːi	huːi	RS09	31	one cardinal no. 		
outside	OUTSIDE	150_outside	762	Eastern Puroik	alhaang hak	aɬaːŋ hak	aɬaːŋ	RS09	31	out side adv.		
the pig	PIG	151_thepig	1337	Eastern Puroik	medau	mədau	mə+dau	RS09	33	pig n.		
to play	PLAY	153_toplay	1413	Eastern Puroik	laoe’ nyiang na	laoe ɲiang	laoe+ɲiang	RS09	31	play v.		
to push	PUSH	155_topush	1452	Eastern Puroik	noongna	nɔŋ	nɔŋ	RS09	35	push v.		
the rain	RAIN (PRECIPITATION)	156_therain	658	Eastern Puroik	aampiu	aːmpiu	aːm+piu	RS09	35	rain n.		
red	RED	158_red	156	Eastern Puroik	aiik, ariuk	ariuk	a+riuk	RS09	36	red adj.		
to reside (live)	DWELL (LIVE, RESIDE)	159_toresidelive	363	Eastern Puroik	jaana	dʒaː	dʒaː	RS09	37	reside v.		
right	RIGHT	161_right	1019	Eastern Puroik	akherak	akʰərak	a+kʰə+rak	RS09	37	right adv.		
the road	ROAD	163_theroad	667	Eastern Puroik	lain pujue’	lain pudʒue	lain+pu+dʒue	RS09	38	road n.		
the root	ROOT	164_theroot	670	Eastern Puroik	ziingraing	ziːŋraiŋ	ziːŋ+raiŋ	RS09	38	root n.		
the rope	ROPE	165_therope	1218	Eastern Puroik	rail	rail	rai	RS09	38	rope n.	'l’ autocorrect?	
round	ROUND	166_round	1395	Eastern Puroik	guongkulue’	guoŋkulue	guoŋ+ku+lue	RS09	38	round adj.		
the salt	SALT	168_thesalt	1274	Eastern Puroik	hoong	hɔŋ	hɔŋ	RS09	38	salt n.		
the sand	SAND	170_thesand	671	Eastern Puroik	piye’ chaig	pije tʃʰaig	pi+je+tʃʰaik	RS09	38	sand n.		
to scratch	SCRATCH	171_toscratch	1436	Eastern Puroik							?	
to see	SEE	173_tosee	1409	Eastern Puroik	jai na	dʒai	dʒai	RS09	38	see n.		
the seed	SEED	174_theseed	714	Eastern Puroik	lilee, melhae’	liləː	li+ləː	RS09	38	seed n.		
seven	SEVEN	175_seven	1704	Eastern Puroik	liye’	lije	li+je	RS09	39	seven cardinal no.		
sharp	SHARP	176_sharp	1396	Eastern Puroik	athua	atʰua	a+tʰua	RS09	39	sharp adj. 		
the shit	SHIT	250_theshit	676	Eastern Puroik	lhoung	ɬouŋ	ɬouŋ	AT90	15	stool		
to shoot (an arrow)	SHOOT	178_toshootanarrow	1172	Eastern Puroik	re’ na	re	re	RS09	39	shoot v.		
short	SHORT	179_short	1645	Eastern Puroik	athong	atʰoŋ	a+tʰoŋ	RS09	39	short adj.		
the shoulder	SHOULDER	180_theshoulder	1482	Eastern Puroik	poatok, puatok	puatok	pu+a+tok	RS09	39	shoulder n.		
to sing	SING	183_tosing	1261	Eastern Puroik	luitnyiang	luitɲiaŋ	luit+ɲiaŋ	RS09	39	sing v.		
six	SIX	184_six	1703	Eastern Puroik	rai’	raɯ	raɯ	RS09	39	six cardinal no.		
the skin	SKIN	185_theskin	763	Eastern Puroik	akhe, akhee	akʰə	a+kʰə	RS09	39	skin n.		
the sky	SKY	186_thesky	1732	Eastern Puroik	khemi’ng	kʰəmɯŋ	kʰə+mɯŋ	RS09	39	sky n.		
to sleep	SLEEP	187_tosleep	1585	Eastern Puroik	ream na	rɛm	rɛm	RS09	39	sleep v.		
small	SMALL	188_small	1246	Eastern Puroik	kheliang dau	kʰeliaŋ dau	kʰə+liaŋ+dau	RS09	39	small adj.		
to smell (perceive odor) [transitive]	SMELL (PERCEIVE)	189_tosmellperceiveodortransitive	1586	Eastern Puroik							?	
the smoke	SMOKE (EXHAUST)	190_thesmoke	778	Eastern Puroik	bae’khei’	baekʰeɯ	bae+kʰeɯ	RS09	40	smoke n.		
the snake	SNAKE	192_thesnake	730	Eastern Puroik	iijie’	iːdʒie	iː+dʒie	RS09	40	snake n.		
the snow	SNOW	193_thesnow	784	Eastern Puroik	kheruangbuang	kʰeruaŋbuaŋ	kʰə+ruaŋ+buaŋ	RS09	40	snow n.		
soft	SOFT	194_soft	1856	Eastern Puroik	anyiyam	aɲijam	a+ɲi+jam	RS09	40	soft adj.		
the son	SON	195_theson	1620	Eastern Puroik	adaufu, afudau	adaufu	a+dau+fu	RS09	40	son n.		
the spider	SPIDER	197_thespider	843	Eastern Puroik	woong kasuak	wɔŋ kasuak	wɔŋ+ka+suak	RS09	40	spider n.		
to spit	SPIT	198_tospit	1440	Eastern Puroik	kekik chiee na	kəkik tʃʰiəː	kə+kik+tʃʰiəː	RS09	40	spit v.		
to stand	STAND	199_tostand	1442	Eastern Puroik	ching na	tʃʰiŋ	tʃʰiŋ	RS09	40	stand v.		
the star	STAR	200_thestar	1430	Eastern Puroik	hagit	hagit	ha+git	RS09	40	star n.		
to steal	STEAL	201_tosteal	713	Eastern Puroik	aana, meaa na	aa	aː	RS09	41	steal v.		
the stick	STICK	202_thestick	1295	Eastern Puroik	hin miang chak	hin miaŋ tʃʰak	hin+miaŋ+tʃʰak	RS09	41	stick n.		
the stone (a piece of)	STONE	203_thestoneapieceof	857	Eastern Puroik	khebia	kʰebia	kʰə+bia	RS09	41	stone n.		
straight	STRAIGHT	204_straight	1404	Eastern Puroik	kherak berii	kʰərak bəriː	kʰə+rak+bə+riː	RS09	41	straight adj.		
the sun	SUN	205_thesun	1343	Eastern Puroik	kri	kri	kri	RS09	41	sun n.		
the tail	TAIL	206_thetail	1220	Eastern Puroik	aanyime’, nyime’	aːɲime	aː+ɲi+me	RS09	41	tail n. 		
ten	TEN	207_ten	1515	Eastern Puroik	suait	suait	suait	RS09	42	ten cardinal no.		
thick	THICK	210_thick	1244	Eastern Puroik	apik	apik	a+pik	AT90	30	thick		
the thigh	UPPER LEG (THIGH)	211_thethigh	471	Eastern Puroik	chae’kung, lae’buk	tʃʰaekuŋ	tʃʰae+kuŋ	RS09	42	thigh n.		
thin (object)	THIN (OF SHAPE OF OBJECT)	212_thinobject	2249	Eastern Puroik	achabdau, ataakdau	atʃʰabdau	a+tʃʰab+dau	RS09	42	thin adj.		
to think (reflect)	THINK (REFLECT)	213_tothinkreflect	1415	Eastern Puroik	mina	mi	mi	RS09	42	think v.		
thou [second person singular]	THOU	215_thousecondpersonsingular	1215	Eastern Puroik	naa	naː	naː	RS09	46	you		
three	THREE	216_three	492	Eastern Puroik	ek	ək	ək	RS09	42	three cardinal no.		
to throw	THROW	217_tothrow	1456	Eastern Puroik	tuigna	tuig	tuik	RS09	42	throw v.		
the thunder	THUNDER	218_thethunder	1150	Eastern Puroik	raanmang	raːnmaŋ	raːn+maŋ	RS09	42	thunder n.		
the tongue	TONGUE	222_thetongue	1205	Eastern Puroik	ruue’	ruːe	ruːe	RS09	43	tongue n.		
the tooth (front)	TOOTH	223_thetoothfront	1380	Eastern Puroik	khetoang raang	kʰətoaŋ	kʰə+toaŋ	RS09	43	toothache		
two	TWO	226_two	1498	Eastern Puroik	nyi	ɲi	ɲi	RS09	43	two cardinal no.		
to vomit	VOMIT	227_tovomit	1278	Eastern Puroik	moae’na	moae	moae	RS09	44	vomit v.		
to walk	WALK	228_towalk	1443	Eastern Puroik	gaamna	gaːm	gaːm	RS09	44	walk v.		
the water	WATER	229_thewater	948	Eastern Puroik	kua	kua	kua	RS09	44	water n.		
wet	WET	231_wet	1726	Eastern Puroik	hiyaapna, yaam na	hijaːp	hi+jaːp	RS09	45	wet adj.		
white	WHITE	235_white	1335	Eastern Puroik	arioong	ariooŋ	a+riɔŋ	RS09	45	white adj.		
who	WHO	236_who	1235	Eastern Puroik	ha, habo	ha	ha	RS09	45	who interrog. pron.		
the wind	WIND	238_thewind	960	Eastern Puroik	anghuik, hahuik	aŋhuik	aŋ+huik	RS09	2	air, wind n.		
the wing	WING	239_thewing	1257	Eastern Puroik	aayoik	aːjoik	aː+joik	RS09	45	wing n.		
to wipe	WIPE	240_towipe	1454	Eastern Puroik							?	
the woman	WOMAN	242_thewoman	962	Eastern Puroik	déna	dəna	də+na	AT90	3	woman		
the year	YEAR	245_theyear	1226	Eastern Puroik	di’	dɯ	dɯ	RS09	46	year n.		
yellow	YELLOW	246_yellow	1424	Eastern Puroik	asoluwa	asoluwa	a+so+lu+wa	AT90	31	yellow		
above	ABOVE	1_above 	1741	Eastern Puroik	ayung	ajuŋ	a+juŋ	AT90	34	above		
all	ALL	2_all	98	Eastern Puroik	melang	məlaŋ	mə+laŋ	RS09	2	all pref.		
the armpit	ARMPIT	4_thearmpit	1886	Eastern Puroik							?	
bad	BAD	5_bad	1292	Eastern Puroik	bayi’	bajɯ	ba+jɯ	RS09	4	bad adj.		
the barley (tibetan or highland)	BARLEY	7_thebarleytibetanorhighland	932	Eastern Puroik							?	
to be alive	BE ALIVE	8_tobealive	1422	Eastern Puroik	sikbae’	sikbae	sik+bae	RS09	2	alive adj.		
below, under	BELOW OR UNDER	10_belowunder	1485	Eastern Puroik	avoa hak	avoa hak	a+voa	RS09	5	below pre. adv		
to blow (of wind)	BLOW (OF WIND)	16_toblowofwind	175	Eastern Puroik	fukna	fuk	fuk	RS09	6	to blow v.		
the body hair (hair or fur)	HAIR (BODY)	17_thebodyhairhairorfur	189	Eastern Puroik	memoing anyiambo	məmoiŋ	mə+moiŋ	RS09	18	fur n.	in feather, fur	
the child (young human)	CHILD (YOUNG HUMAN)	24_thechildyounghuman	1304	Eastern Puroik	noadau	noadau	no+a+dau	RS09	9	child n.		
correct (right)	CORRECT (RIGHT)	28_correctright	1725	Eastern Puroik	ketakjak	kətakdʒak	kə+tak+dʒak	RS09	11	correctly adv.		
dark	DARK	31_dark	706	Eastern Puroik	achik	atʃʰik	a+tʃʰik	RS09	12	dark adj.		
the daughter	DAUGHTER	32_thedaughter	1357	Eastern Puroik	adaumui	adaumui	a+dau+mui	RS09	12	daughter n.		
early	EARLY	43_early	672	Eastern Puroik	khedi’che’	kʰədɯtʃʰe	kʰə+dɯ+tʃʰe	RS09	14	early adj.		
the earthworm	EARTHWORM	45_theearthworm	2350	Eastern Puroik	pekhii	pəkʰiː	pəkʰiː	RS09	15	earthworm n.		
the father	FATHER	51_thefather	1217	Eastern Puroik	apa	apa	a+pa	RS09	16	father adj.	adj.?	
the feather	FEATHER	52_thefeather	1201	Eastern Puroik	pedau memoing	pədau məmoiŋ	pə+dau+mə+moiŋ	RS09	16	feather n.	bird+bodyhair	
firewood	FIREWOOD	55_firewood	10	Eastern Puroik	hiyin	hijin	hi+jin	RS09	17	firewood n.		
the flea	FLEA	58_theflea	232	Eastern Puroik							?	
to float	FLOAT	59_tofloat	1574	Eastern Puroik	kuwabuwa	kuabuwa	kua+bu+wa	AT90	42	float		
to flow	FLOW	60_toflow	2003	Eastern Puroik	kua rue’yna	kua ruej	kua+ruej	RS09	17	flow v.		
the fog	FOG	63_thefog	249	Eastern Puroik	sasu	sasu	sa+su	RS09	17	fog n.		
the fox	FOX	68_thefox	1312	Eastern Puroik	sechuang	sətʃʰuaŋ	se+tʃʰuaŋ	RS09	18	fox n.	cf. wolf	
the frost	FROST	71_thefrost	2034	Eastern Puroik							?	
the grass	GRASS	77_thegrass	606	Eastern Puroik	sasai	sasai	sa+sai	RS09	19	grass n.		
here	HERE	88_here	136	Eastern Puroik	hena	həna	hə+na	RS09	20	here adv.		
high / tall	HIGH	90_hightall	1265	Eastern Puroik	agia	agia	a+gia	RS09	20	high adj.		
the hoof	HOOF	92_thehoof	152	Eastern Puroik	kéchai	kətʃʰai	kə+tʃʰai	AT90	16	hoof		
horizontal	HORIZONTAL	93_horizontal	2376	Eastern Puroik							?	
the horse	HORSE	95_thehorse	615	Eastern Puroik	ghora, sheta	ʃəta	ʃə+ta	RS09	21	horse n.	ghora = IA	
hundred	HUNDRED	98_hundred	1634	Eastern Puroik	leeng	ləːŋ	ləːŋ	RS09	21	hundred cardinal no.		
to hunt	HUNT	99_tohunt	1435	Eastern Puroik	mepiyana	məpija	mə+pi+ja	RS09	21	hunt v.		
the husband	HUSBAND	100_thehusband	1200	Eastern Puroik	avoe’y, awoe’	awoe	a+woe	RS09	21	husband n.		
the ice	ICE	102_theice	617	Eastern Puroik	khesi’	kʰəsɯ	kʰə+sɯ	RS09	21	ice n.		
to knead	KNEAD	105_toknead	274	Eastern Puroik							?	
knife	KNIFE	107_knife	1352	Eastern Puroik	che’dau	tʃʰedau	tʃʰe+dau	RS09	25	knife n.		
to know (something)	KNOW (SOMETHING)	108_toknowsomething	1410	Eastern Puroik	dait na	dait	dait	RS09	25	know v.		
the lake	LAKE	109_thelake	624	Eastern Puroik	amaing	amaiŋ	a+maiŋ	RS09	25	lake n.		
to learn	LEARN	113_tolearn	504	Eastern Puroik	migab hingab na	migap hingap	mi+gap+hin+gap	RS09	25	learn v.		
to lie down	LIE DOWN	116_toliedown	215	Eastern Puroik	raipuwa	raipuwa	rai+pu+wa	AT90	44	lie		
the lip (the lips)	LIP	118_thelipthelips	478	Eastern Puroik	kheche	kʰətʃʰə	kʰə+tʃʰə	RS09	26	lip n.		
to marry (a man marries a woman)	MARRY (AS MAN)	125_tomarryamanmarriesawoman	2164	Eastern Puroik	amui urue’ na	amui urue	a+mui+u+rue	RS09	27	marry v.		
the mosquito	MOSQUITO	130_themosquito	1509	Eastern Puroik	chungkya	tʃʰuŋkja	tʃʰuŋ+kja	AT90	24	mosquito		
the mother	MOTHER	131_themother	1216	Eastern Puroik	ama	ama	a+ma	RS09	28	mother voc.	n.?	
narrow	NARROW	138_narrow	1267	Eastern Puroik	akhehing	akʰəhiŋ	a+kʰə+hiŋ	RS09	29	narrow adj.		
the nit	NIT	144_thenit	267	Eastern Puroik							?	
noon	MIDDAY	145_noon	12	Eastern Puroik	arilo	arilo	a+ri+lo	RS09	27	mid day n.		
old (of person)	OLD (AGED)	147_oldofperson	2112	Eastern Puroik	amaing	amaiŋ	a+maiŋ	RS09	31	old adj.		
the otter	OTTER	149_theotter	15	Eastern Puroik							?	
to plant (vegetals, rice)	PLANT (SOMETHING)	152_toplantvegetalsrice	1486	Eastern Puroik	deina	dei	dei	AT90	45	plant		
to pull	PULL	154_topull	1455	Eastern Puroik	biaik na, ruye’ na	biaik	biaik	RS09	35	pull v.		
he rainbow	RAINBOW	157_therainbow	1733	Eastern Puroik	khelain	kʰəlain	kʰə+lain	RS09	35	rainbow n.		
the rice plant	RICE PLANT	160_thericeplant	2026	Eastern Puroik	amang	amaŋ	a+maŋ	RS09	37	rice n.	paddy	
the river	RIVER	162_theriver	666	Eastern Puroik	kuamoa, kuapi	kuapi	kua+pi	RS09	38	river n.		
to run	RUN	167_torun	1519	Eastern Puroik	phena	pʰe	pʰe	AT90	46	run		
salty	SALTY	169_salty	1091	Eastern Puroik							?	
the sea	SEA	172_thesea	1474	Eastern Puroik	sa nyiak kua	sa ɲiak kua	sa+ɲiak+kua	RS09	38	sea n.		
the sheep	SHEEP	177_thesheep	1331	Eastern Puroik	saya sebing	saja səbiŋ	sa+ja+sə+biŋ	RS09	39	sheep n.		
shy	SHY	181_shy	487	Eastern Puroik	araye’ na	araje	a+ra+je	RS09	39	shy adj.		
the sickle	SICKLE	182_thesickle	341	Eastern Puroik							?	
smooth	SMOOTH	191_smooth	1234	Eastern Puroik	anyiing	aɲiːŋ	a+ɲiːŋ	RS09	40	smooth adj. 		
the sparrow	SPARROW	196_thesparrow	1854	Eastern Puroik	pedang pedau	pədaŋ pədau	pə+daŋ+pə+dau	RS09	40	sparrow n.		
that	THAT	208_that	78	Eastern Puroik	je, wa	dʒə	dʒə	RS09	42	that pron. det.		
there	THERE	209_there	1937	Eastern Puroik	bhuu, wa	buː	buː	RS09	42	there adv.		
this	THIS	214_this	1214	Eastern Puroik	hang je’	haŋ dʒe	haŋ+dʒe	RS09	42	this pron. adj.		
