ENTRYID	form	gloss	CONCEPTICON_GLOSS	CONCEPTICON_ID	gfn	language	source	srcid	note
200918	dzɑ³¹ wɑ⁵⁵	sickle	SICKLE	341	592	Deng	ZMYYC		
214841	tɑ⁵⁵ dzɑi³⁵	sing	SING	1261	592	Deng	ZMYYC		
226724	kɯ³¹ tɑm⁵³	six	SIX	1703	592	Deng	ZMYYC		
193574	uŋ³⁵	skin	SKIN	763	592	Deng	ZMYYC		
180059	ȵɑuŋ⁵³	sky	SKY	1732	592	Deng	ZMYYC		
209690	ŋui⁵⁵	sleep	SLEEP	1585	592	Deng	ZMYYC		
220859	kɯ³¹ juŋ⁵⁵	small	SMALL	1246	592	Deng	ZMYYC		
207956	ntshiŋ⁵⁵	smell	SMELL (PERCEIVE)	1586	592	Deng	ZMYYC		
182354	tɑ³¹ khɯi⁵³	smoke	SMOKE (EXHAUST)	778	592	Deng	ZMYYC		
224990	thɑ̆u⁵³	smooth	SMOOTH	1234	592	Deng	ZMYYC		
187760	ɹuɯl³⁵	snake	SNAKE	730	592	Deng	ZMYYC		
180467	so⁵⁵	snow	SNOW	784	592	Deng	ZMYYC		
222440	kɑ⁵⁵ miŋ³⁵	soft	SOFT	1856	592	Deng	ZMYYC		
197297	sɑ⁵⁵ wɑi⁵³	son	SON	1620	592	Deng	ZMYYC		
191279	xɑ³¹ lɯl³⁵	seedling	SOW SEEDS	748	592	Deng	ZMYYC		
187556	ɑ³¹ ɹik³⁵	sparrow	SPARROW	1854	592	Deng	ZMYYC		
188117	toŋ⁵⁵ dui⁵⁵ sɑm³⁵	spider	SPIDER	843	592	Deng	ZMYYC		
207650	phɑt⁵⁵	spit	SPIT	1440	592	Deng	ZMYYC		
209027	loŋ⁵³	stand	STAND	1442	592	Deng	ZMYYC		
180212	kɯ³¹ grun³⁵	star	STAR	1430	592	Deng	ZMYYC		
216473	kɑl⁵⁵ xɯu⁵³	steal	STEAL	713	592	Deng	ZMYYC		
201887	ɕu⁵⁵ nɑ⁵³	stick	STICK	1295	592	Deng	ZMYYC		
191585	lɯm³⁵	stone / pit	STONE	857	592	Deng	ZMYYC		
221879	bloŋ³⁵	straight	STRAIGHT	1404	592	Deng	ZMYYC		
180110	min³⁵	sun	SUN	1343	592	Deng	ZMYYC		
189035	ɑ³¹ mɑ̆i⁵⁵	tail	TAIL	1220	592	Deng	ZMYYC		
226928	kiɑp⁵⁵ mu⁵³	ten	TEN	1515	592	Deng	ZMYYC		
230141	wɑ̆n³⁵	that	THAT	78	592	Deng	ZMYYC		
230192	ɑ³¹ hit⁵⁵ lɑm⁵⁵	there	THERE	1937	592	Deng	ZMYYC		
221471	bi³¹ tɕoŋ⁵⁵	thick	THICK	1244	592	Deng	ZMYYC		
223052	kɯ³¹ pɑ̆ŋ³⁵	thick	THICK	1244	592	Deng	ZMYYC		
221369	kɯ³¹ tɑi⁵⁵	thick	THICK	1244	592	Deng	ZMYYC		
221522	kɯ³¹ pɑ³⁵	thin	THIN (OF SHAPE OF OBJECT)	2249	592	Deng	ZMYYC		
217085	dɑ̆m⁵⁵	think	THINK (REFLECT)	1415	592	Deng	ZMYYC		
230039	ɑn⁵⁵	this	THIS	1214	592	Deng	ZMYYC		
229631	ȵo⁵³	you (sg.)	THOU	1215	592	Deng	ZMYYC		
226571	kɯ³¹ sɑ̆m⁵³	three	THREE	492	592	Deng	ZMYYC		
208466	mphlut⁵⁵	throw	THROW	1456	592	Deng	ZMYYC		
218513	tɯ³¹ mɑuŋ⁵³ kɹɑ̆n⁵⁵	thunder	THUNDER	1150	592	Deng	ZMYYC		
186332	bo⁵⁵ dɑ⁵⁵	tiger	TIGER	846	592	Deng	ZMYYC		
184547	tɯ³¹ ŋin⁵⁵ ɹɑ³⁵	today	TODAY	1283	592	Deng	ZMYYC		
184700	tɯ³¹ ɹuɑŋ⁵⁵ ɹɑ⁵³	tomorrow	TOMORROW	1329	592	Deng	ZMYYC		
192503	blɑi⁵³	tongue	TONGUE	1205	592	Deng	ZMYYC		
192452	si⁵⁵	tooth	TOOTH	1380	592	Deng	ZMYYC		
189086	sɑ̆ŋ³⁵	tree	TREE	906	592	Deng	ZMYYC		
227438	kɯ³¹ tɑl³⁵ mu⁵³	twenty	TWENTY	1710	592	Deng	ZMYYC		
226520	kɯ³¹ jin⁵³	two	TWO	1498	592	Deng	ZMYYC		
207701	phɑt⁵⁵	vomit	VOMIT	1278	592	Deng	ZMYYC		
209180	tɑi⁵⁵	walk	WALK	1443	592	Deng	ZMYYC		
210557	xɑ³¹ ŋɑp⁵⁵	water	WATER	948	592	Deng	ZMYYC		
229580	kin⁵⁵	we (inclusive)	WE (INCLUSIVE)	1131	592	Deng	ZMYYC		
224123	phom⁵⁵	wet	WET	1726	592	Deng	ZMYYC		
230294	ɕɑn⁵⁵	what	WHAT	1236	592	Deng	ZMYYC		
189596	glɑi⁵³	wheat	WHEAT	1077	592	Deng	ZMYYC		
230396	ji⁵⁵ hɑi⁵³	where	WHERE	1237	592	Deng	ZMYYC		
222848	kɯ³¹ mphlɑŋ⁵⁵	white	WHITE	1335	592	Deng	ZMYYC		
