GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
1st pl.	1131	WE (INCLUSIVE)
1st sg. (I)	1209	I
2nd pl. (familiar)	1213	YOU
2nd pl. (honorific)		
2nd sg. (familiar)	1215	THOU
2nd sg. (honorific)		
3rd pl.		
3rd sg. (female)		
3rd sg. (generic/male)	262	HE OR SHE OR IT
above	1741	ABOVE
all	98	ALL
ant	587	ANT
arrow		
ashes		
axe		
back		
bad	1292	BAD
bamboo	1927	BAMBOO
banana		
bear		
bee		
belly	1251	BELLY
below	1485	BELOW OR UNDER
betelnut		
big	1202	BIG
bird	937	BIRD
bitter		
black	163	BLACK
blanket		
blood	946	BLOOD
boat		
body		
bone	1394	BONE
bow		
branch	1531	BRANCH
broken		
broom		
buffalo		
cabbage		
candle		
cat		
cauliflower		
cheek		
chicken		
chin		
cloth		
clothing		
cloud	1489	CLOUD
cockroach		
coconut (ripe)		
cold	1287	COLD
cookedrice		
corn		
cow		
crocodile		
daughter	1357	DAUGHTER
day		
deep		
deer		
different		
dog	2009	DOG
door		
dry	1398	DRY
duck		
dust	2	DUST
ear	1247	EAR
egg	744	EGG
eggplant		
eight	1705	EIGHT
elbow		
elderbrother (gen)		
eldersister (gen)		
elephant		
eleven		
empty		
evening		
eye	1248	EYE
face		
far	1406	FAR
fast		
fat		
fat		
father	1217	FATHER
few		
finger		
fingernail	2128	CLAW OR NAIL
fire	221	FIRE
fish	227	FISH
five	493	FIVE
flower	239	FLOWER
fly		
foot	1301	FOOT
four	1500	FOUR
friend (male)		
frog	503	FROG
fruit	1507	FRUIT
full	1429	FULL
garlic		
goat	1502	GOAT
gold		
good	1035	GOOD
green	1425	GREEN
hair	1040	HAIR
hammer		
hand	1277	HAND
head	1256	HEAD
heart (organ)	1223	HEART
heavy	1210	HEAVY
horn (ofbuffalo)	1393	HORN (ANATOMY)
hot	1286	HOT
house	1252	HOUSE
houselizard (gecko)		
howmany		
hundred	1634	HUNDRED
hungry		
husband	1200	HUSBAND
insect		
jackfruit		
knee	1371	KNEE
knife (tocutmeat)	1352	KNIFE
leaf	628	LEAF
left	244	LEFT
light (notheavy)	1052	LIGHT (WEIGHT)
lightning		
lime (forbetelnut)		
liquor		
long	1203	LONG
man	2106	MALE PERSON
mango		
many	1198	MANY
meat	634	MEAT
medicine		
milk		
monkey		
month		
moon	1313	MOON
morning	1339	MORNING
mosquito	1509	MOSQUITO
mother	1216	MOTHER
mountain	639	MOUNTAIN
mouth	674	MOUTH
mud	640	MUD
name	1405	NAME
narrow	1267	NARROW
near	1942	NEAR
neck	1333	NECK
needle	1382	NEEDLE (FOR SEWING)
new	1231	NEW
night		
nine	1483	NINE
noon	12	MIDDAY
nose	1221	NOSE
oil		
old	2112	OLD (AGED)
one	1493	ONE
onion		
paddyrice	2026	RICE PLANT
palm		
paper		
path		
peanut		
person		
pig	1337	PIG
pillow		
potato		
rabbit		
rain	658	RAIN (PRECIPITATION)
rainbow	1733	RAINBOW
rat	2139	MUROID (MOUSE OR RAT)
red	156	RED
redpepper		
right	1019	RIGHT
ring (onfinger)		
ripe		
river	666	RIVER
road	667	ROAD
roof		
root	670	ROOT
rotten (fruit)		
salt	1274	SALT
same		
sand	671	SAND
sea	1474	SEA
seed	714	SEED
seven	1704	SEVEN
shallow		
short (length)	1645	SHORT
silver		
six	1703	SIX
skin	763	SKIN
sky	1732	SKY
slow		
small	1246	SMALL
smoke	778	SMOKE (EXHAUST)
snake	730	SNAKE
soil/ground	1228	EARTH (SOIL)
some		
son	1620	SON
sour		
spear		
spicy,hot	1286	HOT
spider	843	SPIDER
spoon (foreating)		
star	1430	STAR
stone	857	STONE
sugarcane		
sun	1343	SUN
sweat		
sweet		
tail	1220	TAIL
ten	1515	TEN
thatthing	78	THAT
thesethings		
thin	2249	THIN (OF SHAPE OF OBJECT)
thirsty		
thisthing	1214	THIS
thorn		
thosethings		
thousand		
thread		
three	492	THREE
thunder	1150	THUNDER
tiger	846	TIGER
tobite	1403	BITE
toboil (water)		
toburn	1428	BURNING
tobuy	1869	BUY
tocome	1446	COME
tocook		
tocry	1839	CRY
tocutsomething		
todance		
today	1283	TODAY
todie	1494	DIE
todo/make		
todream	2374	DREAM
todrink	1401	DRINK
toeat	1336	EAT
toenter		
tofly	1441	FLY (MOVE THROUGH AIR)
toforget	1523	FORGET
togive	1447	GIVE
togo		???
tohate		???
tohear	1408	HEAR
tokick		
tokill	1417	KILL
toknow	1410	KNOW (SOMETHING)
tolaugh	1355	LAUGH
tolie,fib		
tolift		
tolove		
tomorrow	1329	TOMORROW
tongue	1205	TONGUE
tooth	1380	TOOTH
toplay	1413	PLAY
topull	1455	PULL
topush	1452	PUSH
torest		
tosee	1409	SEE
tosell		
tosew		
tosing	1261	SING
tosit		
tosleep	1585	SLEEP
tospeak		
tostand	1442	STAND
tosteal	713	STEAL
toswim		
totake		
totakebath		
totell		
tothrow	1456	THROW
totie		
towait		
towalk	1443	WALK
towash		
toweave (onloom)		
towipe	1454	WIPE
towork		
tree	906	TREE
turtle		
twelve		
twenty	1710	TWENTY
two	1498	TWO
uncookedrice		
village		
wall ofhouse		
water	948	WATER
week		
wet	1726	WET
what	1236	WHAT
wheat	1077	WHEAT
when (nearfuture)		
where	1237	WHERE
white	1335	WHITE
who	1235	WHO
wide,broad		
wife	1199	WIFE
wind	960	WIND
window		
woman	962	WOMAN
year	1226	YEAR
yellow	1424	YELLOW
yesterday	1174	YESTERDAY
youngerbrother (gen)		
youngersister (gen)		
