GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
rainbow	Sagart-2019-250-157	the rainbow	4
rat	Sagart-2019-250-133	the mouse or rat	4
red	Sagart-2019-250-158	red	2
redpepper		???	
right	Sagart-2019-250-161	right	2
ring (onfinger)		???	
ripe		???	
river	Sagart-2019-250-162	the river	4
road	Sagart-2019-250-163	the road	4
roof		???	
root	Sagart-2019-250-164	the root	4
rotten (fruit)		???	
salt	Sagart-2019-250-168	the salt	4
same		???	
sand	Sagart-2019-250-170	the sand	4
sea	Sagart-2019-250-172	the sea	4
seed	Sagart-2019-250-174	the seed	4
seven	Sagart-2019-250-175	seven	2
shallow		???	
short (length)	Sagart-2019-250-179	short	4
silver		???	
six	Sagart-2019-250-184	six	2
skin	Sagart-2019-250-185	the skin	4
sky	Sagart-2019-250-186	the sky	4
slow		???	
small	Sagart-2019-250-188	small	2
smoke	Sagart-2019-250-190	the smoke	4
snake	Sagart-2019-250-192	the snake	4
soil/ground		???	
some		???	
son	Sagart-2019-250-195	the son	4
sour		???	
spear		???	
spicy,hot	Sagart-2019-250-96	hot	4
spider	Sagart-2019-250-197	the spider	4
spoon (foreating)		???	
star	Sagart-2019-250-200	the star	4
stone	Sagart-2019-250-203	the stone (a piece of)	4
sugarcane		???	
sun	Sagart-2019-250-205	the sun	4
sweat		???	
sweet		???	
tail	Sagart-2019-250-206	the tail	4
ten	Sagart-2019-250-207	ten	2
thatthing		???	
thesethings		???	
thin	Sagart-2019-250-212	thin (object)	4
thirsty		???	
thisthing		???	
thorn		???	
thosethings		???	
thousand		???	
thread		???	
three	Sagart-2019-250-216	three	2
thunder	Sagart-2019-250-218	the thunder	4
tiger	Sagart-2019-250-219	the tiger	4
tobite		???	
toboil (water)		???	
toburn		???	
tobuy		???	
tocome		???	
tocook		???	
tocry		???	
tocutsomething		???	
todance		???	
today	Sagart-2019-250-220	today	2
todie		???	
todo/make		???	
todream		???	
todrink		???	
toeat		???	
toenter		???	
tofly		???	
toforget		???	
togive		???	
togo		???	
tohate		???	
tohear		???	
tokick		???	
tokill		???	
toknow		???	
tolaugh		???	
tolie,fib		???	
tolift		???	
tolove		???	
tomorrow	Sagart-2019-250-221	tomorrow	2
tongue	Sagart-2019-250-222	the tongue	4
tooth	Sagart-2019-250-223	the tooth (front)	4
toplay		???	
topull		???	
topush		???	
torest		???	
tosee		???	
tosell		???	
tosew		???	
tosing		???	
tosit		???	
tosleep		???	
tospeak		???	
tostand		???	
tosteal		???	
toswim		???	
totake		???	
totakebath		???	
totell		???	
tothrow		???	
totie		???	
towait		???	
towalk		???	
towash		???	
toweave (onloom)		???	
towipe		???	
towork		???	
tree	Sagart-2019-250-224	the tree	4
turtle		???	
twelve		???	
twenty	Sagart-2019-250-225	twenty	2
two	Sagart-2019-250-226	two	2
uncookedrice		???	
village		???	
wall ofhouse		???	
water	Sagart-2019-250-229	the water	4
week		???	
wet	Sagart-2019-250-231	wet	2
what	Sagart-2019-250-232	what	2
wheat	Sagart-2019-250-233	the wheat	4
when (nearfuture)		???	
where	Sagart-2019-250-234	where	2
white	Sagart-2019-250-235	white	2
who	Sagart-2019-250-236	who	2
wide,broad		???	
wife	Sagart-2019-250-237	the wife	4
wind	Sagart-2019-250-238	the wind	4
window		???	
woman	Sagart-2019-250-242	the woman	4
year	Sagart-2019-250-245	the year	4
yellow	Sagart-2019-250-246	yellow	2
yesterday	Sagart-2019-250-247	yesterday	2
youngerbrother (gen)		???	
youngersister (gen)		???	
#	128/307	42%

