GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1st pl.		???	
1st sg. (I)		???	
2nd pl. (familiar)		???	
2nd pl. (honorific)		???	
2nd sg. (familiar)		???	
2nd sg. (honorific)		???	
3rd pl.		???	
3rd sg. (female)		???	
3rd sg. (generic/male)		???	
above	Sagart-2019-250-1	above	2
all	Sagart-2019-250-2	all	2
ant	Sagart-2019-250-3	the ant	4
arrow		???	
ashes		???	
axe		???	
back		???	
bad	Sagart-2019-250-5	bad	2
bamboo	Sagart-2019-250-6	the bamboo	4
banana		???	
bear		???	
bee		???	
belly	Sagart-2019-250-9	the belly	4
below	Sagart-2019-250-10	below, under	4
betelnut		???	
big	Sagart-2019-250-11	big	2
bird	Sagart-2019-250-12	the bird	4
bitter		???	
black	Sagart-2019-250-14	black	2
blanket		???	
blood	Sagart-2019-250-15	the blood	4
boat		???	
body		???	
bone	Sagart-2019-250-18	the bone	4
bow		???	
branch	Sagart-2019-250-19	the branch	4
broken		???	
broom		???	
buffalo		???	
cabbage		???	
candle		???	
cat		???	
cauliflower		???	
cheek		???	
chicken		???	
chin		???	
cloth		???	
clothing		???	
cloud	Sagart-2019-250-25	the cloud	4
cockroach		???	
coconut (ripe)		???	
cold	Sagart-2019-250-26	cold (of temperature)	4
cookedrice		???	
corn		???	
cow		???	
crocodile		???	
daughter	Sagart-2019-250-32	the daughter	4
day		???	
deep		???	
deer		???	
different		???	
dog	Sagart-2019-250-37	the dog	4
door		???	
dry	Sagart-2019-250-40	dry	2
duck		???	
dust	Sagart-2019-250-41	the dust	4
ear	Sagart-2019-250-42	the ear	4
egg	Sagart-2019-250-47	the egg	4
eggplant		???	
eight	Sagart-2019-250-48	eight	2
elbow		???	
elderbrother (gen)		???	
eldersister (gen)		???	
elephant		???	
eleven		???	
empty		???	
evening		???	
eye	Sagart-2019-250-49	the eye	4
face		???	
far	Sagart-2019-250-50	far	2
fast		???	
fat		???	
fat		???	
father	Sagart-2019-250-51	the father	4
few		???	
finger		???	
fingernail		???	
fire	Sagart-2019-250-54	the fire	4
fish	Sagart-2019-250-56	the fish	4
five	Sagart-2019-250-57	five	2
flower	Sagart-2019-250-61	the flower	4
fly	Sagart-2019-250-62	to fly (move through air)	4
foot	Sagart-2019-250-64	the foot	4
four	Sagart-2019-250-67	four	2
friend (male)		???	
frog	Sagart-2019-250-69	the frog	4
fruit	Sagart-2019-250-72	the fruit	4
full	Sagart-2019-250-73	full	2
garlic		???	
goat	Sagart-2019-250-75	the goat	4
gold		???	
good	Sagart-2019-250-76	good	2
green	Sagart-2019-250-78	green	2
hair	Sagart-2019-250-80	the hair (of the head)	4
hammer		???	
hand	Sagart-2019-250-81	the hand	4
head	Sagart-2019-250-84	the head	4
heart (organ)	Sagart-2019-250-86	the heart	4
heavy	Sagart-2019-250-87	heavy	2
horn (ofbuffalo)	Sagart-2019-250-94	the horn (keratinized skin)	4
hot	Sagart-2019-250-96	hot	2
house	Sagart-2019-250-97	the house	4
houselizard (gecko)		???	
howmany		???	
hundred	Sagart-2019-250-98	hundred	2
hungry		???	
husband	Sagart-2019-250-100	the husband	4
insect		???	
jackfruit		???	
knee	Sagart-2019-250-106	the knee	4
knife (tocutmeat)	Sagart-2019-250-107	knife	4
leaf	Sagart-2019-250-112	the leaf	4
left	Sagart-2019-250-114	left	2
light (notheavy)	Sagart-2019-250-117	light (of weight)	4
lightning		???	
lime (forbetelnut)		???	
liquor		???	
long	Sagart-2019-250-120	long	2
man	Sagart-2019-250-123	the man (male human)	4
mango		???	
many	Sagart-2019-250-124	many	2
meat	Sagart-2019-250-126	the meat	4
medicine		???	
milk		???	
monkey		???	
month		???	
moon	Sagart-2019-250-128	the moon	4
morning	Sagart-2019-250-129	morning	2
mosquito	Sagart-2019-250-130	the mosquito	4
mother	Sagart-2019-250-131	the mother	4
mountain	Sagart-2019-250-132	the mountain	4
mouth	Sagart-2019-250-134	the mouth	4
mud	Sagart-2019-250-135	the mud	4
name	Sagart-2019-250-137	the name	4
narrow	Sagart-2019-250-138	narrow	2
near	Sagart-2019-250-139	near	2
neck	Sagart-2019-250-140	the neck	4
needle	Sagart-2019-250-141	the needle (for sewing)	4
new	Sagart-2019-250-142	new	2
night		???	
nine	Sagart-2019-250-143	nine	2
noon	Sagart-2019-250-145	noon	2
nose	Sagart-2019-250-146	the nose	4
oil		???	
old	Sagart-2019-250-147	old (of person)	4
one	Sagart-2019-250-148	one	2
onion		???	
paddyrice		???	
palm		???	
paper		???	
path		???	
peanut		???	
person		???	
pig	Sagart-2019-250-151	the pig	4
pillow		???	
potato		???	
rabbit		???	
rain	Sagart-2019-250-156	the rain	4
