RID	GLOSS	DOCULECT	LANGUAGE_NAME	CONCEPTICON_GLOSS	CONCEPTICON_ID	VALUE	FORM	SOURCE
1	1st sg. (I)	BugunBichom	Bugun	I	1209	"go; gu"	go	Abraham
10	all	BugunNamphri	Bugun	ALL	98	"tham; dʒap"	tham	Abraham
22	below	BugunBichom	Bugun	BELOW OR UNDER	1485	"bətʃou; ləwa"	bətʃou	Abraham
27	black	BugunBichom	Bugun	BLACK	163	"esai; soi"	esai	Abraham
47	cloud	BugunBichom	Bugun	CLOUD	1489	"tʃakamaŋ; sĕkmou"	tʃakamaŋ	Abraham
55	daughter	BugunBichom	Bugun	DAUGHTER	1357	"dimi; satəi"	dimi	Abraham
82	father	BugunKaspi	Bugun	FATHER	1217	"ap; aphu"	aphu	Abraham
89	flower	BugunBichom	Bugun	FLOWER	239	"bua; ebua"	bua	Abraham
91	foot	BugunBichom	Bugun	FOOT	1301	"lei; lue"	lei	Abraham
94	frog	BugunBichom	Bugun	FROG	503	"rak; rap"	rak	Abraham
101	green	BugunBichom	Bugun	GREEN	1425	"ere; re"	ere	Abraham
101	green	BugunKaspi	Bugun	GREEN	1425	"ere; re"	ere	Abraham
109	hot	BugunWangho	Bugun	HOT	1286	"etʃek; eluŋ"	etʃek	Abraham
129	many	BugunBichom	Bugun	MANY	1198	"badʒa; pamei"	pamei	Abraham
129	many	BugunNamphri	Bugun	MANY	1198	"badʒo; məno"	məno	Abraham
141	mud	BugunWangho	Bugun	MUD	640	"khaʃoŋ; kalija"	khaʃoŋ	Abraham
142	name	BugunKaspi	Bugun	NAME	1405	"ebeŋ; mbeŋ"	ebeŋ	Abraham
144	near	BugunNamphri	Bugun	NEAR	1942	"anoi; atʃua"	atʃua	Abraham
156	paddyrice	BugunBichom	Bugun	RICE PLANT	2026	"niʃik; ŋiŋgausik"	niʃik	Abraham
167	rainbow	BugunWangho	Bugun	RAINBOW	1733	"pharaŋphakhuwak; saraŋmokhuwaŋ"	pharaŋphakhuwak	Abraham
169	red	BugunBichom	Bugun	RED	156	"eʃaik; ʃeik"	eʃaik	Abraham
182	sea	BugunWangho	Bugun	SEA	1474	"tʃumoŋkhou; kharuwai"	tʃumoŋkhou	Abraham
182	sea	BugunBichom	Bugun	SEA	1474	"khobu; təpməkhən"	khobu	Abraham
215	thisthing	BugunBichom	Bugun	THIS	1214	"heiphomono; mənohi"	heiphomono	Abraham
222	tiger	BugunNamphri	Bugun	TIGER	846	"batʃaeŋ; matʃuwa"	batʃaeŋ	Abraham
223	tobite	BugunWangho	Bugun	BITE	1403	"khrik; nik"	khrik	Abraham
284	two	BugunBichom	Bugun	TWO	1498	"ɲiŋ; niʔ"	ɲiŋ	Abraham
290	wet	BugunWangho	Bugun	WET	1726	"eʃoi; emum"	eʃoi	Abraham
290	wet	BugunBichom	Bugun	WET	1726	"eʃoŋ; emam; eləŋ"	eʃoŋ	Abraham
292	wheat	BugunBichom	Bugun	WHEAT	1077	"phijok; tʃoʔ"	phijok	Abraham
295	white	BugunBichom	Bugun	WHITE	1335	"emou; mõu"	emou	Abraham
303	yellow	BugunBichom	Bugun	YELLOW	1424	"dʒoi; edʒoi"	dʒoi	Abraham
