ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	LOAN	SOURCE	NOTES	MORPHEMES
7169	101_ifirstpersonsingular	I [first person singular]	DikhyangBugun	Bugun	ko	ko	k o	dikh1234	1209	27.320448	92.454924	799	799	FALSE	TB		ifirstpersonsingular
8	1_above	above	DikhyangBugun	Bugun	sa.ba.kʰuŋ	sa.ba.kʰuŋ	s a + b a + kʰ u ŋ	dikh1234	1741	27.320448	92.454924	785	785	FALSE	TB		_above _above _above
81	2_all	all	DikhyangBugun	Bugun	zap.pʰa	zap.pʰa	z a p + pʰ a	dikh1234	98	27.320448	92.454924	795	795	FALSE	TB		_all _all
274	5_bad	bad	DikhyangBugun	Bugun	a.vʲə	a.vʲə	a + v j ə	dikh1234	1292	27.320448	92.454924	800	800	FALSE	TB		_bad _bad
618	10_belowunder	below, under	DikhyangBugun	Bugun	kʰə.luə	kʰə.luə	kʰ ə + l u/w ə	dikh1234	1485	27.320448	92.454924	808	808	FALSE	TB		_belowunder _belowunder
695	11_big	big	DikhyangBugun	Bugun	ə.põ	ə.põ	ə + p õ	dikh1234	1202	27.320448	92.454924	584	584	FALSE	TB		_big _big
931	14_black	black	DikhyangBugun	Bugun	ə.saj	ə.saj	ə + s a j	dikh1234	163	27.320448	92.454924	19	19	FALSE	TB		_black _black
1792	26_coldoftemperature	cold (of temperature)	DikhyangBugun	Bugun	ə.tɕʰaj	ə.tɕʰaj	ə + tɕʰ a j	dikh1234	1287	27.320448	92.454924	1083	1083	FALSE	TB		_coldoftemperature _coldoftemperature
1968	28_correctright	correct (right)	DikhyangBugun	Bugun	ə.suɛ	ə.suɛ	ə + s u/w ɛ	dikh1234	1725	27.320448	92.454924	812	812	FALSE	TB		_correctright _correctright
2532	36_dirty	dirty	DikhyangBugun	Bugun	ə.sʲɔ	ə.sʲɔ	ə + s j ɔ	dikh1234	1230	27.320448	92.454924	824	824	FALSE	TB		_dirty _dirty
2835	40_dry	dry	DikhyangBugun	Bugun	ə.kau	ə.kau	ə + k au	dikh1234	1398	27.320448	92.454924	1092	1092	FALSE	TB		_dry _dry
3415	48_eight	eight	DikhyangBugun	Bugun	mə.la	mə.la	m ə + l a	dikh1234	1705	27.320448	92.454924	2282	2282	FALSE	TB		_eight _eight
3561	50_far	far	DikhyangBugun	Bugun	hõ rɛ.ɛ ruaŋ	hõ_rɛ.ɛ_ruaŋ	h õ + r ɛ + ɛ + r u/w a ŋ	dikh1234	1406	27.320448	92.454924	4053	4053	FALSE	TB		_far _far _far _far
3931	55_firewood	firewood	DikhyangBugun	Bugun	hiŋ	hiŋ	h i ŋ	dikh1234	10	27.320448	92.454924		0	FALSE	TB		firewood
4064	57_five	five	DikhyangBugun	Bugun	gu.wə	gu.wə	g u + w ə	dikh1234	493	27.320448	92.454924	10357	10357	FALSE	TB		_five _five
4755	67_four	four	DikhyangBugun	Bugun	vi	vi	v i	dikh1234	1500	27.320448	92.454924	263	263	FALSE	TB		four
5150	73_full	full	DikhyangBugun	Bugun	ə.li.je	ə.li.je	ə + l i + j e	dikh1234	1429	27.320448	92.454924	832	832	FALSE	TB		_full _full _full
5381	76_good	good	DikhyangBugun	Bugun	ə.vʲə	ə.vʲə	ə + v j ə	dikh1234	1035	27.320448	92.454924	833	833	FALSE	TB		_good _good
5545	78_green	green	DikhyangBugun	Bugun	ə.rɛ	ə.rɛ	ə + r ɛ	dikh1234	1425	27.320448	92.454924	839	839	FALSE	TB		_green _green
5837	82_hard	hard	DikhyangBugun	Bugun	ə.kɔŋ	ə.kɔŋ	ə + k ɔ ŋ	dikh1234	1884	27.320448	92.454924	10568	10568	FALSE	TB		_hard _hard
