ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	LOAN	SOURCE	NOTES	MORPHEMES
5913	83_heorshethirdpersonsingular	he or she [third person singular]	DikhyangBugun	Bugun	oɛ	oɛ	oɛ	dikh1234	262	27.320448	92.454924	846	846	FALSE	TB		heorshethirdpersonsingular
6223	87_heavy	heavy	DikhyangBugun	Bugun	ə.laj	ə.laj	ə + l a j	dikh1234	1210	27.320448	92.454924	10379	10379	FALSE	TB		_heavy _heavy
6299	88_here	here	DikhyangBugun	Bugun	e.tɕʰə̃	e.tɕʰə̃	e + tɕʰ ə̃	dikh1234	136	27.320448	92.454924	851	851	FALSE	TB		_here _here
6808	96_hot	hot	DikhyangBugun	Bugun	ə.tɕʰɛk	ə.tɕʰɛk	ə + tɕʰ ɛ k	dikh1234	1286	27.320448	92.454924	857	857	FALSE	TB		_hot _hot
6960	98_hundred	hundred	DikhyangBugun	Bugun	viɛm dʑa	viɛm_dʑa	v iɛ m + dʑ a	dikh1234	1634	27.320448	92.454924	185	185	FALSE	TB		_hundred _hundred
7307	103_inside	inside	DikhyangBugun	Bugun	p.tɕʰaw	p.tɕʰaw	p + tɕʰ au	dikh1234	1606	27.320448	92.454924	861	861	FALSE	TB		_inside _inside
7579	107_knife	knife	DikhyangBugun	Bugun	mə.dua	mə.dua	m ə + d u/w a	dikh1234	1352	27.320448	92.454924	588	588	FALSE	TB		_knife _knife
8056	114_left	left	DikhyangBugun	Bugun	pʰa.wik rəj	pʰa.wik_rəj	pʰ a + w i k + r ə j	dikh1234	244	27.320448	92.454924	422	422	FALSE	TB		_left _left _left
8279	117_lightofweight	light (of weight)	DikhyangBugun	Bugun	ə.tʰow	ə.tʰow	ə + tʰ ou	dikh1234	1052	27.320448	92.454924	31	31	FALSE	TB		_lightofweight _lightofweight
8490	120_long	long	DikhyangBugun	Bugun	ə.pʰjaŋ	ə.pʰjaŋ	ə + pʰ j a ŋ	dikh1234	1203	27.320448	92.454924	2336	2336	FALSE	TB		_long _long
8792	124_many	many	DikhyangBugun	Bugun	ba.me	ba.me	b a + m e	dikh1234	1198	27.320448	92.454924	1027	1027	FALSE	TB		_many _many
9135	129_morning	morning	DikhyangBugun	Bugun	ha.mʲaŋ	ha.mʲaŋ	h a + m j a ŋ	dikh1234	1339	27.320448	92.454924	610	610	FALSE	TB		_morning _morning
9826	138_narrow	narrow	DikhyangBugun	Bugun	ə+dua	ə+dua	ə + d u/w a	dikh1234	1267	27.320448	92.454924		0	FALSE	TB		_narrow _narrow
9896	139_near	near	DikhyangBugun	Bugun	hõ m.wɔj	hõ_m.wɔj	h õ + m + w ɔ j	dikh1234	1942	27.320448	92.454924	616	616	FALSE	TB		_near _near _near
10129	142_new	new	DikhyangBugun	Bugun	e.voŋ	e.voŋ	e + v o ŋ	dikh1234	1231	27.320448	92.454924	643	643	FALSE	TB		_new _new
10204	143_nine	nine	DikhyangBugun	Bugun	ti.ke	ti.ke	t i + k e	dikh1234	1483	27.320448	92.454924	24	24	FALSE	TB		_nine _nine
10309	145_noon	noon	DikhyangBugun	Bugun	ha.nɛŋ	ha.nɛŋ	h a + n ɛ ŋ	dikh1234	12	27.320448	92.454924	445	445	FALSE	TB		_noon _noon
10457	147_oldofperson	old (of person)	DikhyangBugun	Bugun	ə.hɛk	ə.hɛk	ə + h ɛ k	dikh1234	2112	27.320448	92.454924		0	FALSE	TB		_oldofperson _oldofperson
10533	148_one	one	DikhyangBugun	Bugun	tsʲɔ̃	tsʲɔ̃	ts j ɔ̃	dikh1234	1493	27.320448	92.454924	655	655	FALSE	TB		one
11250	158_red	red	DikhyangBugun	Bugun	ə.ɕɛk	ə.ɕɛk	ə + ɕ ɛ k	dikh1234	156	27.320448	92.454924	3656	3656	FALSE	TB		_red _red
11462	161_right	right	DikhyangBugun	Bugun	pʰa.zoj rəj	pʰa.zoj_rəj	pʰ a + z o j + r ə j	dikh1234	1019	27.320448	92.454924	660	660	FALSE	TB		_right _right _right
11845	166_round	round	DikhyangBugun	Bugun	ə.buj	ə.buj	ə + b u j	dikh1234	1395	27.320448	92.454924	667	667	FALSE	TB		_round _round
12469	175_seven	seven	DikhyangBugun	Bugun	mə.li.ja	mə.li.ja	m ə + l i + j a	dikh1234	1704	27.320448	92.454924	43	43	FALSE	TB		_seven _seven _seven
12540	176_sharp	sharp	DikhyangBugun	Bugun	ʨʰəp	ʨʰəp	tɕʰ ə p	dikh1234	1396	27.320448	92.454924	568	568	FALSE	TB		sharp
12744	179_short	short	DikhyangBugun	Bugun	ə.dum	ə.dum	ə + d u m	dikh1234	1645	27.320448	92.454924	4170	4170	FALSE	TB		_short _short
12887	181_shy	shy	DikhyangBugun	Bugun	wɔ̃.ma	wɔ̃.ma	w ɔ̃ + m a	dikh1234	487	27.320448	92.454924	2476	2476	FALSE	TB		_shy _shy
13068	184_six	six	DikhyangBugun	Bugun	rap	rap	r a p	dikh1234	1703	27.320448	92.454924	702	702	FALSE	TB		six
13371	188_small	small	DikhyangBugun	Bugun	ə+ti+dua	ə+ti+dua	ə + t i + d u/w a	dikh1234	1246	27.320448	92.454924		0	FALSE	TB		_small _small _small
13593	191_smooth	smooth	DikhyangBugun	Bugun	ə.dʑum	ə.dʑum	ə + dʑ u m	dikh1234	1234	27.320448	92.454924		0	FALSE	TB		_smooth _smooth
13808	194_soft	soft	DikhyangBugun	Bugun	ə.dʑum	ə.dʑum	ə + dʑ u m	dikh1234	1856	27.320448	92.454924	573	573	FALSE	TB		_soft _soft
14533	204_straight	straight	DikhyangBugun	Bugun	mʲəŋ	mʲəŋ	m j ə ŋ	dikh1234	1404	27.320448	92.454924	717	717	FALSE	TB		straight
14763	207_ten	ten	DikhyangBugun	Bugun	su.wã	su.wã	s u + w ã	dikh1234	1515	27.320448	92.454924	364	364	FALSE	TB		_ten _ten
153	3_theant	the ant	DikhyangBugun	Bugun	ɕi.ɲiŋ	ɕi.ɲiŋ	ɕ i + ɲ i ŋ	dikh1234	587	27.320448	92.454924	29744	29744	FALSE	TB		_theant _theant
357	6_thebamboo	the bamboo	DikhyangBugun	Bugun	moɛ	moɛ	m oɛ	dikh1234	1927	27.320448	92.454924	3481	3481	FALSE	TB		thebamboo
434	7_thebarleytibetanorhighland	the barley (tibetan or highland)	DikhyangBugun	Bugun	pʰʲuk	pʰʲuk	pʰ j u k	dikh1234	932	27.320448	92.454924	48	48	FALSE	TB		thebarleytibetanorhighland
542	9_thebelly	the belly	DikhyangBugun	Bugun	luj	luj	l u j	dikh1234	1251	27.320448	92.454924	884	884	FALSE	TB		thebelly
775	12_thebird	the bird	DikhyangBugun	Bugun	fuə	fuə	f u/w ə	dikh1234	937	27.320448	92.454924	10267	10267	FALSE	TB		thebird
1012	15_theblood	the blood	DikhyangBugun	Bugun	ə.fuɛ	ə.fuɛ	ə + f u/w ɛ	dikh1234	946	27.320448	92.454924	29703	29703	FALSE	TB		_theblood _theblood
1147	17_thebodyhairhairorfur	the body hair (hair or fur)	DikhyangBugun	Bugun	i.man	i.man	i + m a n	dikh1234	189	27.320448	92.454924	141	141	FALSE	TB		_thebodyhairhairorfur _thebodyhairhairorfur
1215	18_thebone	the bone	DikhyangBugun	Bugun	ə.zɛŋ	ə.zɛŋ	ə + z ɛ ŋ	dikh1234	1394	27.320448	92.454924	112	112	FALSE	TB		_thebone _thebone
1293	19_thebranch	the branch	DikhyangBugun	Bugun	ə.pʰɔŋ	ə.pʰɔŋ	ə + pʰ ɔ ŋ	dikh1234	1531	27.320448	92.454924	2062	2062	FALSE	TB		_thebranch _thebranch
1365	20_thebreastfemale	the breast (female)	DikhyangBugun	Bugun	ɲeo	ɲeo	ɲ eo	dikh1234	1402	27.320448	92.454924	10186	10186	FALSE	TB		thebreastfemale
1654	24_thechildyounghuman	the child (young human)	DikhyangBugun	Bugun	a.ny	a.ny	a + n y	dikh1234	1304	27.320448	92.454924	890	890	FALSE	TB		_thechildyounghuman _thechildyounghuman
1716	25_thecloud	the cloud	DikhyangBugun	Bugun	sə.kʰa.maw	sə.kʰa.maw	s ə + kʰ a + m au	dikh1234	1489	27.320448	92.454924	89	89	FALSE	TB		_thecloud _thecloud _thecloud
2238	32_thedaughter	the daughter	DikhyangBugun	Bugun	də.mi	də.mi	d ə + m i	dikh1234	1357	27.320448	92.454924	1150	1150	FALSE	TB		_thedaughter _thedaughter
2603	37_thedog	the dog	DikhyangBugun	Bugun	tɕɔj	tɕɔj	tɕ ɔ j	dikh1234	2009	27.320448	92.454924	10554	10554	FALSE	TB		thedog
2680	38_thedream	the dream	DikhyangBugun	Bugun	ə.bɔŋ.bɔŋ	ə.bɔŋ.bɔŋ	ə + b ɔ ŋ + b ɔ ŋ	dikh1234	2374	27.320448	92.454924	10217	10217	FALSE	TB		_thedream _thedream _thedream
2913	41_thedust	the dust	DikhyangBugun	Bugun	ɲa.pʰlap	ɲa.pʰlap	ɲ a + pʰ l a p	dikh1234	2	27.320448	92.454924	911	911	FALSE	TB		_thedust _thedust
2989	42_theear	the ear	DikhyangBugun	Bugun	kʰɔ̃	kʰɔ̃	kʰ ɔ̃	dikh1234	1247	27.320448	92.454924	913	913	FALSE	TB		theear
3121	44_theearthsoil	the earth (soil)	DikhyangBugun	Bugun	ɲak	ɲak	ɲ a k	dikh1234	1228	27.320448	92.454924	921	921	FALSE	TB		theearthsoil
3196	45_theearthworm	the earthworm	DikhyangBugun	Bugun	ta.tʰi	ta.tʰi	t a + tʰ i	dikh1234	2350	27.320448	92.454924	1158	1158	FALSE	TB		_theearthworm _theearthworm
3336	47_theegg	the egg	DikhyangBugun	Bugun	ə.ri	ə.ri	ə + r i	dikh1234	744	27.320448	92.454924	3399	3399	FALSE	TB		_theegg _theegg
3486	49_theeye	the eye	DikhyangBugun	Bugun	mʲɛk	mʲɛk	m j ɛ k	dikh1234	1248	27.320448	92.454924	4	4	FALSE	TB		theeye
3637	51_thefather	the father	DikhyangBugun	Bugun	a.pʰua	a.pʰua	a + pʰ u/w a	dikh1234	1217	27.320448	92.454924	107	107	FALSE	TB		_thefather _thefather
3715	52_thefeather	the feather	DikhyangBugun	Bugun	i.man	i.man	i + m a n	dikh1234	1201	27.320448	92.454924		0	FALSE	TB		_thefeather _thefeather
3854	54_thefire	the fire	DikhyangBugun	Bugun	boɛ	boɛ	b oɛ	dikh1234	221	27.320448	92.454924	1746	1746	FALSE	TB		thefire
3988	56_thefish	the fish	DikhyangBugun	Bugun	ũə	ũə	ũə	dikh1234	227	27.320448	92.454924	186	186	FALSE	TB		thefish
4313	61_theflower	the flower	DikhyangBugun	Bugun	ə.bua	ə.bua	ə + b u/w a	dikh1234	239	27.320448	92.454924	10205	10205	FALSE	TB		_theflower _theflower
4465	63_thefog	the fog	DikhyangBugun	Bugun	sə.kʰa.maw	sə.kʰa.maw	s ə + kʰ a + m au	dikh1234	249	27.320448	92.454924		0	FALSE	TB		_thefog _thefog _thefog
4529	64_thefoot	the foot	DikhyangBugun	Bugun	loɛ	loɛ	l oɛ	dikh1234	1301	27.320448	92.454924	2602	2602	FALSE	TB		thefoot
4605	65_theforest	the forest	DikhyangBugun	Bugun	tɕa.pɔm	tɕa.pɔm	tɕ a + p ɔ m	dikh1234	420	27.320448	92.454924	281	281	FALSE	TB		_theforest _theforest
4827	68_thefox	the fox	DikhyangBugun	Bugun	su.lu.gur	su.lu.gur	s u + l u + g u r	dikh1234	1312	27.320448	92.454924	1352	1352	FALSE	TB		_thefox _thefox _thefox
4873	69_thefrog	the frog	DikhyangBugun	Bugun	rap	rap	r a p	dikh1234	503	27.320448	92.454924	307	307	FALSE	TB		thefrog
5073	72_thefruit	the fruit	DikhyangBugun	Bugun	ə.vɔj	ə.vɔj	ə + v ɔ j	dikh1234	1507	27.320448	92.454924	360	360	FALSE	TB		_thefruit _thefruit
5305	75_thegoat	the goat	DikhyangBugun	Bugun	sə.pʰin	sə.pʰin	s ə + pʰ i n	dikh1234	1502	27.320448	92.454924	376	376	FALSE	TB		_thegoat _thegoat
5472	77_thegrass	the grass	DikhyangBugun	Bugun	saiŋ	saiŋ	s a i ŋ	dikh1234	606	27.320448	92.454924		0	FALSE	TB		thegrass
5621	79_thehail	the hail	DikhyangBugun	Bugun	ha.bʲɛn	ha.bʲɛn	h a + b j ɛ n	dikh1234	609	27.320448	92.454924	766	766	FALSE	TB		_thehail _thehail
5686	80_thehairofthehead	the hair (of the head)	DikhyangBugun	Bugun	kʰa.zi.jɔŋ	kʰa.zi.jɔŋ	kʰ a + z i + j ɔ ŋ	dikh1234	1040	27.320448	92.454924	426	426	FALSE	TB		_thehairofthehead _thehairofthehead _thehairofthehead
5762	81_thehand	the hand	DikhyangBugun	Bugun	wat	wat	w a t	dikh1234	1277	27.320448	92.454924	1398	1398	FALSE	TB		thehand
5984	84_thehead	the head	DikhyangBugun	Bugun	kʰ.ruk	kʰ.ruk	kʰ + r u k	dikh1234	1256	27.320448	92.454924	1388	1388	FALSE	TB		_thehead _thehead
6145	86_theheart	the heart	DikhyangBugun	Bugun	ə.lə.baw	ə.lə.baw	ə + l ə + b au	dikh1234	1223	27.320448	92.454924	436	436	FALSE	TB		_theheart _theheart _theheart
6675	94_thehornkeratinizedskin	the horn (keratinized skin)	DikhyangBugun	Bugun	ə.rʲɔŋ	ə.rʲɔŋ	ə + r j ɔ ŋ	dikh1234	1393	27.320448	92.454924	29719	29719	FALSE	TB		_thehornkeratinizedskin _thehornkeratinizedskin
6750	95_thehorse	the horse	DikhyangBugun	Bugun	sə.tʰua	sə.tʰua	s ə + tʰ u/w a	dikh1234	615	27.320448	92.454924	3150	3150	FALSE	TB		_thehorse _thehorse
6889	97_thehouse	the house	DikhyangBugun	Bugun	hõ	hõ	h õ	dikh1234	1252	27.320448	92.454924	213	213	FALSE	TB		thehouse
7101	100_thehusband	the husband	DikhyangBugun	Bugun	kɛ	kɛ	k ɛ	dikh1234	1200	27.320448	92.454924	224	224	FALSE	TB		thehusband
7246	102_theice	the ice	DikhyangBugun	Bugun	sa.pʰryp	sa.pʰryp	s a + pʰ r y p	dikh1234	617	27.320448	92.454924	16	16	FALSE	TB		_theice _theice
7501	106_theknee	the knee	DikhyangBugun	Bugun	la.gʲuŋ	la.gʲuŋ	l a + g j u ŋ	dikh1234	1371	27.320448	92.454924	738	738	FALSE	TB		_theknee _theknee
7711	109_thelake	the lake	DikhyangBugun	Bugun	kʰa.bɔŋ	kʰa.bɔŋ	kʰ a + b ɔ ŋ	dikh1234	624	27.320448	92.454924	748	748	FALSE	TB		_thelake _thelake
7919	112_theleaf	the leaf	DikhyangBugun	Bugun	ə.rap	ə.rap	ə + r a p	dikh1234	628	27.320448	92.454924	234	234	FALSE	TB		_theleaf _theleaf
8416	119_theliver	the liver	DikhyangBugun	Bugun	ə.pʰin	ə.pʰin	ə + pʰ i n	dikh1234	1224	27.320448	92.454924	2076	2076	FALSE	TB		_theliver _theliver
8570	121_thelouse	the louse	DikhyangBugun	Bugun	dʑy.ry.juŋ	dʑy.ry.juŋ	dʑ y + r y + j u ŋ	dikh1234	1392	27.320448	92.454924	235	235	FALSE	TB		_thelouse _thelouse _thelouse
8642	122_thelung	the lung	DikhyangBugun	Bugun	ə.raw	ə.raw	ə + r au	dikh1234	688	27.320448	92.454924	761	761	FALSE	TB		_thelung _thelung
8714	123_themanmalehuman	the man (male human)	DikhyangBugun	Bugun	bu.fua	bu.fua	b u + f u/w a	dikh1234	2106	27.320448	92.454924	753	753	FALSE	TB		_themanmalehuman _themanmalehuman
8913	126_themeat	the meat	DikhyangBugun	Bugun	ə.ɕaw	ə.ɕaw	ə + ɕ au	dikh1234	634	27.320448	92.454924	10227	10227	FALSE	TB		_themeat _themeat
9059	128_themoon	the moon	DikhyangBugun	Bugun	ha.bʲe	ha.bʲe	h a + b j e	dikh1234	1313	27.320448	92.454924	2081	2081	FALSE	TB		_themoon _themoon
9213	130_themosquito	the mosquito	DikhyangBugun	Bugun	tsy.kə.dzɔŋ	tsy.kə.dzɔŋ	ts y + k ə + dz ɔ ŋ	dikh1234	1509	27.320448	92.454924	2908	2908	FALSE	TB		_themosquito _themosquito _themosquito
9280	131_themother	the mother	DikhyangBugun	Bugun	a.mua	a.mua	a + m u/w a	dikh1234	1216	27.320448	92.454924	937	937	FALSE	TB		_themother _themother
9361	132_themountain	the mountain	DikhyangBugun	Bugun	pʰam	pʰam	pʰ a m	dikh1234	639	27.320448	92.454924	1274	1274	FALSE	TB		themountain
9440	133_themouseorrat	the mouse or rat	DikhyangBugun	Bugun	tʰuŋ	tʰuŋ	tʰ u ŋ	dikh1234	2139	27.320448	92.454924	2423	2423	FALSE	TB		themouseorrat
9518	134_themouth	the mouth	DikhyangBugun	Bugun	sʲam	sʲam	s j a m	dikh1234	674	27.320448	92.454924	944	944	FALSE	TB		themouth
9598	135_themud	the mud	DikhyangBugun	Bugun	ka.ɕɔŋ	ka.ɕɔŋ	k a + ɕ ɔ ŋ	dikh1234	640	27.320448	92.454924	960	960	FALSE	TB		_themud _themud
9670	136_thenailfingernailorclaw	the nail (fingernail or claw)	DikhyangBugun	Bugun	bə.sɛn	bə.sɛn	b ə + s ɛ n	dikh1234	2128	27.320448	92.454924	88	88	FALSE	TB		_thenailfingernailorclaw _thenailfingernailorclaw
9749	137_thename	the name	DikhyangBugun	Bugun	ə.bɛŋ	ə.bɛŋ	ə + b ɛ ŋ	dikh1234	1405	27.320448	92.454924	18	18	FALSE	TB		_thename _thename
9975	140_theneck	the neck	DikhyangBugun	Bugun	ra.guŋ ju.ŋã	ra.guŋ_ju.ŋã	r a + g u ŋ + j u + ŋ ã	dikh1234	1333	27.320448	92.454924	971	971	FALSE	TB		_theneck _theneck _theneck _theneck
10056	141_theneedleforsewing	the needle (for sewing)	DikhyangBugun	Bugun	sə.mɛn	sə.mɛn	s ə + m ɛ n	dikh1234	1382	27.320448	92.454924	819	819	FALSE	TB		_theneedleforsewing _theneedleforsewing
10380	146_thenose	the nose	DikhyangBugun	Bugun	e.pʰuŋ	e.pʰuŋ	e + pʰ u ŋ	dikh1234	1221	27.320448	92.454924	2108	2108	FALSE	TB		_thenose _thenose
10611	149_theotter	the otter	DikhyangBugun	Bugun	ũ.mɔk	ũ.mɔk	ũ + m ɔ k	dikh1234	15	27.320448	92.454924	156	156	FALSE	TB		_theotter _theotter
10732	151_thepig	the pig	DikhyangBugun	Bugun	wɔk	wɔk	w ɔ k	dikh1234	1337	27.320448	92.454924	2092	2092	FALSE	TB		thepig
11104	156_therain	the rain	DikhyangBugun	Bugun	ha.pʰʲɛ	ha.pʰʲɛ	h a + pʰ j ɛ	dikh1234	658	27.320448	92.454924	982	982	FALSE	TB		_therain _therain
11182	157_therainbow	the rainbow	DikhyangBugun	Bugun	pʰa.ruaŋ ma.kʰuaŋ	pʰa.ruaŋ_ma.kʰuaŋ	pʰ a + r u/w a ŋ + m a + kʰ u/w a ŋ	dikh1234	1733	27.320448	92.454924	987	987	FALSE	TB		_therainbow _therainbow _therainbow _therainbow
11410	160_thericeplant	the rice plant	DikhyangBugun	Bugun	ɲɛn.kau	ɲɛn.kau	ɲ ɛ n + k au	dikh1234	2026	27.320448	92.454924	9001	9001	FALSE	TB		_thericeplant _thericeplant
11538	162_theriver	the river	DikhyangBugun	Bugun	kʰo.bo	kʰo.bo	kʰ o + b o	dikh1234	666	27.320448	92.454924	995	995	FALSE	TB		_theriver _theriver
11619	163_theroad	the road	DikhyangBugun	Bugun	lə.muə	lə.muə	l ə + m u/w ə	dikh1234	667	27.320448	92.454924	2206	2206	FALSE	TB		_theroad _theroad
11696	164_theroot	the root	DikhyangBugun	Bugun	ə.rəŋ	ə.rəŋ	ə + r ə ŋ	dikh1234	670	27.320448	92.454924	225	225	FALSE	TB		_theroot _theroot
11773	165_therope	the rope	DikhyangBugun	Bugun	ra.tʰɔŋ	ra.tʰɔŋ	r a + tʰ ɔ ŋ	dikh1234	1218	27.320448	92.454924	1011	1011	FALSE	TB		_therope _therope
11993	168_thesalt	the salt	DikhyangBugun	Bugun	sə.ruə	sə.ruə	s ə + r u/w ə	dikh1234	1274	27.320448	92.454924	1017	1017	FALSE	TB		_thesalt _thesalt
12122	170_thesand	the sand	DikhyangBugun	Bugun	ba.li	ba.li	b a + l i	dikh1234	671	27.320448	92.454924	10565	10565	TRUE	TB		_thesand _thesand
12393	174_theseed	the seed	DikhyangBugun	Bugun	ə.raj	ə.raj	ə + r a j	dikh1234	714	27.320448	92.454924	4165	4165	FALSE	TB		_theseed _theseed
12608	177_thesheep	the sheep	DikhyangBugun	Bugun	sə.ɕuɛ	sə.ɕuɛ	s ə + ɕ u/w ɛ	dikh1234	1331	27.320448	92.454924	3028	3028	FALSE	TB		_thesheep _thesheep
17802	250_theshit	the shit	DikhyangBugun	Bugun	əɛ̃	əɛ̃	ə ɛ̃	dikh1234	676	27.320448	92.454924	120	120	FALSE	TB		theshit
12816	180_theshoulder	the shoulder	DikhyangBugun	Bugun	pʰa.bum	pʰa.bum	pʰ a + b u m	dikh1234	1482	27.320448	92.454924	10168	10168	FALSE	TB		_theshoulder _theshoulder
13138	185_theskin	the skin	DikhyangBugun	Bugun	e.kʰuk	e.kʰuk	e + kʰ u k	dikh1234	763	27.320448	92.454924	689	689	FALSE	TB		_theskin _theskin
13217	186_thesky	the sky	DikhyangBugun	Bugun	ha.maw	ha.maw	h a + m au	dikh1234	1732	27.320448	92.454924	499	499	FALSE	TB		_thesky _thesky
13518	190_thesmoke	the smoke	DikhyangBugun	Bugun	ba.kʰaw	ba.kʰaw	b a + kʰ au	dikh1234	778	27.320448	92.454924	68	68	FALSE	TB		_thesmoke _thesmoke
13661	192_thesnake	the snake	DikhyangBugun	Bugun	pʰaw	pʰaw	pʰ au	dikh1234	730	27.320448	92.454924	3590	3590	FALSE	TB		thesnake
13739	193_thesnow	the snow	DikhyangBugun	Bugun	ha.jyn	ha.jyn	h a + j y n	dikh1234	784	27.320448	92.454924	3886	3886	FALSE	TB		_thesnow _thesnow
13885	195_theson	the son	DikhyangBugun	Bugun	do.hua	do.hua	d o + h u/w a	dikh1234	1620	27.320448	92.454924	1075	1075	FALSE	TB		_theson _theson
13961	196_thesparrow	the sparrow	DikhyangBugun	Bugun	tsʰe.la.luŋ	tsʰe.la.luŋ	tsʰ e + l a + l u ŋ	dikh1234	1854	27.320448	92.454924	6022	6022	FALSE	TB		_thesparrow _thesparrow _thesparrow
14008	197_thespider	the spider	DikhyangBugun	Bugun	sar.kaw	sar.kaw	s a r + k au	dikh1234	843	27.320448	92.454924	1096	1096	FALSE	TB		_thespider _thespider
14236	200_thestar	the star	DikhyangBugun	Bugun	tsa.trɔŋ	tsa.trɔŋ	ts a + t r ɔ ŋ	dikh1234	1430	27.320448	92.454924	1114	1114	FALSE	TB		_thestar _thestar
14389	202_thestick	the stick	DikhyangBugun	Bugun	tʰa.gyn	tʰa.gyn	tʰ a + g y n	dikh1234	1295	27.320448	92.454924	1129	1129	FALSE	TB		_thestick _thestick
14459	203_thestoneapieceof	the stone (a piece of)	DikhyangBugun	Bugun	lə.bau	lə.bau	l ə + b au	dikh1234	857	27.320448	92.454924	81	81	FALSE	TB		_thestoneapieceof _thestoneapieceof
14605	205_thesun	the sun	DikhyangBugun	Bugun	ha.nɛŋ	ha.nɛŋ	h a + n ɛ ŋ	dikh1234	1343	27.320448	92.454924	1131	1131	FALSE	TB		_thesun _thesun
14683	206_thetail	the tail	DikhyangBugun	Bugun	ə.ɲuj	ə.ɲuj	ə + ɲ u j	dikh1234	1220	27.320448	92.454924	84	84	FALSE	TB		_thetail _thetail
15030	211_thethigh	the thigh	DikhyangBugun	Bugun	la.pʰɔk	la.pʰɔk	l a + pʰ ɔ k	dikh1234	471	27.320448	92.454924	1149	1149	FALSE	TB		_thethigh _thethigh
