RID	GLOSS	DOCULECT	LANGUAGE_NAME	CONCEPTICON_GLOSS	CONCEPTICON_ID	VALUE	FORM	SOURCE
								
0	1st pl.	BugunWangho	Bugun	WE (INCLUSIVE)	1131	kəthəa	kəthəa	Abraham
								
0	1st pl.	BugunBichom	Bugun	WE (INCLUSIVE)	1131	khət̪he	khət̪he	Abraham
								
0	1st pl.	BugunSingchung	Bugun	WE (INCLUSIVE)	1131	kəthəa	kəthəa	Abraham
								
0	1st pl.	BugunKaspi	Bugun	WE (INCLUSIVE)	1131	khət̪he	khət̪he	Abraham
								
0	1st pl.	BugunNamphri	Bugun	WE (INCLUSIVE)	1131	gəthəe	gəthəe	Abraham
								
1	1st sg. (I)	BugunWangho	Bugun	I	1209	ko	ko	Abraham
								
1	1st sg. (I)	BugunBichom	Bugun	I	1209	"go; gu"	go	Abraham
								
1	1st sg. (I)	BugunSingchung	Bugun	I	1209	go	go	Abraham
								
1	1st sg. (I)	BugunKaspi	Bugun	I	1209	gu	gu	Abraham
								
1	1st sg. (I)	BugunNamphri	Bugun	I	1209	go	go	Abraham
								
3	2nd pl. (honorific)	BugunWangho	Bugun	YOU	1213	nathəa	nathəa	Abraham
								
3	2nd pl. (honorific)	BugunBichom	Bugun	YOU	1213	nathek	nathek	Abraham
								
3	2nd pl. (honorific)	BugunSingchung	Bugun	YOU	1213	nathəa	nathəa	Abraham
								
3	2nd pl. (honorific)	BugunKaspi	Bugun	YOU	1213	nathe	nathe	Abraham
								
3	2nd pl. (honorific)	BugunNamphri	Bugun	YOU	1213	nathəa	nathəa	Abraham
								
5	2nd sg. (honorific)	BugunWangho	Bugun	THOU	1215	no	no	Abraham
								
5	2nd sg. (honorific)	BugunBichom	Bugun	THOU	1215	no	no	Abraham
								
5	2nd sg. (honorific)	BugunSingchung	Bugun	THOU	1215	no	no	Abraham
								
5	2nd sg. (honorific)	BugunKaspi	Bugun	THOU	1215	no	no	Abraham
								
5	2nd sg. (honorific)	BugunNamphri	Bugun	THOU	1215	no	no	Abraham
								
8	3rd sg. (generic/male)	BugunWangho	Bugun	HE OR SHE OR IT	262	we	we	Abraham
								
8	3rd sg. (generic/male)	BugunBichom	Bugun	HE OR SHE OR IT	262	uwe	uwe	Abraham
								
8	3rd sg. (generic/male)	BugunSingchung	Bugun	HE OR SHE OR IT	262	oe	oe	Abraham
								
8	3rd sg. (generic/male)	BugunKaspi	Bugun	HE OR SHE OR IT	262	thei	thei	Abraham
								
8	3rd sg. (generic/male)	BugunNamphri	Bugun	HE OR SHE OR IT	262	oe	oe	Abraham
								
9	above	BugunWangho	Bugun	ABOVE	1741	lakhuŋ	lakhuŋ	Abraham
								
9	above	BugunBichom	Bugun	ABOVE	1741	lakhuŋ	lakhuŋ	Abraham
								
9	above	BugunSingchung	Bugun	ABOVE	1741	lakhuŋ	lakhuŋ	Abraham
								
9	above	BugunKaspi	Bugun	ABOVE	1741	lakhuŋ	lakhuŋ	Abraham
								
9	above	BugunNamphri	Bugun	ABOVE	1741	lakhuŋ	lakhuŋ	Abraham
								
10	all	BugunWangho	Bugun	ALL	98	dʒap	dʒap	Abraham
								
10	all	BugunBichom	Bugun	ALL	98	dʒap	dʒap	Abraham
								
