RID	GLOSS	DOCULECT	LANGUAGE_NAME	CONCEPTICON_GLOSS	CONCEPTICON_ID	VALUE	FORM	SOURCE
								
0	1st pl.	WanghoBugun	Bugun	WE (INCLUSIVE)	1131	kəthəa	kə+tʰəa	AB18
								
0	1st pl.	BichomBugun	Bugun	WE (INCLUSIVE)	1131	khət̪he	kʰə+t̪ʰe	AB18
								
0	1st pl.	SingchungBugun	Bugun	WE (INCLUSIVE)	1131	kəthəa	kə+tʰəa	AB18
								
0	1st pl.	KaspiBugun	Bugun	WE (INCLUSIVE)	1131	khət̪he	kʰə+t̪ʰe	AB18
								
0	1st pl.	NamphriBugun	Bugun	WE (INCLUSIVE)	1131	gəthəe	gə+tʰəe	AB18
								
1	1st sg. (I)	WanghoBugun	Bugun	I	1209	ko	ko	AB18
								
1	1st sg. (I)	BichomBugun	Bugun	I	1209	go; gu	go	AB18
								
1	1st sg. (I)	SingchungBugun	Bugun	I	1209	go	go	AB18
								
1	1st sg. (I)	KaspiBugun	Bugun	I	1209	gu	gu	AB18
								
1	1st sg. (I)	NamphriBugun	Bugun	I	1209	go	go	AB18
								
2	2nd pl. (familiar)	WanghoBugun	Bugun	YOU	1213	nathəa	na+tʰəa	AB18
								
2	2nd pl. (familiar)	BichomBugun	Bugun	YOU	1213	nat̪hek	na+t̪ʰek	AB18
								
2	2nd pl. (familiar)	SingchungBugun	Bugun	YOU	1213	nathəa	na+tʰəa	AB18
								
2	2nd pl. (familiar)	KaspiBugun	Bugun	YOU	1213	nathe	na+tʰe	AB18
								
2	2nd pl. (familiar)	NamphriBugun	Bugun	YOU	1213	nathəa	na+tʰəa	AB18
								
4	2nd sg. (familiar)	WanghoBugun	Bugun	THOU	1215	no	no	AB18
								
4	2nd sg. (familiar)	BichomBugun	Bugun	THOU	1215	no	no	AB18
								
4	2nd sg. (familiar)	SingchungBugun	Bugun	THOU	1215	no	no	AB18
								
4	2nd sg. (familiar)	KaspiBugun	Bugun	THOU	1215	no	no	AB18
								
4	2nd sg. (familiar)	NamphriBugun	Bugun	THOU	1215	no	no	AB18
								
8	3rd sg. (generic/male)	WanghoBugun	Bugun	HE OR SHE OR IT	262	we	we	AB18
								
8	3rd sg. (generic/male)	BichomBugun	Bugun	HE OR SHE OR IT	262	uwe	u+we	AB18
								
8	3rd sg. (generic/male)	SingchungBugun	Bugun	HE OR SHE OR IT	262	oe	oe	AB18
								
8	3rd sg. (generic/male)	KaspiBugun	Bugun	HE OR SHE OR IT	262	thei	tʰei	AB18
								
8	3rd sg. (generic/male)	NamphriBugun	Bugun	HE OR SHE OR IT	262	oe	oe	AB18
								
9	above	WanghoBugun	Bugun	ABOVE	1741	lakhuŋ	la+kʰuŋ	AB18
								
9	above	BichomBugun	Bugun	ABOVE	1741	lakhuŋ	la+kʰuŋ	AB18
								
9	above	SingchungBugun	Bugun	ABOVE	1741	lakhuŋ	la+kʰuŋ	AB18
								
9	above	KaspiBugun	Bugun	ABOVE	1741	lakhuŋ	la+kʰuŋ	AB18
								
9	above	NamphriBugun	Bugun	ABOVE	1741	lakhuŋ	la+kʰuŋ	AB18
								
10	all	WanghoBugun	Bugun	ALL	98	dʒap	dʒap	AB18
								
10	all	BichomBugun	Bugun	ALL	98	dʒap	dʒap	AB18
								
10	all	SingchungBugun	Bugun	ALL	98	dʒap	dʒap	AB18
								
10	all	KaspiBugun	Bugun	ALL	98	dʒap	dʒap	AB18
								
10	all	NamphriBugun	Bugun	ALL	98	tham; dʒap	tʰam	AB18
								
11	ant	WanghoBugun	Bugun	ANT	587	ʃiŋiŋ	ʃi+ŋiŋ	AB18
								
11	ant	BichomBugun	Bugun	ANT	587	siiŋ	siːŋ	AB18
								
11	ant	SingchungBugun	Bugun	ANT	587	ʃiŋiŋ	ʃi+ŋiŋ	AB18
								
11	ant	KaspiBugun	Bugun	ANT	587	ʃiŋiŋ	ʃi+ŋiŋ	AB18
								
11	ant	NamphriBugun	Bugun	ANT	587	ʃiŋiŋ	ʃi+ŋiŋ	AB18
								
16	bad	WanghoBugun	Bugun	BAD	1292	avije	a+vje	AB18
								
16	bad	BichomBugun	Bugun	BAD	1292	avije	a+vje	AB18
								
16	bad	SingchungBugun	Bugun	BAD	1292	avije	a+vje	AB18
								
16	bad	KaspiBugun	Bugun	BAD	1292	avije	a+vje	AB18
								
16	bad	NamphriBugun	Bugun	BAD	1292	avije	a+vje	AB18
								
17	bamboo	WanghoBugun	Bugun	BAMBOO	1927	moi	moi	AB18
								
17	bamboo	BichomBugun	Bugun	BAMBOO	1927	muẽ	muẽ	AB18
								
17	bamboo	SingchungBugun	Bugun	BAMBOO	1927	moi	moi	AB18
								
17	bamboo	KaspiBugun	Bugun	BAMBOO	1927	mai	mai	AB18
								
17	bamboo	NamphriBugun	Bugun	BAMBOO	1927	mai	mai	AB18
								
