RID	DOCULECT	CONCEPT	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE	NOTES	SEGMENTS
3	Bangru	mosquito	MOSQUITO		1509	taruŋ	taruŋ			
7	Bangru	spider	SPIDER		843	aparaŋga	aparaŋga			
12	Bangru	rainbow	RAINBOW		1733	harigogo	harigogo			
15	Bangru	knee	KNEE		1371	ləbəŋ	ləbəŋ			
16	Bangru	left	LEFT		244	laʔt͡ʃi	laʔtʃi			
17	Bangru	right	RIGHT		1019	laʔbjɛk	laʔbjɛk			
18	Bangru	dog	DOG		2009	sopɛː	sopɛː			
19	Bangru	branch	BRANCH		1531	aːʔ	aːʔ			
23	EMiji	mosquito	MOSQUITO		1509	sirdoŋmai ~ sirijoŋdaŋmai	sirdoŋmai ~ sirijoŋdaŋmai			
27	EMiji	spider	SPIDER		843	nərija(nam)	nərija(nam)			
32	EMiji	rainbow	RAINBOW		1733	jomonəkəi	jomonəkəi			
35	EMiji	knee	KNEE		1371	lekəpiu	lekəpiu			
36	EMiji	left	LEFT		244	sivijo	sivijo			
37	EMiji	right	RIGHT		1019	ɕədʒen	ɕədʒen			
38	EMiji	dog	DOG		2009	zazai	zazai			
39	EMiji	branch	BRANCH		1531	gonotʃaŋ ~ mənətʃaŋ	gonotʃaŋ ~ mənətʃaŋ			
43	WMiji	mosquito	MOSQUITO		1509	sərədaŋ ~ sirijaŋdo ~ suriŋdaŋ	sərədaŋ ~ sirijaŋdo ~ suriŋdaŋ			
47	WMiji	spider	SPIDER		843	baʃidərgau ~ batʃibegau ~ basidərgiaŋ	baʃidərgau ~ batʃibegau ~ basidərgiaŋ			
52	WMiji	rainbow	RAINBOW		1733	rumudəkʰre ~ dʒimodəkʰe ~ dʒumodəkʰre	rumudəkʰre ~ dʒimodəkʰe ~ dʒumodəkʰre			
55	WMiji	knee	KNEE		1371	lekəpiu ~ legəpʰu ~ leikʰu	lekəpiu ~ legəpʰu ~ leikʰu			
56	WMiji	left	LEFT		244	sivijo ~ savijo	sivijo ~ savijo			
57	WMiji	right	RIGHT		1019	sidʒən ~ sidʒiŋ	sidʒən ~ sidʒiŋ			
58	WMiji	dog	DOG		2009	ʃadʒi ~ sadʒik ~ ʃazeʔ	ʃadʒi ~ sadʒik ~ ʃazeʔ			
59	WMiji	branch	BRANCH		1531	mətʃitʃau ~ (o/u)dətʃa(ŋ)	mətʃitʃau ~ (o/u)dətʃa(ŋ)			
63	Hruso	mosquito	MOSQUITO		1509	səxən (SA)	səxən (SA)			
67	Hruso	spider	SPIDER		843	ʃagəxa	ʃagəxa			
72	Hruso	rainbow	RAINBOW		1733	ɲedʒiləgo; jed͡ʒǎʃə (SA)	ɲedʒiləgo; jedʒǎʃə (SA)			
75	Hruso	knee	KNEE		1371	ʔəʃpə; əʃipʰə (SA)	ʔəʃpə; əʃipʰə (SA)			
76	Hruso	left	LEFT		244	ɸovo; pʰəvo (SA)	ɸovo; pʰəvo (SA)			
77	Hruso	right	RIGHT		1019	tʃədʒə; sət͡zə (SA)	tʃədʒə; sətzə (SA)			
78	Hruso	dog	DOG		2009	ʃyjo; səljo ~ t͡səlo (SA)	ʃyjo; səljo ~ tsəlo (SA)			
79	Hruso	branch	BRANCH		1531	ʃoɸo, ʔoɸotsa	ʃoɸo, ʔoɸotsa			
82	Bangru	ant	ANT		587	səɲiː	səɲiː			
85	Bangru	bad	BAD		1292	mənɛ̃ĩ(ŋ)	mənɛ̃ĩ(ŋ)			
86	Bangru	bamboo (big)	BAMBOO		1927	baː	baː			
90	Bangru	big (thick, wide)	BIG		1202	mədua; məbjaː ~ məbɛː	mədua; məbjaː ~ məbɛː			
91	Bangru	bird	BIRD		937	pәd͡ʑuː 	pәdʑuː 			
92	Bangru	bite	BITE		1403	toː	toː			
95	Bangru	blood	BLOOD		946	jaː	jaː			
96	Bangru	blow	BLOW (OF WIND)		175	màìˀ	màìˀ			
98	Bangru	body hair, feather	HAIR (BODY)		189	məməŋ	məməŋ			
100	Bangru	bone	BONE		1394	məriː	məriː			
103	Bangru	breast; milk	BREAST		1402	mənəŋ	mənəŋ			
105	Bangru	burn	BURNING		1428	(mɛː) d͡ʑoː; blɤ53 (LB)	(mɛː) dʑoː; blɤ53 (LB)			
106	Bangru	cane; rope	ROPE		1218	suː ~ ɕuː	suː ~ ɕuː			
108	Bangru	child	CHILD (YOUNG HUMAN)		1304	məd͡ʑuː	mədʑuː			
111	Bangru	cloud	CLOUD		1489	waːwəː	waːwəː			
117	Bangru	cry	CRY		1839	k(j)eː	k(j)eː			
122	Bangru	die	DIE		1494	tai	tai			
123	Bangru	dig	DIG		1418	taː	taː			
124	Bangru	dirty	DIRTY		1230	ɲət͡ɕi̤	ɲətɕi̤			
127	Bangru	dream	DREAM		2374	tjamәː	tjamәː			
128	Bangru	drink	DRINK		1401	toŋ ~ tuŋ	toŋ ~ tuŋ			
129	Bangru	dry	DRY		1398	məkiː	məkiː			
130	Bangru	eat	EAT		1336	t͡ɕùˀ ~ t͡ɕə̀ˀ	tɕùˀ ~ tɕə̀ˀ			
131	Bangru	egg	EGG		744	doːrɛiŋ	doːrɛiŋ			
132	Bangru	eight	EIGHT		1705	sәgàìˀ	sәgàìˀ			
137	Bangru	excrement	SHIT (DEFECATE)		676	lai	lai			
138	Bangru	eye	EYE		1248	mejàˀ	mejàˀ			
139	Bangru	far	FAR		1406	arəŋ	arəŋ			
143	Bangru	fight	FIGHT		1423	warɛː	warɛː			
145	Bangru	fire	FIRE		221	mɛː	mɛː			
147	Bangru	fish	FISH		227	t͡səd͡zəmɛː	tsədzəmɛː			
148	Bangru	five	FIVE		493	pəŋuː	pəŋuː			
149	Bangru	flow	FLOW		2003	saː	saː			
150	Bangru	flower	FLOWER		239	məbuaː	məbuaː			
152	Bangru	frog	FROG		503	d͡ʑəː	dʑəː			
153	Bangru	fruit	FRUIT		1507	mətɛ̃ː	mətɛ̃ː			
154	Bangru	four	FOUR		1500	puruwɛ̃ĩ	puruwɛ̃ĩ			
155	Bangru	full	FULL		1429	ləŋbəla	ləŋbəla			
157	Bangru	give	GIVE		1447	bai	bai			
158	Bangru	goat	GOAT		1502	səpɛ̃ĩ	səpɛ̃ĩ			
161	Bangru	grass	GRASS		606	rəsjaːrɛː ~ rəsɛːrɛː	rəsjaːrɛː ~ rəsɛːrɛː			
164	Bangru	hair	HAIR		1040	gə́pɨ̀	gə́pɨ̀			
165	Bangru	hard	HARD		1884	məloː	məloː			
167	Bangru	hand, arm	HAND		1277	məgɛ̀ìˀ	məgɛ̀ìˀ			
169	Bangru	head	HEAD		1256	goːkɛ̃ĩŋ	goːkɛ̃ĩŋ			
170	Bangru	heart	HEART		1223	məloŋwəː	məloŋwəː			
171	Bangru	heavy	HEAVY		1210	latəŋ	latəŋ			
172	Bangru	horn	HORN (ANATOMY)		1393	mәsu	mәsu			
173	Bangru	horse	HORSE		615	goːraː	goːraː			
174	Bangru	house	HOUSE		1252	neː	neː			
177	Bangru	hundred	HUNDRED		1634	ləŋ	ləŋ			
183	Bangru	kill	KILL		1417	gjaː	gjaː			
184	Bangru	knife	KNIFE		1352	wɛːt͡səŋ	wɛːtsəŋ			
185	Bangru	know	KNOW (SOMETHING)		1410	niː	niː			
186	Bangru	laugh	LAUGH		1355	tua	tua			
187	Bangru	leaf	LEAF		628	mərjɛ̀ˀ	mərjɛ̀ˀ			
190	Bangru	lick	LICK		319	kəloː	kəloː			
192	Bangru	light	LIGHT (WEIGHT)		1052	lətõː	lətõː			
194	Bangru	listen, hear	HEAR		1408	rɛi	rɛi			
196	Bangru	liver/lungs	LIVER		1224	mətɛ̃ĩ	mətɛ̃ĩ			
197	Bangru	long	LONG		1203	məpaŋ; mə31 braŋ55 (LD)	məpaŋ; mə31 braŋ55 (LD)			
198	Bangru	look, see	SEE		1409	gõː	gõː			
199	Bangru	louse	LOUSE		1392	sàˀ	sàˀ			
201	Bangru	man (male)	MALE PERSON		2106	ɲəwiː	ɲəwiː			
202	Bangru	meat	MEAT		634	sùˀ ~ ɕùˀ	sùˀ ~ ɕùˀ			
206	Bangru	moon	MOON		1313	aloː ləbai	aloː ləbai			
207	Bangru	mountain	MOUNTAIN		639	gaŋ ~ səpiː	gaŋ ~ səpiː			
208	Bangru	mouth; language	MOUTH		674	məɲəŋ	məɲəŋ			
210	Bangru	mother	MOTHER		1216	mәɲɛː ~ aɲɛː	mәɲɛː ~ aɲɛː			
211	Bangru	name	NAME		1405	məmjəŋ	məmjəŋ			
212	Bangru	near	NEAR		1942	mərɛː	mərɛː			
214	Bangru	new	NEW		1231	məkərəː	məkərəː			
216	Bangru	nine	NINE		1483	sətəŋ	sətəŋ			
217	Bangru	nose	NOSE		1221	mikoː ~  məɲəkoː	mikoː ~  məɲəkoː			
218	Bangru	old	OLD (AGED)		2112	məɕuaː	məɕuaː			
219	Bangru	one	ONE		1493	akə̃ː ~ akɨː	akə̃ː ~ akɨː			
220	Bangru	otter	OTTER		15	sẽː	sẽː			
221	Bangru	paddy rice	RICE PLANT		2026	ɛ̃ː	ɛ̃ː			
224	Bangru	pig	PIG		1337	jùˀ	jùˀ			
226	Bangru	pull	PULL		1455	saː	saː			
228	Bangru	rain	RAIN (PRECIPITATION)		658	nədiː	nədiː			
229	Bangru	red	RED		156	jat͡ɕòˀ	jatɕòˀ			
232	Bangru	river	RIVER		666	wəgoː	wəgoː			
233	Bangru	road	ROAD		667	rɛːbõ	rɛːbõ			
234	Bangru	root	ROOT		670	məkɛ̃ĩ ~ məltù	məkɛ̃ĩ ~ məltù			
235	Bangru	round	ROUND		1395	məwəː	məwəː			
237	Bangru	run	RUN		1519	biː	biː			
239	Bangru	salt	SALT		1274	ruː	ruː			
240	Bangru	sand	SAND		671	səgaiʔ	səgaiʔ			
241	Bangru	seed	SEED		714	mətɛ̃ː	mətɛ̃ː			
243	Bangru	seven	SEVEN		1704	məwàìˀ	məwàìˀ			
245	Bangru	short	SHORT		1645	mərõŋ; mə31 ŋoŋ55 (LD)	mərõŋ; mə31 ŋoŋ55 (LD)			
246	Bangru	shoulder	SHOULDER		1482	(mə)potɕ(i̤)	(mə)potɕ(i̤)			
249	Bangru	six	SIX		1703	rèˀ	rèˀ			
250	Bangru	skin	SKIN		763	məpjaː	məpjaː			
251	Bangru	sky	SKY		1732	ɲədəluː	ɲədəluː			
252	Bangru	sleep	SLEEP		1585	d͡ʑeː	dʑeː			
253	Bangru	smell (v)	SMELL (PERCEIVE)		1586	rɛ̃ː	rɛ̃ː			
254	Bangru	smoke (n.)	SMOKE (EXHAUST)		778	mɛkəː	mɛkəː			
255	Bangru	snake	SNAKE		730	bəː	bəː			
256	Bangru	snow	SNOW		784	tərɛ̃ː	tərɛ̃ː			
257	Bangru	soft, smooth	SMOOTH		1234	ləpəriː ~ ləpriː	ləpəriː ~ ləpriː			
258	Bangru	soil	EARTH (SOIL)		1228	nòˀ	nòˀ			
265	Bangru	stand	STAND		1442	giː	giː			
266	Bangru	star	STAR		1430	lət͡ɕɨː	lətɕɨː			
267	Bangru	steal	STEAL		713	ləkəː	ləkəː			
269	Bangru	straight	STRAIGHT		1404	məkəroː	məkəroː			
271	Bangru	sun	SUN		1343	d͡ʑùˀ	dʑùˀ			
277	Bangru	tail	TAIL		1220	mələwjaː	mələwjaː			
280	Bangru	ten	TEN		1515	rəŋ	rəŋ			
281	Bangru	that	THAT		78	pɛt͡ɕi̤ 	pɛtɕi̤ 			
282	Bangru	that (lower)	THAT		78	put͡ɕ(i̤)	putɕ(i̤)			
283	Bangru	thigh	UPPER LEG (THIGH)		471	məruː	məruː			
284	Bangru	think	THINK (REFLECT)		1415	miː	miː			
285	Bangru	this	THIS		1214	həŋ	həŋ			
287	Bangru	three	THREE		492	kətɛ̃ĩ	kətɛ̃ĩ			
290	Bangru	tongue	TONGUE		1205	məɲəŋ pəljaː 	məɲəŋ pəljaː 			
291	Bangru	tooth	TOOTH		1380	mətuː	mətuː			
292	Bangru	tree	TREE		906	gənɛː	gənɛː			
294	Bangru	two	TWO		1498	kərɛi	kərɛi			
298	Bangru	vomit	VOMIT		1278	muː	muː			
299	Bangru	walk	WALK		1443	djaː  ~ dɛi	djaː  ~ dɛi			
300	Bangru	hot, warm	HOT		1286	it͡ɕòˀ ~ jət͡ɕòˀ	itɕòˀ ~ jətɕòˀ			
301	Bangru	water	WATER		948	wiː	wiː			
304	Bangru	what	WHAT		1236	təŋ	təŋ			
305	Bangru	where	WHERE		1237	kəː	kəː			
306	Bangru	white	WHITE		1335	ləpuː	ləpuː			
307	Bangru	who	WHO		1235	tiːwoː	tiːwoː			
308	Bangru	wind	WIND		960	loa	loa			
310	Bangru	wing	WING		1257	mət͡ɕùˀ	mətɕùˀ			
312	Bangru	wood	WOOD		1803	goː	goː			
313	Bangru	woman	WOMAN		962	ɲəwɛː	ɲəwɛː			
314	Bangru	year	YEAR		1226	anәŋnәŋ	anәŋnәŋ			
315	Bangru	yesterday	YESTERDAY		1174	tәgaː	tәgaː			
317	Bangru	1SG	I		1209	ɲoː	ɲoː			
318	Bangru	2SG	THOU		1215	niː ~ ɲiː	niː ~ ɲiː			
319	Bangru	3SG	HE OR SHE OR IT		262	pɛt͡ɕi̤̤	pɛtɕi̤̤			
321	Bangru	1PL	WE (INCLUSIVE)		1131	kaɲiː ~ kaniː	kaɲiː ~ kaniː			
322	Bangru	2PL	YOU		1213	niː; d͡ʑeː	niː; dʑeː			
325	EMiji	ant	ANT		587	ɕəni	ɕəni			
328	EMiji	bad	BAD		1292	məni	məni			
329	EMiji	bamboo (big)	BAMBOO		1927	brau ~ brə	brau ~ brə			
333	EMiji	big (thick, wide)	BIG		1202	mədəbu ~ mədo	mədəbu ~ mədo			
334	EMiji	bird	BIRD		937	bədʒi ~ pəɕə	bədʒi ~ pəɕə			
335	EMiji	bite	BITE		1403	ta ~ taʔna	ta ~ taʔna			
338	EMiji	blood	BLOOD		946	medʒai ~ ʒi	medʒai ~ ʒi			
339	EMiji	blow	BLOW (OF WIND)		175	-	Ø			
341	EMiji	body hair, feather	HAIR (BODY)		189	-	Ø			
343	EMiji	bone	BONE		1394	mariaŋ	mariaŋ			
346	EMiji	breast; milk	BREAST		1402	mənaŋ ~ nag	mənaŋ ~ nag			
348	EMiji	burn	BURNING		1428	frəna	frəna			
349	EMiji	cane; rope	ROPE		1218	-	Ø			
351	EMiji	child	CHILD (YOUNG HUMAN)		1304	-	Ø			
354	EMiji	cloud	CLOUD		1489	maimaŋ ~  maimər	maimaŋ ~  maimər			
360	EMiji	cry	CRY		1839	krəmna	krəmna			
365	EMiji	die	DIE		1494	teina	teina			
366	EMiji	dig	DIG		1418	-	Ø			
367	EMiji	dirty	DIRTY		1230	-	Ø			
370	EMiji	dream	DREAM		2374	taimat~ taiməna	taimat~ taiməna			
371	EMiji	drink	DRINK		1401	tʰoŋ ~ toŋna	tʰoŋ ~ toŋna			
372	EMiji	dry	DRY		1398	mekʰijan	mekʰijan			
373	EMiji	eat	EAT		1336	tʃu ~  tʃəna	tʃu ~  tʃəna			
374	EMiji	egg	EGG		744	doriŋ ~ doriet	doriŋ ~ doriet			
375	EMiji	eight	EIGHT		1705	ɕəgə	ɕəgə			
380	EMiji	excrement	SHIT (DEFECATE)		676	-	Ø			
381	EMiji	eye	EYE		1248	mẽ	mẽ			
382	EMiji	far	FAR		1406	mərən	mərən			
386	EMiji	fight	FIGHT		1423	-	Ø			
388	EMiji	fire	FIRE		221	mai	mai			
390	EMiji	fish	FISH		227	tʃoi	tʃoi			
391	EMiji	five	FIVE		493	puŋu	puŋu			
392	EMiji	flow	FLOW		2003	-	Ø			
393	EMiji	flower	FLOWER		239	gəbo	gəbo			
395	EMiji	frog	FROG		503	dʒou	dʒou			
396	EMiji	fruit	FRUIT		1507	gutan	gutan			
397	EMiji	four	FOUR		1500	pəlei	pəlei			
398	EMiji	full	FULL		1429	ləndaŋ ~ len	ləndaŋ ~ len			
400	EMiji	give	GIVE		1447	bai ~ beina	bai ~ beina			
401	EMiji	goat	GOAT		1502	ʃəpen ~ ɕuprem	ʃəpen ~ ɕuprem			
