RID	GLOSS	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	DOCULECT	VALUE	FORM	SOURCE	NOTES
1	101_ifirstpersonsingular	I [first person singular]	101_ifirstpersonsingular	1209	Khengkha	nga	ŋa	A&Y96	
2	11_big	big	11_big	1202	Khengkha	khui	kʰui	A&Y96	
3	14_black	black	14_black	163	Khengkha	ɲɔn+te+la	ɲɔn+te+la	TB	
4	26_coldoftemperature	cold (of temperature)	26_coldoftemperature	1287	Khengkha	khik	kʰik	A&Y96	
5	36_dirty	dirty	36_dirty	1230	Khengkha	krekpa	krek+pa	A&Y96	
6	40_dry	dry	40_dry	1398	Khengkha	kam	kam	A&Y96	
7	48_eight	eight	48_eight	1705	Khengkha	dʑat	dʑat	A&Y96	
8	50_far	far	50_far	1406	Khengkha	tharing	tʰa+riŋ	A&Y96	
9	57_five	five	57_five	493	Khengkha	yanga	ja+ŋa	A&Y96	
10	67_four	four	67_four	1500	Khengkha	ble	ble	A&Y96	
11	73_full	full	73_full	1429	Khengkha	nan	nan	TB	
12	76_good	good	76_good	1035	Khengkha	kachan	ka+tɕʰan	A&Y96	
13	78_green	green	78_green	1425	Khengkha	tɕaŋ+kʰa	tɕaŋ+kʰa	TB	
14	82_hard	hard	82_hard	1884	Khengkha	ngarma	ŋar+ma	A&Y96	
15	83_heorshethirdpersonsingular	he or she [third person singular]	83_heorshethirdpersonsingular	262	Khengkha	khit	kʰit	A&Y96	
16	87_heavy	heavy	87_heavy	1210	Khengkha	pɛk+pɛk	pɛk+pɛk	TB	
17	96_hot	hot	96_hot	1286	Khengkha	tsʰa+to+ma	tsʰa+to+ma	TB	
18	103_inside	inside	103_inside	1606	Khengkha	nango	naŋ+o	A&Y96	
19	110_late	late	110_late	477	Khengkha	pi	pi	TB	
20	114_left	left	114_left	244	Khengkha	yomae	jo+mai	A&Y96	
21	117_lightofweight	light (of weight)	117_lightofweight	1052	Khengkha	jaŋ+su+ma	jaŋ+su+ma	TB	
22	120_long	long	120_long	1203	Khengkha	rɛŋ+she+la	rɛŋ+she+la	TB	
23	124_many	many	124_many	1198	Khengkha	dʑak+se	dʑak+se	TB	
24	127_middle	middle	127_middle	1093	Khengkha	bar+to	bar+to	TB	
25	129_morning	morning	129_morning	1339	Khengkha	ngazi	ŋa+zi	A&Y96	
26	139_near	near	139_near	1942	Khengkha	thamaedho	tʰa+mai+dʰo	A&Y96	
