Grapheme	IPA	SCA	FREQUENCY	Frequence	EXAMPLES	Codepoints
^ʔA	a	A	2		ʔA55pA53;ʔA55mA53	
^ʔa	a	A	5	NULL	ʔa55lak53;ʔau;ʔa+gdʒə;ʔa+ɲe;ʔa	NULL
f	f	B	12	16	fən+ʃo;ʃu+fu+nu;frə+na;fraŋ;fu+gra	U+0066
v	v	B	45	8	vjo;ven+daŋ;ʃu+no+və;mə+vi;mə+vi	U+0076
ɸ	ɸ	B	8		ʃo+ɸo;ʔe+ɸə;ɸo+xa;ɸo+vo;ɸu	
c	c	C	19	1	cɛː55pa53;ceʔ53;sa+ca;sa55caʔ53;cɛʔ35	U+0063
ɟ	ɟ	C	1	5	ɟat	U+025f
ʣ	dz	C	0	1		U+02a3
ʥ	dʑ	C	7	7	ʥun;ŋa+ʥɨŋ;ʥatɕ+tɕɨŋ;ko+ʥeː;mɨ+ʥiŋ	U+02a5
ʦ	ts	C	1	18	be+ʦa	U+02a6
ʨ	tɕ	C	1	6	ʨe35thoŋ55ŋa55	U+02a8
ch	cʰ	C	9		chaʔ53;chek53pa53;chi53;chem53;chɛʔ53le31ŋe53	
cʰ	cʰ	C	1	2	cʰou	U+0063 U+02b
dz	dz	C	5		dzi;tsə+dzə+mɛː;dzə+xu;ŋa+dza;me+dze	
dʑ	dʑ	C	62	74	dʑai+do;dʑai;ga+dʑo+le+waŋ;dʑo55+ma;dʑo+ma	U+0064 U+0291
ts	ts	C	41	21	mə+jɔ+tɔts;tsAŋ55mA53;bu35tsɑ55;tsi35ja35;tsi55	U+0074 U+0073
tɕ	tɕ	C	69	39	ken+tɕuŋ+wa;tɕhan55tɕuŋ55;pʰu+tɕi;tɕa35;ak+tɕə55	U+0074 U+0255
ɖʐ	ɖʐ	C	0	4		U+0256 U+0290
ʦʰ	tsʰ	C	2	6	ʦʰam;ʦʰuŋ	U+02a6 U+02b0
ʨʰ	tɕʰ	C	0	10		U+02a8 U+02b0
tsh	tsʰ	C	17		tshe55po53;tshat55pa55;za35tshaŋ55;tshɔ53;tsho55	
tsʰ	tsʰ	C	23	34	tsʰek;tsʰu+ma;nam+tsʰe+raŋ;tsʰou;tsʰou	U+0074 U+0073 U+02b0
tɕh	tɕʰ	C	17		tɕhen55ko55;tɕhan55tɕuŋ55;tɕhak55ɲi55;tɕhi55ɲi35;tɕhɑk55ȵi55	
tɕʰ	tɕʰ	C	29	121	ga+tɕʰa+li;tɕʰet+pu;kʰam+lok+lok+tɕʰak+tɕʰak;kʰam+lok+lok+tɕʰak+tɕʰak;tɕʰak+pa	U+0074 U+0255 U+02b0
ʈʂʰ	ʈʂʰ	C	0	6		U+0288 U+0282 U+02b0
e	e	E	469	67	ge35kɑ35;ven+daŋ;te+ruk;ken+tɕuŋ+wa;tɕhen55ko55	U+0065
ə	ə	E	675	301	mə+jɔ+tɔts;mə+ləŋ;mə+ləŋ;mə+suŋ;mə+ni	U+0259
ɛ	ɛ	E	54	293	lɛŋ;cɛʔ35;wɛn;gɛp;zɛk	U+025b
ә	ə	E	6		pә+dʑuː;sә+gaiˀ;mә+su;a+nәŋ+nәŋ;a+nәŋ+nәŋ	
ẽ	ẽ	E	2	2	mẽ;mẽ	U+1ebd
ei	ei	E	0			
eo	eo	E	0			
eu	eu	E	8		ɲeu35;tʰeu;leu35;tsheu55;keu55	
eˀ	eˀ	E	1	19	reˀ	U+0065 U+02c0
eː	eː	E	22		kjeː;a+keː;ko+deː55;ko+ʥeː;a+pə55+a+heː51	
əu	əu	E	9		luŋ+vəuk;luŋ+vəuk;dʒəu;dʒəu;mə+bəu	
əə	əː	E	2	6	təə;təə	U+0259 U+0259
əː	əː	E	23		ləː+du+kiː+ruŋ;waː+wəː;ka+təː+ma+reŋ;dʑəː;mə+loŋ+wəː	
ə̀	ə̀	E	1		a+mə̀	
ə̃	ə̃	E	6	3	mə̃rn;mə̃rn;mə̃rn;mə̃rn;mə̃rn	U+0259 U+0303
ɛ:	ɛː	E	1		tə+rɛ:	
ɛɛ	ɛː	E	0	23		U+025b U+025b
ɛˀ	ɛˀ	E	1	27	mə+rjɛˀ	U+025b U+02c0
ɛː	ɛː	E	27		cɛː55pa53;plɛː35kan55;mə+dʒuː+ɲə+wɛː;so+pɛː;wa+rɛː	
ɛ̃	ɛ̃	E	0	16		U+025b U+0303
әː	əː	E	1		tja+mәː	
ẽː	ẽː	E	1		sẽː	
^ʔe	e	E	12	NULL	ʔe+ɸə;ʔe+ke+tʃe;ʔe+kʰje;ʔe+dʒi+tʃə;ʔe+mi+ʃa	NULL
^ʔə	ə	E	18	NULL	ʔə+lə+xo;ʔə+xə+be;ʔə+xə;ʔə+ʃə+ku;ʔə+lə+biu	NULL
ɛ̃ː	ɛ̃ː	E	5	1	mə+tɛ̃ː;ɛ̃ː;mə+tɛ̃ː;rɛ̃ː;tə+rɛ̃ː	U+025b U+0303 U+02d0
x	x	G	26	12	xrok55pu55;ʔə+lə+xo;xam;ʔə+xə+be;ʔə+xə	U+0078
ɣ	ɣ	G	3		phrɑ55ɣu55;go+ɣou;breu55ɣu55	
h	h	H	79	197	mi+hjoŋ;mi+huŋ;a+huŋ;mə+hiŋ;ho+dei	U+0068
ʔ	ʔ	H	37	37	nAʔ35;ceʔ53;thoʔ53;aːʔ;pʰənʔ+na	U+0294
i	i	I	681	445	mi+hjoŋ;mi+huŋ;kʰaŋ+dʒi+la;buk+ta+li;ga+tɕʰa+li	U+0069
ĩ	ĩ	I	2	26	tʰĩ+ɲo;di+gãĩ	U+0129
ɨ	ɨ	I	55	18	aʔ+pɨŋ;ɨk55;laʔ+kɨŋ;a+mɨ;ŋa+ʥɨŋ	U+0268
ii	iː	I	2	18	bə+zii;pii+nə51	U+0069 U+0069
iɛ	iɛ	I	0			
iˀ	iˀ	I	5	6	maiˀ;sә+gaiˀ;mə+gɛiˀ;sə+ɲiˀ;mə+waiˀ	U+0069 U+02c0
iː	iː	I	40		ləː+du+kiː+ruŋ;iː55;a+kiː55;iː51;mə+riː	
i̤	i̤	I	2	NULL	ɲə+tɕi̤;mə+po+tɕi̤	NULL
ɨɨ	ɨː	I	1	4	hɨɨ	U+0268 U+0268
ɨˀ	ɨˀ	I	1		gə+pɨˀ	
ɨː	ɨː	I	22		ɲɨː55;tɨː55;ɨ+hɨː51;dɨː51;mɨː+raŋ	
^ʔi	i	I	2	NULL	ʔi+ɲi;ʔi53	NULL
ɨ́ː	ɨ́ː	I	1		lɨː+tɕɨ́ː55	
j	j	J	270	211	a+gjaŋ;jAr55;tʃa+joŋ;tʃa+joŋ;mə+jɔ+tɔts	U+006a
g	g	K	276	89	tʰuŋ+ga;a+gjaŋ;gaŋ+pu;gaŋ+ko;ge35kɑ35	U+0067
k	k	K	457	399	ȵa35ka55;joŋ55+ka;gaŋ+ko;ge35kɑ35;ta+ruk51	U+006b
ɡ	g	K	1		tɕoŋ55ɡøn35	
kh	kʰ	K	26		khi55;khaʔ53lum53;kha55lum55;khɑ55pu55;phlA55khu53	
kʰ	kʰ	K	131	208	kʰaŋ+dʒi+la;pʰra+kʰa;kʰui;kʰa;kʰaŋ	U+006b U+02b0
l	l	L	383	264	blai+wa;mə+ləŋ;kʰaŋ+dʒi+la;buk+ta+li;bruk+to+la	U+006c
ɬ	ɬ	L	7	3	ɬaŋ;ɬaŋ;ɬaŋ+tʃo;ɬa+gu;phiː+ɬaŋ	U+026c
m	m	M	746	352	mə+jɔ+tɔts;ŋam55;tsAŋ55mA53;mi+hjoŋ;mi+huŋ	U+006d
n	n	N	599	385	ven+daŋ;ken+tɕuŋ+wa;tɕhen55ko55;tɕhan55tɕuŋ55;mə+ni	U+006e
ŋ	ŋ	N	716	498	tʰuŋ+ga;a+gjaŋ;tʃa+joŋ;tʃa+joŋ;tʰaŋ+ju	U+014b
ȵ	ȵ	N	8		ȵa35ka55;ȵen55po53;ȵA55le53kun35pu53;ȵo35ɕup55;tɕhɑk55ȵi55	
ɲ	ɲ	N	138	45	ɲɨː55;a+ɲi+rə;mə+ɲi;ɲom35;ɲɔn+te+la	U+0272
b	b	P	268	167	blai+wa;buk+ta+li;bruk+to+la;brau;brə	U+0062
p	p	P	371	115	gaŋ+pu;aʔ+pɨŋ;gam+po;r̥ok+po;ʂuk55pu53	U+0070
bʰ	bʰ	P	2		bʰu;bʰa	
ph	pʰ	P	20		a+phu;phə+ʃə+lo;pleŋ35pho53;mre35phre55;cem55pha53	
ps	ps	P	3	4	psi+daŋ;psə+xi;psi+ka	U+0070 U+0073
pɕ	pɕ	P	0	8		U+0070 U+0255
pʂ	pʂ	P	0	1		U+0070 U+0282
pʰ	pʰ	P	74	171	pʰe+muŋ;pʰu+tɕi;pʰra+kʰa;pʰu+mu;pʰu+mum	U+0070 U+02b0
r	r	R	503	255	jAr55;ta+ruk51;te+ruk;xrok55pu55;bruk+to+la	U+0072
ɹ	ɹ	R	7		ʔo+dɹu;kɹo;o+dɹo;m+ɹo;dɹu	
ɼ	r	R	1	NULL	ɼu+wa	NULL
r̥	r̥	R	7		r̥ok+po;r̥oː;r̥au55;r̥a;r̥umo	
s	s	S	208	227	mə+suŋ;so55;sə;nas;son+po	U+0073
z	z	S	83	75	zok+ɖaː;zeŋ;bə+zii;ma+zoi+na55;za+min	U+007a
ɕ	ɕ	S	89	70	ɕi;ɕa35;pə+ɕə;ɕiŋ+da;ɕi	U+0255
ʂ	ʂ	S	8	17	ʂuk55pu53;ʂa55po53;ʂau55;ʂu53;ʂu55	U+0282
ʃ	ʃ	S	66	12	əʃ+ʃə;əʃ+ʃə;ʃə;fən+ʃo;ʃo+ɸo	U+0283
ʐ	ʐ	S	3	4	dʐe35tom55;sem55dʐa35thaŋ55;dʐo35	U+0290
ʑ	ʑ	S	24	6	ʑa;ʑi;ʑei+lok+pan;ʑo35lo55ka55;sa+ʑiŋ	U+0291
ʒ	ʒ	S	11	2	ʒi;ʒi;ʒəm+rai;bi+ʒi;vai+tʃoŋ+ʒi	U+0292
d	d	T	227	158	dʑai+do;ʔo+dɹu;ven+daŋ;ləː+du+kiː+ruŋ;duk+pu	U+0064
t	t	T	343	153	mə+jɔ+tɔts;ta+ruk51;te+ruk;buk+ta+li;bruk+to+la	U+0074
ɖ	ɖ	T	9	3	zok+ɖaː;kʰa+ɖaŋ+a;ɖo;ɖo;ɖo	U+0256
ʈ	ʈ	T	0	1		U+0288
ʤ	dʒ	T	0	9		U+02a4
ʧ	tʃ	T	0	20		U+02a7
dʒ	dʒ	T	140	9	kʰaŋ+dʒi+la;dʒiu;bə+dʒi;bu+dʒuʔ;bə+dʒə	U+02a4
dʰ	dʰ	T	5	NULL	tʰa+mai+dʰo;dʰo+go;dʰə+dʒo;dʰot;dʰa+sum	NULL
th	tʰ	T	26		then55po53;than55bu55;thoʔ53;thoŋ55ɲa55;thaʔ53riŋ35po53	
tʃ	tʃ	T	81		tʃa+joŋ;tʃa+joŋ;tʃa+ma;tʃa+ma;mətʃai	
tʰ	tʰ	T	115	151	tʰuŋ+ga;tʰaŋ+ju;tʰaŋ+juŋ;tʰa+jɔŋ;tʰen+bu	U+0074 U+02b0
ʈʰ	ʈʰ	T	3	1	ʈʰi+ken;ʈʰaŋ+taŋ+ŋa;ʈʰaŋ+taŋ+taŋ	U+0288 U+02b0
tʃʰ	tʃʰ	T	16		tʃʰaŋ+lu;tʃʰi+mi+jo;tʃʰe;tʃʰit+pu;tʃʰes	
o	o	U	720	69	dʑai+do;tʃa+joŋ;tʃa+joŋ;joŋ55+ka;gaŋ+ko	U+006f
õ	õ	U	3	7	rɛː+bõ;mə+rõŋ;a+ni+mi+hõŋ	U+00f5
ø	ø	U	16	21	søn55po53;tɕoŋ55ɡøn35;ŋøn55;tʰø;jøn55ma53	U+00f8
ɔ	ɔ	U	48	270	mə+jɔ+tɔts;mə+jɔ+tɔts;tʰa+jɔŋ;mə+gɔŋ;ɲɔn+te+la	U+0254
ɶ	ɶ	U	2	NULL	lɶm;jɶ	NULL
ou	ou	U	23		mə+tʃou;mə+tʃou;dʒou;dʒou;dʒou	
ow	ou	U	0	NULL		NULL
oɛ	oɛ	U	0			
oˀ	oˀ	U	3		noˀ;jə+tɕoˀ;ja+tɕoˀ	
oː	oː	U	59		toː;r̥oː;a+loː55;poː+poŋ;dʑoː	
õe	õe	U	0			
õː	õː	U	2		lə+tõː;gõː	
øˀ	øˀ	U	0	8		U+00f8 U+02c0
øː	øː	U	1	NULL	tɕøː35pe31	NULL
ɔw	ɔu	U	0			
ɔɔ	ɔː	U	0	7		U+0254 U+0254
ɔˀ	ɔˀ	U	0	37		U+0254 U+02c0
ɔː	ɔː	U	3		lɔː55;dʒə+prɔː;kɔː+waː+wi	
ɔ̃	ɔ̃	U	0	53		U+0254 U+0303
^ʔo	o	U	6	NULL	ʔo+dɹu;ʔo+sam;ʔo;ʔo+sa;ʔo+ɸom	NULL
^ʔoː	oː	U	1	NULL	ʔoː55mo53	NULL
ɔ̃ɔ̃	ɔ̃ː	U	0	1		U+0254 U+0303 U+0254 U+0303
w	w	W	105	100	blai+wa;ken+tɕuŋ+wa;ga+dʑo+le+waŋ;wa55+ke;wa55ka55	U+0077
ʋ	ʋ	W	1		ʋo	
w̥	w̥	W	0	2		U+0077 U+0325
u	u	Y	658	625	tʰuŋ+ga;ʔo+dɹu;tʰaŋ+ju;tʰaŋ+juŋ;gaŋ+pu	U+0075
y	y	Y	14	190	jyn+ne+pa;ry+pa;mie+my;ʃy+jo;thyn55pu55	U+0079
ũ	ũ	Y	2	31	hũŋ;hũ+e	U+0169
ʉ	ʉ	Y	1		dʒə+kʉ	
ỹ	ỹ	Y	0			
uu	uː	Y	0	15		U+0075 U+0075
uˀ	uˀ	Y	6	41	tɕuˀ;ɕuˀ;juˀ;dʑuˀ;dʑuˀ	U+0075 U+02c0
uː	uː	Y	28		pә+dʑuː;mə+dʑuː;mə+dʒuː+ɲə+wɛː;ɲe+ruː51;pə+ŋuː	
ũũ	ũː	Y	0	2		U+0169 U+0169
ũə	ũə	Y	0			
^ʔu	u	Y	2	NULL	ʔu;ʔu+ʃə	NULL
+	+	_	2011	126	tʰuŋ+ga;a+gjaŋ;tʃa+joŋ;tʃa+joŋ;ʔo+dɹu	U+002b
.	+	_	1	1352	tɕa.tɕa	U+002e
_	+	_	0			NULL
35	³⁵ +	2 _	118		ȵa35ka55;ge35kɑ35;tuk35po53;gok35pɑ55;plɛː35kan55	
31	³¹ +	3 _	7		le31ŋe53;chɛʔ53le31ŋe53;tu31ku53;møn35to55pa31ja35;tA31ɕi53	
51	⁵¹ +	3 _	0			
53	⁵³ +	3 _	16		chek53pa53;ȵA55le53kun35pu53;khaʔ53lum53;thaʔ53riŋ35po53;thaː55mo53ja35	
51+	⁵¹ +	3 _	2		i+si51+hi+ləː51;ta+tum51+bee+lum51	
55	⁵⁵ +	5 _	148		tsAŋ55mA53;ʂuk55pu53;xrok55pu55;tɕhen55ko55;tɕhan55tɕuŋ55	
55+	⁵⁵ +	5 _	37	NULL	joŋ55+ka;dʑo55+ma;wa55+ke;loŋ55+ra;o55+ŋa	NULL
ai$	a i/j	A J	67		dʑai;mətʃai;tʰai;tʰai;wa+pai	
fʲ	f j	B J	0	1		U+0066 U+02b2
vʲ	v j	B J	0	2		U+0076 U+02b2
tsʲ	ts j	C J	0	2		U+0074 U+0073 U+02b2
ei$	e i/j	E J	21		ho+dei;tei;ga+nei;ga+nei;lei	
ɛ̃ĩ	ɛ̃ i/j	E J	9		mə+nɛ̃ĩŋ;pu+ru+wɛ̃ĩ;sə+pɛ̃ĩ;goː+kɛ̃ĩŋ;mə+tɛ̃ĩ	
gʲ	g j	K J	3	1	gʲa+tʰur;mə+lə+gʲa;gʲam+tsʰo	U+0067 U+02b2
lʲ	l j	L J	0	1		U+006c U+02b2
mʲ	m j	M J	0	5		U+006d U+02b2
bʲ	b j	P J	1	2	mə+bʲɛː	U+0062 U+02b2
pʰʲ	pʰ j	P J	0	2		U+0070 U+02b0 U+02b2
bs	b s	P S	0	1		U+0062 U+0073
rʲ	r j	R J	2	1	lə+gə+rʲa;brʲɛk	U+0072 U+02b2
sʲ	s j	S J	0	3		U+0073 U+02b2
dʲ	d j	T J	2	1	dʲak;sə+mi+dʲaː	U+0066 U+02b2
oi$	o i/j	U J	16		tʃoi;tʃoi;noi;mə+roi;mə+roi	
ua	u/w a	W A	6		mə+dua;mi+bua;rua+lu+wai;tua;a+dʒɛː+dua	
uaː	u/w aː	W A	2		mə+buaː;mə+ɕuaː	
uə	u/w ə	W E	0			
uɛ	u/w ɛ	W E	0			
uɛ̃	u/w ɛ̃	W E	0			
uĩ	u/w ĩ	W I	0			
yi	y i	Y I	1		ŋyi55	
ui$	u j	Y J	12		kʰui;kʰui;lu+bui;nui;pʰui	
ai+	a i/j +	A J _	38		blai+wa;dʑai+do;mai+maŋ;mai+mər;tai+mat	
ai.	a i/j +	A J _	0			
ai_	a i/j +	A J _	0			
ei+	e i/j +	E J _	11		tei+na;tei+na;ʑei+lok+pan;nei+gaŋ;lei+kʰu	
ei.	e i/j +	E J _	0			
ei_	e i/j +	E J _	0	NULL		NULL
^ʔau$	au	U	0	NULL		NULL
t̪ʰ	t̪ʰ	U	0	NULL		NULL
