Grapheme	IPA	SCA	FREQUENCY	Frequence	EXAMPLES	Codepoints
^	NULL		3095	NULL	tʰuŋ+ga;a+gjaŋ;blai+wa;dʑai+do;jAr55	NULL
$	NULL		2236	NULL	tʰuŋ+ga;a+gjaŋ;blai+wa;dʑai+do;tʃa+joŋ	NULL
^jәː51$	j əː ⁵¹	J E 3	1		jәː51	
^bɨː̀51$	b ɨː ⁵¹	P I 3	1		bɨː̀51	
^a-gɛ$	a + g ɛ	A _ K E	1		a-gɛ	
^a-tʰa$	a + tʰ a	A _ T A	1		a-tʰa	
^peK55$	p e k ⁵⁵	P E K 5	1		peK55	
^pɛtɕi̤$	p ɛ + tɕ i̤	P E _ C I	1		pɛtɕi̤	
^puŋu$	p u + ŋ u	P Y _ N Y	1		puŋu	
^tʰe-li$	tʰ e + l i	T E _ L I	1		tʰe-li	
^kʰrjo-u$	kʰ r j o + u	K R J U _ Y	1		kʰrjo-u	
^meʔthoŋ53$	m e ʔ + tʰ o ŋ ⁵³	M E _ T U N 3	1	NULL	meʔthoŋ53	NULL
35$	³⁵	2	120		ge35kɑ35;ɲom35;nAʔ35;ne35;tɕa35	
31$	³¹	3	3		li35khu31;ʂe55re35ta31;tɕøː35pe31	
51$	⁵¹	3	105		ta+ruk51;gam51;ka+jaː51;iː51;a+tɕo51	
53$	⁵³	3	147		tsAŋ55mA53;ʂuk55pu53;tuk35po53;søn55po53;cɛː55pa53	
55$	⁵⁵	5	368		jAr55;ȵa35ka55;ŋam55;xrok55pu55;tɕhen55ko55	
A	a	A	47		jAr55;tsAŋ55mA53;tsAŋ55mA53;nAʔ35;mAr55	
a	a	A	1423	1258	tʰuŋ+ga;a+gjaŋ;a+gjaŋ;blai+wa;ȵa35ka55	U+0061
ã	ã	A	1	15	di+gãĩ	U+00e3
ɑ	ɑ	A	44	3	ge35kɑ35;gok35pɑ55;bu35tsɑ55;jɑŋ35dɑk35pɑ55;jɑŋ35dɑk35pɑ55	U+0251
A:	aː	A	1		ŋA:35zɔr35	
aa	aː	A	0	5		U+0061 U+0061
ao	ao	A	2		a+mɨ+nao;ao55	
au	au	A	24		mau;brau;brau;dʑau+ja;a+bau	
aw	au	A	0			
aˀ	aˀ	A	2	21	me+jaˀ;saˀ	U+0061 U+02c0
aː	aː	A	65		zok+ɖaː;baː;naː;aːt;pə+taː55	
ãã	ãː	A	0	1		U+00e3 U+00e3
ɑˀ	ɑˀ	A	0	10		U+0251 U+02c0
ɑ̃	ɑ̃	A	0	10		U+0251 U+0303
