ID	Name	Doculect	Subgroup	Glottocode	Longitude	Latitude	Source
TshDirangTshangla	DirangTshangla	Dirang Tshangla	Bodic	dira1243	92.273057	27.343674	TB
TshBhutanTshangla	BhutanTshangla	Bhutan Tshangla	Bodic	tsha1245	91.551505	27.332081	TB
TshMotuoMenba	MotuoMenba	Motuo Cangluo Tshangla	Bodic	tsha1245	95.319922	29.321347	Huang1992
TaniGalo	Galo	Galo	Tani	galo1242	94.69	27.98	Post2007
TaniTangam	Tangam	Tangam	Tani	tang1377	94.990737	28.956354	Post2007
KBWestPuroikLieberherr	BuluPuroik	Puroik	KhoBwa	bulu1255	92.44627	27.451029	Lieberherr2017
KBDikhyangBugun	DikhyangBugun	Bugun	KhoBwa	dikh1234	92.454924	27.320448	TB
KBWanghoBugun	WanghoBugun	Bugun	KhoBwa	wang1301	92.420806	27.24169	Abraham2018
KBBichomBugun	BichomBugun	Bugun	KhoBwa	bich1234	92.592007	27.31177	Abraham2018
KBSingchungBugun	SingchungBugun	Bugun	KhoBwa	sing1271	92.474176	27.191743	Abraham2018
KBKaspiBugun	KaspiBugun	Bugun	KhoBwa	kasp1234	92.564228	27.204536	Abraham2018
KBNamphriBugun	NamphriBugun	Bugun	KhoBwa	namp1239	92.52836	27.24403	Abraham2018
KBWDuhumbi	Duhumbi	Duhumbi	WesternKhoBwa	chug1252	92.212034	27.416112	TB
KBWKhispi	Khispi	Khispi	WesternKhoBwa	lish1235	92.223221	27.378042	TB
KBWKhoina	Khoina	Sartang	WesternKhoBwa	khoi1253	92.52994	27.334981	TB
KBWKhoitam	Khoitam	Sartang	WesternKhoBwa	khoi1252	92.439455	27.327487	TB
KBWRahung	Rahung	Sartang	WesternKhoBwa	rahu1234	92.395028	27.310778	TB
KBWRupa	Rupa	Sherdukpen	WesternKhoBwa	rupa1234	92.398757	27.203065	TB
KBWShergaon	Shergaon	Sherdukpen	WesternKhoBwa	sher1261	92.272133	27.105018	TB
KBWJerigaon	Jerigaon	Sartang	WesternKhoBwa	jeri1243	92.486595	27.340629	TB
EBKhengkha	Khengkha	Khengkha	East Bodish	khen1241	90.689999	27.144878	TB, AandY1996
EBDzalakha	Dzalakha	Dzalakha	East Bodish	dzal1238	91.494864	27.605989	DDC2017, TB
EBBumthang	Bumthang	Bumthang	East Bodish	khen1241	90.753738	27.549248	vanDriem2015
EBMamaCuonaMenba	MamaCuonaMenba	Tshona Dakpa	East Bodish	dakp1242	91.798576	27.872413	Lu2002, Lu1986
EBWenlangCuonaMenba	WenlangCuonaMenba	Tawang Dakpa	East Bodish	dakp1242	95.339063	29.367765	Lu2002, Lu1986
HruHrusoAkaJamiri	HrusoAkaJamiri	Hruso Aka	Hrusish	hrus1242	92.590615	27.203617	Simon1993, TB
HruBangru	Bangru	Bangru	Hrusish	bang1369	93.164169	27.952786	BandL2015, TB
HruNamreiBisai	NamreiBisai	Namrei	Hrusish	hrus1242	92.699998	27.680112	BandL2015, TB
HruNamreiNabolang	NamreiNabolang	Namrei	Hrusish	hrus1242	92.789317	27.558051	BandL2015, TB
HruDammaiDibin	DammaiDibin	Miji	Hrusish	hrus1242	92.511881	27.444541	BandL2015, TB
HruDammaiRurang	DammaiRurang	Miji	Hrusish	hrus1242	92.48215	27.368891	BandL2015, TB
HruMijiNafra	MijiNafra	Miji	Hrusish	hrus1242	92.544458	27.371831	Simon1979, TB
Kusunda	KusundaK	Kusunda		kusu1250	82.802796	28.431855	TB
Achang	Achang	Achang	Burmish	acha1249	97.89503	24.466605	Huang1992,Hill2017
Atsi	Atsi	Atsi	Burmish	zaiw1241	97.806689	24.193367	Huang1992,Hill2017
Bola	Bola	Bola	Burmish	pela1242	98.234243	24.405004	Huang1992,Hill2017
Lashi	Lashi	Lashi	Burmish	lash1243	98.311333	24.111512	Huang1992,Hill2017
Maru	Maru	Maru	Burmish	maru1249	99.83	24.939981	Huang1992,Hill2017
OldBurmese	OldBurmese	Old Burmese	Burmish	oldb1235	97.126742	21.624974	Hill2017
Rangoon	Rangoon	Rangoon	Burmish	nucl1310	96.190785	16.874207	Huang1992,Hill2017
Xiandao	Xiandao	Xiandao	Burmish	xian1249	97.753173	24.494153	Huang1992,Hill2017
Chepang	Chepang	Chepang		chep1245	84.908801	27.785164	Caughley2000
Hakha	Hakha	Hakha	Chin	haka1240	92.820021	22.870089	VanBik2014
DarangTaraon	DarangTaraon	Darang Taraon	Mishmi	diga1241	97.469136	28.657986	Huang1992
Yidu	Yidu	Yidu	Mishmi	idum1241	95.650179	29.448172	Huang1992
Garo	Garo	Garo	Garo	garo1247	90.333226	25.504744	Burling2003
