ID	GLOSS	CONCEPTICON_GLOSS_IN_SOURCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	NOTE
1	fence (n)				
2	fold (clothes)				
3	I (1sg)	I [first person singular]	1209	I	
4	macaque				
5	know	to know (something)	1410	KNOW (SOMETHING)	
6	lap				
7	when				
8	big	big	1202	BIG	
9	poison				
10	son	the son	1620	SON	
11	gather, collect1				
12	breath				
13	carry (on the back)				
14	porcupine				
15	copula, existential				
16	Curcuma sp.				
17	fire	the fire	221	FIRE	
18	dream	the dream	2374	DREAM	
19	negative prefix			???	
20	down (invisible)			???	
21	down (visible)			???	
22	call for			???	
23	water	the water	948	WATER	
24	skin, bark	the skin	763	SKIN	
25	under, below	below, under	1485	BELOW OR UNDER	
26	"nest; hive; womb"				
27	millet, foxtail				
28	snatch away				
29	locative marker				
30	ascend				
31	hang around the neck				
32	backwards				
33	five	five	493	FIVE	
34	be hungry			???	
35	rope	the rope	1218	ROPE	
36	ear	the ear	1247	EAR	
37	thick	thick	1244	THICK	
38	fern, inedible			???	
39	prohibitive (negative imperative)			???	
40	take			???	
41	throw	to throw	1456	THROW	
42	cover			???	
43	wear (a bracelet)			???	
44	cane carrying strap			???	
45	liquor			???	
46	night			???	
47	barley (highland)	the barley (tibetan or highland)	932	BARLEY	
48	sow (broadcast)	to sow (broadcast, scatter seeds)	748	SOW SEEDS	
49	spread out to dry			???	
50	lose, be defeated			???	
51	door			???	
52	forehead			???	
53	chew	to chew	321	CHEW	
54	year	the year	1226	YEAR	
55	marten			???	
56	sing	to sing	1261	SING	
58	rat, mouse, rodent	the mouse or rat	2139	MUROID (MOUSE OR RAT)	
59	horse	the horse	615	HORSE	
60	spittle			???	
61	break			???	
62	cave			???	
63	cry	to cry (weep)	1839	CRY	
64	cane			???	
65	horn	the horn (keratinized skin)	1393	HORN (ANATOMY)	
66	stand up 		1442	STAND	
67	twist (cane)			???	
68	wild boar			???	
69	barking deer			???	
70	bone	the bone	1394	BONE	
71	day after two days			???	
72	shoot	to shoot (an arrow)	1172	SHOOT	
73	human			???	
74	bind together			???	
75	fireplace, hearth			???	
76	push	to push	1452	PUSH	
77	weave			???	
78	burn (vt), roast				unlinked
79	cook (grains in water)			???	
80	navel			???	
81	tasty			???	
82	"moon; month"	the moon	1313	MOON	
83	hate			???	
84	work			???	
85	axe			???	
86	ash			???	
87	forget	to forget	1523	FORGET	
88	gift			???	
89	thigh	the thigh	471	UPPER LEG (THIGH)	
90	flatten (dough)			???	
91	be numb			???	
92	ripen, ferment			???	
93	other (person)			???	
94	reflexive marker			???	
95	'people of’-suffix			???	
96	human being prefix			???	
97	borrow1 (return different)			???	
98	chicken			???	
99	needle	the needle (for sewing)	1382	NEEDLE (FOR SEWING)	
100	"swell; fill"			???	
101	full	full	1429	FULL	
102	four	four	1500	FOUR	
103	liver	the liver	1224	LIVER	
104	"spirit; shadow"			???	
105	excrement			???	
106	egg	the egg	744	EGG	
107	name	the name	1405	NAME	
108	pig	the pig	1337	PIG	
109	new	new	1231	NEW	
110	red	red	156	RED	
111	"healthy; strong"			???	
112	root	the root	670	ROOT	
113	man	the man (male human)	2106	MALE PERSON	male human or mankind?
114	flour			???	
115	cross (mountain)			???	
116	comb			???	
117	ride, mount (a horse)			???	
118	itch			???	
119	agent (ergative, subject) marker			???	
120	okay			???	
121	kill	to kill	1417	KILL	
122	see	to see	1409	SEE	
123	die	to die	1494	DIE	
124	three	three	492	THREE	
125	recognise			???	
126	dry (adj.)	dry	1398	DRY	
127	come	to come	1446	COME	
128	go			???	
129	say			???	
130	hide	to hide (conceal)	602	HIDE (CONCEAL)	
131	select			???	
132	fight, quarrel (n.)				unlinked
133	mushroom			???	
134	old	old (of person)	2112	OLD (AGED)	
135	achieve			???	
136	you (thou, 2sg)	thou [second person singular]	1215	THOU	
137	sago			???	
138	be sick			???	
139	fish	the fish	227	FISH	
140	language			???	
141	silver			???	
142	brain			???	
143	two	two	1498	TWO	
144	put on (shoes, pants)			???	
145	medicine			???	
146	many	many	1198	MANY	
147	beat			???	
148	sleep	to sleep	1585	SLEEP	
149	disease			???	
150	gums			???	
151	wind	the wind	960	WIND	
152	aconite			???	
153	ten	ten	1515	TEN	
154	search			???	
155	"face; thorax"			???	
156	hold	to hold	1448	HOLD	
157	white	white	1335	WHITE	
158	langur			???	
159	one	one	1493	ONE	
160	burn (vi)	to burn [intransitive]	1428	BURNING	
161	wood	the wood (material)	1803	WOOD	
162	salt	the salt	1274	SALT	
163	goral			???	
164	deer, sambar			???	
165	meet			???	
166	"fresh; wet"	wet	1726	WET	
167	paddy rice		2026	RICE PLANT	
168	seven	seven	1704	SEVEN	
169	exit			???	
170	"meat; animal"	the meat	634	MEAT	
171	animal prefix			???	
172	cross (river)			???	
173	fly (v)	to fly (move through air)	1441	FLY (MOVE THROUGH AIR)	
174	cliff			???	
175	buy	to buy	1869	BUY	
