ID	RID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	LOAN	COGID	NOTE	ALIGNMENT
4069	4069	101_ifirstpersonsingular	I [first person singular]	BuluPuroik	Bulu Puroik	guu	guu	g uː	bulu1255	1209	27.452241	92.44563		FALSE	799		
4070	4070	101_ifirstpersonsingular	I [first person singular]	DikhyangBugun	Dikhyang Bugun	ko	ko	k o	dikh1234	1209	27.320666	92.455119		FALSE	799		
4071	4071	101_ifirstpersonsingular	I [first person singular]	Khispi	Khispi	ga	ga	g a	lish1235	1209	27.378042	92.223221		FALSE	799		
4072	4072	101_ifirstpersonsingular	I [first person singular]	Duhumbi	Duhumbi	ga	ga	g a	chug1252	1209	27.416112	92.212034		FALSE	799		
4073	4073	101_ifirstpersonsingular	I [first person singular]	Khoina	Khoina	gu	gu	g u	khoi1253	1209	27.334981	92.52994		FALSE	799		
4074	4074	101_ifirstpersonsingular	I [first person singular]	Jerigaon	Jerigaon	gu	gu	g u	jeri1243	1209	27.340629	92.486595		FALSE	799		
4075	4075	101_ifirstpersonsingular	I [first person singular]	Khoitam	Khoitam	gu	gu	g u	khoi1252	1209	27.327487	92.439455		FALSE	799		
4076	4076	101_ifirstpersonsingular	I [first person singular]	Rahung	Rahung	gu	gu	g u	rahu1234	1209	27.310778	92.395028		FALSE	799		
4077	4077	101_ifirstpersonsingular	I [first person singular]	Rupa	Rupa	gu	gu	g u	rupa1234	1209	27.203065	92.398757		FALSE	799		
4078	4078	101_ifirstpersonsingular	I [first person singular]	Shergaon	Shergaon	gu	gu	g u	sher1261	1209	27.105018	92.272133		FALSE	799		
4079	4079	101_ifirstpersonsingular	I [first person singular]	BhutanTshangla	Bhutan Tshangla	ʥaŋ	ʥaŋ	dʑ a ŋ	tsha1245	1209	27.337241	91.551654		FALSE	10390		
4080	4080	101_ifirstpersonsingular	I [first person singular]	KusundaK	KusundaK	ʧiː	ʧiː	tʃ iː	kusu1250	1209	28	82.26		FALSE	771		
4081	4081	101_ifirstpersonsingular	I [first person singular]	Achang	Achang	ŋɔ⁵⁵	ŋ.ɔ.⁵⁵	ŋ ɔ ⁵⁵	acha1249	1209	24.466605	97.89503		FALSE	327		
4082	4082	101_ifirstpersonsingular	I [first person singular]	Beijing	Beijing Chinese	wɔ²¹⁴	w.ɔ.²¹⁴	w ɔ ²¹⁴	beij1235	1209	39.909056	116.397422		FALSE	327		
4083	4083	101_ifirstpersonsingular	I [first person singular]	Bokar	Bokar	ŋoː	ŋ.oː	ŋ oː	boka1249	1209	27.554547	93.15717		FALSE	327		
4084	4084	101_ifirstpersonsingular	I [first person singular]	Bunan	Bunan	gi	g.i	g i	gahr1239	1209	32.554766	77.076283		FALSE	799		
4085	4085	101_ifirstpersonsingular	I [first person singular]	Byangsi	Byangsi	j/dʒe	j/dʒ.e	j/dʒ e	byan1241	1209	29.583838	80.22309		FALSE	799		
4086	4086	101_ifirstpersonsingular	I [first person singular]	Chaozhou	Chaozhou Chinese	ua⁵³	u.a.⁵³	u a ⁵³	chao1238	1209	23.657699	116.622317		FALSE	327		
4087	4087	101_ifirstpersonsingular	I [first person singular]	Chepang	Chepang	ʔa	ʔ.a	ʔ a	chep1245	1209	27.785164	84.908801		FALSE	3835		
4088	4088	101_ifirstpersonsingular	I [first person singular]	Chepang	Chepang	ŋa	ŋ.a	ŋ a	chep1245	1209	27.785164	84.908801		FALSE	327		
4089	4089	101_ifirstpersonsingular	I [first person singular]	DarangTaraon	Darang Taraon	xɑŋ³⁵	x.ɑ.ŋ.³⁵	x ɑ ŋ ³⁵	diga1241	1209	28.657986	97.469136		FALSE	10387		
