RID	DOCULECT	CONCEPT	CONCEPTICON_ID	Concept_in_source	Value	Form	Notes	Source
74	Tangam	to give	1447	give	bi	bi		Post17
75	Tangam	the goat	1502	goat	laga	la+ga		Post17
76	Tangam	good	1035	good	aɲo	a+ɲo		Post17
77	Tangam	the grass	606	grass	koŋgaŋ	koŋ+gaŋ		Post17
78	Tangam	green	1425	green-blue	yaɨŋ	jaɨŋ		Post17
79	Tangam	the hail	609		Ø	Ø		Post17
80	Tangam	the hair (of the head)	1040	hair (head)	dɨmmɨ	dɨm+mɨ		Post17
81	Tangam	the hand	1277	hand / arm	arak	a+rak		Post17
82	Tangam	hard	1884	hard	əʔkəŋ	əʔ+kəŋ		Post17
83	Tangam	he or she [third person singular]	262	he	nodɨ	no+dɨ		Post17
84	Tangam	the head	1256	head	duʔpoŋ	duʔ+poŋ		Post17
85	Tangam	to hear	1408	listen	ta	ta		Post17
86	Tangam	the heart	1223	heart	adaŋ	a+daŋ		Post17
87	Tangam	heavy	1210	heavy	cikɨk	tɕi+kɨk		Post17
88	Tangam	here	136	here	hɨɨ	hɨɨ		Post17
89	Tangam	to hide (conceal)	602		Ø	Ø		Post17
90	Tangam	high / tall	1265	tall, long	oodo	oː+do		Post17
91	Tangam	to hold	1448	hold	bon	bon		Post17
92	Tangam	the hoof	152	hoof	lepyuk	le+pjuk		Post17
93	Tangam	horizontal	2376		Ø	Ø		Post17
94	Tangam	the horn (keratinized skin)	1393	horn	ləəbuŋ	ləː+buŋ		Post17
95	Tangam	the horse	615	horse	hiki	hi+ki		Post17
96	Tangam	hot	1286	hot	pyaʔke	pjaʔ+ke		Post17
97	Tangam	the house	1252	house	araŋ	a+raŋ		Post17
98	Tangam	hundred	1634	hundred	ləʔkon	ləʔ+kon		Post17
99	Tangam	to hunt	1435		Ø	Ø		Post17
100	Tangam	the husband	1200	husband	miro	mi+ro		Post17
101	Tangam	I [first person singular]	1209	I	ŋoo	ŋoː		Post17
102	Tangam	the ice	617	ice	paasoŋ	paː+soŋ		Post17
103	Tangam	inside	1606	in	lo	lo		Post17
104	Tangam	to kill	1417	kill	keŋ	keŋ		Post17
105	Tangam	to knead	274		Ø	Ø		Post17
106	Tangam	the knee	1371	knee	lebəŋ	le+bəŋ		Post17
107	Tangam	knife	1352	knife	yoocɨk	joː+tɕɨk		Post17
108	Tangam	to know (something)	1410	know	kin	kin		Post17
109	Tangam	the lake	624	lake	hiyəŋ	hi+jəŋ		Post17
110	Tangam	late	477		Ø	Ø		Post17
111	Tangam	to laugh	1355	laugh	ŋin	ŋin		Post17
112	Tangam	the leaf	628	leaf	anɨ	a+nɨ		Post17
113	Tangam	to learn	504	study, read	po	po		Post17
114	Tangam	left	244	left arm/hand	laʔki	laʔ+ki	ki	Post17
115	Tangam	to lick	319	lick	yaʔta	jaʔ+ta		Post17
116	Tangam	to lie down	215	lie down	da	da		Post17
117	Tangam	light (of weight)	1052	light	aun	aun		Post17
118	Tangam	the lip (the lips)	478	lip	ciiban	tɕiː+ban		Post17
119	Tangam	the liver	1224	liver	ain	a+in		Post17
120	Tangam	long	1203	long	oodo	oː+do		Post17
121	Tangam	the louse	1392	louse (head)	tekya	te+kja		Post17
122	Tangam	the lung	688	lung(s)	daapuk	daː+puk		Post17
123	Tangam	the man (male human)	2106	man	abəŋ	a+bəŋ		Post17
124	Tangam	many	1198	many	cako	tɕa+ko		Post17
125	Tangam	to marry (a man marries a woman)	2164		Ø	Ø		Post17
126	Tangam	the meat	634	meat	demi	de+mi		Post17
127	Tangam	middle	1093	middle	laadaŋ	laː+daŋ		Post17
128	Tangam	the moon	1313	moon	pooro	poː+ro		Post17
129	Tangam	morning	1339	morning	lokon	lo+kon		Post17
130	Tangam	the mosquito	1509	mosquito	miʔko coono	miʔ+ko+tɕoː+no		Post17
131	Tangam	the mother	1216	mother	ane	a+ne		Post17
132	Tangam	the mountain	639	mountain	yolloŋ	jol+loŋ		Post17
133	Tangam	the mouse or rat	2139	mouse	kari	ka+ri		Post17
134	Tangam	the mouth	674	mouth	ɲaci	ɲa+tɕi		Post17
135	Tangam	the mud	640		Ø	Ø		Post17
136	Tangam	the nail (fingernail or claw)	2128	fingernail	laayin	laː+jin	yin	Post17
137	Tangam	the name	1405	name	ami	a+mi		Post17
138	Tangam	narrow	1267	narrow	tapit	ta+pit		Post17
139	Tangam	near	1942	near	nici	ni+tɕi		Post17
140	Tangam	the neck	1333	neck	ləŋguŋ	ləŋ+guŋ		Post17
141	Tangam	the needle (for sewing)	1382		Ø	Ø		Post17
142	Tangam	new	1231		Ø	Ø		Post17
143	Tangam	nine	1483	nine	konaŋ	ko+naŋ		Post17
144	Tangam	the nit	267		Ø	Ø		Post17
145	Tangam	noon	12		Ø	Ø		Post17
146	Tangam	the nose	1221	nose	ɲobuŋ	ɲo+buŋ		Post17
147	Tangam	old (of person)	2112	old (animate)	mɨǰiŋ	mɨ+ʥiŋ		Post17
148	Tangam	one	1493	one	yoʔkon	joʔ+kon		Post17
149	Tangam	the otter	15	otter	hiran	hi+ran		Post17
150	Tangam	outside	762	outside	laʔko	laʔ+ko		Post17
151	Tangam	the pig	1337	pig	aɨk	a+ɨk		Post17
152	Tangam	to plant (vegetals, rice)	1486	plant (with planting stick)	ǰɨŋ	ʥɨŋ		Post17
153	Tangam	to play	1413	as.play	man	man		Post17
154	Tangam	to pull	1455	pull	ho	ho		Post17
155	Tangam	to push	1452	push	ŋɨn	ŋɨn		Post17
156	Tangam	the rain	658	rain	pedoŋ	pe+doŋ		Post17
157	Tangam	the rainbow	1733	rainbow	amɨ nao	a+mɨ+nao		Post17
158	Tangam	red	156	red	buubu	buː+bu		Post17
159	Tangam	to reside (live)	1099	live / exist	ye	je		Post17
160	Tangam	the rice plant	2026	paddy	dero	de+ro		Post17
161	Tangam	right	1019	right arm / hand	laabik	laː+bik	bik	Post17
162	Tangam	the river	666	river (large)	kopoŋ	ko+poŋ		Post17
163	Tangam	the road	667	road	bedaŋ	be+daŋ		Post17
164	Tangam	the root	670	root (of a tree)	apen	a+pen		Post17
165	Tangam	the rope	1218	rope	adoŋ	a+doŋ		Post17
166	Tangam	round	1395		Ø	Ø		Post17
167	Tangam	to run	1519	run	duudu	duː+du		Post17
168	Tangam	the salt	1274	salt	aro	a+ro		Post17
169	Tangam	salty	1091		Ø	Ø		Post17
170	Tangam	the sand	671	sand	ləəde	ləː+de		Post17
171	Tangam	to scratch	1436	scratch (using claws)	ok	ok		Post17
172	Tangam	the sea	1474		Ø	Ø		Post17
173	Tangam	to see	1409	look	ke	ke		Post17
174	Tangam	the seed	714	seed (chili pepper)	himɨ	hi+mɨ		Post17
175	Tangam	seven	1704	seven	kene	ke+ne		Post17
176	Tangam	sharp	1396	sharp (of a blade), vi.	lat	lat		Post17
177	Tangam	the sheep	1331		Ø	Ø		Post17
178	Tangam	to shoot (an arrow)	1172	shoot	at	at		Post17
179	Tangam	short	1645	short	ondəŋ	on+dəŋ		Post17
180	Tangam	the shoulder	1482		Ø	Ø		Post17
181	Tangam	shy	487	shy	aɲɨŋ	a+ɲɨŋ		Post17
182	Tangam	the sickle	341	sickle	nau kacik	nau+ka+tɕik		Post17
183	Tangam	to sing	1261	sing	gyoŋ	gjoŋ		Post17
184	Tangam	six	1703	six	yoʔkuŋ	joʔ+kuŋ		Post17
185	Tangam	the skin	763	skin	ahɨk	a+hɨk		Post17
186	Tangam	the sky	1732	sky	terəŋ	te+rəŋ		Post17
187	Tangam	to sleep	1585	sleep	it	it		Post17
188	Tangam	small	1246	small	atuŋ	a+tuŋ		Post17
189	Tangam	to smell (perceive odor) [transitive]	1586	smell vr.	nan	nan		Post17
190	Tangam	the smoke	778	smoke	meɨŋ	me+ɨŋ		Post17
191	Tangam	smooth	1234		Ø	Ø		Post17
192	Tangam	the snake	730	snake	tɨbɨ	tɨ+bɨ		Post17
193	Tangam	the snow	784	snow	tepan	te+pan		Post17
194	Tangam	soft	1856	soft	cabyat	tɕa+bjat		Post17
195	Tangam	the son	1620	son	dooŋ	doːŋ		Post17
196	Tangam	the sparrow	1854		Ø	Ø		Post17
197	Tangam	the spider	843	spider	tooten	toː+ten		Post17
198	Tangam	to spit	1440	spit	cut	tɕut		Post17
199	Tangam	to stand	1442	stand	dak	dak		Post17
200	Tangam	the star	1430	star	doɨ kacciŋ	do+ɨ+katɕ+tɕiŋ		Post17
201	Tangam	to steal	713	steal	pyoŋ	pjoŋ		Post17
202	Tangam	the stick	1295	(stick for stirring food)	peɲu	pe+ɲu		Post17
203	Tangam	the stone (a piece of)	857	stone	arəŋ	a+rəŋ		Post17
204	Tangam	straight	1404		Ø	Ø		Post17
205	Tangam	the sun	1343	sun	dooɲi	doː+ɲi		Post17
206	Tangam	the tail	1220	tail	mecuŋ	me+tɕuŋ		Post17
207	Tangam	ten	1515	ten	aɨŋ	a+ɨŋ		Post17
208	Tangam	that	78	that (in line of sight)	de	de		Post17
209	Tangam	there	1937	there (in line of sight)	dəə	dəː		Post17
210	Tangam	thick	1244	thick	biitaŋ	biː+taŋ		Post17
211	Tangam	the thigh	800	thigh	ambaŋ	am+baŋ		Post17
212	Tangam	thin (object)	2307	thin vr.	kyuŋ	kjuŋ		Post17
213	Tangam	to think (reflect)	1415	think	min	min		Post17
214	Tangam	this	1214	this	hi	hi		Post17
215	Tangam	thou [second person singular]	1215	you sg	noo	noː		Post17
216	Tangam	three	492	three	yooden	joː+den		Post17
217	Tangam	to throw	1456	throw (underhand)	kuŋ	kuŋ		Post17
218	Tangam	the thunder	1150	thunder	doomɨn	doː+mɨn		Post17
219	Tangam	the tiger	846	tiger	himyo	hi+mjo		Post17
220	Tangam	today	1283	today	hiro	hi+ro		Post17
221	Tangam	tomorrow	1329	tomorrow	looro	loː+ro		Post17
222	Tangam	the tongue	1205	tongue	ao	a+o		Post17
223	Tangam	the tooth (front)	1380	tooth	eepaŋ	eː+paŋ		Post17
224	Tangam	the tree	906	tree	ahɨŋ	a+hɨŋ		Post17
225	Tangam	twenty	1710	twenty	aɨŋ aɲi	a+ɨŋ+a+ɲi		Post17
226	Tangam	two	1498	two	yooɲi	joː+ɲi		Post17
227	Tangam	to vomit	1278	vomit	ba	ba		Post17
228	Tangam	to walk	1443		Ø	Ø		Post17
229	Tangam	the water	948	water	ahi	a+hi		Post17
230	Tangam	we [first person plural inclusive]	1131	we	ŋoru	ŋo+ru		Post17
231	Tangam	wet	1726	wet	koǰɨŋ	ko+ʥɨŋ		Post17
232	Tangam	what	1236	what (thing)	ŋen	ŋen		Post17
233	Tangam	the wheat	1077		Ø	Ø		Post17
234	Tangam	where	1237	where	kero	ke+ro		Post17
235	Tangam	white	1335	white	lullun	lul+lun		Post17
236	Tangam	who	1235	who	ɨɨ	ɨː		Post17
237	Tangam	the wife	1199	wife	mime	mi+me		Post17
238	Tangam	the wind	960	wind	doit	do+it		Post17
239	Tangam	the wing	1257	wing	labben	lab+ben		Post17
240	Tangam	to wipe	1454	wipe (a surface)	not	not		Post17
241	Tangam	the wolf	522		Ø	Ø		Post17
242	Tangam	the woman	962	woman	ɲaməŋ	ɲa+məŋ		Post17
243	Tangam	the wood (material)	1803	tree	ahɨŋ	a+hɨŋ		Post17
244	Tangam	to sow (broadcast, scatter seeds)	748	sow (seeds/ grains)	pit	pit		Post17
245	Tangam	the year	1226	year	ɲɨ	ɲɨ		Post17
246	Tangam	yellow	1424	yellow	gemba	gem+ba		Post17
247	Tangam	yesterday	1174	yesterday	mero	me+ro		Post17
248	Tangam	you [second person plural]	1213	you (pl)	noru	no+ru		Post17
249	Tangam	young	1207	younger	ane	a+ne		Post17
250	Tangam	the shit	676	excrement	upa	u+pa		Post17
