#NAME?,ENGLISH,CONCEPTICON_ID,Concept in source,Form in source,Form,Notes,Source
77,the grass,606,grass,koŋgaŋ,koŋ+gaŋ,,Post17
78,green,1425,green-blue,yaɨŋ,jaɨŋ,,Post17
79,the hail,609,,Ø,Ø,,Post17
80,the hair (of the head),1040,hair (head),dɨmmɨ,dɨm+mɨ,,Post17
81,the hand,1277,hand / arm,arak,a+rak,,Post17
82,hard,1884,hard,əʔkəŋ,əʔ+kəŋ,,Post17
83,he or she [third person singular],262,he,nodɨ,no+dɨ,,Post17
84,the head,1256,head,duʔpoŋ,duʔ+poŋ,,Post17
85,to hear,1408,listen,ta,ta,,Post17
86,the heart,1223,heart,adaŋ,a+daŋ,,Post17
87,heavy,1210,heavy,cikɨk,tɕi+kɨk,,Post17
88,here,136,here,hɨɨ,hɨɨ,,Post17
89,to hide (conceal),602,,Ø,Ø,,Post17
90,high / tall,1265,"tall, long",oodo,oː+do,,Post17
91,to hold,1448,hold,bon,bon,,Post17
92,the hoof,152,hoof,lepyuk,le+pjuk,,Post17
93,horizontal,2376,,Ø,Ø,,Post17
94,the horn (keratinized skin),1393,horn,ləəbuŋ,ləː+buŋ,,Post17
95,the horse,615,horse,hiki,hi+ki,,Post17
96,hot,1286,hot,pyaʔke,pjaʔ+ke,,Post17
97,the house,1252,house,araŋ,a+raŋ,,Post17
98,hundred,1634,hundred,ləʔkon,ləʔ+kon,,Post17
99,to hunt,1435,,Ø,Ø,,Post17
100,the husband,1200,husband,miro,mi+ro,,Post17
101,I [first person singular],1209,I,ŋoo,ŋoː,,Post17
102,the ice,617,ice,paasoŋ,paː+soŋ,,Post17
103,inside,1606,in,lo,lo,,Post17
104,to kill,1417,kill,keŋ,keŋ,,Post17
105,to knead,274,,Ø,Ø,,Post17
106,the knee,1371,knee,lebəŋ,le+bəŋ,,Post17
107,knife,1352,knife,yoocɨk,joː+tɕɨk,,Post17
108,to know (something),1410,know,kin,kin,,Post17
109,the lake,624,lake,hiyəŋ,hi+jəŋ,,Post17
110,late,477,,Ø,Ø,,Post17
111,to laugh,1355,laugh,ŋin,ŋin,,Post17
112,the leaf,628,leaf,anɨ,a+nɨ,,Post17
113,to learn,504,"study, read",po,po,,Post17
114,left,244,left arm/hand,laʔki,laʔ+ki,ki,Post17
115,to lick,319,lick,yaʔta,jaʔ+ta,,Post17
116,to lie down,215,lie down,da,da,,Post17
117,light (of weight),1052,light,aun,aun,,Post17
118,the lip (the lips),478,lip,ciiban,tɕiː+ban,,Post17
119,the liver,1224,liver,ain,a+in,,Post17
120,long,1203,long,oodo,oː+do,,Post17
121,the louse,1392,louse (head),tekya,te+kja,,Post17
122,the lung,688,lung(s),daapuk,daː+puk,,Post17
123,the man (male human),2106,man,abəŋ,a+bəŋ,,Post17
124,many,1198,many,cako,tɕa+ko,,Post17
125,to marry (a man marries a woman),2164,,Ø,Ø,,Post17
126,the meat,634,meat,demi,de+mi,,Post17
127,middle,1093,middle,laadaŋ,laː+daŋ,,Post17
128,the moon,1313,moon,pooro,poː+ro,,Post17
129,morning,1339,morning,lokon,lo+kon,,Post17
130,the mosquito,1509,mosquito,miʔko coono,miʔ+ko+tɕoː+no,,Post17
131,the mother,1216,mother,ane,a+ne,,Post17
132,the mountain,639,mountain,yolloŋ,jol+loŋ,,Post17
133,the mouse or rat,2139,mouse,kari,ka+ri,,Post17
134,the mouth,674,mouth,ɲaci,ɲa+tɕi,,Post17
135,the mud,640,,Ø,Ø,,Post17
136,the nail (fingernail or claw),2128,fingernail,laayin,laː+jin,yin,Post17
137,the name,1405,name,ami,a+mi,,Post17
138,narrow,1267,narrow,tapit,ta+pit,,Post17
139,near,1942,near,nici,ni+tɕi,,Post17
140,the neck,1333,neck,ləŋguŋ,ləŋ+guŋ,,Post17
141,the needle (for sewing),1382,,Ø,Ø,,Post17
142,new,1231,,Ø,Ø,,Post17
143,nine,1483,nine,konaŋ,ko+naŋ,,Post17
144,the nit,267,,Ø,Ø,,Post17
145,noon,12,,Ø,Ø,,Post17
146,the nose,1221,nose,ɲobuŋ,ɲo+buŋ,,Post17
147,old (of person),2112,old (animate),mɨǰiŋ,mɨ+ʥiŋ,,Post17
148,one,1493,one,yoʔkon,joʔ+kon,,Post17
149,the otter,15,otter,hiran,hi+ran,,Post17
150,outside,762,outside,laʔko,laʔ+ko,,Post17
151,the pig,1337,pig,aɨk,a+ɨk,,Post17
152,"to plant (vegetals, rice)",1486,plant (with planting stick),ǰɨŋ,ʥɨŋ,,Post17
153,to play,1413,as.play,man,man,,Post17
154,to pull,1455,pull,ho,ho,,Post17
155,to push,1452,push,ŋɨn,ŋɨn,,Post17
156,the rain,658,rain,pedoŋ,pe+doŋ,,Post17
157,the rainbow,1733,rainbow,amɨ nao,a+mɨ+nao,,Post17
158,red,156,red,buubu,buː+bu,,Post17
159,to reside (live),1099,live / exist,ye,je,,Post17
160,the rice plant,2026,paddy,dero,de+ro,,Post17
161,right,1019,right arm / hand,laabik,laː+bik,bik,Post17
162,the river,666,river (large),kopoŋ,ko+poŋ,,Post17
163,the road,667,road,bedaŋ,be+daŋ,,Post17
164,the root,670,root (of a tree),apen,a+pen,,Post17
165,the rope,1218,rope,adoŋ,a+doŋ,,Post17
166,round,1395,,Ø,Ø,,Post17
167,to run,1519,run,duudu,duː+du,,Post17
168,the salt,1274,salt,aro,a+ro,,Post17
169,salty,1091,,Ø,Ø,,Post17
170,the sand,671,sand,ləəde,ləː+de,,Post17
171,to scratch,1436,scratch (using claws),ok,ok,,Post17
172,the sea,1474,,Ø,Ø,,Post17
173,to see,1409,look,ke,ke,,Post17
174,the seed,714,seed (chili pepper),himɨ,hi+mɨ,,Post17
175,seven,1704,seven,kene,ke+ne,,Post17
176,sharp,1396,"sharp (of a blade), vi.",lat,lat,,Post17
177,the sheep,1331,,Ø,Ø,,Post17
178,to shoot (an arrow),1172,shoot,at,at,,Post17
179,short,1645,short,ondəŋ,on+dəŋ,,Post17
180,the shoulder,1482,,Ø,Ø,,Post17
181,shy,487,shy,aɲɨŋ,a+ɲɨŋ,,Post17
182,the sickle,341,sickle,nau kacik,nau+ka+tɕik,,Post17
183,to sing,1261,sing,gyoŋ,gjoŋ,,Post17
184,six,1703,six,yoʔkuŋ,joʔ+kuŋ,,Post17
185,the skin,763,skin,ahɨk,a+hɨk,,Post17
186,the sky,1732,sky,terəŋ,te+rəŋ,,Post17
187,to sleep,1585,sleep,it,it,,Post17
188,small,1246,small,atuŋ,a+tuŋ,,Post17
189,to smell (perceive odor) [transitive],1586,smell vr.,nan,nan,,Post17
190,the smoke,778,smoke,meɨŋ,me+ɨŋ,,Post17
191,smooth,1234,,Ø,Ø,,Post17
192,the snake,730,snake,tɨbɨ,tɨ+bɨ,,Post17
193,the snow,784,snow,tepan,te+pan,,Post17
194,soft,1856,soft,cabyat,tɕa+bjat,,Post17
195,the son,1620,son,dooŋ,doːŋ,,Post17
196,the sparrow,1854,,Ø,Ø,,Post17
197,the spider,843,spider,tooten,toː+ten,,Post17
198,to spit,1440,spit,cut,tɕut,,Post17
199,to stand,1442,stand,dak,dak,,Post17
200,the star,1430,star,doɨ kacciŋ,do+ɨ+katɕ+tɕiŋ,,Post17
201,to steal,713,steal,pyoŋ,pjoŋ,,Post17
202,the stick,1295,(stick for stirring food),peɲu,pe+ɲu,,Post17
203,the stone (a piece of),857,stone,arəŋ,a+rəŋ,,Post17
204,straight,1404,,Ø,Ø,,Post17
205,the sun,1343,sun,dooɲi,doː+ɲi,,Post17
206,the tail,1220,tail,mecuŋ,me+tɕuŋ,,Post17
207,ten,1515,ten,aɨŋ,a+ɨŋ,,Post17
208,that,78,that (in line of sight),de,de,,Post17
209,there,1937,there (in line of sight),dəə,dəː,,Post17
210,thick,1244,thick,biitaŋ,biː+taŋ,,Post17
211,the thigh,800,thigh,ambaŋ,am+baŋ,,Post17
212,thin (object),2307,thin vr.,kyuŋ,kjuŋ,,Post17
213,to think (reflect),1415,think,min,min,,Post17
214,this,1214,this,hi,hi,,Post17
215,thou [second person singular],1215,you sg,noo,noː,,Post17
216,three,492,three,yooden,joː+den,,Post17
217,to throw,1456,throw (underhand),kuŋ,kuŋ,,Post17
218,the thunder,1150,thunder,doomɨn,doː+mɨn,,Post17
219,the tiger,846,tiger,himyo,hi+mjo,,Post17
220,today,1283,today,hiro,hi+ro,,Post17
221,tomorrow,1329,tomorrow,looro,loː+ro,,Post17
222,the tongue,1205,tongue,ao,a+o,,Post17
223,the tooth (front),1380,tooth,eepaŋ,eː+paŋ,,Post17
224,the tree,906,tree,ahɨŋ,a+hɨŋ,,Post17
225,twenty,1710,twenty,aɨŋ aɲi,a+ɨŋ+a+ɲi,,Post17
226,two,1498,two,yooɲi,joː+ɲi,,Post17
227,to vomit,1278,vomit,ba,ba,,Post17
228,to walk,1443,,Ø,Ø,,Post17
229,the water,948,water,ahi,a+hi,,Post17
230,we [first person plural inclusive],1131,we,ŋoru,ŋo+ru,,Post17
231,wet,1726,wet,koǰɨŋ,ko+ʥɨŋ,,Post17
232,what,1236,what (thing),ŋen,ŋen,,Post17
233,the wheat,1077,,Ø,Ø,,Post17
234,where,1237,where,kero,ke+ro,,Post17
235,white,1335,white,lullun,lul+lun,,Post17
236,who,1235,who,ɨɨ,ɨː,,Post17
237,the wife,1199,wife,mime,mi+me,,Post17
238,the wind,960,wind,doit,do+it,,Post17
239,the wing,1257,wing,labben,lab+ben,,Post17
240,to wipe,1454,wipe (a surface),not,not,,Post17
241,the wolf,522,,Ø,Ø,,Post17
242,the woman,962,woman,ɲaməŋ,ɲa+məŋ,,Post17
243,the wood (material),1803,tree,ahɨŋ,a+hɨŋ,,Post17
244,"to sow (broadcast, scatter seeds)",748,sow (seeds/ grains),pit,pit,,Post17
245,the year,1226,year,ɲɨ,ɲɨ,,Post17
246,yellow,1424,yellow,gemba,gem+ba,,Post17
247,yesterday,1174,yesterday,mero,me+ro,,Post17
248,you [second person plural],1213,you (pl),noru,no+ru,,Post17
249,young,1207,younger,ane,a+ne,,Post17
250,the shit,676,excrement,upa,u+pa,,Post17
