#NAME?,ENGLISH,CONCEPTICON_ID,Concept in source,Form in source,Form,Notes,Source
1,above,1741,on top,agyaŋ,a+gjaŋ,,Post17
2,all,98,all,aʔpɨŋ,aʔ+pɨŋ,,Post17
3,the ant,587,,teruk,te+ruk,,Post17
4,the armpit,1886,armpit,ləədu kiiruŋ,ləː+du+kiː+ruŋ,,Post17
5,bad,1292,,Ø,Ø,,Post17
6,the bamboo,1927,bamboo,ade,a+de,,Post17
7,the barley (tibetan or highland),932,,Ø,Ø,,Post17
8,to be alive,1422,be alive,tun,tun,,Post17
9,the belly,1251,stomach,aat,aːt,,Post17
10,"below, under",1485,under,laʔkɨŋ,laʔ+kɨŋ,,Post17
11,big,1202,big,boʔte,boʔ+te,,Post17
12,the bird,937,bird,taatuŋ,taː+tuŋ,,Post17
13,to bite,1403,bite,gyan,gjan,,Post17
14,black,163,black,yaka,ja+ka,,Post17
15,the blood,946,blood,ayi,a+ji,,Post17
16,to blow (of wind),175,blow (as wind),mut,mut,,Post17
17,the body hair (hair or fur),189,hair (body),amɨ,a+mɨ,,Post17
18,the bone,1394,bone,aroŋ,a+roŋ,,Post17
19,the branch,1531,branch,aabe,aː+be,,Post17
20,the breast (female),1402,breast,poopoŋ,poː+poŋ,,Post17
21,to burn [intransitive],1428,,Ø,Ø,,Post17
22,to buy,1869,buy,le,le,,Post17
23,to chew,321,chew,ǰun,ʥun,,Post17
24,the child (young human),1304,child ,ŋaǰɨŋ,ŋa+ʥɨŋ,,Post17
25,the cloud,1489,cloud,doomuk,doː+muk,,Post17
26,cold (of temperature),1287,cold (feeling),ǰaccɨŋ,ʥatɕ+tɕɨŋ,,Post17
27,to come,1446,come,aŋ,aŋ,,Post17
28,correct (right),1725,that’s right,də,də,,Post17
29,to count,1420,count,kiŋ,kiŋ,,Post17
30,to cry (weep),1839,cry (weep),kyat,kjat,,Post17
31,dark,706,dark,katəə mareŋ,ka+təː+ma+reŋ,,Post17
32,the daughter,1357,daughter,dome,do+me,,Post17
33,the dew,1977,dew,ŋaasi,ŋaː+si,,Post17
34,to die,1494,die,hi,hi,,Post17
35,to dig,1418,dig,kyoŋ,kjoŋ,,Post17
36,dirty,1230,dirty,kaʔcin,kaʔ+tɕin,,Post17
37,the dog,2009,dog,akee,a+keː,,Post17
38,the dream,2374,,Ø,Ø,,Post17
39,to drink,1401,imbibe,təŋ,təŋ,,Post17
40,dry,1398,dry vr.,han,han,,Post17
41,the dust,2,dusty,gyuŋgyuŋ,gjuŋ+gjuŋ,,Post17
42,the ear,1247,ear,ɲoruŋ,ɲo+ruŋ,,Post17
43,early,672,early,kon,kon,,Post17
44,the earth (soil),1228,soil,koǰee,ko+ʥeː,,Post17
45,the earthworm,2350,earthworm,dondaŋ,don+daŋ,,Post17
46,to eat,1336,eat,de,de,,Post17
47,the egg,744,egg,loopɨ,loː+pɨ,,Post17
48,eight,1705,eight,piiɲi,piː+ɲi,,Post17
49,the eye,1248,eye,amik,a+mik,,Post17
50,far,1406,far,mootəŋ,moː+təŋ,,Post17
51,the father,1217,father,abo,a+bo,,Post17
52,the feather,1201,chicken feather,loomɨ,loː+mɨ,,Post17
53,to fight,1423,,Ø,Ø,,Post17
54,the fire,221,fire,ame,a+me,,Post17
55,firewood,10,firewood,paasa,paː+sa,,Post17
56,the fish,227,fish,aŋo,a+ŋo,,Post17
57,five,493,five,yoŋŋo,joŋ+ŋo,,Post17
58,the flea,232,flea,tei,tei,,Post17
59,to float,1574,,Ø,Ø,,Post17
60,to flow,2003,flow,yu,ju,,Post17
61,the flower,239,flower,apuk,a+puk,,Post17
62,to fly (move through air),1441,fly,yot,jot,,Post17
63,the fog,249,fog,daapan,daː+pan,,Post17
64,the foot,1301,foot (of body),are,a+re,,Post17
65,the forest,420,jungle,mɨɨraŋ,mɨː+raŋ,,Post17
66,to forget,1523,forget,miʔpan,miʔ+pan,,Post17
67,four,1500,four,yoʔpi,joʔ+pi,,Post17
68,the fox,1312,,Ø,Ø,,Post17
69,the frog,503,frog,kutuk,ku+tuk,,Post17
70,the front (front side),2194,front,ɲapyaŋ,ɲa+pjaŋ,,Post17
71,the frost,2034,frost,ŋamba,ŋam+ba,,Post17
72,the fruit,1507,fruit,apɨ,a+pɨ,,Post17
73,full,1429,full (not empty),biŋ,biŋ,,Post17
74,to give,1447,give,bi,bi,,Post17
75,the goat,1502,goat,laga,la+ga,,Post17
76,good,1035,good,aɲo,a+ɲo,,Post17
