CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID			SOURCE
I [first person singular]	101_ifirstpersonsingular	1209	ngat	ŋat	VDriem15
big	11_big	1202	chetpu	tɕʰet+pu	VDriem15
black	14_black	163	nyun di	ɲun+di	DDC2018
cold (of temperature)	26_coldoftemperature	1287		ŋa+pa 	TB
dirty	36_dirty	1230		kʰam+lok+lok+tɕʰak+tɕʰak	TB
dry	40_dry	1398	kam	kam	DDC2018
eight	48_eight	1705	dʑat	dʑat	VDriem15
far	50_far	1406		tʰa+riŋ+ɕiŋ	TB
five	57_five	493	yanga	ja+ŋa	VDriem15
four	67_four	1500	ble	ble	VDriem15
full	73_full	1429		tʰɛm+tʰɛm	TB
good	76_good	1035	kakcan	kak+tɕan	VDriem15
green	78_green	1425	jang khu	dʑaŋ+kʰu	DDC2018
hard	82_hard	1884		sa+tak+tak	TB
he or she [third person singular]	83_heorshethirdpersonsingular	262	khit	kʰit	VDriem15
heavy	87_heavy	1210		dʑut+dʑan	TB
hot	96_hot	1286		tsʰa+tʰom	TB
inside	103_inside	1606	nang	naŋ	VDriem15
late	110_late	477		pe+na	TB
left	114_left	244		jon+pa	TB
light (of weight)	117_lightofweight	1052		jaŋ+som+som	TB
long	120_long	1203	khangma	kʰaŋ+ma	VDriem15
many	124_many	1198		dʑak+tse	TB
middle	127_middle	1093		bar+do	TB
morning	129_morning	1339	ngadza	ŋa+dza	VDriem15
near	139_near	1942		tʰa+ma+ro	TB
new	142_new	1231		sar+pa	TB
nine	143_nine	1483	dogo	do+go	VDriem15
one	148_one	1493	thek	tʰek	VDriem15
outside	150_outside	762		be+tʰu	TB
red	158_red	156	zhin di	ʑin+di	DDC2018
right	161_right	1019		ja+pa	TB
round	166_round	1395		tʰɛ+ri+ri	TB
seven	175_seven	1704	'nyit, ‘nyis	ɲit55	VDriem15
sharp	176_sharp	1396		ja55	TB
short	179_short	1645	thing ku la	tʰiŋ+ku+la	DDC2018
six	184_six	1703	grok	grok	VDriem15
small	188_small	1246	cingku	tɕiŋ+ku	VDriem15
soft	194_soft	1856		dʑam+tɕʰuk+tɕʰuk	TB
straight	204_straight	1404	thrang tang tang	ʈʰaŋ+taŋ+taŋ	DDC2018
ten	207_ten	1515	che	tɕʰe	VDriem15
the ant	3_theant	587	bruk to la	bruk+to+la	DDC2018
the bamboo	6_thebamboo	1927	'rat	rat55	VDriem15
the belly	9_thebelly	1251		dʑo+ma	TB
the bird	12_thebird	937	jau ya	dʑau+ja	DDC2018
the blood	15_theblood	946	kak	kak	VDriem15
the bone	18_thebone	1394	rotpa	rot+pa	VDriem15
the branch	19_thebranch	1531	zha la, yag thang	jak+tʰaŋ	DDC2018
the breast (female)	20_thebreastfemale	1402	dʑu	dʑu	VDriem15
the cloud	25_thecloud	1489		sar+dʑa	TB
the dew	33_thedew	1977		zɛk	TB
the dog	37_thedog	2009	khwi, khü	kʰwi	VDriem15
the dream	38_thedream	2374		me+maŋ	TB
the dust	41_thedust	2		tsʰu+ma	TB
the ear	42_theear	1247	na	na	VDriem15
the earth (soil)	44_theearthsoil	1228	sa	sa	DDC2018
the egg	47_theegg	744	khawate	kʰa+wa+te	VDriem15
the eye	49_theeye	1248	mek	mek	VDriem15
the fire	54_thefire	221	gami	ga+mi	VDriem15
the fish	56_thefish	227	nya	ɲa	VDriem15
the flower	61_theflower	239	mento	men+to	VDriem15
the foot	64_thefoot	1301		ta+wa	TB
the forest	65_theforest	420	bung	buŋ 	DDC2018
the frog	69_thefrog	503	ba bai	ba+bai	DDC2018
the front (front side)	70_thefrontfrontside	2194		doŋ+ŋo	TB
the fruit	72_thefruit	1507	zat, zas	zat	DDC2018
the goat	75_thegoat	1502	ra	ra	VDriem15
the hail	79_thehail	609	ser ba, ser wa	sɛr+ba	DDC2018
the hair (of the head)	80_thehairofthehead	1040	'ra	ra55	VDriem15
the hand	81_thehand	1277	yak	jak	VDriem15
the head	84_thehead	1256	guyung	gu+juŋ	VDriem15
the heart	86_theheart	1223	nengma	neŋ55+ma	VDriem15
the horn (keratinized skin)	94_thehornkeratinizedskin	1393		ro	TB
the house	97_thehouse	1252	mai	mai	VDriem15
the knee	106_theknee	1371	patmong	pat+moŋ	VDriem15
the leaf	112_theleaf	628	‘lam ba	lam55+ba	DDC2018
the liver	119_theliver	1224	chimbo	tɕʰim+bo	VDriem15
the louse	121_thelouse	1392		sɛk	DDC2018
the lung	122_thelung	688	zhruwa	ɼu+wa	VDriem15
the man (male human)	123_themanmalehuman	2106	phodʑa	pʰo+dʑa	VDriem15
the meat	126_themeat	634	shra	r̥a	VDriem15
the moon	128_themoon	1313	‘la	la55	DDC2018
the mountain	132_themountain	639	ri	ri	VDriem15
the mouse or rat	133_themouseorrat	2139	‘nyi wa	ɲi55+wa	DDC2018
the mouth	134_themouth	674	kha	kʰa	VDriem15
the mud	135_themud	640	dam	dam	DDC2018
the nail (fingernail or claw)	136_thenailfingernailorclaw	2128	sima	si+ma	VDriem15
the name	137_thename	1405	meng	meŋ	VDriem15
the neck	140_theneck	1333	takpa	tak+pa	VDriem15
the needle (for sewing)	141_theneedleforsewing	1382	tshem khap	kʰap	DDC2018
the nose	146_thenose	1221	'naphang	na55+pʰaŋ	VDriem15
the pig	151_thepig	1337	phak	pʰak	DDC2018
the rain	156_therain	658	yö	jɶ	VDriem15
the road	163_theroad	667	yam	jam	VDriem15
the root	164_theroot	670	rato	ra+to	VDriem15
the rope	165_therope	1218	thak pa	tʰak+pa	DDC2018
the salt	168_thesalt	1274	tsha	tsʰa	DDC2018
the sand	170_thesand	671		be+ma	TB
the seed	174_theseed	714	son	son	DDC2018
the shit	250_theshit	676	cok	tɕok	VDriem15
the shoulder	180_theshoulder	1482	pongma	poŋ+ma	VDriem15
the skin	185_theskin	763	pak	pak	VDriem15
the sky	186_thesky	1732		nam	TB
the smoke	190_thesmoke	778		du+wa	TB
the snake	192_thesnake	730	po	po	VDriem15
the snow	193_thesnow	784	ka	ka	VDriem15
the son	195_theson	1620	botsa	bo+tsa	VDriem15
the spider	197_thespider	843		pʰrun+zan	TB
the star	200_thestar	1430		kar+ma	TB
the stick	202_thestick	1295	‘lak phang	lak55+pʰaŋ	DDC2018
the stone (a piece of)	203_thestoneapieceof	857		gor	DDC2018
the sun	205_thesun	1343	nyi	ɲi	DDC2018
the tail	206_thetail	1220	'nyiphang	ɲi55+pʰaŋ	VDriem15
the thigh	211_thethigh	471	nyamgong	ɲam+goŋ	VDriem15
the thunder	218_thethunder	1150		ɖuk+dɛr+sa	TB
the tongue	222_thetongue	1205	'li	li55	VDriem15
the tooth (front)	223_thetoothfront	1380	kwa	kwa	VDriem15
the water	229_thewater	948	khwe	kʰwe	VDriem15
the wind	238_thewind	960	'long	loŋ55	VDriem15
the wing	239_thewing	1257	shok pa	ɕok+pa	DDC2018
the woman	242_thewoman	962	minbotsa	min+bo+tsa	VDriem15
the year	245_theyear	1226	‘neng	neŋ55	DDC2018
thick	210_thick	1244		tʰok+dʑan	TB
thin (object)	212_thinobject	2249		tɕʰa+tiŋ+tiŋ	TB
thou [second person singular]	215_thousecondpersonsingular	1215	wet	wet	VDriem15
three	216_three	492	sum	sum	VDriem15
to bite	13_tobite	1403		daŋ	TB
to burn [intransitive]	21_toburnintransitive	1428		bur	TB
to buy	22_tobuy	1869	'ngüi	ŋyi55	VDriem15
to chew	23_tochew	321		mur	TB
to come	27_tocome	1446	ra	ra	VDriem15
to count	29_tocount	1420	grang	graŋ	VDriem15
to cry (weep)	30_tocryweep	1839		ŋo	TB
to die	34_todie	1494	se	se	VDriem15
to dig	35_todig	1418		ku+saŋ	TB
to drink	39_todrink	1401	thong	tʰoŋ	VDriem15
to eat	46_toeat	1336	zu	zu	VDriem15
to fight	53_tofight	1423	prat	prat	VDriem15
to fly (move through air)	62_toflymovethroughair	1441		pʰur 	TB
to forget	66_toforget	1523	zhit	ʑit	VDriem15
to give	74_togive	1447	bi	bi	VDriem15
to hear	85_tohear	1408		nan	TB
to hide (conceal)	89_tohideconceal	602		lɶm	TB
to hold	91_tohold	1448		zoŋ	TB
to kill	104_tokill	1417	sut	sut	VDriem15
to laugh	111_tolaugh	1355		ga	TB
to lick	115_tolick	319		plɛn	TB
to play	153_toplay	1413		pʰui	TB
to push	155_topush	1452		tʰuŋ	TB
to reside (live)	159_toresidelive	363	nyit	ɲit	VDriem15
to scratch	171_toscratch	1436	brat	brat	VDriem15
to see	173_tosee	1409	thung	tʰuŋ	VDriem15
to shoot (an arrow)	178_toshootanarrow	1172		tʰuŋ	TB
to sing	183_tosing	1261		tʰaŋ	TB
to sleep	187_tosleep	1585	dot	dot	VDriem15
to smell (perceive odor) [transitive]	189_tosmellperceiveodortransitive	1586	num	num	VDriem15
to spit	198_tospit	1440		tʰɛp+tʰuk	TB
to stand	199_tostand	1442	yang	jaŋ	VDriem15
to steal	201_tosteal	713		ʑu+bu	TB
to think (reflect)	213_tothinkreflect	1415		nok+sam	TB
to throw	217_tothrow	1456		tɕʰaŋ	TB
to vomit	227_tovomit	1278		tɕʰuk	TB
to walk	228_towalk	1443		jam+go	TB
to wipe	240_towipe	1454		pʰik	TB
two	226_two	1498	zon	zon	VDriem15
wet	231_wet	1726	shir phan	ɕir+pʰan	DDC2018
white	235_white	1335	kharkharma	kʰar+kʰar+ma	VDriem15
who	236_who	1235	'adʑi	a55+dʑi	VDriem15
yellow	246_yellow	1424	sirsirma	sir+sir+ma	VDriem15
