RID	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE
118	the water	229_thewater	948	khwe	kʰwe	VDriem15
119	the wind	238_thewind	960	'long	loŋ55	VDriem15
120	the wing	239_thewing	1257	shok pa	ɕok+pa	DDC2018
121	the woman	242_thewoman	962	minbotsa	min+bo+tsa	VDriem15
122	the year	245_theyear	1226	‘neng	neŋ55	DDC2018
123	thick	210_thick	1244		tʰok+dʑan	TB
124	thin (object)	212_thinobject	2249		tɕʰa+tiŋ+tiŋ	TB
125	thou [second person singular]	215_thousecondpersonsingular	1215	wet	wet	VDriem15
126	three	216_three	492	sum	sum	VDriem15
127	to bite	13_tobite	1403		daŋ	TB
128	to burn [intransitive]	21_toburnintransitive	1428		bur	TB
129	to buy	22_tobuy	1869	'ngüi	ŋyi55	VDriem15
130	to chew	23_tochew	321		mur	TB
131	to come	27_tocome	1446	ra	ra	VDriem15
132	to count	29_tocount	1420	grang	graŋ	VDriem15
133	to cry (weep)	30_tocryweep	1839		ŋo	TB
134	to die	34_todie	1494	se	se	VDriem15
135	to dig	35_todig	1418		ku+saŋ	TB
136	to drink	39_todrink	1401	thong	tʰoŋ	VDriem15
137	to eat	46_toeat	1336	zu	zu	VDriem15
138	to fight	53_tofight	1423	prat	prat	VDriem15
139	to fly (move through air)	62_toflymovethroughair	1441		pʰur 	TB
140	to forget	66_toforget	1523	zhit	ʑit	VDriem15
141	to give	74_togive	1447	bi	bi	VDriem15
142	to hear	85_tohear	1408		nan	TB
143	to hide (conceal)	89_tohideconceal	602		lɶm	TB
144	to hold	91_tohold	1448		zoŋ	TB
145	to kill	104_tokill	1417	sut	sut	VDriem15
146	to laugh	111_tolaugh	1355		ga	TB
147	to lick	115_tolick	319		plɛn	TB
148	to play	153_toplay	1413		pʰui	TB
149	to push	155_topush	1452		tʰuŋ	TB
150	to reside (live)	159_toresidelive	363	nyit	ɲit	VDriem15
151	to scratch	171_toscratch	1436	brat	brat	VDriem15
152	to see	173_tosee	1409	thung	tʰuŋ	VDriem15
153	to shoot (an arrow)	178_toshootanarrow	1172		tʰuŋ	TB
154	to sing	183_tosing	1261		tʰaŋ	TB
155	to sleep	187_tosleep	1585	dot	dot	VDriem15
156	to smell (perceive odor) [transitive]	189_tosmellperceiveodortransitive	1586	num	num	VDriem15
157	to spit	198_tospit	1440		tʰɛp+tʰuk	TB
158	to stand	199_tostand	1442	yang	jaŋ	VDriem15
159	to steal	201_tosteal	713		ʑu+bu	TB
160	to think (reflect)	213_tothinkreflect	1415		nok+sam	TB
161	to throw	217_tothrow	1456		tɕʰaŋ	TB
162	to vomit	227_tovomit	1278		tɕʰuk	TB
163	to walk	228_towalk	1443		jam+go	TB
164	to wipe	240_towipe	1454		pʰik	TB
165	two	226_two	1498	zon	zon	VDriem15
166	wet	231_wet	1726	shir phan	ɕir+pʰan	DDC2018
167	white	235_white	1335	kharkharma	kʰar+kʰar+ma	VDriem15
168	who	236_who	1235	'adʑi	a55+dʑi	VDriem15
169	yellow	246_yellow	1424	sirsirma	sir+sir+ma	VDriem15
170	the fog	63_thefog	249	tɕirdʑi	tɕir+dʑi	TB
