ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	SUBGROUP	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	LOAN	SOURCE	NOTES	MORPHEMES	ALIGNMENT
1	1_above	above	TshDirangTshangla	DirangTshangla	Bodic	tʰuŋ+ga	tʰuŋ+ga	tʰ u ŋ + g a	dira1243	1741	27.343674	92.273057		3493	FALSE	TB		above _loc	tʰ u ŋ ( + g a )
22	1_above	above	TshBhutanTshangla	BhutanTshangla	Bodic	tʰuŋ	tʰuŋ	tʰ u ŋ	tsha1245	1741	27.332081	91.551505	783	3493	FALSE	LandB2017		above	tʰ u ŋ ( - - - )
45	1_above	above	Khaling	Khaling	Kiranti	tuŋ	t.u.ŋ	t u ŋ	khal1275	1741	27.390595	87.510016	3493	3493	FALSE	Jacques2017FN		above	t u ŋ ( - - - )
2	1_above	above	TaniTangam	Tangam	Tani	agyaŋ	a+gjaŋ	a + g j a ŋ	tang1377	1741	28.956354	94.990737		150	FALSE	Post2017		_prf above	
3	1_above	above	EBDzalakha	Dzalakha	East Bodish	blaiwa	blai+wa	b l a i/j + w a	dzal1238	1741	27.605989	91.494864		26	FALSE	DDC2017		_above _above	b l a i/j ( + w a )
4	1_above	above	EBKhengkha	Khengkha	East Bodish	ཇའི་དོ།	dʑai+do	dʑ a i/j + d o	khen1241	1741	27.144878	90.689999		26	FALSE	TB		_above _above	dʑ - a i/j ( + d o )
31	1_above	above	EBBumthang	Bumthang	East Bodish	jai	dʑai	dʑ a i/j	khen1241	1741	27.549248	90.753738		26	FALSE	vanDriem2015		above	dʑ - a i/j ( - - - )
5	1_above	above	KBWanghoBugun	Bugun	KhoBwa	lakhuŋ	la+kʰuŋ	l a + kʰ u ŋ	wang1301	1741	27.24169	92.420806		158	FALSE	Abraham2018		_above above	( l a + - - - ) kʰ u ŋ
6	1_above	above	KBBichomBugun	Bugun	KhoBwa	lakhuŋ	la+kʰuŋ	l a + kʰ u ŋ	bich1234	1741	27.31177	92.592007		158	FALSE	Abraham2018		_above above	( l a + - - - ) kʰ u ŋ
7	1_above	above	KBSingchungBugun	Bugun	KhoBwa	lakhuŋ	la+kʰuŋ	l a + kʰ u ŋ	sing1271	1741	27.191743	92.474176		158	FALSE	Abraham2018		_above above	( l a + - - - ) kʰ u ŋ
8	1_above	above	KBKaspiBugun	Bugun	KhoBwa	lakhuŋ	la+kʰuŋ	l a + kʰ u ŋ	kasp1234	1741	27.204536	92.564228		158	FALSE	Abraham2018		_above above	( l a + - - - ) kʰ u ŋ
9	1_above	above	KBNamphriBugun	Bugun	KhoBwa	lakhuŋ	la+kʰuŋ	l a + kʰ u ŋ	namp1239	1741	27.24403	92.52836		158	FALSE	Abraham2018		_above above	( l a + - - - ) kʰ u ŋ
13	1_above	above	KBDikhyangBugun	Bugun	KhoBwa	sa.ba.kʰuŋ	sa.ba.kʰuŋ	s a + b a + kʰ u ŋ	dikh1234	1741	27.320448	92.454924	785	158	FALSE	LandB2017		_above _above _above	( s a + b a + ) kʰ u ŋ
10	1_above	above	EBMamaCuonaMenba	TshonaDakpa	East Bodish	jAr˥	jAr55	j a r ⁵⁵	dakp1242	1741	27.872413	91.798576		198	FALSE	Lu1986	this means 'upwards'	above	j a r ( - - - - ⁵⁵ )
35	1_above	above	Lhasa	Lhasa	Tibetan	jɛ̃¹³tɕhɛ⁵²	j.ɛ̃.∼.¹³.◦.tɕʰ.ɛ.⁵²	j ɛ̃ ¹³ + tɕʰ ɛ ⁵²	utsa1239	1741	29.653441	91.171493	198	198	FALSE	Huang1992		_above _above	j ɛ̃ ¹³ ( + tɕʰ ɛ - ⁵² )
39	1_above	above	Batang	Batang	Tibetan	ja¹³tɕøʔ⁵³	j.a.¹³.◦.tɕ.ø.ʔ.⁵³	j a ¹³ + tɕ ø ʔ ⁵³	kham1282	1741	30.00795	99.111944	198	198	FALSE	Huang1992		_above _above	j a ¹³ ( + tɕ ø ʔ ⁵³ )
42	1_above	above	Xiahe	Xiahe	Tibetan	jan tɕhar	j.a.n._.tɕh.a.r	j a n + tɕʰ a r	amdo1237	1741	35.210549	102.524979	198	198	FALSE	Huang1992		_above _above	j a n ( + tɕʰ a r - )
44	1_above	above	TaniBokar	Bokar	Tani	jan dap	j.a.n.+.d.a.p	j a n + d a p	boka1249	1741	27.554547	93.15717	198	198	TRUE	Huang1992		_above _above	j a n ( + d a p - )
55	1_above	above	Bunan	Bunan	TibetoKinauri	jartok	j.a.r.t.o.k	j a r t o./o k	gahr1239	1741	32.554766	77.076283	198	198	TRUE	Widmer2014		above	j a r ( - t o./o k - )
56	1_above	above	Byangsi	Byangsi	TibetoKinauri	jarto	j.a.r.t.o	j a r t o	byan1241	1741	29.583838	80.22309	198	198	TRUE	Sharma2003a		above	j a r ( - t o - - )
