concepticon_id	concepticon_gloss
1741	ABOVE
98	ALL
1886	ARMPIT
1292	BAD
932	BARLEY
1422	BE ALIVE
1485	BELOW OR UNDER
175	BLOW (OF WIND)
189	HAIR (BODY)
1304	CHILD (YOUNG HUMAN)
1725	CORRECT (RIGHT)
706	DARK
1357	DAUGHTER
672	EARLY
2350	EARTHWORM
1217	FATHER
1201	FEATHER
10	FIREWOOD
232	FLEA
1574	FLOAT
2003	FLOW
249	FOG
1312	FOX
2034	FROST
606	GRASS
136	HERE
1265	HIGH
152	HOOF
2376	HORIZONTAL
615	HORSE
1634	HUNDRED
1435	HUNT
1200	HUSBAND
617	ICE
274	KNEAD
1352	KNIFE
1410	KNOW (SOMETHING)
624	LAKE
504	LEARN
215	LIE DOWN
478	LIP
2164	MARRY (AS MAN)
1509	MOSQUITO
1216	MOTHER
1267	NARROW
267	NIT
12	MIDDAY
2112	OLD (AGED)
15	OTTER
1486	PLANT (SOMETHING)
1455	PULL
1733	RAINBOW
2026	RICE PLANT
666	RIVER
1519	RUN
1091	SALTY
1474	SEA
1331	SHEEP
487	SHY
341	SICKLE
1234	SMOOTH
1854	SPARROW
78	THAT
1937	THERE
1214	THIS
846	TIGER
1283	TODAY
1329	TOMORROW
906	TREE
1710	TWENTY
1131	WE (INCLUSIVE)
1236	WHAT
1077	WHEAT
1237	WHERE
1199	WIFE
522	WOLF
1803	WOOD
748	SOW SEEDS
1174	YESTERDAY
1213	YOU
1207	YOUNG
