concepticon_id	concepticon_gloss
1741	ABOVE
98	ALL
1886	ARMPIT
932	BARLEY
1422	BE ALIVE
1251	BELLY
1485	BELOW OR UNDER
163	BLACK
1869	BUY
321	CHEW
1287	COLD
1446	COME
1725	CORRECT (RIGHT)
1420	COUNT
706	DARK
1357	DAUGHTER
1977	DEW
2	DUST
1247	EAR
672	EARLY
2350	EARTHWORM
1217	FATHER
10	FIREWOOD
232	FLEA
1574	FLOAT
1441	FLY (MOVE THROUGH AIR)
249	FOG
1301	FOOT
420	FOREST
1523	FORGET
1312	FOX
2194	FRONT (PART)
2034	FROST
1035	GOOD
1425	GREEN
609	HAIL
136	HERE
602	HIDE (CONCEAL)
1265	HIGH
1448	HOLD
152	HOOF
2376	HORIZONTAL
1435	HUNT
1200	HUSBAND
617	ICE
1606	INSIDE
274	KNEAD
624	LAKE
477	LATE
504	LEARN
215	LIE DOWN
478	LIP
688	LUNG
1198	MANY
2164	MARRY (AS MAN)
1093	MIDDLE
1339	MORNING
2139	MUROID (MOUSE OR RAT)
640	MUD
2128	CLAW OR NAIL
1267	NARROW
1333	NECK
1382	NEEDLE (FOR SEWING)
267	NIT
12	MIDDAY
762	OUTSIDE
1486	PLANT (SOMETHING)
1413	PLAY
1452	PUSH
363	DWELL (LIVE, RESIDE)
1091	SALTY
1436	SCRATCH
1474	SEA
1396	SHARP
1331	SHEEP
1172	SHOOT
487	SHY
341	SICKLE
1261	SING
1246	SMALL
1620	SON
1854	SPARROW
1440	SPIT
1295	STICK
857	STONE
1937	THERE
1244	THICK
2249	THIN (OF SHAPE OF OBJECT)
1456	THROW
1150	THUNDER
846	TIGER
1283	TODAY
1329	TOMORROW
1710	TWENTY
1726	WET
1077	WHEAT
1199	WIFE
1454	WIPE
522	WOLF
748	SOW SEEDS
1424	YELLOW
1207	YOUNG
