ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
251	101_ifirstpersonsingular	I [first person singular]	OldTibetan	Tibetan_Old_Tibetan	ŋa	ŋ.a	ŋ a	clas1254	1209	30.027852	91.158704	327
252	101_ifirstpersonsingular	I [first person singular]	Khaling	Kiranti_Khaling	ʔu^ŋ	ʔ.u.ŋ	ʔ u ŋ	khal1275	1209	27.390595	87.510016	29761
253	101_ifirstpersonsingular	I [first person singular]	Limbu	Kiranti_Limbu	iŋga	i.ŋ.g.a	i ŋ g a	limb1266	1209	27.272065	87.889909	29722
254	101_ifirstpersonsingular	I [first person singular]	Japhug	rGyalrong_Japhug	aʑo	a.ʑ.o	a ʑ o	japh1234	1209	32.207076	101.957636	327
255	101_ifirstpersonsingular	I [first person singular]	Tangut	Tangut	ŋa²	ŋ.a.²	ŋ a ²	tang1334	1209	38.477453	106.285383	327
945	101_ifirstpersonsingular	I [first person singular]	Jingpho	Jingpho_Jingpho	ŋai³³	ŋ.a.i.³³	ŋ a i ³³	jing1260	1209	25.461826	97.329866	327
1007	101_ifirstpersonsingular	I [first person singular]	Yidu	Deng_Yidu	ŋɑ³⁵	ŋ.ɑ.³⁵	ŋ ɑ ³⁵	idum1241	1209	29.448172	95.650179	327
1011	101_ifirstpersonsingular	I [first person singular]	MotuoMenba	Bodic_Tshangla	dʑaŋ	dʑ.a.ŋ	dʑ a ŋ	tsha1245	1209	29.325414	95.340883	10390
1361	101_ifirstpersonsingular	I [first person singular]	MaerkangrGyalrong	rGyalrong_Maerkang	ŋɑ	ŋ.ɑ	ŋ ɑ	situ1238	1209	31.868614	102.295293	327
1841	101_ifirstpersonsingular	I [first person singular]	Daofu	rGyalrong_Daofu	ŋa	ŋ.a	ŋ a	horp1240	1209	30.975281	101.123742	327
2045	101_ifirstpersonsingular	I [first person singular]	Dulong	Nungic_Dulong	ŋɑ⁵³	ŋ.ɑ.⁵³	ŋ ɑ ⁵³	drun1238	1209	27.749017	98.691868	327
2156	101_ifirstpersonsingular	I [first person singular]	Batang	Tibetan_Batang	ŋa²³¹	ŋ.a.²³¹	ŋ a ²³¹	kham1282	1209	30.00795	99.111944	327
2682	101_ifirstpersonsingular	I [first person singular]	Zhaba	Qiangic_Zhaba	ŋa¹³	ŋ.a.¹³	ŋ a ¹³	zhab1238	1209	30.538892	101.058397	327
3035	101_ifirstpersonsingular	I [first person singular]	Xiahe	Tibetan_Xiahe	ŋa	ŋ.a	ŋ a	amdo1237	1209	35.210549	102.524979	327
3447	101_ifirstpersonsingular	I [first person singular]	Bokar	Tani_Bokar	ŋoː	ŋ.oː	ŋ oː	boka1249	1209	27.554547	93.15717	327
3556	101_ifirstpersonsingular	I [first person singular]	DarangTaraon	Deng_Darang_Taraon	xɑŋ³⁵	x.ɑ.ŋ.³⁵	x ɑ ŋ ³⁵	diga1241	1209	28.657986	97.469136	10387
3719	101_ifirstpersonsingular	I [first person singular]	Lisu	Loloish_Lisu	ŋuɑ³³	ŋ.u.ɑ.³³	ŋ u ɑ ³³	lisu1250	1209	25.950046	98.848486	327
3827	101_ifirstpersonsingular	I [first person singular]	Lhasa	Tibetan_Lhasa	ŋa¹³	ŋ.a.¹³	ŋ a ¹³	utsa1239	1209	29.653441	91.171493	327
3875	101_ifirstpersonsingular	I [first person singular]	Alike	Tibetan_Alike	ŋæ	ŋ.æ	ŋ æ	amdo1237	1209	38.318508	92.839938	327
