GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
cry	Sagart-2019-250-30	to cry (weep)
river	Sagart-2019-250-162	the river
1DU		
banana		
seven	Sagart-2019-250-175	seven
leech		
fish	Sagart-2019-250-56	the fish
one	Sagart-2019-250-148	one
wind	Sagart-2019-250-238	the wind
four	Sagart-2019-250-67	four
left	Sagart-2019-250-114	left
wood	Sagart-2019-250-243	the wood (material)
axe		
dead body		
stab, punch		
window		
grind, crush		
finger		
knee	Sagart-2019-250-106	the knee
frog	Sagart-2019-250-69	the frog
short	Sagart-2019-250-179	short
rain	Sagart-2019-250-156	the rain
3PL		
fear		
cloth		
dig	Sagart-2019-250-35	to dig
bitter		
child	Sagart-2019-250-24	the child (young human)
leg		
