sagart_id	concept	concepticon_id	concepticon_gloss	partcentage	doculects
Sagart-2019-250-43	early	672	EARLY	0.88	DarangTaraon Jingpho MotuoMenba MaerkangrGyalrong Daofu Dulong Batang Alike Yidu Zhaba Lisu Xiahe Bokar Lhasa Japhug Khaling OldChinese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Kulung Bantawa Achang Maru Rangoon Atsi Lashi Xiandao Bola Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-48	eight	1705	EIGHT	0.88	OldTibetan Japhug Jingpho Lhasa Daofu Dulong Xiahe Batang Yidu DarangTaraon MotuoMenba MaerkangrGyalrong Zhaba Bokar Lisu Alike OldChinese OldBurmese WobziKhroskyabs Garo Thulung Hakha Bunan Byangsi Rongpo Bantawa Atsi Lashi Maru Xiandao Rangoon Achang Bola Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir
Sagart-2019-250-50	far	1406	FAR	1.0	OldTibetan Japhug Bokar MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Zhaba Xiahe Batang Lisu DarangTaraon Alike Yidu Jingpho Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Atsi Bola Lashi Maru Xiandao Achang Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-55	firewood	10	FIREWOOD	0.64	Alike Jingpho MotuoMenba Daofu MaerkangrGyalrong Lhasa Dulong Batang Zhaba DarangTaraon Xiahe Bokar Yidu Japhug OldChinese OldBurmese Limbu Khaling WobziKhroskyabs Garo Thulung Hakha Bunan Kulung Bantawa Maru Lashi Xiandao Bola Achang Rangoon Atsi
Sagart-2019-250-57	five	493	FIVE	0.94	OldTibetan Japhug Jingpho MotuoMenba MaerkangrGyalrong Lhasa Batang Zhaba Xiahe DarangTaraon Lisu Daofu Bokar Alike Yidu Dulong Khaling OldChinese OldBurmese Limbu WobziKhroskyabs Chepang Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Rangoon Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir
Sagart-2019-250-67	four	1500	FOUR	0.98	OldTibetan Japhug Jingpho MotuoMenba Lhasa Alike Daofu Dulong Batang MaerkangrGyalrong Zhaba DarangTaraon Xiahe Lisu Bokar Yidu OldChinese OldBurmese Limbu Khaling WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Bola Maru Rangoon Achang Atsi Lashi Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir
Sagart-2019-250-73	full	1429	FULL	0.92	OldTibetan Limbu Japhug Tangut Jingpho Xiahe MaerkangrGyalrong Lhasa Daofu Dulong Alike DarangTaraon Bokar Batang Zhaba Lisu Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-76	good	1035	GOOD	1.0	OldTibetan Khaling Limbu Japhug Tangut Jingpho Yidu MaerkangrGyalrong MotuoMenba Lhasa Daofu Batang Zhaba DarangTaraon Dulong Xiahe Bokar Alike Lisu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Atsi Bola Lashi Maru Xiandao Achang Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-78	green	1425	GREEN	0.96	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba MaerkangrGyalrong Lhasa Xiahe DarangTaraon Daofu Dulong Batang Lisu Bokar Zhaba Alike Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-82	hard	1884	HARD	0.98	Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Xiahe Dulong Batang Zhaba DarangTaraon Lisu Bokar Alike Yidu Japhug Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Maru Atsi Rangoon Lashi Xiandao Bola Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-83	he or she [third person singular]	262	HE OR SHE OR IT	0.94	OldTibetan Japhug Daofu Jingpho MotuoMenba MaerkangrGyalrong Xiahe Lhasa DarangTaraon Lisu Alike Dulong Batang Zhaba Bokar Yidu Khaling Limbu WobziKhroskyabs Garo Thulung Hakha Bunan Rongpo Kulung Bantawa Maru Rangoon Atsi Lashi Bola Achang Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha OldBurmese
Sagart-2019-250-87	heavy	1210	HEAVY	0.98	OldTibetan Japhug Alike Jingpho MotuoMenba MaerkangrGyalrong Lhasa Dulong Daofu Batang Zhaba DarangTaraon Xiahe Lisu Bokar Yidu Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-88	here	136	HERE	0.74	OldTibetan Japhug Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Batang Zhaba Dulong Xiahe Lisu Bokar DarangTaraon Alike Yidu Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao
Sagart-2019-250-90	high / tall	1265	HIGH	0.98	Jingpho MotuoMenba MaerkangrGyalrong Daofu Dulong Batang Yidu Zhaba DarangTaraon Lhasa Xiahe Lisu Bokar Alike Japhug OldChinese OldBurmese Limbu Khaling WobziKhroskyabs Chepang Garo Thulung Hakha OldTibetan Bunan Byangsi Rongpo Kulung Bantawa Achang Bola Lashi Maru Xiandao Atsi Rangoon Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-93	horizontal	2376	HORIZONTAL	0.76	Jingpho Xiahe MaerkangrGyalrong Lhasa Daofu Dulong Batang Lisu DarangTaraon Zhaba Bokar Alike Yidu Japhug Limbu Khaling OldChinese OldBurmese Chepang OldTibetan Hakha Bunan Rongpo Kulung Atsi Rangoon Achang Maru Bola Lashi Xiandao Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Hayu
Sagart-2019-250-96	hot	1286	HOT	1.0	Jingpho MotuoMenba Yidu MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Xiahe Lisu Bokar Alike Japhug Limbu Khaling OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Maru Xiandao Atsi Rangoon Bola Lashi Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-98	hundred	1634	HUNDRED	0.82	OldTibetan Japhug Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Batang Dulong Zhaba DarangTaraon Xiahe Lisu Bokar Alike Yidu OldChinese OldBurmese WobziKhroskyabs Garo Thulung Hakha Bunan Byangsi Rongpo Lashi Maru Xiandao Achang Bola Rangoon Atsi Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut
Sagart-2019-250-101	I [first person singular]	1209	I	0.98	OldTibetan Khaling Limbu Japhug Tangut Jingpho Yidu MotuoMenba MaerkangrGyalrong Daofu Dulong Batang Zhaba Xiahe Bokar DarangTaraon Lisu Lhasa Alike OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Kulung Bantawa Rangoon Atsi Maru Lashi Xiandao Bola Achang Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-103	inside	1606	INSIDE	0.98	Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Xiahe Lisu Bokar Alike Yidu Japhug OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Khaling Bantawa Lashi Bola Xiandao Atsi Achang Maru Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-107	knife	1352	KNIFE	0.54	Alike Xiahe Jingpho Daofu MaerkangrGyalrong Lhasa Yidu Dulong MotuoMenba Zhaba DarangTaraon Batang Bokar Japhug Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Rongpo Bantawa
Sagart-2019-250-110	late	477	LATE	0.96	Bokar Jingpho MotuoMenba Daofu Dulong Batang Zhaba DarangTaraon Xiahe MaerkangrGyalrong Lisu Alike Lhasa Yidu Japhug Limbu Khaling OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha OldTibetan Bunan Byangsi Kulung Bantawa Achang Maru Atsi Rangoon Lashi Xiandao Bola Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Hayu Tangut Mikir Rabha
Sagart-2019-250-114	left	244	LEFT	0.96	OldTibetan Japhug MotuoMenba Jingpho MaerkangrGyalrong Daofu Dulong Batang Zhaba DarangTaraon Xiahe Lisu Lhasa Bokar Alike Yidu Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir Rabha
Sagart-2019-250-117	light (of weight)	1052	LIGHT (WEIGHT)	0.98	MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Yidu DarangTaraon Xiahe Lisu Zhaba Alike Jingpho Bokar Japhug Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-120	long	1203	LONG	1.0	OldTibetan Khaling Limbu Japhug Tangut MotuoMenba Lisu MaerkangrGyalrong Alike Daofu Batang Bokar Lhasa Zhaba DarangTaraon Dulong Xiahe Yidu Jingpho OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Xiandao Achang Atsi Bola Lashi Maru Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-124	many	1198	MANY	0.96	OldTibetan Khaling Limbu Japhug Yidu Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba Xiahe Lisu Bokar DarangTaraon Alike OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Bantawa Rangoon Achang Atsi Bola Lashi Xiandao Maru Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-127	middle	1093	MIDDLE	0.92	Jingpho MotuoMenba MaerkangrGyalrong Lhasa Yidu Batang DarangTaraon Daofu Zhaba Lisu Dulong Bokar Xiahe Alike Japhug Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Garo OldTibetan Thulung Hakha Bunan Byangsi Bantawa Atsi Lashi Xiandao Bola Achang Maru Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Hayu Tangut Mikir Rabha
Sagart-2019-250-129	morning	1339	MORNING	0.96	Lisu Xiahe Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Yidu Alike Bokar Japhug Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Atsi Maru Xiandao Bola Achang Lashi Rangoon Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir Rabha
Sagart-2019-250-138	narrow	1267	NARROW	0.9	OldTibetan Japhug Jingpho MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Xiahe Lisu Bokar Alike Yidu Khaling OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Xiandao Achang Atsi Bola Lashi Maru Rangoon Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir Rabha
Sagart-2019-250-139	near	1942	NEAR	0.98	OldTibetan Japhug Bokar Jingpho MotuoMenba Xiahe MaerkangrGyalrong Lhasa Daofu Dulong Batang Alike Zhaba DarangTaraon Lisu Yidu Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bola Rangoon Lashi Xiandao Achang Atsi Maru Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-142	new	1231	NEW	0.98	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba Xiahe MaerkangrGyalrong Lhasa Bokar Daofu Batang Dulong Zhaba DarangTaraon Alike Lisu Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-143	nine	1483	NINE	0.88	OldTibetan Japhug Xiahe Jingpho Lhasa Batang Dulong Zhaba DarangTaraon MaerkangrGyalrong Lisu Bokar Daofu Alike Yidu MotuoMenba OldChinese OldBurmese WobziKhroskyabs Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir
Sagart-2019-250-145	noon	12	MIDDAY	0.82	Jingpho MotuoMenba MaerkangrGyalrong Daofu Dulong Batang Zhaba DarangTaraon Xiahe Lisu Bokar Lhasa Alike Yidu Japhug Limbu OldChinese OldBurmese WobziKhroskyabs Garo Thulung Hakha Bunan Byangsi Rongpo Atsi Lashi Xiandao Bola Rangoon Achang Maru Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut
Sagart-2019-250-147	old (of person)	2112	OLD (AGED)	0.96	OldTibetan Japhug Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Xiahe Lisu Bokar Alike Yidu Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir Rabha
Sagart-2019-250-148	one	1493	ONE	0.98	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Alike Xiahe Zhaba DarangTaraon Lisu Bokar Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-150	outside	762	OUTSIDE	0.96	Jingpho MotuoMenba Lhasa Daofu Dulong Zhaba Yidu DarangTaraon MaerkangrGyalrong Xiahe Batang Lisu Bokar Alike Japhug Khaling OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Maru Atsi Xiandao Bola Achang Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-158	red	156	RED	0.98	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba Daofu MaerkangrGyalrong Lhasa Dulong Batang Xiahe Lisu Bokar Zhaba Alike Yidu DarangTaraon OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-161	right	1019	RIGHT	1.0	OldTibetan Japhug Xiahe Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Lisu Bokar Alike Yidu Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Atsi Lashi Xiandao Bola Achang Maru Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-166	round	1395	ROUND	0.94	OldTibetan Khaling Limbu Japhug Tangut Lisu Jingpho MotuoMenba MaerkangrGyalrong Lhasa Xiahe Daofu Dulong Batang Zhaba DarangTaraon Bokar Alike Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Kulung Bantawa Maru Achang Rangoon Atsi Lashi Xiandao Bola Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-169	salty	1091	SALTY	0.8	Lisu MotuoMenba Daofu MaerkangrGyalrong Lhasa Dulong Batang Yidu DarangTaraon Xiahe Jingpho Bokar Zhaba Alike Japhug Khaling OldChinese OldBurmese WobziKhroskyabs Thulung Hakha Bunan Byangsi Bantawa Achang Maru Rangoon Atsi Lashi Bola Xiandao Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Hayu Tangut
Sagart-2019-250-175	seven	1704	SEVEN	0.88	OldTibetan Japhug Jingpho MaerkangrGyalrong Lhasa Daofu Batang Yidu Dulong Zhaba DarangTaraon Xiahe Lisu Bokar Alike MotuoMenba OldChinese OldBurmese WobziKhroskyabs Garo Thulung Hakha Bunan Byangsi Rongpo Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir
Sagart-2019-250-176	sharp	1396	SHARP	0.96	OldTibetan Japhug Jingpho MotuoMenba MaerkangrGyalrong Daofu Dulong Alike Batang Lhasa Yidu Zhaba DarangTaraon Xiahe Lisu Bokar OldChinese OldBurmese Limbu Khaling WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Lashi Xiandao Atsi Bola Maru Bahing Lushai Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-179	short	1645	SHORT	0.92	OldTibetan Japhug Alike Yidu Jingpho MotuoMenba Xiahe MaerkangrGyalrong Daofu Dulong Zhaba DarangTaraon Batang Bokar Lisu Lhasa Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Hakha Bunan Byangsi Rongpo Kulung Rangoon Achang Atsi Bola Lashi Maru Xiandao Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir Rabha
Sagart-2019-250-181	shy	487	SHY	0.64	OldTibetan Japhug Lisu Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Zhaba Dulong Bokar Alike Batang Xiahe OldBurmese Limbu Khaling WobziKhroskyabs Chepang Thulung Hakha Bunan Byangsi Rongpo Kulung Xiandao Achang Atsi Maru Bola Rangoon Lashi
Sagart-2019-250-184	six	1703	SIX	0.88	OldTibetan Japhug Yidu Jingpho MotuoMenba Lhasa Daofu Batang Alike Zhaba DarangTaraon MaerkangrGyalrong Xiahe Bokar Lisu Dulong OldChinese OldBurmese WobziKhroskyabs Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir
Sagart-2019-250-188	small	1246	SMALL	1.0	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba Xiahe MaerkangrGyalrong Lhasa Alike Daofu Dulong Batang Zhaba Lisu Bokar DarangTaraon Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-191	smooth	1234	SMOOTH	0.86	OldTibetan Japhug Jingpho MotuoMenba Lhasa Daofu Xiahe DarangTaraon Batang Zhaba Lisu MaerkangrGyalrong Bokar Yidu Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Kulung Rangoon Atsi Achang Bola Lashi Maru Xiandao Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut
