sagart_id	concept	concepticon_id	concepticon_gloss	partcentage	doculects
Sagart-2019-250-1	above	1741	ABOVE	0.84	OldTibetan Japhug MotuoMenba Lhasa Daofu Dulong Batang Jingpho Zhaba MaerkangrGyalrong Xiahe Lisu Bokar Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Atsi Rangoon Bola Achang Maru Bahing Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut
Sagart-2019-250-2	all	98	ALL	0.7	OldTibetan Khaling Limbu Japhug Jingpho MotuoMenba Xiahe MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba Lisu Bokar Alike OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Lashi Maru Xiandao Atsi Bola Rangoon
Sagart-2019-250-5	bad	1292	BAD	0.88	OldTibetan Japhug Jingpho MotuoMenba Yidu MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Xiahe Lisu Bokar Alike OldChinese OldBurmese Limbu Khaling WobziKhroskyabs Chepang Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Atsi Bola Lashi Maru Xiandao Rangoon Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Tangut
Sagart-2019-250-10	below, under	1485	BELOW OR UNDER	0.82	OldTibetan Japhug MotuoMenba Jingpho MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba Lisu Bokar Xiahe Limbu Khaling OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Bantawa Atsi Bola Achang Maru Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Hayu Tangut
Sagart-2019-250-11	big	1202	BIG	1.0	OldTibetan Khaling Limbu Japhug MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Lisu Bokar Xiahe Alike Yidu Jingpho OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Atsi Bola Lashi Maru Xiandao Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-14	black	163	BLACK	1.0	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba MaerkangrGyalrong Lhasa DarangTaraon Daofu Dulong Batang Zhaba Xiahe Lisu Bokar Alike Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Atsi Bola Lashi Maru Xiandao Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-26	cold (of temperature)	1287	COLD	1.0	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba Xiahe MaerkangrGyalrong Lhasa Daofu Batang Zhaba DarangTaraon Dulong Lisu Bokar Alike Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Atsi Bola Lashi Maru Xiandao Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-28	correct (right)	1725	CORRECT (RIGHT)	0.64	OldTibetan Japhug Jingpho MaerkangrGyalrong Lhasa Daofu Dulong Batang Alike Zhaba DarangTaraon Lisu Xiahe Bokar Yidu Khaling OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Rongpo Rangoon Achang Atsi Bola Lashi Maru Xiandao
Sagart-2019-250-31	dark	706	DARK	0.84	Zhaba Jingpho MaerkangrGyalrong Lhasa Daofu Dulong Batang Yidu DarangTaraon Xiahe Bokar Lisu Japhug Limbu Khaling OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Bantawa Achang Maru Rangoon Atsi Bola Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut
Sagart-2019-250-36	dirty	1230	DIRTY	0.92	OldTibetan Japhug Jingpho MotuoMenba Xiahe Zhaba MaerkangrGyalrong Lhasa Daofu Dulong Batang DarangTaraon Lisu Alike Yidu Bokar Khaling OldChinese OldBurmese WobziKhroskyabs Chepang Garo Hakha Bunan Byangsi Rongpo Achang Atsi Bola Lashi Maru Xiandao Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-40	dry	1398	DRY	0.98	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Xiahe Alike Yidu Zhaba DarangTaraon Bokar Lisu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Atsi Achang Bola Lashi Maru Xiandao Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Ukhrul Hayu Mikir Rabha
