RID	concept	doculect	value	form	source
1	buffalo	Bangru	miŋdə(k)	miŋdə(k)	B&L15
2	sugarcane	Bangru	bapi̤ː	bapi̤ː	B&L15
3	mosquito	Bangru	taruŋ	taruŋ	B&L15
4	duck	Bangru	pəd͡ʑap	pədʑap	B&L15
5	maize	Bangru	təpuː	təpuː	B&L15
6	chili	Bangru	jədaː	jədaː	B&L15
7	spider	Bangru	aparaŋga	aparaŋga	B&L15
8	banana	Bangru	kɔpà̫(ʔ)	kɔpà̫(ʔ)	B&L15
9	lizard	Bangru	sod͡ʑəŋ (sopəŋ)	sodʑəŋ (sopəŋ)	B&L15
10	tired	Bangru	apiː	apiː	B&L15
11	gold	Bangru	aiŋ	aiŋ	B&L15
12	rainbow	Bangru	harigogo	harigogo	B&L15
13	elbow	Bangru	laabəŋ	laabəŋ	B&L15
14	back	Bangru	"kəjoŋ; məkət͡ɕàì"	"kəjoŋ; məkətɕàì"	B&L15
15	knee	Bangru	ləbəŋ	ləbəŋ	B&L15
16	left	Bangru	laʔt͡ʃi	laʔtʃi	B&L15
17	right	Bangru	laʔbjɛk	laʔbjɛk	B&L15
18	dog	Bangru	sopɛː	sopɛː	B&L15
19	branch	Bangru	aːʔ	aːʔ	B&L15
20	love	Bangru	poː	poː	B&L15
21	buffalo	EMiji	ɕəkəram ~ ɕəkʰam	ɕəkəram ~ ɕəkʰam	
22	sugarcane	EMiji	kəlaŋdʒan	kəlaŋdʒan	
23	mosquito	EMiji	sirdoŋmai ~ sirijoŋdaŋmai	sirdoŋmai ~ sirijoŋdaŋmai	
24	duck	EMiji	ũso	ũso	
25	maize	EMiji	ɕə̌ban ~ ʃibat	ɕəban ~ ʃibat	
26	chili	EMiji	dʒaijo	dʒaijo	
27	spider	EMiji	nərija(nam)	nərija(nam)	
28	banana	EMiji	ləlaŋ	ləlaŋ	
29	lizard	EMiji	gusuman	gusuman	
30	tired	EMiji	ɬə ~ lə	ɬə ~ lə	
31	gold	EMiji	seʔ ~ san	seʔ ~ san	
32	rainbow	EMiji	jomonəkəi	jomonəkəi	
33	elbow	EMiji	paʔtʃəŋkaŋ ~ patʃeka 	paʔtʃəŋkaŋ ~ patʃeka 	
34	back	EMiji	kəbaŋ	kəbaŋ	
35	knee	EMiji	lekəpiu	lekəpiu	
36	left	EMiji	sivijo	sivijo	
37	right	EMiji	ɕədʒen	ɕədʒen	
38	dog	EMiji	zazai	zazai	
39	branch	EMiji	gonotʃaŋ ~ mənətʃaŋ	gonotʃaŋ ~ mənətʃaŋ	
40	love	EMiji	mədʒovəna ~ loraŋ	mədʒovəna ~ loraŋ	
41	buffalo	WMiji	ʃukʰre ~ ʃəkʰen	ʃukʰre ~ ʃəkʰen	
42	sugarcane	WMiji	gəlaŋdʒaŋ ~ gedaŋ	gəlaŋdʒaŋ ~ gedaŋ	
43	mosquito	WMiji	sərədaŋ ~ sirijaŋdo ~ suriŋdaŋ	sərədaŋ ~ sirijaŋdo ~ suriŋdaŋ	
44	duck	WMiji	ũso ~ muso ~ husõ	ũso ~ muso ~ husõ	
45	maize	WMiji	sibeʔ	sibeʔ	
46	chili	WMiji	dʒaju ~ dʒau	dʒaju ~ dʒau	
47	spider	WMiji	baʃidərgau ~ batʃibegau ~ basidərgiaŋ	baʃidərgau ~ batʃibegau ~ basidərgiaŋ	
48	banana	WMiji	rilang	rilang	
49	lizard	WMiji	bətʃabətʃi/t͡ʃuŋkʰaŋkjuŋ	bətʃabətʃi/tʃuŋkʰaŋkjuŋ	
50	tired	WMiji	ɬə ~ lə	ɬə ~ lə	
51	gold	WMiji	ʃə ~ sen	ʃə ~ sen	
52	rainbow	WMiji	rumudəkʰre ~ dʒimodəkʰe ~ dʒumodəkʰre	rumudəkʰre ~ dʒimodəkʰe ~ dʒumodəkʰre	
53	elbow	WMiji	paŋtrəŋkʰu ~ patʃiŋku	paŋtrəŋkʰu ~ patʃiŋku	
54	back	WMiji	(mə)gəbaŋ	(mə)gəbaŋ	
55	knee	WMiji	lekəpiu ~ legəpʰu ~ leikʰu	lekəpiu ~ legəpʰu ~ leikʰu	
56	left	WMiji	sivijo ~ savijo	sivijo ~ savijo	
57	right	WMiji	sidʒən ~ sidʒiŋ	sidʒən ~ sidʒiŋ	
58	dog	WMiji	ʃadʒi ~ sadʒik ~ ʃazeʔ	ʃadʒi ~ sadʒik ~ ʃazeʔ	
59	branch	WMiji	mətʃitʃau ~ (o/u)dətʃa(ŋ)	mətʃitʃau ~ (o/u)dətʃa(ŋ)	
60	love	WMiji	"luŋdʒaŋ ~ avirə ~ matʃodori; luŋʒaŋ (SM)"	"luŋdʒaŋ ~ avirə ~ matʃodori; luŋʒaŋ (SM)"	
61	buffalo	Hruso	"ɸəmə; fumu (SA)"	"ɸəmə; fumu (SA)"	
62	sugarcane	Hruso	d̪ǔgo	dugo	
63	mosquito	Hruso	səxən (SA)	səxən (SA)	
64	duck	Hruso	"ʔosa; asa (SA)"	"ʔosa; asa (SA)"	
65	maize	Hruso	"sə̌be; t͡sibje (SA)"	"səbe; tsibje (SA)"	
66	chili	Hruso	adə	adə	
67	spider	Hruso	ʃagəxa	ʃagəxa	
68	banana	Hruso	xol̪o	xol̪o	
69	lizard	Hruso	-	Ø	
70	tired	Hruso	la	la	
71	gold	Hruso	ʃə	ʃə	
72	rainbow	Hruso	"ɲedʒiləgo; jed͡ʒǎʃə (SA)"	"ɲedʒiləgo; jedʒǎʃə (SA)"	
73	elbow	Hruso	apobe	apobe	
74	back	Hruso	"ʔə̌tʃəbo; ot͡səbo (SA)"	"ʔətʃəbo; otsəbo (SA)"	
75	knee	Hruso	"ʔəʃpə; əʃipʰə (SA)"	"ʔəʃpə; əʃipʰə (SA)"	
76	left	Hruso	"ɸovo; pʰəvo (SA)"	"ɸovo; pʰəvo (SA)"	
77	right	Hruso	"tʃədʒə; sət͡zə (SA)"	"tʃədʒə; sətzə (SA)"	
78	dog	Hruso	"ʃyjo; səljo ~ t͡səlo (SA)"	"ʃyjo; səljo ~ tsəlo (SA)"	
79	branch	Hruso	ʃoɸo, ʔoɸotsa	ʃoɸo, ʔoɸotsa	
80	love	Hruso	"nalbo; nələvo (SA)"	"nalbo; nələvo (SA)"	
81	aconite	Bangru	nәpõː	nәpõː	
82	ant	Bangru	səɲiː	səɲiː	
83	awake	Bangru	piː	piː	
84	axe	Bangru	pərd͡ʑɛiŋ ~ purud͡ʑin	pərdʑɛiŋ ~ purudʑin	
85	bad	Bangru	mənɛ̃ĩ(ŋ)	mənɛ̃ĩ(ŋ)	
86	bamboo (big)	Bangru	baː	baː	
87	bark (tree)	Bangru	gəpjaː	gəpjaː	
88	bear	Bangru	sət͡ɕõː	sətɕõː	
89	bee	Bangru	maìˀ	maìˀ	
90	big (thick, wide)	Bangru	"mədua; məbjaː ~ məbɛː"	"mədua; məbjaː ~ məbɛː"	
91	bird	Bangru	pәd͡ʑuː 	pәdʑuː 	
92	bite	Bangru	toː	toː	
93	bitter	Bangru	kəkjoː	kəkjoː	
94	blanket	Bangru	kambol	kambol	
95	blood	Bangru	jaː	jaː	
96	blow	Bangru	màìˀ	màìˀ	
97	body	Bangru	məd͡ʑòˀ	mədʑòˀ	
98	body hair, feather	Bangru	məməŋ	məməŋ	
99	boil (water)	Bangru	luː	luː	
100	bone	Bangru	məriː	məriː	
101	bow	Bangru	kəràìˀ	kəràìˀ	
102	breath	Bangru	sòˀ	sòˀ	
103	"breast; milk"	Bangru	mənəŋ	mənəŋ	
104	broom	Bangru	sjaː	sjaː	
105	burn	Bangru	"(mɛː) d͡ʑoː; blɤ53 (LB)"	"(mɛː) dʑoː; blɤ53 (LB)"	
106	"cane; rope"	Bangru	suː ~ ɕuː	suː ~ ɕuː	
107	chicken	Bangru	doː	doː	
108	child	Bangru	məd͡ʑuː	mədʑuː	
109	chin	Bangru	məguː	məguː	
110	cloth	Bangru	gìˀ	gìˀ	
111	cloud	Bangru	waːwəː	waːwəː	
112	coal	Bangru	mjɛːpeːziŋ ~ mɛːpəziŋ	mjɛːpeːziŋ ~ mɛːpəziŋ	
113	cook	Bangru	kuː	kuː	
114	cooking oil	Bangru	tiːliː ~ t͡ɕənɛː	tiːliː ~ tɕənɛː	
115	copula	Bangru	wi	wi	
116	cow	Bangru	səː	səː	
117	cry	Bangru	k(j)eː	k(j)eː	
118	cut	Bangru	tɛ ~ tæ	tɛ ~ tæ	
119	day	Bangru	aguː	aguː	
120	dead body	Bangru	sәmoː	sәmoː	
121	deep	Bangru	mərjuː	mərjuː	
122	die	Bangru	tai	tai	
123	dig	Bangru	taː	taː	
124	dirty	Bangru	ɲət͡ɕi̤	ɲətɕi̤	
125	do	Bangru	ruː	ruː	
126	door	Bangru	nepãĩ	nepãĩ	
127	dream	Bangru	tjamәː	tjamәː	
128	drink	Bangru	toŋ ~ tuŋ	toŋ ~ tuŋ	
129	dry	Bangru	məkiː	məkiː	
130	eat	Bangru	t͡ɕùˀ ~ t͡ɕə̀ˀ	tɕùˀ ~ tɕə̀ˀ	
131	egg	Bangru	doːrɛiŋ	doːrɛiŋ	
132	eight	Bangru	sәgàìˀ	sәgàìˀ	
133	elder brother	Bangru	akoː	akoː	
134	elephant	Bangru	sətɛː ~ sətəː	sətɛː ~ sətəː	
135	empty	Bangru	məheː (ruaroŋ)	məheː (ruaroŋ)	
136	excrete, defecate	Bangru	(lai)t͡ɕai	(lai)tɕai	
137	excrement	Bangru	lai	lai	
138	eye	Bangru	mejàˀ	mejàˀ	
139	far	Bangru	arəŋ	arəŋ	
140	fat (n)	Bangru	məbaː	məbaː	
141	fear	Bangru	ɲirimɛ̀ˀ	ɲirimɛ̀ˀ	
142	few	Bangru	miːgəmɛ	miːgəmɛ	
143	fight	Bangru	warɛː	warɛː	
144	finger	Bangru	məgɛit͡ɕoa	məgɛitɕoa	
145	fire	Bangru	mɛː	mɛː	
146	fireplace	Bangru	làˀ	làˀ	
147	fish	Bangru	t͡səd͡zəmɛː	tsədzəmɛː	
148	five	Bangru	pəŋuː	pəŋuː	
149	flow	Bangru	saː	saː	
150	flower	Bangru	məbuaː	məbuaː	
151	friend	Bangru	mәd͡ʑua	mәdʑua	
152	frog	Bangru	d͡ʑəː	dʑəː	
153	fruit	Bangru	mətɛ̃ː	mətɛ̃ː	
154	four	Bangru	puruwɛ̃ĩ	puruwɛ̃ĩ	
155	full	Bangru	ləŋbəla	ləŋbəla	
156	garlic, onion	Bangru	jəkɛ̃ĩ	jəkɛ̃ĩ	
157	give	Bangru	bai	bai	
158	goat	Bangru	səpɛ̃ĩ	səpɛ̃ĩ	
159	grandfather	Bangru	məloː ~ aloː	məloː ~ aloː	
160	grandmother	Bangru	aseː ~ məseː	aseː ~ məseː	
161	grass	Bangru	rəsjaːrɛː ~ rəsɛːrɛː	rəsjaːrɛː ~ rəsɛːrɛː	
162	grind, crush	Bangru	ràìˀ	ràìˀ	
163	guts	Bangru	mələguː	mələguː	
164	hair	Bangru	gə́pɨ̀	gə́pɨ̀	
165	hard	Bangru	məloː	məloː	
166	hammer	Bangru	martolə	martolə	
167	hand, arm	Bangru	məgɛ̀ìˀ	məgɛ̀ìˀ	
168	"have; exist"	Bangru	duː	duː	
169	head	Bangru	goːkɛ̃ĩŋ	goːkɛ̃ĩŋ	
170	heart	Bangru	məloŋwəː	məloŋwəː	
171	heavy	Bangru	latəŋ	latəŋ	
172	horn	Bangru	mәsu	mәsu	
173	horse	Bangru	goːraː	goːraː	
174	house	Bangru	neː	neː	
175	how many	Bangru	kəɲəruː 	kəɲəruː 	
176	human	Bangru	ləwəː ~ nəwəː	ləwəː ~ nəwəː	
177	hundred	Bangru	ləŋ	ləŋ	
178	ill	Bangru	nua ~ noa	nua ~ noa	
179	insect	Bangru	bәːloŋ	bәːloŋ	
180	iron	Bangru	səː	səː	
181	itch	Bangru	kəd͡ʑùˀ	kədʑùˀ	
182	kick	Bangru	paː	paː	
183	kill	Bangru	gjaː	gjaː	
184	knife	Bangru	wɛːt͡səŋ	wɛːtsəŋ	
185	know	Bangru	niː	niː	
186	laugh	Bangru	tua	tua	
187	leaf	Bangru	mərjɛ̀ˀ	mərjɛ̀ˀ	
188	leech	Bangru	ləwɛ̀ˀ	ləwɛ̀ˀ	
189	leg	Bangru	məlɛː	məlɛː	
190	lick	Bangru	kəloː	kəloː	
191	lift	Bangru	lõ(ŋ)	lõ(ŋ)	
192	light	Bangru	lətõː	lətõː	
193	liquor	Bangru	t͡ɕiː	tɕiː	
194	listen, hear	Bangru	rɛi	rɛi	
195	live, grow up	Bangru	səŋ	səŋ	
196	liver/lungs	Bangru	mətɛ̃ĩ	mətɛ̃ĩ	
197	long	Bangru	"məpaŋ; mə31 braŋ55 (LD)"	"məpaŋ; mə31 braŋ55 (LD)"	
198	look, see	Bangru	gõː	gõː	
199	louse	Bangru	sàˀ	sàˀ	
200	"make; do"	Bangru	da ~ dɛː	da ~ dɛː	
201	man (male)	Bangru	ɲəwiː	ɲəwiː	
202	meat	Bangru	sùˀ ~ ɕùˀ	sùˀ ~ ɕùˀ	
203	medicine	Bangru	doːwai	doːwai	
204	melt	Bangru	"ŋua ~ gua; d͡ʑɛː"	"ŋua ~ gua; dʑɛː"	
205	month	Bangru	lùˀ	lùˀ	
206	moon	Bangru	aloː ləbai	aloː ləbai	
207	mountain	Bangru	gaŋ ~ səpiː	gaŋ ~ səpiː	
208	"mouth; language"	Bangru	məɲəŋ	məɲəŋ	
209	mortar	Bangru	ləraː	ləraː	
210	mother	Bangru	mәɲɛː ~ aɲɛː	mәɲɛː ~ aɲɛː	
211	name	Bangru	məmjəŋ	məmjəŋ	
212	near	Bangru	mərɛː	mərɛː	
213	neg. imp.	Bangru	tu-	tuØ	
214	new	Bangru	məkərəː	məkərəː	
215	night	Bangru	nəgaː ~ agaː	nəgaː ~ agaː	
216	nine	Bangru	sətəŋ	sətəŋ	
217	nose	Bangru	mikoː ~  məɲəkoː	mikoː ~  məɲəkoː	
218	old	Bangru	məɕuaː	məɕuaː	
219	one	Bangru	akə̃ː ~ akɨː	akə̃ː ~ akɨː	
220	otter	Bangru	sẽː	sẽː	
221	paddy rice	Bangru	ɛ̃ː	ɛ̃ː	
222	penis	Bangru	məlòˀ	məlòˀ	
223	pestle	Bangru	pəlaː	pəlaː	
224	pig	Bangru	jùˀ	jùˀ	
225	pillow	Bangru	gokɛ̃ĩ	gokɛ̃ĩ	
226	pull	Bangru	saː	saː	
227	put	Bangru	wuː ~ vuː	wuː ~ vuː	
228	rain	Bangru	nədiː	nədiː	
229	red	Bangru	jat͡ɕòˀ	jatɕòˀ	
230	revenge	Bangru	raː	raː	
231	ring	Bangru	gəleˀ	gəleˀ	
232	river	Bangru	wəgoː	wəgoː	
233	road	Bangru	rɛːbõ	rɛːbõ	
234	root	Bangru	məkɛ̃ĩ ~ məltù	məkɛ̃ĩ ~ məltù	
235	round	Bangru	məwəː	məwəː	
236	rub	Bangru	pəsɛi	pəsɛi	
237	run	Bangru	biː	biː	
238	sago palm	Bangru	ləwoː	ləwoː	
239	salt	Bangru	ruː	ruː	
240	sand	Bangru	səgaiʔ	səgaiʔ	
241	seed	Bangru	mətɛ̃ː	mətɛ̃ː	
242	sell	Bangru	laː	laː	
243	seven	Bangru	məwàìˀ	məwàìˀ	
244	sew	Bangru	kàìˀ	kàìˀ	
245	short	Bangru	"mərõŋ; mə31 ŋoŋ55 (LD)"	"mərõŋ; mə31 ŋoŋ55 (LD)"	
246	shoulder	Bangru	(mə)potɕ(i̤)	(mə)potɕ(i̤)	
247	sister (elder)	Bangru	amaː ~ momoa	amaː ~ momoa	
248	sit, stay	Bangru	d͡ʑùˀ	dʑùˀ	
249	six	Bangru	rèˀ	rèˀ	
250	skin	Bangru	məpjaː	məpjaː	
251	sky	Bangru	ɲədəluː	ɲədəluː	
