RID	concept	doculect	value	form	source
252	sleep	Bangru	d͡ʑeː	dʑeː	
253	smell (v)	Bangru	rɛ̃ː	rɛ̃ː	
254	smoke (n.)	Bangru	mɛkəː	mɛkəː	
255	snake	Bangru	bəː	bəː	
256	snow	Bangru	tərɛ̃ː	tərɛ̃ː	
257	soft, smooth	Bangru	ləpəriː ~ ləpriː	ləpəriː ~ ləpriː	
258	soil	Bangru	nòˀ	nòˀ	
259	speak	Bangru	teː	teː	
260	spear	Bangru	gət͡ɕəŋ	gətɕəŋ	
261	spicy	Bangru	sәː	sәː	
262	spittle	Bangru	jèˀ	jèˀ	
263	split	Bangru	prjɛː ~ prɛː	prjɛː ~ prɛː	
264	stab, punch	Bangru	koː	koː	
265	stand	Bangru	giː	giː	
266	star	Bangru	lət͡ɕɨː	lətɕɨː	
267	steal	Bangru	ləkəː	ləkəː	
268	storehouse, granary	Bangru	t͡ɕuː	tɕuː	
269	straight	Bangru	məkəroː	məkəroː	
270	suck	Bangru	pənuŋ	pənuŋ	
271	sun	Bangru	d͡ʑùˀ	dʑùˀ	
272	swallow	Bangru	pəlja ~ pɛː	pəlja ~ pɛː	
273	sweet	Bangru	d͡ʑaŋ	dʑaŋ	
274	swell	Bangru	ləŋ	ləŋ	
275	(swidden) field	Bangru	waː	waː	
276	swim	Bangru	d͡ʑaː	dʑaː	
277	tail	Bangru	mələwjaː	mələwjaː	
278	take	Bangru	ləː	ləː	
279	tell	Bangru	t͡ɕatə	tɕatə	
280	ten	Bangru	rəŋ	rəŋ	
281	that	Bangru	pɛt͡ɕi̤ 	pɛtɕi̤ 	
282	that (lower)	Bangru	put͡ɕ(i̤)	putɕ(i̤)	
283	thigh	Bangru	məruː	məruː	
284	think	Bangru	miː	miː	
285	this	Bangru	həŋ	həŋ	
286	thread	Bangru	nùˀ ~ nuː	nùˀ ~ nuː	
287	three	Bangru	kətɛ̃ĩ	kətɛ̃ĩ	
288	thorn	Bangru	kəd͡ʑə̀ˀ	kədʑə̀ˀ	
289	thousand	Bangru	"ləŋrəŋ; d͡ʑər akɨː"	"ləŋrəŋ; dʑər akɨː"	
290	tongue	Bangru	məɲəŋ pəljaː 	məɲəŋ pəljaː 	
291	tooth	Bangru	mətuː	mətuː	
292	tree	Bangru	gənɛː	gənɛː	
293	turquoise	Bangru	juː	juː	
294	two	Bangru	kərɛi	kərɛi	
295		Bangru			
296	uncooked rice	Bangru	ɛ̃ːlәgɛ̃ĩ	ɛ̃ːlәgɛ̃ĩ	
297	vegetable	Bangru	peː	peː	
298	vomit	Bangru	muː	muː	
299	walk	Bangru	djaː  ~ dɛi	djaː  ~ dɛi	
300	hot, warm	Bangru	it͡ɕòˀ ~ jət͡ɕòˀ	itɕòˀ ~ jətɕòˀ	
301	water	Bangru	wiː	wiː	
302	waterfall	Bangru	kuase(ŋ)	kuase(ŋ)	
303	weave	Bangru	t͡sai ~ t͡ɕai	tsai ~ tɕai	
304	what	Bangru	təŋ	təŋ	
305	where	Bangru	kəː	kəː	
306	white	Bangru	ləpuː	ləpuː	
307	who	Bangru	tiːwoː	tiːwoː	
308	wind	Bangru	loa	loa	
309	window	Bangru	"iːriŋ; paːruŋ ~ puaːruŋ"	"iːriŋ; paːruŋ ~ puaːruŋ"	
310	wing	Bangru	mət͡ɕùˀ	mətɕùˀ	
311	with	Bangru	d͡ʑərə	dʑərə	
312	wood	Bangru	goː	goː	
313	woman	Bangru	ɲəwɛː	ɲəwɛː	
314	year	Bangru	anәŋnәŋ	anәŋnәŋ	
315	yesterday	Bangru	tәgaː	tәgaː	
316	younger sibling	Bangru	mәrәː	mәrәː	
317	1SG	Bangru	ɲoː	ɲoː	
318	2SG	Bangru	niː ~ ɲiː	niː ~ ɲiː	
319	3SG	Bangru	pɛt͡ɕi̤̤	pɛtɕi̤̤	
320	1DU	Bangru	ka:re:	ka:re:	
321	1PL	Bangru	kaɲiː ~ kaniː	kaɲiː ~ kaniː	
322	2PL	Bangru	"niː; d͡ʑeː"	"niː; dʑeː"	
323	3PL	Bangru	d͡ʑeː(mələŋ/ kadɨ)	dʑeː(mələŋ/ kadɨ)	
324	aconite	EMiji	-	Ø	
325	ant	EMiji	ɕəni	ɕəni	
326	awake	EMiji	-	Ø	
327	axe	EMiji	pə̆lə ~ pʰĕlu	pələ ~ pʰelu	
328	bad	EMiji	məni	məni	
329	bamboo (big)	EMiji	brau ~ brə	brau ~ brə	
330	bark (tree)	EMiji	-	Ø	
331	bear	EMiji	ʃitʃaŋ	ʃitʃaŋ	
332	bee	EMiji	miʔ ~ mai	miʔ ~ mai	
333	big (thick, wide)	EMiji	mədəbu ~ mədo	mədəbu ~ mədo	
334	bird	EMiji	bədʒi ~ pəɕə	bədʒi ~ pəɕə	
335	bite	EMiji	ta ~ taʔna	ta ~ taʔna	
336	bitter	EMiji	məkʰu	məkʰu	
337	blanket	EMiji	kombolo	kombolo	
338	blood	EMiji	medʒai ~ ʒi	medʒai ~ ʒi	
339	blow	EMiji	-	Ø	
340	body	EMiji	ʒai	ʒai	
341	body hair, feather	EMiji	-	Ø	
342	boil (water)	EMiji	dʒom ~ zəmna	dʒom ~ zəmna	
343	bone	EMiji	mariaŋ	mariaŋ	
344	bow	EMiji	kə̆rai	kərai	
345	breath	EMiji	-	Ø	
346	"breast; milk"	EMiji	mənaŋ ~ nag	mənaŋ ~ nag	
347	broom	EMiji	namʃoi ~ namɕoirə	namʃoi ~ namɕoirə	
348	burn	EMiji	frəna	frəna	
349	"cane; rope"	EMiji	-	Ø	
350	chicken	EMiji	dou	dou	
351	child	EMiji	-	Ø	
352	chin	EMiji	gutʃa(ʔ)	gutʃa(ʔ)	
353	cloth	EMiji	gije	gije	
354	cloud	EMiji	maimaŋ ~  maimər	maimaŋ ~  maimər	
355	coal	EMiji	-	Ø	
356	cook	EMiji	kə ~ kʰu	kə ~ kʰu	
357	cooking oil	EMiji	pandʒaŋvə	pandʒaŋvə	
358	copula	EMiji	-	Ø	
359	cow	EMiji	ʃufə	ʃufə	
360	cry	EMiji	krəmna	krəmna	
361	cut	EMiji	taina ~ rap ~ voăna	taina ~ rap ~ voana	
362	day	EMiji	gijaŋtaŋ	gijaŋtaŋ	
363	dead body	EMiji	-	Ø	
364	deep	EMiji	mərə	mərə	
365	die	EMiji	teina	teina	
366	dig	EMiji	-	Ø	
367	dirty	EMiji	-	Ø	
368	do	EMiji	rəna ~ ru	rəna ~ ru	
369	door	EMiji	banpi ~ vapʰi	banpi ~ vapʰi	
370	dream	EMiji	taimat~ taiməna	taimat~ taiməna	
371	drink	EMiji	tʰoŋ ~ toŋna	tʰoŋ ~ toŋna	
372	dry	EMiji	mekʰijan	mekʰijan	
373	eat	EMiji	tʃu ~  tʃəna	tʃu ~  tʃəna	
374	egg	EMiji	doriŋ ~ doriet	doriŋ ~ doriet	
375	eight	EMiji	ɕəgə	ɕəgə	
376	elder brother	EMiji	kəvoi	kəvoi	
377	elephant	EMiji	atai	atai	
378	empty	EMiji	mihijaŋ	mihijaŋ	
379	excrete, defecate	EMiji	-	Ø	
380	excrement	EMiji	-	Ø	
381	eye	EMiji	mẽ	mẽ	
382	far	EMiji	mərən	mərən	
383	fat (n)	EMiji	məmbau ~ məmbou	məmbau ~ məmbou	
384	fear	EMiji	-	Ø	
385	few	EMiji	mija	mija	
386	fight	EMiji	-	Ø	
387	finger	EMiji	gitʃoʔ ~ ditʃo	gitʃoʔ ~ ditʃo	
388	fire	EMiji	mai	mai	
389	fireplace	EMiji	-	Ø	
390	fish	EMiji	tʃoi	tʃoi	
391	five	EMiji	puŋu	puŋu	
392	flow	EMiji	-	Ø	
393	flower	EMiji	gəbo	gəbo	
394	friend	EMiji	mədʒo	mədʒo	
395	frog	EMiji	dʒou	dʒou	
396	fruit	EMiji	gutan	gutan	
397	four	EMiji	pəlei	pəlei	
398	full	EMiji	ləndaŋ ~ len	ləndaŋ ~ len	
399	garlic, onion	EMiji	kiomu ~ kemoŋ	kiomu ~ kemoŋ	
400	give	EMiji	bai ~ beina	bai ~ beina	
401	goat	EMiji	ʃəpen ~ ɕuprem	ʃəpen ~ ɕuprem	
402	grandfather	EMiji	-	Ø	
403	grandmother	EMiji	-	Ø	
404	grass	EMiji	-	Ø	
405	grind, crush	EMiji	-	Ø	
406	guts	EMiji	-	Ø	
407	hair	EMiji	gopal ~ gopə	gopal ~ gopə	
408	hard	EMiji	-	Ø	
409	hammer	EMiji	tʃəmpo	tʃəmpo	
410	hand, arm	EMiji	gi	gi	
411	"have; exist"	EMiji	-	Ø	
412	head	EMiji	(mo)gou	(mo)gou	
413	heart	EMiji	loŋvə ~ luŋvəuk	loŋvə ~ luŋvəuk	
414	heavy	EMiji	məlei	məlei	
415	horn	EMiji	(məsə)zuŋ/ʃoŋ	(məsə)zuŋ/ʃoŋ	
416	horse	EMiji	-	Ø	
417	house	EMiji	nam	nam	
418	how many	EMiji	kʰəɲa	kʰəɲa	
419	human	EMiji	ɲijə	ɲijə	
420	hundred	EMiji	pəloŋ	pəloŋ	
421	ill	EMiji	-	Ø	
422	insect	EMiji	bilo ~ biluŋ	bilo ~ biluŋ	
423	iron	EMiji	-	Ø	
424	itch	EMiji	-	Ø	
425	kick	EMiji	təgeŋna	təgeŋna	
426	kill	EMiji	gaina	gaina	
427	knife	EMiji	vaitʃoŋʒi	vaitʃoŋʒi	
428	know	EMiji	nina ~ nĭ	nina ~ ni	
429	laugh	EMiji	tona	tona	
430	leaf	EMiji	məlam ~  golap	məlam ~  golap	
431	leech	EMiji	-	Ø	
432	leg	EMiji	lei	lei	
433	lick	EMiji	-	Ø	
434	lift	EMiji	jan ~ijaŋna	jan ~ijaŋna	
435	light	EMiji	mənətaŋ	mənətaŋ	
436	liquor	EMiji	(pə̆)tʃaŋ	(pə)tʃaŋ	
437	listen, hear	EMiji	roina	roina	
438	live, grow up	EMiji	-	Ø	
439	liver/lungs	EMiji	-	Ø	
440	long	EMiji	məpijaŋ	məpijaŋ	
441	look, see	EMiji	gaŋna	gaŋna	
442	louse	EMiji	-	Ø	
443	"make; do"	EMiji	-	Ø	
444	man (male)	EMiji	ɲəjə	ɲəjə	
445	meat	EMiji	sĭkijuŋ	sikijuŋ	
446	medicine	EMiji	dawa	dawa	
447	melt	EMiji	-	Ø	
448	month	EMiji	lə	lə	
449	moon	EMiji	lə	lə	
450	mountain	EMiji	poŋ	poŋ	
451	"mouth; language"	EMiji	ɲek ~ ɲeləi	ɲek ~ ɲeləi	
452	mortar	EMiji	-	Ø	
453	mother	EMiji	aɲe	aɲe	
454	name	EMiji	mə̃rn	mə̃rn	
455	near	EMiji	məroi	məroi	
456	neg. imp.	EMiji	-	Ø	
457	new	EMiji	məkərə	məkərə	
458	night	EMiji	(k/g)eŋgau	(k/g)eŋgau	
459	nine	EMiji	ɕətan	ɕətan	
460	nose	EMiji	nebijoŋ	nebijoŋ	
461	old	EMiji	məʃoʔ	məʃoʔ	
462	one	EMiji	aŋ ~ akʰijo ~ akʰowa	aŋ ~ akʰijo ~ akʰowa	
463	otter	EMiji	-	Ø	
464	paddy rice	EMiji	ŋam	ŋam	
465	penis	EMiji	-	Ø	
466	pestle	EMiji	-	Ø	
467	pig	EMiji	dʒo(ʔ)	dʒo(ʔ)	
468	pillow	EMiji	gokəm	gokəm	
469	pull	EMiji	bre ~ ɕaana	bre ~ ɕaana	
470	put	EMiji	-	Ø	
471	rain	EMiji	fro	fro	
472	red	EMiji	mətʃi	mətʃi	
473	revenge	EMiji	-	Ø	
474	ring	EMiji	gilan	gilan	
475	river	EMiji	vəjaŋ ~ vədo	vəjaŋ ~ vədo	
476	road	EMiji	labaŋ	labaŋ	
477	root	EMiji	məkʰən ~ gokʰrən	məkʰən ~ gokʰrən	
478	round	EMiji	mədəriu	mədəriu	
479	rub	EMiji	-	Ø	
480	run	EMiji	-	Ø	
481	sago palm	EMiji	-	Ø	
482	salt	EMiji	lə	lə	
