ID	CONCEPT	CONCEPTICON_GLOSS	DOCULECT	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE	NOTES	SEGMENTS
1	101_ifirstpersonsingular	I [first person singular]	Galo	101_ifirstpersonsingular	1209	ŋó	ŋo55	Post07	*ŋoo	ŋ o 55
2	101_ifirstpersonsingular	I [first person singular]	ProtoGalo	101_ifirstpersonsingular	1209	ŋoo	ŋoo	Post07	ŋoo	ŋ oo
30	103_inside	inside	Galo	103_inside	1606	a-ràa	a+raː51	Post07	*raŋ ~ *roŋ ‘empty’	a + r a � 51
31	103_inside	inside	ProtoGalo	103_inside	1606	raŋ ~ roŋ ‘empty’	raŋ	Post07	raŋ ~ roŋ ‘empty’	r a ŋ
127	106_theknee	the knee	Galo	106_theknee	1371	lə-bɨɨ̀	lə+bɨː51	Post07	*bɨŋ ‘shoulder/knee’	l ə + b ɨ � 51
128	106_theknee	the knee	ProtoGalo	106_theknee	1371	bɨŋ ‘shoulder/knee’	bɨŋ	Post07	bɨŋ ‘shoulder/knee’	b ɨ ŋ
255	111_tolaugh	to laugh	Galo	111_tolaugh	1355	ɲɨrH	ɲɨr55	Post07	*ŋil	ɲ ɨ r 55
256	111_tolaugh	to laugh	ProtoGalo	111_tolaugh	1355	ŋil	ŋil	Post07	ŋil	ŋ i l
129	112_theleaf	the leaf	Galo	112_theleaf	628	a-nə́	a+nə55	Post07	*nə	a + n ə 55
130	112_theleaf	the leaf	ProtoGalo	112_theleaf	628	nə	nə	Post07	nə	n ə
32	114_left	left	Galo	114_left	244	ciL	tɕi51	Post07	*(lak-)ke	tɕ i 51
33	114_left	left	ProtoGalo	114_left	244	(lak-)ke	lak-ke	Post07	(lak-)ke	l a k � k e
257	115_tolick	to lick	Galo	115_tolick	319	rakH	rak55	Post07	*rjak	r a k 55
258	115_tolick	to lick	ProtoGalo	115_tolick	319	rjak	rjak	Post07	rjak	r j a k
131	119_theliver	the liver	Galo	119_theliver	1224	a-hín	a+hin55	Post07	*ʑin	a + h i n 55
132	119_theliver	the liver	ProtoGalo	119_theliver	1224	ʑin	ʑin	Post07	ʑin	ʑ i n
3	11_big	big	Galo	11_big	1202	kaí	kai55	Post07	í	k a i 55
4	11_big	big	ProtoGalo	11_big	1202	í	í	Post07	í	í
34	120_long	long	Galo	120_long	1203	a-hòr	a+hor51	Post07		a + h o r 51
133	121_thelouse	the louse	Galo	121_thelouse	1392	ta-ɨk̀	ta+ɨk51	Post07	*fɨk ‘louse (of head)’	t a + ɨ k 51
134	121_thelouse	the louse	ProtoGalo	121_thelouse	1392	fɨk ‘louse (of head)’	fɨk	Post07	fɨk ‘louse (of head)’	f ɨ k
135	122_thelung	the lung	Galo	122_thelung	688	aa-rò	aː+ro51	Post07	*haŋ(-puk) ‘heart’ + *(mə-)ru ‘torch (n.)’	a � + r o 51
136	122_thelung	the lung	ProtoGalo	122_thelung	688	haŋ(-puk) ‘heart’ + (mə-)ru ‘torch (n.)’	haŋ-puk	Post07	haŋ(-puk) ‘heart’ + (mə-)ru ‘torch (n.)’	h a ŋ � p u k
137	123_themanmalehuman	the man (male human)	Galo	123_themanmalehuman	2106	boH	bo55	Post07	*bo ‘father’	b o 55
138	123_themanmalehuman	the man (male human)	ProtoGalo	123_themanmalehuman	2106	bo ‘father’	bo	Post07	bo ‘father’	b o
35	124_many	many	Galo	124_many	1198	jaa-jàa	jaː+jaː51	Post07	*jaŋ ‘more’	j a � + j a � 51
36	124_many	many	ProtoGalo	124_many	1198	jaŋ ‘more’	jaŋ	Post07	jaŋ ‘more’	j a ŋ
139	126_themeat	the meat	Galo	126_themeat	634	a-dín	a+din55	Post07	*dɨn	a + d i n 55
140	126_themeat	the meat	ProtoGalo	126_themeat	634	dɨn	dɨn	Post07	dɨn	d ɨ n
37	127_middle	middle	Galo	127_middle	1093	ləpàa	lə+paː51	Post07	*praŋ ‘shin/shank’	l ə + p a � 51
38	127_middle	middle	ProtoGalo	127_middle	1093	praŋ ‘shin/shank’	praŋ	Post07	praŋ ‘shin/shank’	p r a ŋ
141	128_themoon	the moon	Galo	128_themoon	1313	poo-lò	poː+lo51	Post07	*po(-lo)	p o � + l o 51
142	128_themoon	the moon	ProtoGalo	128_themoon	1313	po(-lo)	po-lo	Post07	po(-lo)	p o � l o
39	129_morning	morning	Galo	129_morning	1339	arò	a+ro51	Post07	*ro	a + r o 51
40	129_morning	morning	ProtoGalo	129_morning	1339	ro	ro	Post07	ro	r o
72	12_thebird	the bird	Galo	12_thebird	937	pə-táa	pə+taː55	Post07	*taŋ	p ə + t a � 55
73	12_thebird	the bird	ProtoGalo	12_thebird	937	taŋ	taŋ	Post07	taŋ	t a ŋ
143	132_themountain	the mountain	Galo	132_themountain	639	moo-dìi	moː+diː51	Post07	*di	m o � + d i � 51
144	132_themountain	the mountain	ProtoGalo	132_themountain	639	di	di	Post07	di	d i
145	133_themouseorrat	the mouse or rat	Galo	133_themouseorrat	2139	buuL	buː51	Post07	*(ku-)buŋ	b u � 51
146	133_themouseorrat	the mouse or rat	ProtoGalo	133_themouseorrat	2139	(ku-)buŋ	ku-buŋ	Post07	(ku-)buŋ	k u � b u ŋ
147	134_themouth	the mouth	Galo	134_themouth	674	nap-páa	nap+paː55	Post07	*nap	n a p + p a � 55
148	134_themouth	the mouth	ProtoGalo	134_themouth	674	nap	nap	Post07	nap	n a p
149	135_themud	the mud	Galo	135_themud	640	hi-túm	hi+tum55	Post07		h i + t u m 55
150	136_thenailfingernailorclaw	the nail (fingernail or claw)	Galo	136_thenailfingernailorclaw	2128	lak-sín	lak+sin55	Post07	*(lak-)ʑin	l a k + s i n 55
151	136_thenailfingernailorclaw	the nail (fingernail or claw)	ProtoGalo	136_thenailfingernailorclaw	2128	(lak-)ʑin	lak-ʑin	Post07	(lak-)ʑin	l a k � ʑ i n
152	137_thename	the name	Galo	137_thename	1405	a-mìn	a+min51	Post07	*mɨn ~ *mrɨn	a + m i n 51
153	137_thename	the name	ProtoGalo	137_thename	1405	mɨn ~ mrɨn	mɨn	Post07	mɨn ~ mrɨn	m ɨ n
41	139_near	near	Galo	139_near	1942	nɨkH	nɨk55	Post07		n ɨ k 55
225	13_tobite	to bite	Galo	13_tobite	1403	gamL ~ ŋamL	gam51	Post07	*gjam	g a m 51
226	13_tobite	to bite	ProtoGalo	13_tobite	1403	gjam	gjam	Post07	gjam	g j a m
154	140_theneck	the neck	Galo	140_theneck	1333	lɨɨ-gòo	lɨː+goː51	Post07	*lɨŋ	l ɨ � + g o � 51
155	140_theneck	the neck	ProtoGalo	140_theneck	1333	lɨŋ	lɨŋ	Post07	lɨŋ	l ɨ ŋ
42	142_new	new	Galo	142_new	1231	a-lìi	a+liː51	Post07		a + l i � 51
43	143_nine	nine	Galo	143_nine	1483	keŋŋàa	keŋ+ŋaː51	Post07	*kV(n)aŋ	k e ŋ + ŋ a � 51
44	143_nine	nine	ProtoGalo	143_nine	1483	kV(n)aŋ	kVnaŋ	Post07	kV(n)aŋ	k � n a ŋ
156	146_thenose	the nose	Galo	146_thenose	1221	ɲe-pùm	ɲe+pum51	Post07	*ɲa	ɲ e + p u m 51
157	146_thenose	the nose	ProtoGalo	146_thenose	1221	ɲa	ɲa	Post07	ɲa	ɲ a
45	148_one	one	Galo	148_one	1493	akèn	a+ken51	Post07	*kon	a + k e n 51
46	148_one	one	ProtoGalo	148_one	1493	kon	kon	Post07	kon	k o n
5	14_black	black	Galo	14_black	163	kajàa	ka+jaː51	Post07	kaL	k a + j a � 51
6	14_black	black	ProtoGalo	14_black	163	kaL	kaL	Post07	kaL	k a �
47	150_outside	outside	Galo	150_outside	762	búu	buː55	Post07		b u � 55
