ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Doculect,Subgroup,Source
HruHrusoAkaJamiri,HrusoAkaJamiri,hrus1242,Hruso,hru,Eurasia,27.203617,92.590615,Hruso,Hruso Aka,Hrusish,"Simon1993, TB"
HruBangru,Bangru,bang1369,Bangru,,Eurasia,27.952786,93.164169,Sino-Tibetan,Bangru,Hrusish,"BandL2015, TB"
HruNamreiBisai,NamreiBisai,hrus1242,Hruso,hru,Eurasia,27.680112,92.699998,Hruso,Namrei,Hrusish,"BandL2015, TB"
HruNamreiNabolang,NamreiNabolang,hrus1242,Hruso,hru,Eurasia,27.558051,92.789317,Hruso,Namrei,Hrusish,"BandL2015, TB"
HruDammaiDibin,DammaiDibin,hrus1242,Hruso,hru,Eurasia,27.444541,92.511881,Hruso,Miji,Hrusish,"BandL2015, TB"
HruDammaiRurang,DammaiRurang,hrus1242,Hruso,hru,Eurasia,27.368891,92.48215,Hruso,Miji,Hrusish,"BandL2015, TB"
HruMijiNafra,MijiNafra,hrus1242,Hruso,hru,Eurasia,27.371831,92.544458,Hruso,Miji,Hrusish,"Simon1979, TB"
Kusunda,KusundaK,kusu1250,Kusunda,kgg,Eurasia,28.431855,82.802796,Kusunda,Kusunda,,TB
Achang,Achang,acha1249,Longchuan Achang,acn,Eurasia,24.466605,97.89503,Sino-Tibetan,Achang,Burmish,"Huang1992,Hill2017"
Atsi,Atsi,zaiw1241,Zaiwa,atb,Eurasia,24.193367,97.806689,Sino-Tibetan,Atsi,Burmish,"Huang1992,Hill2017"
Bola,Bola,pela1242,Pela,bxd,Eurasia,24.405004,98.234243,Sino-Tibetan,Bola,Burmish,"Huang1992,Hill2017"
Lashi,Lashi,lash1243,Lashi,lsi,Eurasia,24.111512,98.311333,Sino-Tibetan,Lashi,Burmish,"Huang1992,Hill2017"
Maru,Maru,maru1249,Maru,mhx,Eurasia,24.939981,99.83,Sino-Tibetan,Maru,Burmish,"Huang1992,Hill2017"
OldBurmese,OldBurmese,oldb1235,Old Burmese,obr,Eurasia,21.624974,97.126742,Sino-Tibetan,Old Burmese,Burmish,Hill2017
Rangoon,Rangoon,nucl1310,Burmese,mya,Eurasia,16.874207,96.190785,Sino-Tibetan,Rangoon,Burmish,"Huang1992,Hill2017"
Xiandao,Xiandao,xian1249,Xiandao,xia,Eurasia,24.494153,97.753173,Sino-Tibetan,Xiandao,Burmish,"Huang1992,Hill2017"
Chepang,Chepang,chep1245,Chepang,cdm,Eurasia,27.785164,84.908801,Sino-Tibetan,Chepang,,Caughley2000
Hakha,Hakha,haka1240,Haka Chin,cnh,Eurasia,22.870089,92.820021,Sino-Tibetan,Hakha,Chin,VanBik2014
DarangTaraon,DarangTaraon,diga1241,Tawra,mhu,Eurasia,28.657986,97.469136,Sino-Tibetan,Darang Taraon,Mishmi,Huang1992
