ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,NOTES,LOAN
TshDirangTshangla-1_above-1,DirangTshangla_170,TshDirangTshangla,1_above,tʰuŋ+ga,tʰuŋ+ga,,,TB,,,,,,
TaniTangam-1_above-1,Tangam_1,TaniTangam,1_above,agyaŋ,a+gjaŋ,,,Post2017,,,,,,
EBDzalakha-1_above-1,Dzalakha_1,EBDzalakha,1_above,blaiwa,blai+wa,,,DDC2017,,,,,,
EBKhengkha-1_above-1,Khengkha_170,EBKhengkha,1_above,ཇའི་དོ།,dʑai+do,,,TB,,,,,,
KBWanghoBugun-1_above-1,WanghoBugun_26,KBWanghoBugun,1_above,lakhuŋ,la+kʰuŋ,,,Abraham2018,,,,, ,
KBBichomBugun-1_above-1,BichomBugun_27,KBBichomBugun,1_above,lakhuŋ,la+kʰuŋ,,,Abraham2018,,,,, ,
KBSingchungBugun-1_above-1,SingchungBugun_28,KBSingchungBugun,1_above,lakhuŋ,la+kʰuŋ,,,Abraham2018,,,,, ,
KBKaspiBugun-1_above-1,KaspiBugun_29,KBKaspiBugun,1_above,lakhuŋ,la+kʰuŋ,,,Abraham2018,,,,, ,
KBNamphriBugun-1_above-1,NamphriBugun_30,KBNamphriBugun,1_above,lakhuŋ,la+kʰuŋ,,,Abraham2018,,,,, ,
EBMamaCuonaMenba-1_above-1,MamaCuonaMenba_479,EBMamaCuonaMenba,1_above,jAr˥,jAr55,,,Lu1986,,,,,,
EBWenlangCuonaMenba-1_above-1,WenlangCuonaMenba_480,EBWenlangCuonaMenba,1_above,ȵa˧˥ka˥,ȵa35ka55,,,Lu1986,,,,,,
KBWestPuroikLieberherr-1_above-1,BuluPuroik_1,KBWestPuroikLieberherr,1_above,a.ʧa,a.ʧa,,,TB,1765,,,,,FALSE
KBDikhyangBugun-1_above-1,DikhyangBugun_2,KBDikhyangBugun,1_above,sa.ba.kʰuŋ,sa.ba.kʰuŋ,,,TB,785,,,,,FALSE
KBWKhispi-1_above-1,Khispi_3,KBWKhispi,1_above,tɕʰaŋ,tɕʰaŋ,,,TB,744,,,,,FALSE
KBWDuhumbi-1_above-1,Duhumbi_4,KBWDuhumbi,1_above,tɕʰaŋ,tɕʰaŋ,,,TB,744,,,,,FALSE
KBWKhoina-1_above-1,Khoina_5,KBWKhoina,1_above,a.tsʰɔ̃,a.tsʰɔ̃,,,TB,744,,,,,FALSE
KBWJerigaon-1_above-1,Jerigaon_6,KBWJerigaon,1_above,a.tɕʰɔ̃,a.tɕʰɔ̃,,,TB,744,,,,,FALSE
